id	Definition
PWN:abandon.v.01	αφήνω κάτι σε κάποιο μέρος
PWN:abandon.v.02	αφήνω οριστικά και αμετάκλητα
PWN:abdomen.n.01	η περιοχή του ανθρώπινου σώματος ανάμεσα στον θώρακα και τη λεκάνη, η οποία περιέχει τα σπλάχνα
PWN:abdomen.n.01	η περιοχή του ανθρώπινου σώματος ανάμεσα στον θώρακα και τη λεκάνη, η οποία περιέχει τα σπλάχνα
PWN:ability.n.01	η ιδιότητα την οποία έχει κάποιος, από τη φύση του ή από το χαρακτήρα του, να πετυχαίνει ένα αποτέλεσμα ή στόχο
PWN:abortion.n.01	διακοπή της εγκυμοσύνης
PWN:absent.a.01	αυτός  που απουσιάζει από ένα συγκεκριμένο χώρο ως φυσική οντότητα ή και πνευματικά
PWN:accept.v.02	δέχομαι ευχαρίστως
PWN:accept.v.04	παραδέχομαι, αναγνωρίζω κάτι, συμφωνώ με κάτι
PWN:accident.n.01	τυχαίο συμβάν που προκαλεί τραυματισμό, θάνατο ή ζημιά
PWN:accompany.v.02	πορεύομαι ή ταξιδεύω με κάποιον, χρησιμοποιώ το ίδιο μεταφορικό μέσο
PWN:acme.n.01	το υψηλότερο σημείο ή βαθμός που μπορεί να επιτευχθεί κάτι
PWN:acorn.n.01	ο καρπός της βαλανιδιάς που αποτελείται εσωτερικά από το κάρυο και εξωτερικά από ημισφαιρικό κύπελλο με μεγάλα γλωσσοειδή λέπια, το οποίο χρησιμεύει ως τροφή χοίρων
PWN:acquire.v.05	αποκτώ κάτι από προσωπική ικανότητα
PWN:acquit.v.01	κρίνω ότι κάποιος είναι αθώος σχετικά με ορισμένη κατηγορία σε δικαστήριο και τον απαλλάσσω από αυτή
PWN:act.n.01	νόμιμο επίσημο έγγραφο που περιλαμβάνει τα αποτελέσματα συζητήσεων μιας επιτροπής ή ενός νομοθετικού σώματος
PWN:act.n.02	κάτι που κάνει κάποιος ή που προκαλεί να συμβεί
PWN:act.v.02	αντιδρώ στα εξωτερικά ερεθίσματα με ορισμένο τρόπο, έχω μια ορισμένη συμπεριφορά
PWN:act.v.03	ερμηνεύω συγκεκριμένο ρόλο
PWN:activity.n.01	σύνολο ενεργειών ατόμου ή ομάδας, που αφορούν ένα συγκεκριμένο τομέα
PWN:actor.n.01	θεατρικός εκτελεστής
PWN:ad.n.01	δημόσια προώθηση ενός προϊόντος ή μιας υπηρεσίας
PWN:add.v.01	βάζω κάτι επιπλέον σε κάτι που ήδη υπάρχει και το αυξάνω, το συμπληρώνω, το επεκτείνω
PWN:add.v.01	βάζω κάτι επιπλέον σε κάτι που ήδη υπάρχει και το αυξάνω, το συμπληρώνω, το επεκτείνω
PWN:address.n.03	επίσημος λόγος που εκφωνείται ενώπιον ακροατηρίου, με συγκεκριμένο θέμα
PWN:adhere.v.06	εφάπτομαι απόλυτα σε κτ άλλο
PWN:admire.v.01	αισθάνομαι ξεχωριστή εκτίμηση για κάποιον ή κάτι
PWN:admit.v.01	αναγνωρίζω κάτι ως πραγματικό, ως γεγονός. Επιβεβαιώνω κάτι ως αληθινό, προβαίνοντας σε ομολογία
PWN:admit.v.01	αναγνωρίζω κάτι ως πραγματικό, ως γεγονός. Επιβεβαιώνω κάτι ως αληθινό, προβαίνοντας σε ομολογία
PWN:adornment.n.01	το συμπληρωματικό εξάρτημα αμφίεσης, το οποίο εξυπηρετεί περισσότερο αισθητικούς παρά πρακτικούς σκοπούς
PWN:adult.n.01	ένα πλήρως ανεπτυγμένο άτομο από την ωριμότητά του και ύστερα
PWN:advancement.n.03	η σταδιακή βελτίωση και ανάπτυξη
PWN:advice.n.01	η γνώμη ή η σύσταση που διατυπώνει κανείς, προκειμένου να βοηθήσει, να καθοδηγήσει άλλον σχετικά με το πώς είναι καλύτερο να πράξει
PWN:affect.v.05	προξενώ ψυχική, συναισθηματική ένταση, ταραχή
PWN:afternoon.n.01	το διάστημα της ημέρας ανάμεσα στο μεσημέρι και στη δύση του ήλιου
PWN:age.n.01	ο χρόνος που διανύθηκε από τη γέννηση κάποιου ως μία ορισμένη στιγμή
PWN:agency.n.01	σε επωνυμίες κρατικών υπηρεσιών, κρατική διοικητική μονάδα
PWN:agree.v.01	έχω την ίδια νοοτροπία με κάποιον, έτσι ώστε να είναι δυνατή η αρμονική συμβίωση
PWN:aid.n.02	ό,τι παρέχεται ως αρωγή, συνδρομή και οι φορείς της
PWN:aim.v.01	συγκεντρώνω την προσοχή μου, για να βρω το ακριβές σημείο που θέλω να χτυπήσω και κατευθύνω ένα βλήμα, ένα αντικείμενο εναντίον αυτού του στόχου
PWN:air.n.01	το μείγμα των αερίων της ατμόσφαιρας που αναπνέουμε και που περιβάλλει τη γη
PWN:airplane.n.01	εναέριο μεταφορικό ή συγκοινωνιακό μέσο με φτερά και μηχανή
PWN:alcohol.n.01	υγρό ή ποτό που περιέχει αλκοόλ, οινόπνευμα
PWN:alive.a.01	αυτός που έχει ζωή
PWN:alligator.n.02	είδος αμφίβιου ερπετού, που μοιάζει με τον κροκόδιλο, αλλά έχει πιο πλατύ ρύγχος και δόντια που προεξέχουν όταν το στόμα είναι κλειστό
PWN:almond.n.02	ο καρπός της αμυγδαλιάς
PWN:alphabet.n.01	ένα σύστημα χαρακτήρων που αποτελείται από γράμματα
PWN:ambush.n.01	το να παραμονεύει κανείς κάποιον, κρυμμένος, για να του επιτεθεί ξαφνικά
PWN:american_football.n.01	παιχνίδι που παίζεται απο δύο ομάδες, που αποτελούνται από 11 παίχτες, σε γήπεδο
PWN:amuse.v.01	απασχολώ κάποιον με ευχάριστο και διασκεδαστικό τρόπο
PWN:analyze.v.01	εξηγώ κάτι  λεπτομερώς
PWN:ananas.n.01	γένος τροπικών αμερικανικών φυτών, με ξιφοειδή φύλλα και σαρκώδη σύνθετα φρούτα, που αποτελούνται από τα φρούτα πολλών λουλουδιών, όπως ο ανανάς
PWN:ancestor.n.01	άτομο από το οποίο κατάγεται κανείς αλλά συνήθως πιο μεγάλο σε ηλικία από τους παππούδες του
PWN:anchor.n.01	μηχανισμός  που χρησιμοποιείται για να κρατεί το πλοίο σταθερό και ακίνητο σε μια θέση
PWN:ancient.s.02	ο πολύ παλιός
PWN:angel.n.01	καθένας από τους επουράνιους ακολούθους του Θεού
PWN:anger.v.01	προκαλώ την οργή και το θυμό σε κπ,εξαγριώνω
PWN:anger.v.02	οργίζομαι,καταλαμβάνομαι από θυμό
PWN:angle.n.01	το διάστημα ανάμεσα σε δυο γραμμές που τέμνονται, η κλίση της μιας γραμμής πάνω στην άλλη
PWN:animal.n.01	(βιολογία) σύμφωνα με μια παλαιότερη αλλά ακόμη αποδεκτή διάκριση των έμβιων όντων σε ζώα και φυτά, κάθε ζωντανός οργανισμός προικισμένος με αισθήσεις και με την ικανότητα να μετακινείται και να βρίσκει μόνος του την τροφή· κάθε ζωντανός οργανισμός που ανήκει στην τελευταία και ανώτερη κατηγορία από τις πέντε στις οποίες διακρίνει η νεότερη βιολογία τα έμβια όντα
PWN:animation.n.01	η κατάσταση του να είσαι ζωντανός
PWN:ankle.n.01	η περιοχή του ποδιού ανάμεσα στο οστό της κνήμης και το τέλος του οστού του αστραγάλου.
PWN:announce.v.01	κάνω γνωστή στο κοινό μια είδηση, εγγράφως ή προφορικά
PWN:announce.v.01	κάνω γνωστή στο κοινό μια είδηση, εγγράφως ή προφορικά
PWN:anode.n.01	το θετικό ηλεκτρόδιο ηλεκτρικού στοιχείου ή στήλης
PWN:answer.v.01	δίνω απάντηση
PWN:ant.n.01	ονομασία μικρών υμενόπτερων εντόμων που ζουν κατά πολυάριθμες ομάδες σε φωλιές
PWN:anteroom.n.01	ο χώρος ενός κτηρίου που χρησιμεύει για την υποδοχή των επισκεπτών ή ως αίθουσα αναμονής
PWN:antimony.n.01	στοιχείο που συμπεριφέρεται και ως μέταλλο και ως αμέταλλο. Η πιο σταθερή μορφή που αποτελεί ένα εύθραυστο, αργυρόλευκο στερεό με μεταλλική λάμψη και χρησιμοποιείται στη μεταλλουργία, στην παραγωγή αδιαφανών σμάλτων, για τον αποχρωματισμό του γυαλιού, στην ιατρική.
PWN:anus.n.01	το στόμιο του πεπτικού σωλήνα, από το οποίο γίνεται η απέκκριση των κοπράνων
PWN:anvil.n.01	εργαλείο σφυρηλάτησης μετάλλων, σιδερένια συμπαγής βάση όπου γίνεται η επεξεργασία αντικειμένων από μέταλλο
PWN:anxiety.n.02	ένα απροσδιόριστο δυσάρεστο συναίσθημα που βιώνεται σε αναμονή κάποιας ατυχίας
PWN:apart.r.01	χωριστά, όχι μαζί
PWN:apartment_building.n.01	πολυώροφο οικοδόμημα (με περισσότερους από δύο ορόφους) που διαχωρίζεται σε αυτοτελή διαμερίσματα για τη στέγαση πολλών οικογενειών, ατόμων ή γραφείων
PWN:aperture.n.02	μικρό άνοιγμα ή κοίλη εσοχή στερεού σώματος
PWN:appearance.n.01	η εξωτερική εικόνα ατόμου ή πράγματος
PWN:apple.n.01	ο στρογγυλός καρπός της μηλιάς με λεία κόκκινη, κίτρινη, πράσινη φλούδα και από μέσα σκληρή και ζουμερή ασπριδερή σάρκα
PWN:approach.v.01	φθάνω ή πηγαίνω κάπου
PWN:appropriate.v.02	γίνομαι κύριος μιας χώρας ή μιας περιοχής, με τη χρήση βίας και κυρίως με τη χρήση των όπλων, της στερώ την πολιτική ανεξαρτησία και την υπάγω στη δική μου διοίκηση
PWN:approve.v.01	δίνω έγκριση, συγκατάθεση σε κάποιον να κάνει κάτι
PWN:april.n.01	ο τέταρτος μήνας του έτους και ο δεύτερος της άνοιξης (μαζί με τον Μάρτιο και τον Μάιο), ο οποίος έχει 30 ημέρες
PWN:arch.n.04	(αρχιτεκτονική) κατασκευή που σχηματίζει τόξο για να γεφυρώσει ένα χάσμα και να υποστηρίξει το βάρος που υπάρχει πάνω από αυτήν
PWN:area.n.01	έκταση γης, μικρή ή μεγάλη, τόπος ως τμήμα άλλου
PWN:area.n.06	η έκταση μιας δισδιάστατης επιφάνειας εντός συγκεκριμένων ορίων
PWN:arise.v.03	παύω να κάθομαι και στέκομαι όρθιος,εγείρομαι από τη θέση μου
PWN:arm.n.01	το παχύτερο τμήμα του χεριού, το οποίο βρίσκεται μεταξύ αγκώνα και ώμου
PWN:armadillo.n.01	μικρόσωμο θηλαστικό με το σώμα καλυμμένο με οστέινα λέπια
PWN:armlet.n.01	ταινία που φοριέται γύρω από το βραχίονα ως στολίδι, κόσμημα
PWN:armor.n.01	προστατευτική επένδυση με μέταλλο για προστασία στς μάχες
PWN:armpit.n.01	κοιλότητα που σχηματίζεται στο εσωτερικό μέρος του άνω άκρου, στο σημείο όπου γίνεται η σύνδεση του βραχίονα με τον κορμό
PWN:army.n.01	σώμα στρατιωτικών δυνάμεων ξηράς, o  μόνιμος και οργανωμένος στρατός
PWN:army.n.01	σώμα στρατιωτικών δυνάμεων ξηράς, o  μόνιμος και οργανωμένος στρατός
PWN:aroused.s.06	αυτός που σχετίζεται με το συναίσθημα
PWN:arrange.v.01	ρυθμίζω κάτι. Βάζω κάτι σε σειρά ή τάξη
PWN:arrange.v.01	ρυθμίζω κάτι. Βάζω κάτι σε σειρά ή τάξη
