id	Definition
PLX:1DU EXCL.pro	Exclusive dual of the first person: I and exactly one other person, but not the addressed person (you).
PLX:1DU INCL.pro	Inclusive dual of the first person: I and exactly one other person, including the addressed person (you).
PLX:1DU.pro	The speaker and exactly one other person.
PLX:1PL EXCL.pro	Exclusive we: I and at least one other person, but not the addressed person (you) (pronoun 1st person plural without 2nd person).
PLX:1PL INCL.pro	Inclusive we: I and at least one other person, including the addressed person(s) (pronoun 1st person plural with 2nd person).
PLX:1PL OBL.pro	Oblique case of the first person plural pronoun.
PLX:1PL POSS.pro	Belonging to us; of us.
PLX:1PL.pro	The speaker or writer and at least one other person.
PLX:1SG OBL.pro	Oblique cases of the first person singular pronoun.
PLX:1SG POSS.pro	Belonging to me.
PLX:1SG.pro	The speaker or writer referring to himself or herself alone.
PLX:2 POSS.pro	Belonging to the second person that is addressed by the first person.
PLX:2DU.pro	Addressing two persons (second person dual).
PLX:2PL HON.pro	The group of persons addressed (honorific).
PLX:2PL OBL.pro	The oblique case of the second person plural pronoun.
PLX:2PL POSS.pro	Belonging to the second person that is addressed by the first person, with the second person being many persons and not just one.
PLX:2PL.pro	The group of persons addressed.
PLX:2SG FRM.pro	The formal way to address the second person.
PLX:2SG HON.pro	The person addressed (honorific).
PLX:2SG OBL.pro	Oblique cases of the second person singular pronoun.
PLX:2SG POSS.pro	Belonging to the second person that is addressed by the first person.
PLX:2SG.pro	The person addressed.
PLX:3DU.pro	The third person dual of the personal pronoun.
PLX:3PL POSS.pro	Belonging to the third person that is addressed (of many people).
PLX:3PL.pro	The third person plural of the personal pronoun that designates more than one person or animal, thing or idea which have already been mentioned previously.
PLX:3SG F POSS.pro	Belonging to the female third person.
PLX:3SG F.pro	A female other; the female previously mentioned. 3rd person singular feminine subject pronoun.
PLX:3SG INAN.pro	An inanimate object, an animate object of unspecified sex, or a subject that is previously mentioned.
PLX:3SG M POSS.pro	Belonging to the male third person.
PLX:3SG M.pro	A male other; the male previously mentioned; himself.  3rd person singular masculine subject pronoun.
PLX:3SG N.pro	Third person singular addressing living things or persons.
PLX:3SG POSS.pro	Belonging to the third person that is addressed.
PLX:3SG.pro	Third person singular pronoun, regardless of gender/sex.
PLX:about.pp	on the topic of the specified thing
PLX:above.pp	in a place that is higher than the specified location
PLX:across.pp	at or to the opposite side of the specified thing
PLX:after.pp	later than the specified time
PLX:agbada.n	A flowing wide sleeved robe worn by men in much of West Africa, and to a lesser extent in North Africa.
PLX:and.cnj	Used to connect two homogeneous words or phrases.
PLX:anyone.pro	one or some or every or all people without specification 
PLX:anything.pro	one or some or every or all things without specification
PLX:around.pp	on all sides of the specified person or thing
PLX:as.pp	to the same degree as
PLX:Asian dragon.n	A mythical creature typically depicted as a large horned serpent with claws and with magical or spiritual qualities.
PLX:at.pp	in or at the specified location
PLX:baby sling.n	A piece of cloth used around the body to carry a child
PLX:baozi.n	A baozi or simply known as bao, bau, humbow, nunu, bausak, pow or pau is a type of steamed, filled bun or bread-like (i.e. made with yeast) item in various Chinese cuisines.
PLX:because of.pp	For the reason of.
PLX:before.pp	earlier than the specified time
PLX:behind.pp	At the back of.
PLX:behind.pp	at the far or back side of the specified location
PLX:beside.pp	To be positioned adjacent to.
PLX:between.pp	in the space or interval between the specified things
PLX:beyond.pp	farther than the specified thing
PLX:but.cnj	A coordinating expression that signals a contrast to what was previously said, e.g. disagreement or a further point to consider.
PLX:by agent.pp	Marker of the agent in a passive sentence.
PLX:by means of.pp	using the specified thing as an instrument
PLX:can.v	To have the ability to do something.
PLX:checkmate.int	an expression that is uttered during a game of chess to declare that the final winning move has taken place
PLX:day after tomorrow.n	the day after tomorrow
PLX:day before yesterday.n	the day before yesterday
PLX:die (from accident).V	To cease to live due to unforeseen circumstances.
PLX:during.pp	at the duration of the specified time
PLX:everyone.pro	All people
PLX:everything.pro	All things
PLX:everywhere.pro	In all places.
