CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	IDS_ID	ENGLISH	RELATION	PWN_WORD_SENSE_ID	PWN_DEFINITION	PWN_SYNSET	PWN_POS
1379	TELEPHONE	1	S23.1200	the telephone	ss	telephone%1:06:00::	"electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds; ""I talked to him on the telephone"""	n04401088	n
1787	LOOM	2	S06.340	the loom	ss	loom%1:06:00::	a textile machine for weaving yarn into a textile	n03689157	n
2024	PLOT	3	S19.630	the plot	ss	plot%1:09:00::	"a secret scheme to do something (especially something underhand or illegal); ""they concocted a plot to discredit the governor""; ""I saw through his little game from the start"""	n05907682	n
2014	GO DOWN (DESCEND)	4	S10.473	to go down	ss	go_down%2:38:02::	"move downward and lower, but not necessarily all the way; ""The temperature is going down""; ""The barometer is falling""; ""The curtain fell on the diva""; ""Her hand went up and then fell again"""	v01970826	v
1439	SWIM	5	S10.350	to swim	ss	swim%2:38:00::	"travel through water; ""We had to swim for 20 minutes to reach the shore""; ""a big fish was swimming in the tank"""	v01960911	v
1088	SINK (DESCEND)	6	S10.330	to sink	ss	sink%2:38:01::	"fall or descend to a lower place or level; ""He sank to his knees"""	v01985923	v
1899	MAD	7	S17.230	mad	ss	mad%5:00:00:insane:00	"affected with madness or insanity; ""a man who had gone mad"""	a02075321	a
906	TREE	8	S08.600	the tree	ss	tree%1:20:00::	a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms	n13104059	n
1521	SEEM	9	S17.180	to seem	ss	seem%2:39:00::	"give a certain impression or have a certain outward aspect; ""She seems to be sleeping""; ""This appears to be a very difficult problem""; ""This project looks fishy""; ""They appeared like people who had not eaten or slept for a long time"""	v02133435	v
1763	CLUB	10	S20.220	the club	ss	club%1:06:00::	"stout stick that is larger at one end; ""he carried a club in self defense""; ""he felt as if he had been hit with a club"""	n03053474	n
749	ENTER	11	S10.570	to enter	ss	enter%2:38:00::	"to come or go into; ""the boat entered an area of shallow marshes"""	v02016523	v
3210	KNIFE (FOR EATING)	12	S05.380	the knife(1)	ss	knife%1:06:00::	edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle	n03623556	n
1655	BLINK	13	S04.215	to blink	ss	blink%2:29:00::	"briefly shut the eyes; ""The TV announcer never seems to blink"""	v00007739	v
718	PAY	14	S11.650	to pay	ss	pay%2:40:00::	"give money, usually in exchange for goods or services; ""I paid four dollars for this sandwich""; ""Pay the waitress, please"""	v02251743	v
267	NIT	15	S03.812	the nit	ss	nit%1:05:00::	egg or young of an insect parasitic on mammals especially a sucking louse; often attached to a hair or item of clothing	n01461146	n
747	BICYCLE	16	S23.1300	the bicycle	ss	bicycle%1:06:00::	a wheeled vehicle that has two wheels and is moved by foot pedals	n02834778	n
