number	level	category	English	Deutsch	Nederlands	Italiano	Esperanto	Novial	Lingwa de Planeta	Sambahsa	Русский
101	0	Adposition	from (moving out of or away from) [pr]	von, aus	van, vandaan	da	de, el	ek, fro			
102	0	Adposition	to, towards, at (moving toward) [pr]	nach, zu	naar, tot, tegen	a	al	a, vers	a, versu	kye	к, по направлению к
103	0	Adposition	at (in the same location as) [pr]	an, bei	te, bij, op	a	ĉe	an, che	pa, she	ad, bi	у, при
110	0	Adposition	in (located inside of) [pr]	in	in	in	en	in			
111	1	Adposition	outside of, exterior to [pr]	aussen	buiten	fuori di	ekster	exter	ausen	exter	снаружи
120	1	Adposition	above, over [pr]	über	over, boven	su, sopra a	super	super	sobre	super	над
121	1	Adposition	under, below, beneath [pr]	unter	onder	sotto	sub	sub	sub	sub	под
130	1	Adposition	in front of, ahead of, before (spatially) [pr]	vor	voor	davanti a	antaŭ	devan			
131	1	Adposition	behind, in back of, to the rear of [pr]	hinter	achter	dietro a	malantaŭ	hinter	baken	apter	за, позади
140	1	Adposition	before, prior to, earlier than [pr]	vor	voor, eer {archaic}	prima di	antaŭ	ante	bifoo	pre	перед
141	1	Adposition	during [pr]	während	tijdens, gedurende	durante	dum [pr/cj]	durant	duran	unte	в течение
142	1	Adposition	after (later than; in the future of) [pr]	nach	na	dopo	post	after	afte	pos	после
150	0	Adposition	with (accompanied by / furnished with) [pr]	mit	met, bij	con	kun	kun			
151	1	Adposition	without (not with) [pr]	ohne	zonder	senza	sen	sin			
160	1	Adposition	around, encircling, surrounding [pr]	rund um	rond, rondom, om	attorno a	ĉirkaŭ	sirk	sirkum	(per)ambh	вокруг, кругом
161	1	Adposition	between, among [pr]	zwischen	tussen, inter-	tra, fra	inter	inter			
162	1	Adposition	beyond, farther than, exceeding [pr]	jenseits von	verder dan, voorbij	oltre	preter	trans			
163	1	Adposition	near, close to [pr]	nahe, bei	dichtbij, nabij	vicino a	proksime al	proxim	bli	nieb ; claus	возле, около
164	1	Adposition	on (resting on; touching the top or other surface of) [pr]	auf	op	su	sur	sur	on	ep	на
165	1	Adposition	across (at the other side of; to the other side of) [pr]	quer über, jenseits	over	al di là, oltre	trans	tra (across, through), trans (on the other side of)			
166	1	Adposition	through [pr]	durch	door	attraverso, per	tra	tra	tra	per	через
170	1	Adposition	about (pertaining to; on the topic of) [pr]	über	betreffende, over	a proposito di	pri	pri	om	de	про, о(б)
171	1	Adposition	because of, due to [pr]	wegen	wegens	a causa di	pro, kaŭze de	pro	por	ob	из-за, потому что
172	0	Adposition	by means of, via, per, with (using; through instrumentality of) [pr]	mit, mittels, vermittels, durch	met, met behulp van, door middel van	con, tramite	per	per	bay	med	посредством
173	1	Adposition	except for, apart from, excluding [pr]	abgesehen von, ausgenommen	behalve, afgezien van	tranne	krom	exept	exepte	except, ploisko	кроме, исключая 
