Language_ID	Parameter_ID	Form
fra	1-1	monde
spa	1-1	mundo
deu	1-1	Welt
rus	1-1	мир
fra	1-21	terre
spa	1-21	tierra
deu	1-21	Land
rus	1-21	земля, страна
fra	1-212	terre, sol
spa	1-212	suelo
deu	1-212	Boden
rus	1-212	земля, почва
fra	1-213	poussière
spa	1-213	polvo
deu	1-213	Staub
rus	1-213	пыль
fra	1-214	boue
spa	1-214	lodo
deu	1-214	Schlamm
rus	1-214	грязь
fra	1-215	sable
spa	1-215	arena
deu	1-215	Sand
rus	1-215	песок
fra	1-22	montagne, colline
spa	1-22	montaña, loma
deu	1-22	Berg oder Hügel
rus	1-22	гора, холм
fra	1-222	falaise
spa	1-222	barranca
deu	1-222	Klippe
rus	1-222	скала, утес, обрыв
fra	1-23	plaine, campagne
spa	1-23	pampa, llano
deu	1-23	Ebene
rus	1-23	равнина, поле
fra	1-24	vallée
spa	1-24	valle
deu	1-24	Tal
rus	1-24	долина
fra	1-25	île
spa	1-25	isla
deu	1-25	Insel
rus	1-25	остров
fra	1-26	continent
spa	1-26	continente
deu	1-26	Festland
rus	1-26	континент
fra	1-27	côte, rivage, bord,
spa	1-27	ribera, playa
deu	1-27	Küste oder Ufer
rus	1-27	берег, побережье
fra	1-28	grotte
spa	1-28	cueva
deu	1-28	Höhle
rus	1-28	пещера
fra	1-31	eau
spa	1-31	agua
deu	1-31	Wasser
rus	1-31	вода
fra	1-32	mer
spa	1-32	mar
deu	1-32	Meer
rus	1-32	море
fra	1-322	étale
spa	1-322	calma [but this is a noun]
deu	1-322	windstill
rus	1-322	спокойный (о море)
fra	1-323	agité
spa	1-323	agitado (mar), borrascoso
deu	1-323	rau
rus	1-323	бурный (о море)
fra	1-324	écume, mousse
spa	1-324	espuma
deu	1-324	Schaum
rus	1-324	пена
fra	1-329	océan
spa	1-329	océano
deu	1-329	Ozean
rus	1-329	океан
fra	1-33	lac
spa	1-33	lago
deu	1-33	See
rus	1-33	озеро
fra	1-34	golfe, baie
spa	1-34	golfo, bahía
deu	1-34	Bucht
rus	1-34	залив, бухта
fra	1-341	lagune
spa	1-341	laguna
deu	1-341	Lagune
rus	1-341	лагуна
fra	1-342	récif
spa	1-342	arrecife
deu	1-342	Riff
rus	1-342	риф
fra	1-343	cap
spa	1-343	punta
deu	1-343	Kap
rus	1-343	мыс
fra	1-35	vague
spa	1-35	ola
deu	1-35	Welle
rus	1-35	волна
fra	1-352	marée
spa	1-352	marea
deu	1-352	Gezeiten
rus	1-352	морской прилив и отлив
fra	1-353	marée basse
spa	1-353	bajamar
deu	1-353	Ebbe
rus	1-353	отлив
fra	1-354	marée haute
spa	1-354	pleamar
deu	1-354	Flut
rus	1-354	прилив
fra	1-36	fleuve, rivière, ruisseau
spa	1-36	río, corriente, arroyo
deu	1-36	Fluss oder Strom
rus	1-36	река, поток, ручей
fra	1-362	tourbillon )d'eau=
spa	1-362	remolino
deu	1-362	Strudel
rus	1-362	водоворот
fra	1-37	source,puits, fountaine
spa	1-37	manantial, pozo
deu	1-37	Quelle oder Brunnen
rus	1-37	родник, источник, колодец
fra	1-38	marais, marécage
spa	1-38	pantano
deu	1-38	Sumpf
rus	1-38	болото
fra	1-39	chûte d'eau, cascade
spa	1-39	cascada
deu	1-39	Wasserfall
rus	1-39	водопад
fra	1-41	bois, forêt
spa	1-41	selva
deu	1-41	Wald
rus	1-41	лес
fra	1-43	bois
spa	1-43	madera
deu	1-43	Holz
rus	1-43	дерево (материал), древесина
fra	1-44	pierre, roc, rocher
spa	1-44	piedra, roca
deu	1-44	Stein oder Fels(en)
rus	1-44	камень, скала
fra	1-45	tremblement de terre, séisme
spa	1-45	terremoto
deu	1-45	Erdbeben
rus	1-45	землятресение
fra	1-51	ciel
spa	1-51	cielo
deu	1-51	Himmel
rus	1-51	небо
fra	1-52	soleil
spa	1-52	sol
deu	1-52	Sonne
rus	1-52	солнце
fra	1-53	lune
spa	1-53	luna
deu	1-53	Mond
rus	1-53	луна
fra	1-54	étoile
spa	1-54	estrella
deu	1-54	Stern
rus	1-54	звезда
fra	1-55	éclair
spa	1-55	relámpago
deu	1-55	Blitz
rus	1-55	молния
fra	1-56	tonnerre
spa	1-56	trueno
deu	1-56	Donner
rus	1-56	гром
fra	1-57	foudre
spa	1-57	rayo
deu	1-57	Blitzschlag
rus	1-57	молния
fra	1-58	orage, tempête
spa	1-58	tempestad, tormenta
deu	1-58	Sturm
rus	1-58	буря, шторм
fra	1-59	arc-en-ciel
spa	1-59	arco-iris
deu	1-59	Regenbogen
rus	1-59	радуга
fra	1-61	lumière
spa	1-61	luz
deu	1-61	Licht
rus	1-61	свет
fra	1-62	obscurité
spa	1-62	oscuridad
deu	1-62	Dunkelheit oder Finsternis
rus	1-62	темнота, тьма, мрак
fra	1-63	ombre
spa	1-63	sombra
deu	1-63	Schatten
rus	1-63	тень
fra	1-64	rosée
spa	1-64	rocío
deu	1-64	Tau
rus	1-64	роса
fra	1-71	air
spa	1-71	aire
deu	1-71	Luft
rus	1-71	воздух
fra	1-72	vent
spa	1-72	viento
deu	1-72	Wind
rus	1-72	ветер
fra	1-73	nuage
spa	1-73	nube
deu	1-73	Wolke
rus	1-73	облако, туча
fra	1-74	brume, brouillard
spa	1-74	neblina, niebla
deu	1-74	Nebel
rus	1-74	туман
fra	1-75	pluie
spa	1-75	lluvia
deu	1-75	Regen
rus	1-75	дождь
fra	1-76	neige
spa	1-76	nieve
deu	1-76	Schnee
rus	1-76	снег
fra	1-77	glace
spa	1-77	hielo
deu	1-77	Eis
rus	1-77	лед, гололед
fra	1-78	temps
spa	1-78	tiempo
deu	1-78	Wetter
rus	1-78	погода
fra	1-81	feu
spa	1-81	fuego
deu	1-81	Feuer
rus	1-81	огонь
fra	1-82	flamme
spa	1-82	llama
deu	1-82	Flamme
rus	1-82	пламя
fra	1-83	fumée
spa	1-83	humo
deu	1-83	Rauch
rus	1-83	дым
fra	1-84	cendres
spa	1-84	cenizas
deu	1-84	Asche
rus	1-84	пепел
fra	1-841	braise
spa	1-841	brasas
deu	1-841	Glut
rus	1-841	раскаленные угли
fra	1-851	brûler
spa	1-851	quemar
deu	1-851	verbrennen
rus	1-851	жечь
fra	1-852	brûler
spa	1-852	arder
deu	1-852	brennen
rus	1-852	гореть
fra	1-86	allumer
spa	1-86	encender
deu	1-86	anzünden
rus	1-86	зажигать, воспламенять
fra	1-861	éteindre
spa	1-861	apagar
deu	1-861	löschen
rus	1-861	гасить, тушить
fra	1-87	allumette
spa	1-87	fósforo
deu	1-87	Streichholz
rus	1-87	спичка
fra	1-88	bois (pour le feu), bûches
spa	1-88	leña
deu	1-88	Brennholz
rus	1-88	дрова
fra	1-89	charbon de bois
spa	1-89	carbón
deu	1-89	Holzkohle
rus	1-89	(древесный) уголь
fra	2-1	personne, être humain
spa	2-1	persona
deu	2-1	Mensch oder Person
rus	2-1	человек, личность
fra	2-21	homme
spa	2-21	hombre
deu	2-21	Mann
rus	2-21	мужчина
fra	2-22	femme
spa	2-22	mujer
deu	2-22	Frau
rus	2-22	женщина
fra	2-23	mâle
spa	2-23	varón, macho
deu	2-23	männlich
rus	2-23	мужской
fra	2-24	femelle
spa	2-24	hembra
deu	2-24	weiblich
rus	2-24	женский
fra	2-25	garçon
spa	2-25	muchacho
deu	2-25	Junge
rus	2-25	мальчик
fra	2-251	jeune homme
spa	2-251	joven
deu	2-251	junger Mann
rus	2-251	юноша, молодой человек
fra	2-26	fille
spa	2-26	muchacha
deu	2-26	Mädchen
rus	2-26	девочка
fra	2-261	jeune fille
spa	2-261	joven
deu	2-261	junges Mädchen oder junge Frau
rus	2-261	девушка
fra	2-27	enfant
spa	2-27	niño
deu	2-27	Kind
rus	2-27	ребенок
fra	2-28	enfant, bébé
spa	2-28	niño,bebé
deu	2-28	Säugling oder Baby
rus	2-28	младенец, ребенок
fra	2-31	mari
spa	2-31	marido, esposo
deu	2-31	(Ehe)Mann, (Ehe)Gatte
rus	2-31	муж
fra	2-32	femme, épouse
spa	2-32	esposa
deu	2-32	(Ehe)Frau, (Ehe)Gattin
rus	2-32	жена
fra	2-33	se marier, épouser
spa	2-33	casarse
deu	2-33	heiraten
rus	2-33	жениться, выйти замуж
fra	2-34	mariage, noces
spa	2-34	casamiento, boda
deu	2-34	Hochzeit
rus	2-34	свадьба
fra	2-341	divorce
spa	2-341	divorcio
deu	2-341	(Ehe)Scheidung
rus	2-341	развод
fra	2-35	père
spa	2-35	padre
deu	2-35	Vater
rus	2-35	отец
fra	2-36	mère
spa	2-36	madre
deu	2-36	Mutter
rus	2-36	мать
fra	2-37	parents
spa	2-37	padres
deu	2-37	Eltern
rus	2-37	родители
fra	2-38	homme marié
spa	2-38	hombre casado
deu	2-38	verheirateter Mann
rus	2-38	женатый
fra	2-39	femme mariée
spa	2-39	mujer casada
deu	2-39	verheiratete Frau
rus	2-39	замужняя
fra	2-41	fils
spa	2-41	hijo
deu	2-41	Sohn
rus	2-41	сын
fra	2-42	fille
spa	2-42	hija
deu	2-42	Tochter
rus	2-42	дочь
fra	3-662	dauphin
spa	3-662	delfín
deu	3-662	Delphin oder Schweinswal
rus	3-662	морская свинья, дельфин
fra	2-43	enfant
spa	2-43	hijo, hija
deu	2-43	Kind (i.S.v. Nachkomme)
rus	2-43	дети,потомство
fra	2-44	frère
spa	2-44	hermano
deu	2-44	Bruder
rus	2-44	брат
fra	2-444	frêre aîné
spa	2-444	hermano mayor
deu	2-444	älterer Bruder
rus	2-444	старший брат
fra	2-445	frère cadet
spa	2-445	hermano menor
deu	2-445	jüngerer Bruder
rus	2-445	младший брат
fra	2-45	soeur
spa	2-45	hermana
deu	2-45	Schwester
rus	2-45	сестра
fra	2-454	soeur aînée
spa	2-454	hermana mayor
deu	2-454	ältere Schwester
rus	2-454	старшая сестра
fra	2-455	soeur cadette
spa	2-455	hermana menor
deu	2-455	jüngere Schwester
rus	2-455	младшая сестра
fra	2-456	frère/soeur
spa	2-456	hermano, hermana
deu	2-456	Geschwisterkind
rus	2-456	брат/сестра
fra	2-458	jumeaux
spa	2-458	gemelos
deu	2-458	Zwillinge
rus	2-458	близнецы
fra	2-46	grand-père
spa	2-46	abuelo
deu	2-46	Großvater
rus	2-46	дедушка
fra	2-461	vieillard
spa	2-461	hombre viejo
deu	2-461	alter Mann
rus	2-461	старик
fra	2-47	grand-mère
spa	2-47	abuela
deu	2-47	Großmutter
rus	2-47	бабушка
fra	2-471	vieillarde
spa	2-471	mujer vieja
deu	2-471	alte Frau
rus	2-471	старуха
fra	2-48	petit-fils
spa	2-48	nieto
deu	2-48	Enkel(sohn)
rus	2-48	внук
fra	2-49	petite-fille
spa	2-49	nieta
deu	2-49	Enkeltochter
rus	2-49	внучка
fra	2-51	oncle
spa	2-51	tío
deu	2-51	Onkel
rus	2-51	дядя
fra	2-511	frère de la mère
spa	2-511	hermano (de la madre)
deu	2-511	Bruder der Mutter
rus	2-511	дядя, брат матери
fra	2-512	frère du père
spa	2-512	hermano (del padre)
deu	2-512	Bruder des Vaters
rus	2-512	брат отца
fra	2-52	tante
spa	2-52	tía
deu	2-52	Tante
rus	2-52	тетя
fra	2-521	soeur de la mère
spa	2-521	hermana (de la madre)
deu	2-521	Schwester der Mutter
rus	2-521	тетя, сестра матери
fra	2-522	soeur du père
spa	2-522	hermana (del padre)
deu	2-522	Schester des Vaters
rus	2-522	тетя, сестра отца
fra	2-53	neveu
spa	2-53	sobrino
deu	2-53	Neffe
rus	2-53	племянник
fra	2-54	nièce
spa	2-54	sobrina
deu	2-54	Nichte
rus	2-54	племянница
fra	2-55	cousin, cousine
spa	2-55	primo/prima
deu	2-55	Cousin oder Cousine
rus	2-55	двоюродный (-ая) брат (сестра), кузен/кузина
fra	2-56	ancêtres,aïeux
spa	2-56	antepasados
deu	2-56	Ahnen oder Vorfahren
rus	2-56	предки
fra	2-57	descendants
spa	2-57	descendientes
deu	2-57	Nachkommen, Abkömmlinge, Nachfahren
rus	2-57	потомки
fra	2-61	beau-père (d'un homme)
spa	2-61	suegro (de hombre)
deu	2-61	Schwiegervater (eines Mannes)
rus	2-61	свекор
fra	2-611	beau-père (d'une femme)
spa	2-611	suegro (de mujer)
deu	2-611	Schwiegervater (einer Frau)
rus	2-611	тесть
fra	2-62	belle-mère (d'un homme)
spa	2-62	suegra (de hombre)
deu	2-62	Schwiegermutter (eines Mannes)
rus	2-62	свекровь
fra	2-621	belle-mère (d'une femme)
spa	2-621	suegra (de mujer)
deu	2-621	Schwiegermutter (einer Frau)
rus	2-621	теща
fra	2-63	gendre (d'un homme)
spa	2-63	yerno(de hombre)
deu	2-63	Schwiegersohn (eines Mannes)
rus	2-63	зять
fra	2-631	gendre (d'une femme)
spa	2-631	yerno (de mujer)
deu	2-631	Schwiegersohn (einer Frau)
rus	2-631	зять
fra	2-64	bru, belle-fille (d'un homme)
spa	2-64	nuera (de hombre)
deu	2-64	Schwiegertochter (eines Mannes)
rus	2-64	сноха
fra	2-641	bru, belle-fille (d'une femme)
spa	2-641	nuera (de mujer)
deu	2-641	Schwiegertochter (einer Frau)
rus	2-641	невестка
fra	2-71	beau-père
spa	2-71	padrastro
deu	2-71	Stiefvater
rus	2-71	отчим
fra	2-72	belle-mère
spa	2-72	madrastra
deu	2-72	Stiefmutter
rus	2-72	мачеха
fra	2-73	beau-fils
spa	2-73	hijastro
deu	2-73	Stiefsohn
rus	2-73	пасынок
fra	2-74	belle-fille
spa	2-74	hijastra
deu	2-74	Stieftochter
rus	2-74	падчерица
fra	2-75	orphelin, orpheline
spa	2-75	huérfano/ huérfana
deu	2-75	Waisenkind
rus	2-75	сирота
fra	2-76	veuve
spa	2-76	viuda
deu	2-76	Witwe
rus	2-76	вдова
fra	2-77	veuf
spa	2-77	viudo
deu	2-77	Witwer
rus	2-77	вдовец
fra	2-81	parenté
spa	2-81	parientes, parentela
deu	2-81	Verwandte, Verwandtschaft
rus	2-81	родственники
fra	2-82	famille
spa	2-82	familia
deu	2-82	Familie
rus	2-82	семья
fra	2-91	je, moi
spa	2-91	yo
deu	2-91	ich
rus	2-91	я
fra	2-92	tu
spa	2-92	tú, usted
deu	2-92	du
rus	2-92	ты, вы
fra	2-93	il/elle
spa	2-93	él/ella/ello
deu	2-93	er/sie/es
rus	2-93	он/она/оно
fra	2-94	nous
spa	2-94	nosotros/ nosotras
deu	2-94	wir
rus	2-94	мы
fra	2-941	nous
spa	2-941	nosotros/nosotras (inclusivo)
deu	2-941	wir (inklusiv)
rus	2-941	мы
fra	2-942	nous
spa	2-942	nosotros/nosotras (exclusivo)
deu	2-942	wir (exklusiv)
rus	2-942	мы
fra	2-95	vous
spa	2-95	ustedes
deu	2-95	ihr
rus	2-95	вы
fra	2-96	eux, elles
spa	2-96	ellos, ellas
deu	2-96	sie
rus	2-96	они
fra	3-11	animal,bête
spa	3-11	animal
deu	3-11	Tier
rus	3-11	животное
fra	3-12	mâle, masculin
spa	3-12	masculino
deu	3-12	männlich
rus	3-12	самец
fra	3-13	femelle, feminin
spa	3-13	femenino
deu	3-13	weiblich
