id	Concepticon id	Definition
Action:accept.V	3898	To take or get something that was offered by someone.
Action:accustom.V	1118	Get used to something.
Action:add.V	2882	Join or unite so as to bring about an increase.
Action:amuse oneself (have fun).V	3239	To do something joyful.
Action:arrange.V	1568	To give structure to.
Action:attach.V	3894	To fasten one thing to another.
Action:be able.V	972	To have the ability to do something.
Action:beat.V	1665	To strike or pound repeatedly, usually in some sort of rhythm.
Action:become extinguished.V	2209	Being stopped from burning or emitting light.
Action:become sick.V	2327	To catch a disease.
Action:bend (oneself).V	2761	To turn oneself over.
Action:bend (something).V	2224	To carry out a movement to turn something into a curved shape.
Action:bend.V	2004	Movement that causes the formation of a curve.
Action:birth (accouchement).N	2805	The process of giving birth to a child.
Action:blacken.V	2808	To change the color of something into black.
Action:block (the way).V	2762	To prevent somebody or something from passing.
Action:blow (with mouth).V	176	To expel air through persed lips.
Action:blow (with nose).V	2679	To clean one's nose by exhaling through it.
Action:braid (verb) or weave (basket).V	3294	To braid together hair, threads, strings, twigs etc. in order to create a larger string-like object or to weave a basket or use similar techniques for creating other objects.
Action:braid (verb).V	3295	To braid together hair, threads, strings, twigs etc. in order to create a larger string-like object (which can be linear as in a braid of hair or circular as in a wreath).
Action:brawl (fight).V	2902	To be involved in a normally unarmed and ruleless scuffle.
Action:brawl.N	3301	A normally unarmed and ruleless scuffle.
Action:break (breaking).V	3020	To come apart or split into pieces (intransitive).
Action:break (cleave).V	2558	To divide something with force in two or more parts.
Action:break (destroy or get destroyed).V	680	To divide or be divided into pieces and thereby damaged.
Action:break (of rope).V	460	The breaking of a thread or strap.
Action:broken (not working).A	3190	Not capable of working.
Action:broken (shattered).A	3191	Broken into pieces.
Action:broken.A	588	Not capable of working or broken into pieces.
Action:build.V	1840	To form by combining materials or parts.
Action:burn.V	2102	To put fire on something or to be on fire.
Action:burp.V	2789	To release gas from the digestive tract through the mouth.
Action:bury.V	1719	To put in the ground and cover with earth.
Action:careful.A	2758	Be cautious.
Action:carry horizontally.V	2763	To carry some object horizontally.
Action:cause to (let).V	2896	To allow or cause somebody to do something.
Action:cease or finish.V	2115	To stop doing something, voluntarily or involuntarily.
Action:chat (with somebody).V	2903	To have a conversation with somebody.
Action:close (eyes).V	2063	Move ones eyelids in such a way that the eyes are no longer visible.
Action:collapse.V	3986	To fall down suddenly because of pressure or having no strength or support.
Action:compare.V	3429	To estimate something in terms of similar or contrasting features as opposed to the other(s).
Action:continue.V	3699	To carry on with something or to keep existing or happening.
Action:convey (a message).V	2898	To share a message with somebody.
Action:cough (act of coughing).N	3913	The act of coughing or the sound of coughing.
Action:crow (verb).V	2074	To utter the characteristic cry of a rooster.
Action:decrease.V	2864	To become smaller in number or size.
Action:deliver.V	2033	To bring or transport something to its destination.
Action:despise.V	2715	To feel a strong dislike for something.
Action:dexterous.A	1824	Nimble in the use of the hands or body.
Action:die (from accident).V	2865	To cease to live due to unforeseen circumstances.
Action:diminish.V	1184	To make smaller.
Action:dip.V	3697	To put something partially in a liquid for a short time and take it out again.
Action:do or make.V	2575	To do something or to make something.
Action:do.V	813	To perform an action.
Action:drag.V	2030	To draw slowly or heavily.
Action:draw (water).V	1911	To draw by a physical force causing or tending to cause to approach, adhere, or unite.
Action:drop (something).V	2866	To let something fall down.
Action:dry in sun.V	3364	To put something in the sun in order to dry it.
Action:dry up.V	1786	To lose moisture, usually through evaporation or absorption.
Action:emerge (appear).V	1076	To become known or apparent.
Action:encircle.V	3274	To enclose or cause to be enclosed; to surround; to confine.
Action:endure.V	833	To allow (something that one dislikes or disagrees with) to continue to exist or occur without interference; accept or undergo, often unwillingly.
Action:escape.V	1615	To get free, to free oneself.
Action:exchange.V	2509	To hand out one thing while receiving another thing or to replace one thing with another.
Action:explode.V	3976	To burst violently as a result of internal pressure.
Action:fade (loose color).V	2704	Loose color (of cloth or other material).
Action:fail.V	3861	Not succeeding in an endeavour (of persons) or to stop working as intended (of objects).
Action:flatter.V	2709	To praise somebody openly.
Action:get dizzy.V	2712	Experience an impairment in spatial perception and stability.
Action:get drunk.V	3980	Activity of drinking alcoholic beverages that leads to having an altered conciousness.
Action:get lost.V	423	To end up in an unknown place, to be not to be found again, to get lost, to irrecoverably slip away.
Action:get up from bed.V	3350	To leave one's place of sleeping.
Action:gnaw.V	2706	Treat some material with one's teeth.
Action:halt (stop).V	2880	To halt one’s movement.
Action:hang up.V	357	To put up to hang.
Action:hang.V	2884	Remain suspended to some point above.
Action:happen.V	248	To come to pass.
Action:hit (a target).V	3307	To hit something that someone has aimed for.
Action:hit.V	1433	To hit against with a sharp blow or to impel, usually with a hand or weapon or to be forcefully or suddenly contacting, e.g. a tree falling down and hitting the ground.
Action:hold or take.V	2104	To grasp something or to carry something in ones hands.
Action:increase.V	1041	(Of a quantity) to become bigger.
Action:jog (something).V	2899	To shake something.
Action:labour (effort).N	2525	Work that has to be done and inflicts mental or physical pain.
Action:lack (not have).V	2329	To lack something or to describe the state when something is not there.
Action:lay (verb).V	2071	To place down in a position of rest, or in a horizontal position.
Action:lean.V	3619	To bend or move from a vertical position or to make something do that.
Action:loose.A	2506	Being not tight.
Action:loosen.V	1933	To make undone or untied ; to free from any fastening.
Action:make dry.V	2015	To remove the moisture and make dry.
Action:make noise.V	2895	To be loud.
Action:make.V	734	To create something by combining or assembling materials or parts or by changing it.
Action:manage.V	3073	To watch and direct someone and/or some activity; to be in charge.
Action:massage (somebody).V	3119	To rub someone's body with the hands.
Action:misplace.V	3072	To place something in a place where one cannot find it again or in a wrong place; to lose something.
Action:miss (a target).V	161	To fail to hit (a target, a bell, etc.).
Action:miss (somebody).V	2328	To long to see somebody again.
Action:moisten.V	28	To make moist.
Action:mold (get rotten).N	3251	Discoloration and food caused by fungal species.
Action:mold.V	289	To create something, usually for a specific function.
Action:must.V	971	To be required to do something.
Action:not have.V	3363	Not being in possession of something (both abstract and concrete).
Action:open (state).A	3235	To be accessible and/or not closed.
Action:prepare.V	2909	To carry out things in advance to avoid to be later not able to do them.
Action:press.V	1913	To apply pressure to an item.
Action:process.N	3970	A systematic and continuous course of actions and changes, which can be goal-directed or spontaneous.
Action:protect.V	2900	To prevent something or somebody from being harmed.
Action:pull out.V	2325	To pull something out.
