id	Concepticon_id
Animal:animal.N	619
Animal:bird.N	937
Animal:Canis lupus familiaris.N	2009
Animal:Canis lupus.N	522
Animal:Canis.N	2461
Animal:Felis catus.N	1208
Animal:Vespinae.N	1517
Body:ankle.N	803
Body:anus.N	1935
Body:arm or hand.N	2121
Body:arm.N	1673
Body:armpit.N	1886
Body:artery.N	1925
Body:back of head.N	523
Body:back.N	1291
Body:bald.A	1125
Body:beard.N	678
Body:blond.A	3872
Body:blood vessel.N	525
Body:blood.N	946
Body:body hair.N	189
Body:body part.N	2213
Body:body.N	1480
Body:boil.N	793
Body:bone.N	1394
Body:brain.N	1583
Body:breast milk.N	3912
Body:breast.N	1402
Body:breath.N	870
Body:breathe.V	1407
Body:bruise.N	1148
Body:burp.V	2789
Body:buttocks.N	834
Body:carcass.N	1770
Body:cheek.N	1730
Body:chest.N	1592
Body:chin.N	1510
Body:clitoris.N	3257
Body:corpse.N	767
Body:eye.N	1248
Body:eyeball.N	3807
Body:eyebrow.N	1173
Body:eyelash.N	1540
Body:eyelid.N	17
Body:face.N	1560
Body:feather.N	1201
Body:finger or toe.N	2120
Body:finger.N	1303
Body:fingernail.N	1258
Body:fingertip.N	2773
Body:fishbone.N	3799
Body:fist.N	1473
Body:foot or leg.N	2098
Body:foot.N	1301
Body:forefinger.N	577
Body:forehead.N	123
Body:fur.N	580
Body:genitalia.N	198
Body:gum.N	139
Body:hand.N	1277
Body:head hair.N	2648
Body:head.N	1256
Body:heart.N	1223
Body:human hair.N	1040
Body:human skin.N	2613
Body:jaw.N	798
Body:joint.N	999
Body:kidney.N	489
Body:knee.N	1371
Body:knuckle.N	2824
Body:larynx.N	3714
Body:leg.N	1297
Body:loin.N	187
Body:lower arm.N	446
Body:lower back.N	3613
Body:lower leg.N	447
Body:lower lip.N	3944
Body:lung.N	688
Body:mane.N	1918
Body:moustache.N	1165
Body:mouth.N	674
Body:muscle.N	1004
Body:nail.N	1896
Body:nape.N	1347
Body:nasal mucus.N	208
Body:navel.N	1838
Body:neck.N	1333
Body:nerve.N	2626
Body:nipple.N	796
Body:nose.N	1221
Body:nostril.N	1178
Body:oral cavity.N	2674
Body:ovary.N	3716
Body:palate.N	540
Body:palm.N	1183
Body:pancreas.N	3252
Body:penis.N	1222
Body:pharynx.N	3713
Body:pubic hair.N	36
Body:pupil.N	1658
Body:rib.N	801
Body:saliva.N	1503
Body:scar.N	497
Body:scrotum.N	2834
Body:semen.N	2283
Body:shoulder.N	1482
Body:shoulderblade.N	172
Body:side.N	3344
Body:skeleton.N	2668
Body:skin.N	763
Body:skull.N	1605
Body:sole.N	2666
Body:sperm.N	1505
Body:spine.N	805
Body:spit.V	1440
Body:spleen.N	1744
Body:tail.N	1220
Body:tendon.N	1137
Body:testicle.N	797
Body:thigh.N	800
Body:throat.N	1346
Body:thumb.N	1781
Body:toe.N	1389
Body:toenail.N	2662
Body:tongue.N	1205
Body:tooth.N	1380
Body:torso.N	2667
Body:udder.N	154
Body:ulcer.N	1189
Body:umbilical cord.N	2663
Body:upper arm.N	431
Body:upper back.N	445
Body:upper leg.N	471
Body:urine.N	1142
Body:uvula.N	2293
Body:vagina.N	1836
Body:vein.N	1924
Body:vulva.N	1837
Body:waist.N	1681
Body:wart.N	2665
Body:wing.N	1257
Body:womb.N	804
Body:wound.N	1109
Body:wrinkle.N	2294
Body:wrist.N	799
Cosmos:Milky Way.N	2289
Cosmos:moon.N	1313
Cosmos:Orion.N	3945
Cosmos:Orion’s Belt.N	3343
Cosmos:Polaris.N	3339
Cosmos:star.N	1430
Cosmos:Sun.N	1343
Cosmos:Ursa major.N	3342
Element:Ag.N	759
Element:Al.N	3385
Element:Au.N	1369
Element:Cu.N	1825
Element:Fe.N	621
Element:Pb.N	627
Element:S.N	3386
Element:Sn.N	893
Flower:Prunus armeniaca.N	2745
Flower:Prunus salicina.N	2744
Food:alcohol.N	2050
Food:bake.V	183
Food:fermented drink.N	404
Food:Malus domestica.N	1320
Food:Musa acuminata.N	868
Food:Musa balbisiana.N	399
Food:Prunus armeniaca.N	3730
Food:saucer.N	271
Food:sausage.N	1874
Plant:Ananas comosus.N	2440
Plant:Betula.N	1855
Plant:bud.N	1684
Plant:Musa acuminata.N	1795
Plant:plant stem.N	2628
Plant:plant.N	653
Plant:Prunus armeniaca.N	2357
Plant:Prunus salicina.N	2356
Quantity:1.NUM	1493
Quantity:10.NUM	1515
Quantity:10^10.NUM	3600
Quantity:10^11.NUM	3601
Quantity:10^12.NUM	3602
Quantity:10^4.NUM	2078
Quantity:10^5.NUM	3532
Quantity:10^6.NUM	3533
Quantity:10^7.NUM	3597
Quantity:10^8.NUM	3598
Quantity:10^9.NUM	3599
Quantity:100.NUM	1634
Quantity:1000.NUM	1843
Quantity:1001.NUM	3773
Quantity:1002.NUM	3774
Quantity:101.NUM	3502
Quantity:102.NUM	3770
Quantity:1027.NUM	3790
Quantity:103.NUM	3783
Quantity:104.NUM	3506
Quantity:105.NUM	3508
Quantity:1060.NUM	3775
Quantity:108.NUM	3784
Quantity:11.NUM	1706
Quantity:110.NUM	3503
Quantity:111.NUM	3771
Quantity:12.NUM	1707
Quantity:120.NUM	3504
Quantity:1200.NUM	3791
Quantity:1221.NUM	3522
Quantity:123.NUM	3164
Quantity:1296.NUM	3523
Quantity:13.NUM	1708
Quantity:133.NUM	3505
Quantity:14.NUM	2451
Quantity:144.NUM	3507
Quantity:15.NUM	1709
Quantity:16.NUM	2454
Quantity:160.NUM	3509
Quantity:17.NUM	2453
Quantity:18.NUM	1713
Quantity:180.NUM	3510
Quantity:19.NUM	1714
Quantity:2.NUM	1710
Quantity:2.NUM	1498
Quantity:200.NUM	2676
Quantity:2000.NUM	3524
Quantity:2000000.NUM	3794
Quantity:2002.NUM	3776
Quantity:201.NUM	3511
Quantity:202.NUM	3785
Quantity:21.NUM	1734
Quantity:210.NUM	3772
Quantity:216.NUM	3512
Quantity:22.NUM	3166
Quantity:23.NUM	3165
Quantity:231.NUM	3786
Quantity:24.NUM	1736
