id	final	Definition	WN_offset	WN_PoS	Concepticon_id	WOLD_id	NELex_id	ULD_id
Action:automatic.A	yes	Capable of operating without external control or intervention.						2034
Action:broken.A	yes	Not capable of working.	680156	a	3190	9-261		
Action:can.V	yes	To have the ability to do something.			972	24-99902	können::V	208
Action:cease or finish.V	yes	To stop doing something, voluntarily or involuntarily.			2115			
Action:dexterous.A	yes	Nimble in the use of the hands or body.			1824		geschickt::A	
Action:do or make.V	yes	To do something or to make something.			2575			
Action:do.V	yes	To perform an action.	10435	v	813	9-11	tun::V	
Action:fail.V	yes	Not succeeding in an endeavour (of persons) or to stop working as intended (of objects).			3861			
Action:get up from bed.V	yes	To leave one's place of sleeping.			3350		aufstehen::V	
Action:hang up.V	yes	To put up to hang.	1481360	v	357	9-341	aufhängen::V	
Action:hang.V	yes	Remain suspended to some point above.			2884		hängen::V	
Action:happen.V	yes	To come to pass.			248		passieren::V	3901
Action:hardly.ADV	yes	Barely perceivable or noticeable.			2926		kaum::ADV	
Action:hinder.V	yes	To make difficult to accomplish; to frustrate, act as obstacle; to keep back; to delay or impede.			554		behindern::V	
Action:make.V	yes	To create something by combining or assembling materials or parts or by changing it.	1621555	v	734	9-111	machen::V	
Action:stop.V	yes	To stop doing the action one was doing.			3351		aufhören::V	
Action:try.V	yes	To attempt to do something.	2530167	v	1812	17-48	versuchen::V	
Action/Technology:accustom.V	no	Get used to something.			1118			
Action/Technology:against.A	no	In opposite direction to.			2469			
Action/Technology:amuse oneself (have fun).V	no	To do something joyful.			3239			
Action/Technology:arrange.V	no	To give structure to.			1568			
Action/Technology:attach.V	no	To fasten one thing to another.			3894			
Action/Technology:baby carrier.N	no	A piece of cloth used around the body to carry a child			3926			
Action/Technology:beat.V	no	To strike or pound repeatedly, usually in some sort of rhythm.	1398919	v	1665			
Action/Technology:because of.?	no	For the reason of.			2918		wegen::PRP	171
Action/Technology:become extinguished.V	no	Being stopped from burning or emitting light.			2209			
Action/Technology:birth (accouchement).N	no	The process of giving birth to a child.			2805			
Action/Technology:break (of rope).V	no	The breaking of a thread or strap.			460		reißen::V	
Action/Technology:burden stick.N	no	A long piece of wood used to carry a burden.			3159			
Action/Technology:burn.V	no	To put fire on something or to be on fire.			2102			
Action/Technology:bury.V	no	To put in the ground and cover with earth.	2456493	v	1719	4-78		
Action/Technology:clog (something).V	no	To block a fluid or similar from running through a pipe-like object.			2707			
Action/Technology:dip.V	no	To put something partially in a liquid for a short time and take it out again.			3697	10-99904		
Action/Technology:draw (water).V	no	To draw by a physical force causing or tending to cause to approach, adhere, or unite.	1854132	v	1911	9-9		
Action/Technology:dry up.V	no	To lose moisture, usually through evaporation or absorption.			1786		trocknen::V	
Action/Technology:emerge (appear).V	no	To become known or apparent.			1076		erscheinen::V	
Action/Technology:fade (loose color).V	no	Loose color (of cloth or other material).			2704			
Action/Technology:glue.N	no	Substance used for sticking objects together.	14702875	n	1069	9-56		
Action/Technology:handle.N	no	A part of an object meant to hold that object with (e.g. the handle of a mug, pan or bag).			1254		Griff::N	
Action/Technology:hit (a target).V	no	To hit something that someone has aimed for.			3307			
Action/Technology:hit.V	no	To hit against with a sharp blow or to impel, usually with a hand or weapon or to be forcefully or suddenly contacting, e.g. a tree falling down and hitting the ground.			1433			
Action/Technology:jog (something).V	no	To shake something.			2899		rütteln::V	
Action/Technology:leash.N	no	A leash is a rope or similar material attached to the neck or head of an animal for restraint or control.			2959		Leine::N	
Action/Technology:lighter.N	no	Portable instrument for igniting something.			3092			
Action/Technology:loose.A	no	Being not tight.			2506			
Action/Technology:loosen.V	no	To make undone or untied ; to free from any fastening.			1933			
Action/Technology:make dry.V	no	To remove the moisture and make dry.			2015			
Action/Technology:manage.V	no	To watch and direct someone and/or some activity; to be in charge.			3073			
Action/Technology:massage (somebody).V	no	To rub someone's body with the hands.			3119			
Action/Technology:mat.N	no	A flat object laid on the floor to protect a person from the hard floor.	3727837	n	195	9-77		
Action/Technology:mince (something).V	no	To cut something, especially food, into small pieces.			3082			
Action/Technology:miss (a target).V	no	To fail to hit (a target, a bell, etc.).	1237901	v	161	20-63		
Action/Technology:moisten.V	no	To make moist.			28			
Action/Technology:mold (get rotten).N	no	Discoloration and food caused by fungal species.			3251			
Action/Technology:mold.V	no	To create something, usually for a specific function.	1662771	v	289	9-72		
Action/Technology:mop (something).V	no	To clean or wipe up by using cloth or a mop.			3120			
Action/Technology:mosquito net.N	no	A web that keeps mosquitos away.			2795	7-99905		
Action/Technology:move away.V	no	To change one's domicile or place of business.			229			
Action/Technology:must.V	no	To be required to do something.			971			
Action/Technology:net.N	no	A grid-like device or object.			2963		Netz::N	
Action/Technology:noose.N	no	A loop at the end of a rope.			2604		Schlinge::N	
Action/Technology:not have.V	no	Not being in possession of something (both abstract and concrete).			3363			
Action/Technology:open (state).A	no	To be accessible and/or not closed.			3235		offen::A	
Action/Technology:order.V	no	To order someone or several persons by a superior authority to do something, or to arrange something in a tidy manner.			1128			
Action/Technology:paint (pigments).N	no	A mixture of pigment and a vehicle, such as oil or water, that together form a liquid or paste that can be applied to a surface to provide an adherent coating that imparts colour, protects the surface and/or gives the surface different features.	3875218	n	647	9-88	Farbe::N	
Action/Technology:paint (something) or painting.V	no	To apply color to a wall or to make a painting or drawing.			3194			
Action/Technology:paint (something).V	no	The act of spreading coloured pigments on a surface.			3122			
Action/Technology:paintbrush.N	no	Brush used to spread pigments of colour on a surface.			3094			
Action/Technology:painting.V	no	To make a painting or drawing.	1362736	v	2001	9-89	malen::V	
Action/Technology:pearl.N	no	A small hard shiny ball formed in mussels or oysters.			3325			
Action/Technology:picture (painting).N	no	A painted image.			3303		Bild::N	
Action/Technology:post (something).V	no	To send something by means of a postal service.			3126			
Action/Technology:pound.V	no	To strike hard, usually repeatedly.	1414626	v	354	9-211		
Action/Technology:powerful.A	no	Being done using a huge amount of energy.			3001		kräftig::A	
Action/Technology:prepare.V	no	To carry out things in advance to avoid to be later not able to do them.			2909	9-99934	vorbereiten::V	
Action/Technology:press.V	no	To apply pressure to an item.	1447257	v	1913	9-342	drücken::V	
Action/Technology:process.N	no	A systematic and continuous course of actions and changes, which can be goal-directed or spontaneous.			3970			
Action/Technology:protect.V	no	To prevent something or somebody from being harmed.			2900		schützen::V	
Action/Technology:pull off (skin).V	no	To strip or pull off the skin or hide of.	1274657	v	291	9-29		
Action/Technology:pull out.V	no	To pull something out.			2325			
Action/Technology:put in order.V	no	To arrange something in a tidy manner.			3459			
Action/Technology:rake (something).V	no	The act of moving a tool over a surface in order to level or clean it.			3127			
Action/Technology:recommend.V	no	To suggest something or somebody.			2759			
Action/Technology:result.N	no	The final outcome or consequence of a causal chain, operation or set of circumstances.			3969			
Action/Technology:ring (make sound).V	no	Ring most broadly refers to a hollow circular shape or to a high-pitched sound.			2875		klingeln::V	
Action/Technology:rinse.V	no	To clean by pouring water over the objects.			2904		spülen::V	
Action/Technology:roar (of sea).V	no	A sound emitted by a stormy sea.			2876		brausen::V	
Action/Technology:rope.N	no	Thick, strong string made of several strands that have been twisted together.	4108268	n	1218	9-19		1417
Action/Technology:rot.V	no	To be exposed to decomposition.			2907		verfaulen::V	
Action/Technology:rub.V	no	To move one's hand or an object over a surface or other object (maintaining constant contact and applying moderate pressure).	1249724	v	1449	9-31	reiben::V	
Action/Technology:ruler.N	no	A long flat device that is designed to assist with drawing straight lines or measuring by means of distance markings.			3405			
Action/Technology:scatter.V	no	To throw or drop things in different directions so that they cover a large area.			3705			
Action/Technology:scrape.V	no	To move an object against another object such that abrasion or minor cutting occurs.	1308160	v	1767	5-48	kratzen::V	
Action/Technology:seat (somebody).V	no	To cause somebody to sit (e.g. by offering a seat).			2878		setzen::V	
Action/Technology:sharpen (something).V	no	To make sharp or sharper.			251		schleifen::V	
Action/Technology:sheath.N	no	A protection cover for a sharp blade (of a sword or knife).			3424			
Action/Technology:slaughter.V	no	To kill animals for food.			1796			
Action/Technology:sleep (state).N	no	Sleep is a naturally recurring state of mind and body characterized by altered consciousness, relatively inhibited sensory activity, inhibition of nearly all voluntary muscles, and reduced interactions with surroundings.			2972		Schlaf::N	
Action/Technology:smear.V	no	To spread (a substance) across a surface by rubbing.			364	9-99936		
Action/Technology:smoke (emit smoke).V	no	To emit smoke (such as something which burns).			2859		rauchen::V	
Action/Technology:snap (of stick).V	no	Quick breaking or cracking sound or the action of producing such a sound.			459			
Action/Technology:snowman.N	no	A mass of snow sculptured into the shape of a human.			3098			
Action/Technology:split open.V	no	To open something with a cut or incision, revealing its inside.			3080			
Action/Technology:split.V	no	To divide fully or partly along a more or less straight line.	1556572	v	1437	9-27		
Action/Technology:spread out.V	no	To spread out or open from a closed or folded state.	1579813	v	38	9-34	streichen::V	
Action/Technology:squeeze.V	no	To apply pressure to something from two or more sides at once.	1447868	v	1414	9-343		
Action/Technology:stab.V	no	To perforate the surface of something with a pointed tool or weapon.	1231652	v	1434			
Action/Technology:steel.N	no	Alloys of iron and carbon, widely used in construction and other applications because of their high tensile strengths and low costs.			2343			
Action/Technology:steelyard (balance).N	no	Straight balance with arms of unequal length.			2687			
Action/Technology:strap.N	no	A strap is an elongated flap or ribbon, usually of fabric or leather.			2973		Riemen::N	
Action/Technology:stretch.V	no	To lengthen by pulling.	318816	v	214	9-32		
Action/Technology:strike (something).V	no	To intentionally hit something with a sharp blow or to impel, usually with a hand.			3309		hauen::V	
Action/Technology:strike or beat.V	no	To hit or strike, either repeatedly or a single time.			2133	9-21		
Action/Technology:strike.V	no	To intentionally hit with a sharp blow or to impel, usually with a hand or weapon.			353			
Action/Technology:string.N	no	A long, thin and flexible structure made from threads twisted together.			362	9-99923	Schnur::N	1416
Action/Technology:suckle (breastfeed, nurse).V	no	Giving milk to babies and young children with milk from a woman's breast.			2472			
Action/Technology:swell.V	no	To grow larger in volume.			1573			
Action/Technology:take a photo.V	no	To make a photography.			2710			
Action/Technology:tear (shred).V	no	To pull at something in such a way that it ends up divided.	1573515	v	1735	9-28	zerreißen::V	
Action/Technology:thaw (dew).V	no	Go from a frozen to a liquid state.			2887		tauen::V	
Action/Technology:thermometer.N	no	Instrument used for measuring temperature, mostly by means of a contracting or expanding substanced contained within the instrument.			3104			
Action/Technology:tie up (tether).V	no	To attach an animal to something to prevent that it leaves.			2891		anbinden::V	
Action/Technology:tie.V	no	To establish connection between two or more things.	1285440	v	1917	9-16	binden::V	
Action/Technology:tight.A	no	Being not loose.			3053			
Action/Technology:tin (metal).N	no	A metallic element with symbol Sn, occurring in cassiterite. It is a malleable silvery-white metal.			893			
Action/Technology:tin or tinplate.N	no	A metallic element with symbol Sn or a thin sheet of steel coated with tin to prevent rusting.	4439840	n	3217	9-69		
Action/Technology:tinkle.V	no	Emit a sound suggestive of a tinkle.			2888		klirren::V	
Action/Technology:tinplate.N	no	A thin sheet of steel coated with tin to prevent rusting; used to make cans etc.			358			
Action/Technology:torch or lamp.N	no	Any portable device that produces light.	4456115	n	2131	7-45		
Action/Technology:try (test).V	no	To put something to trial, to test whether something works as expected.			2571			
Action/Technology:tug.V	no	A great force, applied in order that an object will move towards the origin of the force that was applied to it.			2029			
Action/Technology:tumble (fall down).V	no	To fall down accidentally.			2894		hinfallen::V	
Action/Technology:tumpline.N	no	A strap slung over the forehead or chest used (especially by native Americans) for carrying packs or loads.			294	9-92		
Action/Technology:turn over.V	no	To change the direction one is facing while lying in bed, on the floor, or similar.			3537			
Action/Technology:twinkle.V	no	Shine with flickering light.			2889		funkeln::V	
Action/Technology:uncover.V	no	To uncover; to show and display that which was hidden.			1108			
Action/Technology:untie.V	no	To loosen, as something interlaced or knotted; to disengage the parts of. To unbind, to free from restraint.	1284461	v	352	9-161		
Action/Technology:use (verb).V	no	To employ an object, often to reach a certain goal; to put into service.			2072			
Action/Technology:warm up.V	no	To make warm or warmer.			2032			
Action/Technology:wave (verb).V	no	To move one's hand or arm in a waving motion, with or without holding something like a flag.			3544			
Action/Technology:working or work.?	no	The process by which one produces something (sometimes also in exchange for money).			2281			
Adposition:about.ADP	no	about (pertaining to; on the topic of)						170
Adposition:above.ADP	no	above, over						120
Adposition:across.ADP	no	across (at the other side of; to the other side of)						165
Adposition:after.ADP	no	after (later than; in the future of)						142
Adposition:around.ADP	no	around, encircling, surrounding						160
Adposition:at.ADP	no	at (in the same location as)						103
Adposition:before.ADP	no	before, prior to, earlier than						140
Adposition:behind.ADP	no	behind, in back of, to the rear of						131
Adposition:between.ADP	no	between, among						161
Adposition:beyond.ADP	no	beyond, farther than, exceeding						162
Adposition:by means of.ADP	no	by means of, via, per, with (using; through instrumentality of)						172
Adposition:during.ADP	no	during						141
Adposition:except for.ADP	no	except for, apart from, excluding						173
Adposition:for.ADP	no	for (in exchange for)						175
Adposition:for.ADP	no	for (to benefit; destined for; for the purpose of)						174
Adposition:from.ADP	no	from (moving out of or away from)						101
Adposition:in front of.ADP	no	in front of, ahead of, before (spatially)						130
Adposition:in.ADP	no	in (located inside of)						110
Adposition:instead of.ADP	no	instead of, rather than						176
Adposition:like.ADP	no	like, similar to						177
Adposition:near.ADP	no	near, close to						163
Adposition:of.ADP	no	of (belonging to; associated with; = genitive)						178
Adposition:of.ADP	no	"of (containing the measured quantity: ""two liters of water"") "						179
Adposition:on.ADP	no	on (resting on; touching the top or other surface of)						164
Adposition:outside of.ADP	no	outside of, exterior to						111
Adposition:than.ADP	no	than, compared to						180
Adposition:through.ADP	no	through						166
Adposition:to.ADP	no	to, towards, at (moving toward)						102
Adposition:under.ADP	no	under, below, beneath						121
Adposition:with.ADP	no	with (accompanied by / furnished with)						150
Adposition:without.ADP	no	without (not with)						151
Agriculture:burn land.V	yes	Clear an area with fire.			3539			
Agriculture:crops.N	yes	The output of plants cultivated that is grown on a large scale.			3081			
Agriculture:cultivate.V	yes	To prepare an area by tilling, planting seeds etc. in order to grow plants.	1741446	v	1541	8-15		
Agriculture:farm.N	yes	Any tract of land or building used for agricultural purposes, such as for raising crops and livestock.			201			1595
Agriculture:farmer.N	yes	A person who works the land or who keeps livestock, especially on a farm.	10078806	n	979	8-11		
Agriculture:flail.N	yes	A manual device used for beating or striking with, consisting of a free-swinging stick attached to a handle.			3057			
Agriculture:grow.V	yes	To cultivate a specific type of plant in order to harvest it.			3461	8-9996		
Agriculture:harvest or harvest season.N	yes	The crop gathered in a season and the time during which crops are typically harvested.			3541	8-41		
Agriculture:harvest.N	yes	The crop gathered in a season.	13085864	n	611			
Agriculture:herd (something).V	yes	Keep or move animals together.			2885		hüten::V	
Agriculture:irrigate.V	yes	To supply with water; to water.			3078		gießen::V	
Agriculture:mow.V	yes	To cut all the grass, crop or any thin plants of a surface area of the ground.	1319562	v	190	8-32		
Agriculture:paddy field.N	yes	A flooded field where rice is grown.	8614229	n	140	8-121		
Agriculture:paddy.N	yes	Wet land in which rice is grown.			283			
Agriculture:pick.V	yes	To take off the fruits or other useful parts of a plant.			2148	8-99961	pflücken::V	
Agriculture:pitchfork.N	yes	An agricultural tool comprising a fork attached to a long handle used for pitching hay or bales of hay high up onto a haystack.	3950359	n	337	8-26		
Agriculture:plough.N	yes	An agricultural device pulled through the ground in order to break it open into furrows for planting.			2154			
Agriculture:plough.V	yes	To use a plough on to prepare for planting.	1741864	v	1921	8-21		
Agriculture:pull up (rice seedlings).V	yes	To pull out rice seedlings from the soil including their roots in order to separate seedlings growing too closely			2066			
Agriculture:pull up weeds.V	yes	To remove weeds from e.g. a field.			3548			
Agriculture:rake.N	yes	A garden tool with a row of pointed teeth fixed to a long handle, used for collecting grass or debris, or for loosening soil.	4050066	n	338	8-27		
Agriculture:scatter (seeds).V	yes	To distribute seeds over a field.			2064			
Agriculture:shepherd.N	yes	The person that watches over sheep.			2544			
Agriculture:shovel.N	yes	A tool consisting of a stick (usually out of wood) and a bigger, slightly humped surface (usually out of metal), which is used to move material such as earth, snow, grain, etc. from one place to another.	4208210	n	1901	8-24	Schaufel::N	
Agriculture:sickle or scythe.N	yes	Any portable tool that is used to cut grass or cereal crops in agriculture.	4158250	n	2132	8-33		
Agriculture:sickle.N	yes	An implement, having a semicircular blade and short handle, used for cutting long grass and cereal crops in agriculture.			341			
Agriculture:sow seeds.V	yes	To scatter or disperse seeds on a field.	1500873	v	748	8-31		
Agriculture:swidden field.N	yes	A piece of land cleared for farming by burning away vegetation.			429			
Agriculture:thresh.V	yes	Separating the grain from the straw or husks by beating.	1416364	v	285	8-34		
Agriculture:threshing-floor.N	yes	Dry flat area where the grain is separated from the straw or husks by beating.	4428382	n	223	8-35		
Agriculture:till.V	yes	Prepare land for cultivation by work such as ploughing, harrowing, and manuring.			3273			
Agriculture:winnowing.V	yes	Wind winnowing is an agricultural method developed by ancient cultures for separating grain from chaff.			2462			
Agriculture/Plant:acai palm.N	no	A species of palm tree in the genus Euterpe cultivated for its fruit and hearts of palm.			2437			
Agriculture/Plant:achiote.N	no	A derivative of the achiote trees of tropical regions of the Americas used as a red food coloring and as a flavoring.			349			
Agriculture/Plant:acorn.N	no	Fruit of the oak tree.	12267677	n	968	8-66		
Agriculture/Plant:agave.N	no	A plant that grows in the hot, dry parts of the southern US and South America. There are many different types of agave and the plants have thick long or rounded leaves with sharp points on them, and tall flowers.			3989			
Agriculture/Plant:alang-alang grass.N	no	It is a perennial high grown grass native to Asia, Australia and Africa.			464			
Agriculture/Plant:almond.N	no	The edible and cultivated fruit of the tree Prunus dulcis in the family Rosaceae. It resembles a nut and can be sold shelled or unshelled.			3815	8-99901		
Agriculture/Plant:asparagus.N	no	A spring vegetable.			2605			
Agriculture/Plant:aspen.N	no	A kind of poplar tree (genus Populus; section Populus).			903			
Agriculture/Plant:babassu palm.N	no	Type of palm (Attalea speciosa) widely spread in Brazil; its fruit is edible and used to produce oil and medicine			3925			
Agriculture/Plant:bamboo.N	no	A group of woody perennial evergreen plants in the true grass family Poaceae, subfamily Bambusoideae, tribe Bambuseae.	12147539	n	1927	8-94		
Agriculture/Plant:banana tree.N	no	The tropical treelike plant which bears clusters of bananas. The plant, of the genus Musa, has large, elongated leaves.			1795			
Agriculture/Plant:banyan.N	no	A tropical Indian fig tree, Ficus benghalensis, that has many aerial roots.	12402348	n	346	8-85		
Agriculture/Plant:baobab tree.N	no	Genus of big trees (Adansonia) from the mallow family, growing in tropical countries.			997			
Agriculture/Plant:barley.N	no	A strong cereal of the genus Hordeum, or its grains, often used as food or to make malted drinks.	12123244	n	932	8-44		
Agriculture/Plant:bear fruit.V	no	To produce or yield fruits.			3054			
Agriculture/Plant:beech.N	no	Any tree of the genus Fagus, of temperate regions, having a smooth gray bark and bearing small, edible, triangular nuts.	12260799	n	1950	8-62		
Agriculture/Plant:beer banana.N	no	Triploid banana cultivars originating from the African Great Lakes region.			2251			
Agriculture/Plant:betel pepper vine.N	no	A vine of the species 'Piper betle' whose leaves are chewed for its medicinal properties.			177			
Agriculture/Plant:betelnut.N	no	The seed of the areca palm (Areca catechu).			217			
