id	style	word	pronunciation
PLX:1PL.pro		тэ	ta
PLX:1SG.pro		сэ	sa
PLX:2PL.pro		шъо	ʂʷa
PLX:2SG.pro		о	wa
PLX:3PL.pro		ахэр	aːxar
PLX:3SG M.pro		ар	aːr
PLX:and.cnj		ыкӏи	əkʼəj
PLX:because of.pp		къы-	qə-
PLX:behind.pp		кӏы́б	ˈt͡ʃʼəb
PLX:beside.pp		дэжь	daʑ
PLX:can.v		лъэкӏы́н	ɬaˈt͡ʃʼən
PLX:die (from accident).V		хэкӏодэн	xakʼʷadan
PLX:everywhere.pro		тыди́	tədəj́
PLX:everywhere.pro		тыдэкӏи́	tədakʼəj́
PLX:get sick.V		сымаджэ́ хъун	səmaːˈd͡ʒa χʷən
PLX:how many.pro		сыд фэди́з	səd fadəj́z
PLX:how many.pro		тхьапш	tħaːpʃ
PLX:how.pro		сыдэущтэ́у	sədawəɕˈtawə
PLX:in front of.pp		пашъхьэ́	paːʂˈħa
PLX:or.cnj		е	ja
PLX:that.pro		а	aː
PLX:that.pro		мо	mʷa
PLX:this.pro		ар	aːr
PLX:under.pp		чӏэ-	t͡ʃʼa-
PLX:what.pro		сыд	səd
PLX:where.pro		тыдэ́	təˈda
PLX:where_to.pro		тыдэ́	təˈda
PLX:who.pro		хэт	xat
PLX:why.pro		сыд пае́	səd paːˈja
PWN:abandon.v.02		бгынэн	bɣənan
PWN:abandon.v.02		хэкӏыжьын	xat͡ʃʼəʑən
PWN:abdomen.n.01		ныбэ́	nəˈba
PWN:above.r.02		ышъхьагъы	əʂħaːʁə
PWN:act.v.02		шӏын	ʃʼən
PWN:add.v.01		хэгъэхъо́н	xaʁaˈχʷan
PWN:address.n.03		гущыӏ	ɡʷəɕəʔ
PWN:affect.v.05		гур гъэузын	ɡʷər ʁawəzən
PWN:again.r.01		джыри	d͡ʒərəj
PWN:age.n.01		ныбжь	nəbʑ
PWN:ahead.r.03		ыпэкӏэ	əpakʼa
PWN:aid.n.02		ӏэпыӏэгъу	apəʔaʁʷə
PWN:air.n.01		жьы	ʑə
PWN:all.a.01		зэкӏэ́	zaˈkʼa
PWN:allege.v.01		къэӏон	qaʔʷan
PWN:alone.r.02		зы	zə
PWN:always.r.01		ренэ́у	rajˈnawə
PWN:anger.v.01		бгъэгубжын	bʁaɡʷəbʒən
PWN:anger.v.02		губжы́н	ɡʷəbˈʒən
PWN:animal.n.01		псэу́шъхь	psaˈwəʂħ
PWN:animation.n.01		гъашӏэ́	ʁaːˈʃʼa
PWN:ant.n.01		къамзэ́гу	qaːmˈzaɡʷə
PWN:apparel.n.01		щыгъы́ны	ɕəˈʁənə
PWN:apple.n.01		мыӏэры́с	məʔaˈrəs
PWN:april.n.01		апрель	aːprajlʲ
PWN:apt.s.03		акъылышӏу́	aːqələʃʷʼ́
PWN:area.n.01		чӏыпӏэ́	t͡ʃʼəˈpʼa
PWN:arise.v.03		къэтэджын	qatad͡ʒən
PWN:arm.n.01		ӏэ	a
PWN:arrive.v.01		къэкӏо́н	qakʼ̈wan
PWN:arrive.v.01		къэсы́н	qaˈsən
PWN:arrow.n.02		щэбза́щ	ɕabˈzaːɕ
PWN:ascend.v.01		къежьэн	qajʑan
PWN:ash.n.01		яжьэ́	jaːˈʑa
PWN:ask.v.02		лъэӏо́н	ɬaˈʔʷan
PWN:ask.v.05		упчӏэ́н	wəpˈt͡ʃʼan
PWN:august.n.01		август	aːvɡʷəst
PWN:aunt.n.01		атэшыпхъу	aːtaʃəpχʷə
PWN:awaken.v.01		къэгъэущы́н	qaʁawəˈɕən
PWN:back.n.01		кӏыбы́	t͡ʃʼəˈbə
PWN:back.r.01		ыужыкӏэ́	əwəʒəˈkʼa
PWN:back.r.02		ыужыкӏэ́	əwəʒəˈkʼa
PWN:bad.a.01		дэи	dajə
PWN:bag.n.01		ӏэлъмэ́къ	aɬˈmaq
PWN:bake.v.02		гъэжъэ́н	ʁaˈʐan
PWN:bare.s.01		пцӏанэ́	pt͡sʼaːˈna
PWN:bark.n.01		пхъашъо́	pχaːˈʂʷa
PWN:bark.v.04		хьакъу́н	ħaːqʷ́n
PWN:bathe.v.01		зыгъэпскӏын	zəʁapst͡ʃʼən
PWN:battle.n.01		бэнэныгъ	bananəʁ
PWN:bay.n.01		хыблыгу	xəbləɡʷə
PWN:be_born.v.01		къэхъун	qaχʷən
PWN:bear.n.01		мышъэ́	məˈʂa
PWN:beard.n.01		жакӏэ́	ʒaːˈkʼa
PWN:beautiful.a.01		дахэ́	daːˈxa
PWN:become.v.01		хъун	χʷən
PWN:bed.n.01		пӏэкӏо́р	pʼakʼ̈war
PWN:begin.v.03		ублэн	wəblan
PWN:believe.v.01		уивыхъэ́ телъы́н	wəjəvəˈχa tajˈɬən
PWN:beloved.s.01		псэм фэд	psam fad
PWN:belt.n.02		бгыры́пх	bɣəˈrəpx
PWN:bend.v.01		уфэн	wəfan
PWN:benefit.n.02		федэ́	fajˈda
PWN:benefit.n.02		чар	t͡ʃaːr
PWN:berry.n.01		маткӏо	maːtkʼʷa
PWN:better.v.02		нахь дэгъу пшӏын	naːħ daʁʷ pʃʼən
PWN:better.v.02		нахьышӏу пшӏын	naːħəʃʷʼ pʃʼən
PWN:between.r.02		азыфа́гу	aːzəˈfaːɡʷə
PWN:birch.n.02		пчэн	pt͡ʃan
PWN:bird.n.01		бзы́у	bˈzəwə
PWN:bite.v.01		ецэкъэ́н	jat͡saˈqan
PWN:bitter.s.06		дыджы́	dəˈd͡ʒə
PWN:black.a.01		шӏуцӏэ	ʃʷʼt͡sʼa
PWN:blanket.n.01		чыхӏэн	t͡ʃəxʔan
PWN:blast.v.07		он	wan
