id	style	word	pronunciation
PWN:alligator.n.02		krokodil	
PWN:ant.n.01		mier	
PWN:apple.n.01		appel	
PWN:ax.n.01		byl	
PWN:ball.n.03		bal	
PWN:banana.n.02		piesang	
PWN:bark.v.04		blaf	
PWN:barrel.n.02		vat	
PWN:basket.n.01		mandjie	
PWN:bathe.v.01		bad	
PWN:battery.n.02		battery	
PWN:bear.n.01		beer	
PWN:beckon.v.01		waai	
PWN:bed.n.01		bed	
PWN:belt.n.02		gordel	
PWN:bird.n.01		voël	
PWN:bite.v.01		byt	
PWN:blow.v.01		blaas	
PWN:bone.n.01		been [English: bone]	
PWN:boot.n.01		stewel	
PWN:bore.v.02		boor	
PWN:bottle.n.01		bottel	
PWN:brawl.v.01		baklei	
PWN:broom.n.01		besem	
PWN:burn.v.07		brand	
PWN:bus.n.01		bus	
PWN:butterfly.n.01		skoenlapper	
PWN:button.n.01		knoop	
PWN:candle.n.01		kers	
PWN:carrot.n.01		wortel	
PWN:carve.v.01		kerf	
PWN:cat.n.01		kat	
PWN:chair.n.01		stoel	
PWN:cheese.n.01		kaas	
PWN:climb.v.01		klim	
PWN:clock.n.01		wekker	
PWN:cloud.n.02		wolk	
PWN:comb.n.01		kam	
PWN:comb.v.01		kam	
PWN:cook.v.02		kook [English: cook]	
PWN:cow.n.01		koei	
PWN:crawl.v.01		kruip	
PWN:cry.v.02		huil	
PWN:cucumber.n.02		komkommer	
PWN:cut.v.01		knip	
PWN:dance.v.02		dans	
PWN:dig.v.01		spit	
PWN:dive.v.03		duik	
PWN:dog.n.01		hond	
PWN:doll.n.01		pop	
PWN:drink.v.01		drink	
PWN:drip.v.01		drup	
PWN:drive.v.01		bestuur	
PWN:drown.v.03		verdrink	
PWN:drum.n.01		trom	
PWN:dry.v.01		droogblaas	
PWN:duck.n.01		eend	
PWN:ear.n.01		oor	
PWN:eat.v.01		eet	
PWN:elephant.n.01		olifant	
PWN:embrace.v.02		gee 'n drukkie	
PWN:eye.n.01		oog	
PWN:fall.v.01		val	
PWN:fall.v.23		gly [English: slip]	
PWN:feather.n.01		veer	
PWN:feed.v.01		voer	
PWN:fish.n.01		vis	
PWN:fish.v.02		visvang	
PWN:flag.n.01		vlag	
PWN:flip.v.06		weggooi	
PWN:flower.n.02		blom	
PWN:fly.v.01		vlieg	
PWN:fork.n.01		vurk	
PWN:frog.n.01		padda	
PWN:fry.v.02		bak	
PWN:gate.n.01		deur	
PWN:gateway.n.01		hek	
PWN:glass.n.01		glas	
PWN:glue.n.01		plak	
PWN:goat.n.01		bok	
PWN:guitar.n.01		kitaar	
