id	style	word	pronunciation
PLX:1PL.pro		anokai	anoka͡ɪ
PLX:1PL.pro		chi-oka	t͡sioka
PLX:1SG.pro		kuani	kuani
PLX:2PL.pro		echi-okai	et͡sioka͡ɪ
PLX:2SG.pro		eani	eani
PLX:3PL.pro		to-an-guru-utara	toaŋɡuɾuutaɾa
PLX:3SG M.pro		to-an-guru	toaŋɡuɾu
PLX:and.cnj		newa	newa
PLX:because of.pp		kusu	kusu
PLX:behind.pp		oshmake	osmake
PLX:beside.pp		sam	sam
PLX:can.v		eashkai	easka͡ɪ
PLX:die (from accident).V		rai	ɾa͡ɪ
PLX:everywhere.pro		neita-ne-yakka	ne͡ɪtanejakːa
PLX:from here.adv		te_oro_wa	te oɾo wa
PLX:get sick.V		shiyeye	sijeje
PLX:get sick.V		tashum	tasum
PLX:how many.pro		hempak	hempak
PLX:how.pro		nekon-a	nekona
PLX:in front of.pp		kotcha	kot͡sːa
PLX:or.cnj		hene	hene
PLX:that.pro		toambe	toambe
PLX:this.pro		tambe	tambe
PLX:under.pp		pokna	pokna
PLX:what.pro		nep	nep
PLX:where.pro		neita	ne͡ɪta
PLX:where_to.pro		hunak-un	hunakun
PLX:who.pro		nen	nen
PLX:why.pro		nep-gusu	nepɡusu
PWN:abandon.v.02		ekohopi	ekohopi
PWN:abdomen.n.01		honi	honi
PWN:above.r.02		kashike	kasike
PWN:act.v.02		ki	ki
PWN:add.v.01		kashi-iyo	kasiijo
PWN:address.n.03		itak-i	itaki
PWN:again.r.01		kanna	kanːa
PWN:age.n.01		pa	pa
PWN:ahead.r.03		esanaguru	esanaɡuɾu
PWN:aid.n.02		kerai	keɾa͡ɪ
PWN:air.n.01		nish	nis
PWN:alive.a.01		shiknu-no	siknuno
PWN:all.a.01		nep-ne-yakka	nepnejakːa
PWN:allege.v.01		ye	je
PWN:alone.r.02		shinen-ne-an	sinenːean
PWN:always.r.01		hembara-ne-yakka	hembaɾanejakːa
PWN:always.r.01		ramma	ɾamːa
PWN:anger.v.01		ramukara	ɾamukaɾa
PWN:anger.v.02		rushka	ɾuska
PWN:animal.n.01		chikoikip	t͡sikoikip
PWN:animation.n.01		ishu-i	isui
PWN:ant.n.01		itunnap	itunːap
PWN:apparel.n.01		amip	amip
PWN:apparel.n.01		chimip	t͡simip
PWN:apparel.n.01		mip	mip
PWN:apple.n.01		ringo	ɾiŋɡo
PWN:april.n.01		mokiuta-chup	mokiutat͡sup
PWN:apt.s.03		ramu-an	ɾamuan
PWN:arise.v.03		ash	as
PWN:arm.n.01		tek	tek
PWN:arrive.v.01		ek	ek
PWN:arrive.v.01		shirepa	siɾepa
PWN:arrow.n.02		ai	a͡ɪ
PWN:ascend.v.01		tuk	tuk
PWN:ash.n.01		una	una
PWN:ask.v.02		koramkoro	koɾamkoɾo
PWN:ask.v.05		nu	nu
PWN:ask.v.05		pishi	pisi
PWN:august.n.01		yaruru-chup	jaɾuɾut͡sup
PWN:aunt.n.01		unarabe	unaɾabe
PWN:awaken.v.01		mososhpa	mosospa
PWN:back.n.01		seturu	setuɾu
PWN:back.r.01		horoka	hoɾoka
PWN:back.r.02		ehoroka	ehoɾoka
PWN:bad.a.01		wen	wen
PWN:bag.n.01		pukuru	pukuɾu
PWN:bare.s.01		atusa	atusa
PWN:bark.n.01		niyarakap	nijaɾakap
PWN:bark.v.04		mik	mik
PWN:bathe.v.01		sus	sus
PWN:battle.n.01		ukoiki-ambe	ukoikiambe
PWN:bay.n.01		moi	moi
PWN:be_born.v.01		shiko	siko
PWN:bear.n.01		kamui	kamui
PWN:beard.n.01		rek	ɾek
PWN:beautiful.a.01		shiretok	siɾetok
PWN:become.v.01		ne	ne
PWN:bed.n.01		shotki	sotki
PWN:begin.v.03		heashire	heasiɾe
PWN:believe.v.01		eishokoro	e͡ɪsokoɾo
PWN:beloved.s.01		chiomap	t͡siomap
PWN:belt.n.02		kut	kut
PWN:bend.v.01		rewe	ɾewe
PWN:benefit.n.02		yaiepirika-i	ja͡ɪepiɾikai
PWN:berry.n.01		numi	numi
PWN:between.r.02		uturugeta	utuɾuɡeta
PWN:birch.n.02		tat-ni	tatni
PWN:bird.n.01		chikap	t͡sikap
PWN:bite.v.01		kuba	kuba
PWN:bitter.s.06		shiu	siu
PWN:black.a.01		kunne	kunːe
PWN:blast.v.07		eak	eak
PWN:blind.a.01		shiknak	siknak
PWN:blood.n.01		kem	kem
PWN:blow.v.01		uku	uku
PWN:blow.v.02		ash	as
PWN:blue.s.01		shiunin	siunin
PWN:blunt.s.02		enukara	enukaɾa
PWN:board.n.02		ita	ita
PWN:boast.v.01		yaiomonnure	ja͡ɪomonːuɾe
PWN:boat.n.01		chip	t͡sip
PWN:body.n.01		netoba	netoba
PWN:boil.v.01		seisekka	se͡ɪsekːa
PWN:boil.v.03		shuye	suje
PWN:bone.n.01		pone	pone
PWN:book.n.01		kambi-sosh	kambisos
PWN:boot.n.01		ker	keɾ
PWN:botch.v.01		wende	wende
PWN:boundary_line.n.01		ukouturuge	ukoutuɾuɡe
PWN:bow.n.04		ku	ku
PWN:box.n.01		shuop	suop
PWN:brain.n.01		noipe	noipe
PWN:branch.n.02		nitek	nitek
PWN:branchlet.n.01		nitek	nitek
PWN:brawl.v.01		ukoiki	ukoiki
PWN:bread.n.01		pan	pan
PWN:break.v.05		pereke	peɾeke
PWN:breast.n.02		rerari	ɾeɾaɾi
PWN:breath.n.02		he	he
PWN:breathe.v.01		hese	hese
PWN:bridge.n.01		ruika	ɾuika
PWN:bright.a.01		pekere-ash	pekeɾeas
PWN:bring.v.01		koro_wa_ek	koɾo wa ek
PWN:brook.n.01		utnai	utna͡ɪ
PWN:broom.n.01		nuyep	nujep
PWN:brother.n.01		ak	ak
PWN:brother.n.01		yupi	jupi
PWN:brow.n.01		keputuru	keputuɾu
PWN:bucket.n.01		niwatush	niwatus
PWN:bull.n.01		peko	peko
PWN:bundle.n.02		mui	mui
PWN:burn.v.03		uhui	uhui
PWN:burn.v.07		uhuika	uhuika
PWN:butterfly.n.01		heporap	hepoɾap
PWN:butterfly.n.01		kamakata	kamakata
PWN:buy.v.01		hok	hok
PWN:calculate.v.01		aramepakare	aɾamepakaɾe
PWN:calendar_month.n.01		chup	t͡sup
PWN:call.v.05		hotuye	hotuje
PWN:campfire.n.01		abe	abe
PWN:cap.n.01		konchi	kont͡si
PWN:cat.n.01		chabe	t͡sabe
PWN:cat.n.01		meko	meko
PWN:catch.v.04		kishma	kisma
PWN:cause.n.01		ika	ika
PWN:cave.n.01		poru	poɾu
PWN:cavil.v.01		oroman	oɾoman
PWN:center.n.01		noshki	noski
PWN:chair.n.01		kashi_aoosoruship	kasi aoːsoɾusip
PWN:change.v.01		shinnai	sinːa͡ɪ
PWN:cheap.a.01		ataye-hauge	atajehauɡe
PWN:cheek.n.01		notakam	notakam
PWN:cherished.s.01		pase	pase
PWN:chicken.n.02		niwatori-chikap	niwatoɾit͡sikap
PWN:child.n.01		shion	sion
PWN:chin.n.01		notkiri	notkiɾi
PWN:choose.v.01		sarama	saɾama
PWN:chop.v.01		tauge	tauɡe
PWN:church.n.02		karisia	kaɾisia
PWN:circle.n.03		karip	kaɾip
PWN:claw.n.01		ami	ami
PWN:clay.n.01		fure-toi	ɸuɾetoi
PWN:clean.a.01		ashkanne	askanːe
PWN:clean.v.01		ashkanne-ne-kara	askanːenekaɾa
PWN:climb.v.01		nimu	nimu
PWN:close.v.01		seshke	seske
PWN:cloud.n.02		kuri	kuɾi
PWN:coal.n.01		sekitan	sekitan
PWN:cock.n.04		niwatori-chikap	niwatoɾit͡sikap
PWN:cold.a.01		me-an	mean
PWN:cold.a.01		meman	meman
PWN:coldness.n.03		me	me
PWN:collar.n.01		kotpara	kotpaɾa
PWN:colorful.a.01		irosome	iɾosome
PWN:comb.n.01		kirai	kiɾa͡ɪ
PWN:comb.v.01		nuikara	nuikaɾa
PWN:commend.v.01		omonre	omonɾe
PWN:commend.v.01		ramu-ye	ɾamuje
PWN:companion.n.01		tura-no-ki-guru	tuɾanokiɡuɾu
PWN:company.n.03		tura	tuɾa
PWN:complete.v.01		eotui	eotui
PWN:connect.v.01		uwoush	uwous
PWN:construct.v.01		kara	kaɾa
PWN:converse.v.01		ukopararui	ukopaɾaɾui
PWN:convey.v.01		nure	nuɾe
PWN:cook.v.02		shuke	suke
PWN:corner.n.03		shikkeu	sikːeu
PWN:corpulent.s.01		mim-ush	mimus
PWN:correctly.r.01		oupeka	oupeka
PWN:cough.v.01		omkepo	omkepo
PWN:count.n.01		pishki	piski
PWN:count.v.01		pishki	piski
PWN:country.n.02		moshiri	mosiɾi
PWN:cover.v.01		kamure	kamuɾe
PWN:cow.n.01		peko	peko
PWN:cradle.n.01		shinda	sinda
PWN:crane.n.05		sarorun-chikap	saɾoɾunt͡sikap
PWN:crawl.v.01		reye	ɾeje
PWN:crisscross.n.01		tasa	tasa
PWN:crow.n.01		paskuru	paskuɾu
PWN:cry.v.02		chish	t͡sis
PWN:cup.n.01		itangi	itaŋɡi
PWN:current.n.02		chiu	t͡siu
PWN:cut.v.01		tuye	tuje
