id	style	word	pronunciation
Action:can.V		-iika-	iːka
Agriculture:herd (something).V		aglix́ta-lix	aɡleχtɛlix
Agriculture:irrigate.V		yuchx́i-lix	jut͡ʃχelix
Agriculture:pick.V		la-lix	lɛlix
Agriculture:shovel.N		hilgiisi-x́	hilɡiːseχ
Animal:Anatidae.N		sa-x́	sɑχ
Animal:Annelida.N		ix́chi-x́	eχt͡ʃeχ
Animal:Araneae.N		kinka-x́	kinkɑχ
Animal:Aves.N		sa-x́	sɑχ
Animal:Canis lupus familiaris.N		sabaaka-x́	sɛbɛːkɑχ
Animal:Canis lupus.N		aliix́xi-x́	aleːχxeχ
Animal:Culicidae.N		qixtugyi-x́	qextyɡjeχ
Animal:Diptera.N		saquchikda-x́	sɑqot͡ʃikdɑχ
Animal:Equus ferus caballus.N		kuunu-x́	kyːnoχ
Animal:Felis catus.N		kuuski-x́	kyːskeχ
Animal:Gallus gallus domesticus.N		kuulicha-x́	kyːlit͡ʃɑχ
Animal:Homo sapiens.N		anǵaǵi-lix	aŋ́ɑʁelix
Animal:Ovis aries.N		baraaska-x́	bɛɹɛːskɑχ
Animal:Rhopalocera.N		aǵlaqiida-x́	ɑʁlɑqeːdɑχ
Animal:Sciuridae.N		huulngiix́	hyːlŋeːχ
Animal:Serpentes.N		smiiya-x́	smiːjɑχ
Animal:Sus scrofa domestica.N		smiiniya-x́	smiːnijɑχ
Animal:Ursidae.N		tangaax́	tɛŋɑːχ
Animal:Vulpes.N		uuquchiing	oːqot͡ʃiːŋ
Animal:animal.N		alga-x́	alɡɑχ
Animal:fish.N		qa-x́	qɑχ
Animal:mouse.N		asngukida-x́	asŋukidɑχ
Animal:wool.N		huqlu-x́	hoqloχ
Atmosphere:cloud.N		qusamaaǵu-x́	qosɛmɑːʁoχ
Atmosphere:cold.A		qingana-lix	qeŋanɛlix
Atmosphere:fog.N		ayangi-x́	ajaŋeχ
Atmosphere:rain.N		kimdux	kimdyx
Atmosphere:rain.V		kimdux	kimdyx
Atmosphere:rainbow.N		tudngalax	tydŋalɛx
Atmosphere:rainbow.N		ulǵiiǵadiga-x́	ulʁeːʁɑdiɡɑχ
Atmosphere:sky.N		ini-x́	ineχ
Atmosphere:thunder.N		sulg-	sylɡ
Atmosphere:thunder.V		sulux-six	sylyxsix
Atmosphere:weather.N		sla-x́	slɑχ
Atmosphere:wind.N		achuna-l	at͡ʃynɛl
Belief:deity.N		aguuǵu-x́	aɡoːʁoχ
Belief:spirit.N		sinig-ix	siniɡix
Body:arm.N		chuyu-x́	t͡ʃyjoχ
Body:back.N		achi-x	at͡ʃix
Body:beard.N		suxuyu-s	syxujus
Body:belly.N		ilida-x́	ilidɑχ
Body:blood.N		aamax	ɛːmɛx
Body:blow.V		humsi-	humsi
Body:body.N		ingiu-x́	iŋioχ
Body:bone.N		qagna-x́	qɑɡnɑχ
Body:brain.N		qilǵi-n	qelʁen
Body:breast.N		maqda-x́	mɑqdɑχ
Body:breath.N		anǵ-	aŋ́
Body:breath.V		anǵida-lix	aŋ́idɛlix
Body:cheek.N		uluga-x́	ulyɡɑχ
Body:chest.N		kachi-x́	kat͡ʃeχ
Body:chest.N		simsi-	simsi
Body:chin.N		chamulu-x́	t͡ʃɛmyloχ
Body:ear.N		tutusi-x́	tytyseχ
Body:elbow.N		chaangiqlu-x́	t͡ʃɛːŋeqloχ
Body:eye.N		da-x́	dɑχ
Body:face.N		sagimax́	sɛɡimɑχ
Body:fat.N		chadu-x́	t͡ʃɛdoχ
Body:feather.N		haka-x́	hakɑχ
Body:finger.N		atx́u-x́	atχoχ
Body:fingernail.N		qagalǵí-x́	qɑɡalʁíχ
Body:foot.N		kita-x́	kitɑχ
Body:footprint.N		chimi-x́	t͡ʃimeχ
Body:forehead.N		tani-x́	tɛneχ
Body:fur.N		chnga-x́	t͡ʃŋɑχ
Body:hair.N		imli-x́	imleχ
Body:hand.N		cha-x́	t͡ʃɑχ
Body:head.N		kamg-	kamɡ
Body:heart.N		kanuux́	kanoːχ
Body:heel.N		kagalu-x́	kaɡaloχ
Body:jaw.N		usi-x́	useχ
Body:knee.N		chidigi-x́	t͡ʃidiɡeχ
Body:leg.N		aliigax́	aliːɡɑχ
Body:lip.N		adi-x́	adeχ
Body:liver.N		aaǵi-x́	ɑːʁeχ
Body:moustache.N		hagaaǵix́ inglaakus	haɡɑːʁeχ iŋlɛːkus
Body:mouth.N		agilǵi-x́	aɡilʁeχ
Body:nail.N		qagalǵí-x́	qɑɡalʁíχ
Body:nape.N		chunu-x́	t͡ʃynoχ
Body:navel.N		qiiliqda-x́	qeːleqdɑχ
Body:neck.N		uyu-x́	ujoχ
Body:nose.N		anǵusi-n	aŋ́usin
Body:obese.A		sadax-six	sɛdɛxsix
Body:palm.N		qisi-x́	qeseχ
Body:shoulder.N		qangli-x́	qɑŋleχ
Body:shoulder.N		simtusi-	simtysi
Body:skin.N		qachx́-	qɑt͡ʃχ
Body:stomach.N		kilma-x́	kilmɑχ
Body:tail.N		kimaǵu-x́	kimɑʁoχ
Body:tear.N		taanga-x́	tɛːŋɑχ
Body:tendon.N		igachi-x́	iɡat͡ʃeχ
Body:throat.N		chuqa-x́	t͡ʃoqɑχ
