id	style	word	transcription	etymology
Agriculture:cultivate.V		ocis		
Agriculture:harvest or harvest season.N		tiχil		
Agriculture:mow.V		ʁˤažbos		
Agriculture:pitchfork.N		kis		
Agriculture:plough.V		hijbos		
Agriculture:rake.N		hoti gʷarqː'i		
Agriculture:shovel.N		bel		pes:bel
Agriculture:sickle or scythe.N		aˤrum		
Agriculture:sow seeds.V		acas (2)		
Agriculture:thresh.V		ikɬ ačas		
Agriculture:threshing-floor.N		c’i		
Animal:Acridomorpha.N		apalχac'i		
Animal:Anatidae.N		uˤrdek		azb:urdek
Animal:Annelida.N		miliχˤu		
Animal:Anthophila.N		t’ant’		
Animal:Anura.N		uˤrbət'i		lbe:uˤrbət'i
Animal:Araneae.N		k'ʷet' χʷarši		
Animal:Aves.N		nocʼ		
Animal:Bos taurus.N		ʁatːəra		lbe:ʁatːara
Animal:Canis lupus familiaris.N		gʷači		
Animal:Canis lupus.N		jam		
Animal:Capra hircus.N		c’aj		
Animal:Cervidae.N		lilmučʼ		:Unidentifiable
Animal:Corvus.N		qˤipiχˤan		
Animal:Culicidae.N		k’ara		
Animal:Diptera.N		hilku		
Animal:Elephantidae.N		pil (1)		pes:pil
Animal:Equus asinus × caballus.N		q'urc'em		
Animal:Equus asinus.N		dogi		
Animal:Equus ferus caballus.N		noˤš		
Animal:Felis catus.N		gatu		:Unidentifiable
Animal:Felis leo.N		ʁalbac'		ava:ʁalbac'
Animal:Formicidae.N		zimzu		
Animal:Gallus gallus domesticus.N		ħeleku		ava:ħeleko
Animal:Homo sapiens.N		adam		arb:adam
Animal:Insecta.N		miliχˤutːu		
Animal:Lacertidae.N		uˤnšːəla		
Animal:Lampyridae.N		qiri		
Animal:Ovis aries.N		čʼan		
Animal:Rhopalocera.N		c’imic’əla		
Animal:Serpentes.N		jaˤt'i		
Animal:Simiiformes.N		mijmanak		arb:mejmanak
Animal:Sus scrofa domestica.N		boˤkɬʼ		
Animal:Testudines.N		q'alaq' uˤrbət'i		lbe:q'alaq' uˤrbət'i
Animal:Ursidae.N		χːams		
Animal:Vespinae.N		ʕalχul t'ant'		arb:ʕalχul
Animal:Vulpes.N		sːol		
Animal:animal.N		ħawan		arb:ħayawaan
Animal:female.A		ɬːenne		
Animal:fish.N		χˤabχˤi		
Animal:male.A		mekɬe		
Animal:wool.N		oɬ		
Atmosphere:cloud.N		diɬʷ		
Atmosphere:fog.N		ʁʷˤalqˤi		
Atmosphere:rain.N		χːˤel		
Atmosphere:rainbow.N		χːˤološgértːi		
Atmosphere:sky.N		dunil		arb:dunyā
Atmosphere:storm.N		parəla		
Atmosphere:thunder.N		qut'i		
Atmosphere:weather.N		hawa		arb:hawaa’
Atmosphere:wind.N		hawa		arb:hawaa’
Belief:Catholic priest.N		kišiš		ava:kašiš
Belief:deity.N		allah		ava:allah
Belief:demon.N		ilbis		arb:ilbis
Belief:ghost.N		haraxut eɬmul		
Belief:heaven.N		alšun		arb:alšun
Belief:hell.N		dužgi		arb:dužgi
Belief:magic.N		sːob etʼmus		
Belief:magician.N		qartaj		ava:qart
Belief:mosque.N		mižgil		arb:mižgil
Belief:omen.N		ʕalaːmat		ava:ʕalamat
Belief:pray.V		makak abas		
Belief:religion.N		din		arb:dīn
Belief:sermon.V		dinislam ɬːas		arb:dīn
Belief:soul.N		ruħ		ava:ruħ
Body:ankle.N		c’am		
Body:arm.N		χol		
Body:armpit.N		χilikɬ' mač'		
Body:back.N		sːon		
Body:bald.A		č'egʷdu		
Body:beak.N		muč		
Body:beard.N		moč'or		
Body:belly.N		χˤurχˤu		
Body:blink.V		parsbos		
Body:blister.N		pil (2)		pes:pil
Body:blood vessel.N		tenne		
Body:blood.N		bi		
Body:body hair.N		čʼaːˤri		
Body:body.N		čerχ		
Body:boil.N		obkɬnitːub		
Body:bone.N		lekːi		
Body:brain.N		iˤntim maj		
Body:breast.N		mam		
Body:breath.V		haˤhbos		
Body:bruise.N		naˤkɬ' kumul		
Body:buttock.N		dič’		
Body:calf of leg.N		noqː'ˤon		
Body:carcass.N		χːamχːi		lbe:χ:anχ:a
Body:cheek.N		eχˤ		
Body:chest.N		χatum		
Body:chin.N		kɬ'ir gʷarči		
Body:collarbone.N		nibzur		
Body:corpse.N		zanazi		arb:janazat
Body:dribble.V		tut’ibus		
Body:ear.N		oj		
Body:earlobe.N		zukɬʼəra		
Body:earwax.N		qupun		
Body:elbow.N		č'otχol		
Body:eye.N		lur		
Body:eyebrow.N		darcː'an		lbe:it:a-c̣ani.
Body:eyelash.N		lullin cal		
Body:eyelid.N		lullin dorki		
Body:face.N		maˤmərči		
Body:fat.N		maj		
Body:feather.N		cal		
Body:feces.V		qippus		
Body:finger.N		gon		
Body:fingernail.N		kɬ'ont'ol		
Body:flesh.N		akɬʼ		
Body:foot.N		aq		
Body:footprint.N		ɬːʷiri		
Body:forehead.N		nodo		ava:nodo
Body:gum.N		sana		
Body:hand.N		kul		
Body:head hair.N		č'aːˤri		
Body:head.N		kart’i		
Body:head.N		oˤnt		
Body:heart.N		ikʼʷ		
Body:heel.N		šːik'ʷ		
Body:hip.N		žara		
Body:horn.N		bat		
Body:intestines.N		babkɬ'ʷ		
Body:jaw.N		čarχ		pes:čarχ
Body:kidney.N		gʷat		
Body:knee.N		poˤmp		
Body:leg.N		aq		
Body:lip.N		kʷetʼ		
Body:liver.N		dilikʼ		
Body:lung.N		χurtːurtːi		
Body:molar tooth.N		gaˤnži		
Body:mouth.N		sːob		
Body:nape.N		naqa		
Body:navel.N		cʼan		
Body:neck.N		oˤč'lekːi		
Body:nipple.N		dorki		
Body:nose.N		muč		
Body:nostril.N		mučlin kɬan		
Body:palm.N		jaχat		
Body:penis.N		q'ˤart'a		
Body:piss.V		cok’as		
Body:pubic hair.N		peˤh		
Body:rib.N		barsːon		
Body:scar.N		ɬːʷiri		
Body:shell.N		χˤabχˤilin oj		
Body:shoulder.N		qˤun		
Body:shoulderblade.N		kɬ’ol		
Body:skin.N		ili		
Body:skull.N		gundari		
Body:sneeze.V		aˤnšaˤ bos		
Body:spine.N		sːon		
