id	style	word	pronunciation
PLX:1PL.pro		نحن	naħnu
PLX:1SG.pro		أنا	anaː
PLX:2PL.pro		أنتم	antum
PLX:2PL.pro		أنتن	antuna
PLX:2SG.pro		أنت	anti
PLX:3PL.pro		هم	hum
PLX:3PL.pro		هن	hunːa
PLX:3SG M.pro		هو	huwa
PLX:and.cnj		و	wa
PLX:because of.adp		بسبب	bisabab
PLX:behind.adp		خلف	xalfa
PLX:behind.adp		وراء	waraːʔa
PLX:beside.adp		بجانب	bid͡ʒaːnib
PLX:beside.adp		جنب	d͡ʒamba
PLX:can.v		استطاع	istatˤaːʕa
PLX:can.v		قدر	qadira
PLX:die (from accident).V		هلك	halaka
PLX:everywhere.pro		في كل مكان	fiː kulː makaːn
PLX:from here.adv		من هنا	min hunaː
PLX:get sick.V		مرض	marɨdˤɑ
PLX:how many.pro		كم	kam
PLX:how.pro		كيف	kaifa
PLX:in front of.adp		أمام	amaːma
PLX:or.cnj		أو	aw
PLX:that.pro		ذلك	ðaːlika
PLX:this.pro		هذا	haːðaː
PLX:under.adp		تحت	taħta
PLX:what.pro		ما	maː
PLX:where.pro		أين	ajna
PLX:where_to.pro		إلى أين	ilaː ʔaina
PLX:who.pro		من	man
PLX:why.pro		لماذا	limaːðaː
PWN:abandon.v.02		ترك	taraka
PWN:abdomen.n.01		بطن	batˤn
PWN:above.r.02		فوق	fauq
PWN:above.r.02		في الأعلى	filʔaʕlaː
PWN:act.v.02		فعل	faʕala
PWN:add.v.01		أضاف	ɑdˤɑːfa
PWN:address.n.03		خطبة	xutˤba
PWN:affect.v.05		أثر	aθara
PWN:again.r.01		مرة أخرى	marːatan ʔuxraː
PWN:again.r.01		من جديد	min d͡ʒadiːd
PWN:age.n.01		سن	sinː
PWN:age.n.01		عمر	ʕumr
PWN:ahead.r.03		إلى الأمام	ilaː lʔamaːm
PWN:aid.n.02		عون	ʕaun
PWN:aid.n.02		مساعدة	musaːʕada
PWN:air.n.01		هواء	hawaːʔ
PWN:alive.a.01		حي	ħajː
PWN:all.a.01		الكل	alkulː
PWN:allege.v.01		قال	qaːla
PWN:alone.r.02		وحده	waħdahu
PWN:already.r.01		قد	qad
PWN:always.r.01		دائما	daːʔiman
PWN:anger.v.01		أزعل	azʕala
PWN:anger.v.02		زعل	zaʕila
PWN:animal.n.01		حيوان	ħajawaːn
PWN:animation.n.01		حياة	ħajaːt
PWN:animation.n.01		عيش	ʕaiʃ
PWN:ant.n.01		نملة	namla
PWN:apparel.n.01		ملابس	malaːbis
PWN:apple.n.01		تفاح	tufaːħ
PWN:april.n.01		نيسان	niːsaːn
PWN:apt.s.03		ذكي	ðakiː
PWN:apt.s.03		عاقل	ʕaːqil
PWN:area.n.01		ناحية	naːħiːja
PWN:arise.v.03		قام	qaːma
PWN:arm.n.01		ذراع	ðiraːʕ
PWN:arrive.v.01		أتى	ataː
PWN:arrive.v.01		جاء	d͡ʒaːʔa
PWN:arrive.v.01		وصل	wɑsˤɑla
PWN:arrow.n.02		سهم	sahm
PWN:ascend.v.01		ارتفع	irtafaʕa
PWN:ascend.v.01		صعد	sˤɑʕida
PWN:ash.n.01		رماد	ramaːd
PWN:ask.v.02		رجا	rad͡ʒaː
PWN:ask.v.05		سأل	saʔala
PWN:august.n.01		آب	aːb
PWN:august.n.01		أغسطس	aɣustˤus
PWN:aunt.n.01		عمة	ʕama
PWN:awaken.v.01		أيقظ	ajqadˤa
PWN:back.n.01		ظهر	dˤɑhr
PWN:back.r.01		إلى الخلف	ilaː lxalf
PWN:back.r.01		عودا	ʕaudan
PWN:back.r.02		إلى الوراء	ilaː lwaraːʔ
PWN:bad.a.01		سيء	sajːiʔ
PWN:bag.n.01		شنطة	ʃantˤɑ
PWN:bag.n.01		محفظة	maħfɑdˤɑ
PWN:bake.v.02		خبز	xabaza
PWN:bare.s.01		عار	ʕaːrin
PWN:bark.n.01		قشرة	qiʃra
PWN:bark.v.04		نبح	nabaħa
PWN:bathe.v.01		استحم	istaħama
PWN:battle.n.01		قتال	qitaːl
PWN:bay.n.01		خليج	xaliːd͡ʒ
PWN:be_born.v.01		ولد	wulida
PWN:bear.n.01		دب	dubː
PWN:beard.n.01		لحية	liħja
PWN:beautiful.a.01		جميل	d͡ʒamiːl
PWN:become.v.01		أصبح	asˤbaħa
PWN:become.v.01		صار	sˤɑːra
PWN:bed.n.01		سرير	sariːr
PWN:begin.v.03		بدأ	badaʔa
PWN:believe.v.01		اعتقد	iʕtaqada
PWN:beloved.s.01		عزيز	ʕaziːz
PWN:belt.n.02		حزام	ħizaːm
PWN:bend.v.01		لوى	lawaː
PWN:benefit.n.02		فائدة	faːʔida
PWN:berry.n.01		حبة	ħabːa
PWN:better.v.02		صحح	sˤɑħːaħa
PWN:between.r.02		بين	bajna
PWN:birch.n.02		قضبان	qudˤbaːn
PWN:bird.n.01		طير	tˤɑir
