id	style	word	transcription	etymology
PLX:1PL.pro		iñchiw
PLX:1PL.pro		iñchiñ
PLX:1SG.pro		iñche
PLX:2PL.pro		eymu
PLX:2PL.pro		eymün
PLX:2SG.pro		eymi
PLX:3PL.pro		feyengu
PLX:3PL.pro		feyengün
PLX:3SG F.pro		fey
PLX:3SG INAN.pro		fey
PLX:3SG M.pro		fey
PLX:3SG.pro		fey
PLX:Q.ptcl		cha		:-cha
PLX:above.pp		senchu
PLX:above.pp		wente
PLX:after.pp		depwe		spa:después
PLX:after.pp		fey wüla
PLX:and.cnj		ka
PLX:at.pp		mew
PLX:be late.v		alüñman
PLX:because.cnj		porke		spa:porque
PLX:behind.pp		furitu
PLX:beside.pp		ina
PLX:can.v		pwede		spa:puede
PLX:carry in hand.v		yenien
PLX:carry on shoulder.v		meñkun
PLX:daughter-in-law (of man).n		püñmu
PLX:daughter-in-law (of woman).n		ṉaṉüng
PLX:day after tomorrow.adv		epuwe
PLX:day before yesterday.adv		epuwe
PLX:fall silent.v		ñüküfnaqün
PLX:father's brother.n		malle
PLX:father's sister.n		paḻu
PLX:father-in-law (of man).n		chezkuy
PLX:father-in-law (of woman).n		püñmu
PLX:head hair.n		kaḻ longko
PLX:head hair.n		longko
PLX:how many pieces.pro		¿mufü?
PLX:how many pieces.pro		¿tunten?
PLX:how much.pro		¿mufü?
PLX:how much.pro		¿tunten?
PLX:how.pro		¿chumngechi?
PLX:in front of.pp		itrotripa
PLX:in front of.pp		puñ mew
PLX:in.pp		mew
PLX:inside.pp		ponwi
PLX:mother's brother.n		weku
PLX:mother's sister.n		kaka		:kaka
PLX:mother's sister.n		ñukentu
PLX:mother-in-law (of man).n		llalla
PLX:mother-in-law (of woman).n		ṉaṉüng
PLX:nothing.pro		chem no rume
PLX:or.cnj		kam
PLX:outside.pp		wekuntu
PLX:sibling-in-law.n		fillka
PLX:sibling-in-law.n		kürun
PLX:sibling-in-law.n		ngillañ
PLX:sibling-in-law.n		ñazu
PLX:son-in-law (of man).n		chezkuy
PLX:son-in-law (of woman).n		püñmu
PLX:stab to death.v		chüngarün
PLX:thanks.int		kürasia		spa:gracias
PLX:that.pro		tüfeychi
PLX:that.pro		tüyechi
PLX:this.pro		tüfachi
PLX:under.pp		abajo		spa:abajo
PLX:under.pp		miñche
PLX:what.pro		¿chem?
PLX:when.pro		¿chumül?
PLX:where.pro		¿chew?
PLX:which Q.pro		¿chuchi?
PLX:which Q.pro		¿tuchi?
PLX:who.pro		¿iney?
PLX:why.pro		¿chumngelu?
PLX:with.pp		engu
PLX:with.pp		mew
PLX:yes.ptcl		may
PWN:abdomen.n.01		pütra		:patra
PWN:above.r.02		alüpüra
PWN:accompany.v.02		kompañaeyew		spa:acompañar
PWN:accuse.v.01		zallun
PWN:addle.v.01		fürollan		spa:embrollar
PWN:address.n.03		koyaqtun
PWN:address.n.06		zireksion		spa:dirección
PWN:adobe.n.02		fazofe		spa:adobe
PWN:adornment.n.01		peshkiñ
PWN:afternoon.n.01		rupan antü
PWN:again.r.01		ka wiño
PWN:age.n.01		tripantu
PWN:air.n.01		kürüf
PWN:airplane.n.01		afion		spa:avión
PWN:all.a.01		kom
PWN:allege.v.01		pin
PWN:alone.r.02		kisulen
PWN:always.r.01		rumel
PWN:amazed.s.01		afmalewen
PWN:ambush.n.01		lloftun
PWN:ancestor.n.01		kwifike che yem
PWN:anger.n.02		illkun
PWN:animal.n.01		kulliñ
PWN:animation.n.01		mongen
PWN:ankle.n.01		pallipalli
PWN:announce.v.01		wülzungun
PWN:answer.v.01		wiñolzungun
PWN:ant.n.01		kollella
PWN:anxiety.n.02		weñangkün
PWN:apparel.n.01		takuluwün
PWN:approach.v.01		fülkonün
PWN:approach.v.01		püllekonün
PWN:apt.s.03		pepilkawün
PWN:arm.n.01		lipang
PWN:armpit.n.01		puñpuya
PWN:arrive.v.01		küpan
PWN:arrive.v.01		puwün
PWN:arrow.n.02		pülki
PWN:arson.n.01		lüftukun		:rupa
PWN:artery.n.01		chüll mollfüñ
PWN:ascend.v.01		püran
PWN:ash.n.01		liq kuyüm
PWN:ash.n.01		trufken
PWN:ask.v.02		ngillatun
PWN:ask.v.05		ramtun
PWN:attack.n.05		malon
PWN:awl.n.01		rütriñ
PWN:ax.n.01		toki
PWN:axle.n.01		eje		spa:eje
PWN:baby.n.01		llushu
PWN:baby.n.01		lluzu
PWN:baby.n.01		metatu
PWN:back.n.01		furi
PWN:bad.a.01		weza
PWN:bag.n.01		folsa		spa:bolsa
PWN:bag.n.01		folso		spa:bolso
PWN:bag.n.01		wallka		:hualqui
PWN:bake.v.02		ronotun		spa:horno
PWN:bald.s.02		liftra longko
PWN:ball.n.03		mongkol
PWN:ball.n.03		pelota		spa:pelota
PWN:bare.s.01		triltrang
PWN:bark.n.01		trolüf
PWN:barley.n.02		kawella		:cahuellu-hua
PWN:barn_owl.n.01		wuketril
PWN:barrel.n.02		faril		spa:barril
PWN:barter.v.01		welukan
PWN:basket.n.01		chaywe
PWN:basket.n.01		kanesta		spa:canasta
PWN:basket.n.01		külko
PWN:bathe.v.01		müñetun
PWN:battle-ax.n.01		toki
PWN:battle.n.01		awkan		ayc:awqa, aucca
PWN:be.v.03		mülen
PWN:be.v.11		mongelen
PWN:be_born.v.01		lleqün
PWN:be_born.v.01		mülen
PWN:beak.n.02		wüṉ
PWN:beam.n.02		alof
PWN:bean.n.01		zengüll
PWN:beard.n.01		payuṉ
PWN:beautiful.a.01		küme azngen
PWN:bed.n.01		kawitu		:kawitu
PWN:bee.n.01		kolmenia		spa:colmena
PWN:bee.n.01		ziwlliñ
PWN:beeswax.n.01		müski		:mishki
PWN:beget.v.01		yallün
PWN:begin.v.03		llitun
PWN:beginning.n.01		llitulu
PWN:believe.v.01		feyentun
PWN:belt.n.02		trariwe
PWN:bench.n.01		wangku
PWN:beverage.n.01		putupeyel
PWN:bicycle.n.01		sikleta		spa:bicicleta
PWN:big_brother.n.02		wünen peñi
PWN:big_brother.n.02		wünen wentru lamngen
PWN:big_sister.n.01		wünen lamngen
PWN:big_sister.n.01		wünen zomo lamngen
PWN:billy.n.02		chifu		spa:chivo
PWN:billy.n.02		kapüra		spa:cabra
PWN:bird.n.01		isüm
PWN:bird.n.01		üñüm
PWN:birth_certificate.n.01		sertificaw		spa:certificado
PWN:bite.v.01		ünatun
PWN:bitter.s.06		mukür
PWN:black.a.01		kurü
PWN:blanket.n.01		fresada		spa:frazada
PWN:blanket.n.01		üḻtu
PWN:blast.v.07		tralkatun
PWN:blind.a.01		trawma
PWN:blink.v.01		ṉümiṉümitun
PWN:blister.n.03		pitraw
PWN:blood.n.01		mollfüñ
PWN:blouse.n.01		felantar		spa:delantal
PWN:blow.v.02		pimun
PWN:blue.s.01		kallfü
PWN:board.n.02		trafla		spa:tabla
PWN:boast.v.01		mallmakawün
PWN:boat.n.01		fote		spa:bote
PWN:body.n.01		kalül
PWN:body_hair.n.01		kaḻ
PWN:body_louse.n.01		pütrar
PWN:boil.n.01		pitru
PWN:boil.v.01		wazkümün
PWN:boisterous.s.03		illkuley
PWN:bomb.n.01		fomfa		spa:bomba
PWN:bone.n.01		foro
PWN:book.n.01		lifru		spa:libro
PWN:boot.n.01		fota		spa:bota
PWN:bore.v.02		katan
PWN:borrow.v.01		aretun
PWN:bottle.n.01		fotilla		spa:botella
PWN:bottom.n.02		ponwi
PWN:boundary.n.02		limite		spa:límite
PWN:bowl.n.01		tason		spa:tazón
PWN:brackish.s.02		kotrü ko		pue:xïtran
PWN:braid.n.01		chape
PWN:braid.v.01		zamin
PWN:brain.n.01		müllo
PWN:brainsick.s.01		pofo
PWN:brainsick.s.01		wezwez
PWN:branch.n.03		row
PWN:brave.a.01		füta piwkengen
PWN:brave.a.01		wapo		spa:guapo
PWN:bread.n.01		kofke
PWN:bread.n.01		pan		spa:pan
PWN:bread.n.01		patay		:patay
PWN:break.v.05		trafon
PWN:breakfast.n.01		sayuno		spa:desayuno
PWN:breast.n.02		moyo
PWN:breathe.v.01		ṉeyün
PWN:bridge.n.01		kuykuy
PWN:bright.a.01		wilüf
PWN:bring.v.01		küpalün
PWN:bring_around.v.02		mogelün
PWN:broken.s.11		trafo
PWN:broom.n.01		lepüwe
PWN:brother.n.01		peñi
PWN:brother.n.01		wentru lamngen
PWN:brow.n.01		toḻ
PWN:brown.s.01		chumul
PWN:bruise.n.01		allfeñ
PWN:bull.n.01		toro		spa:toro
PWN:burn.v.03		üyün
PWN:burn.v.07		lüpümün		:rupa
PWN:burn.v.07		pütren
PWN:bury.v.02		elün
PWN:bustard.n.01		tartajar		pue:tartaxar
PWN:butter_knife.n.01		katrüwe
PWN:butter_knife.n.01		kuchillu		spa:cuchillo
PWN:butterfly.n.01		kululu		pue:kululu
PWN:butterfly.n.01		llampüzkeñ
PWN:butterfly.n.01		tonton
PWN:buttocks.n.01		anüwe
PWN:button.n.01		foton		spa:botón
PWN:buy.v.01		ngillan
PWN:cable.n.02		kawle		spa:cable
PWN:cadaver.n.01		ḻa
PWN:calendar.n.03		kalenzario		spa:calendario
PWN:calendar_month.n.01		küyeṉ
PWN:calf.n.01		pichi kulliñ
PWN:calf.n.02		komofüṉ
PWN:call.v.05		mütrümün
PWN:call_on_the_carpet.v.01		illkutun
PWN:calm.a.02		tüng
PWN:calm.a.02		ñüküf
PWN:can.n.01		lata		spa:lata
PWN:candle.n.01		fela		por:vela
PWN:canoe.n.01		wampo		:wampu
PWN:cap.n.01		chumpiru		spa:sombrero
PWN:car.n.01		auto		spa:auto
PWN:car.n.01		wingka kawell		spa:caballo
PWN:carcase.n.01		ḻa kulliñ
PWN:carpenter.n.01		kalpinteru		spa:carpintero
PWN:carpenter.n.01		rukafe
PWN:cast.v.07		lliwümün
PWN:cast.v.07		wizün
PWN:cat.n.01		narki
PWN:catch.v.04		nün
PWN:catch.v.04		pillaw		spa:pillado
PWN:cave.n.01		lolo
PWN:center.n.01		rangiñ
PWN:certain.a.03		rüf
PWN:cerumen.n.01		ferü pilun
PWN:chair.n.01		anüpeyüm
PWN:chair.n.01		silla		spa:silla
PWN:change.v.01		kakünun
PWN:charcoal.n.01		karfon		spa:carbón
PWN:charcoal.n.01		kuyüḻ
PWN:cheap.a.01		faratu		spa:barato
PWN:cheap.a.01		pichi falin		spa:valer
PWN:cheese.n.01		kesu		spa:queso
PWN:chew.v.01		changafün
PWN:chicken.n.02		achawall		:wallpa
PWN:child.n.01		pichi wentru
PWN:child.n.01		pichi zomo
PWN:child.n.02		püñeñ
PWN:child.n.02		yall
PWN:chili.n.02		trapi
PWN:chin.n.01		ketre
PWN:choose.v.01		zullin
PWN:chop.v.01		katrükan
PWN:cigarette.n.01		pütrem
PWN:circle.n.03		chüngküz
PWN:citizenry.n.01		che
PWN:claw.n.01		wili
PWN:clay.n.01		raq
PWN:clean.a.01		lif
PWN:cleave.v.01		triran
PWN:climb.v.01		püran
PWN:cloak.n.02		ükülla		:lliklla
PWN:clock.n.01		relo		spa:reloj
PWN:close.v.01		nürüfün
PWN:close.v.01		seran		spa:cerrar
PWN:cloud.n.02		tromü
PWN:club.n.03		karoti		spa:garrote
PWN:coat.n.01		abrigo		spa:abrigo
PWN:cock.n.04		alka
PWN:coffee.n.01		kafe		spa:café
PWN:coin.n.01		chawcha		:chawcha
PWN:coin.n.01		peso		spa:peso
PWN:cold.a.01		fürkü
PWN:cold.a.01		wütre
PWN:cold.n.01		chafo
PWN:cold.n.01		rüle
PWN:collar.n.01		kwellu		spa:cuello
PWN:colt.n.01		potrillo		spa:potrillo
PWN:comb.n.01		peine		spa:peine
PWN:comb.n.01		rünatuwe
PWN:commiseration.n.01		kutranyen
PWN:complain.v.01		kekawün		spa:quejarse
PWN:complete.v.01		wechulün
PWN:conceive.v.03		nien
PWN:condor.n.01		mañke
PWN:cone.n.03		ngülliw
PWN:conserve.v.02		zapinien
PWN:construct.v.01		zewman
PWN:contend.v.06		kewan
PWN:convict.v.01		kulpatun		spa:culpar
PWN:cook.v.02		afümiyaelün
PWN:cooked.a.01		afün
PWN:cookie.n.01		galleta		spa:galleta
PWN:copper.n.01		kelü pañilwe
PWN:corn.n.01		uwa
PWN:corner.n.03		ngüyon
PWN:cornet.n.01		kullkull
PWN:correctly.r.01		nor che
PWN:cough.v.01		trüfonün
PWN:count.v.01		rakin
PWN:cousin.n.01		lamngen
PWN:cousin.n.01		müṉa
PWN:cousin.n.01		peñi
PWN:cover.v.01		takun
PWN:cow.n.01		waka		spa:vaca
PWN:crawl.v.01		winolün
PWN:crippled.s.01		engkañngen
PWN:crisscross.n.01		kürus		spa:cruz
PWN:crooked.a.01		trümpew
PWN:crooked.a.01		wüchün
PWN:crow.n.01		yeku
PWN:crowd.n.01		rume fentren che
PWN:cry.v.02		ngüman
PWN:cry.v.02		waylü-		pue:-wjalï
PWN:cultivate.v.02		ngaṉün
PWN:cup.n.01		charu		spa:jarro
PWN:cup.n.01		tasa		spa:taza
PWN:curse.v.03		malisian		spa:maldecir
PWN:custom.n.01		wimtun
PWN:cut.v.01		katrün
PWN:damage.v.01		üñfitun
PWN:dance.v.02		purun
PWN:dandruff.n.02		chef longko
PWN:danger.n.01		kuñiw
PWN:dare.v.02		animawün		spa:animarse
PWN:dark.a.01		zumiñ
PWN:dark.n.01		zumiñ
PWN:daughter.n.01		zomo püñeñ
PWN:daughter.n.01		ñawe
PWN:dawn.n.01		epewün
PWN:day.n.01		antü		ayc:inti
PWN:day.n.05		antü
PWN:dead.a.01		ḻa
PWN:deaf.a.01		pilu
PWN:debt.n.02		zefe		spa:debe
PWN:deception.n.02		ngünenkan
PWN:deep.a.03		alükon
PWN:deer.n.01		puzu
PWN:defeat.n.01		wewngen
PWN:defend.v.03		ingkan
PWN:deity.n.01		dios/dio		spa:dios
PWN:deny.v.04		neqan		spa:negar
PWN:descend.v.01		naqün
PWN:descendants.n.01		ta ñi pu el
PWN:descendants.n.01		yom
PWN:desire.v.01		küpa
PWN:dew.n.01		iḻwen
PWN:dew.n.01		müḻfeñ
PWN:dew.n.01		trangliñi
PWN:die.v.01		faltay		spa:faltar
PWN:die.v.01		ḻay
PWN:difficult.a.01		küzawngelu
PWN:dig.v.01		rüngan
PWN:dirty.a.01		poz
PWN:disappear.v.01		ñamün
PWN:disease.n.01		kutran
PWN:dish.n.01		fwente		spa:fuente
PWN:ditch.n.01		rüngan
PWN:ditch.n.01		sanka		spa:zanja
PWN:divide.v.01		trirakan
PWN:doctor.n.01		doktor		spa:doctor
PWN:doctor.n.01		ḻaweṉtuchefe
PWN:dog.n.01		trewa
PWN:domestic_ass.n.01		furiku		spa:borrico
PWN:domestic_fowl.n.01		üñüm
PWN:dough.n.01		masa		spa:amasar
PWN:down.r.01		naqeltu
PWN:draw.v.07		entukon
PWN:dream.v.02		pewman
PWN:dream.v.02		pewütun
PWN:drink.v.01		pütun
PWN:drip.v.01		lüykün
PWN:drip.v.01		naylükün
PWN:drive.v.01		amulün
PWN:drop.v.01		müñalün
PWN:droppings.n.01		wañu		:wanu
PWN:drown.v.03		ürfin
PWN:dry.a.01		piwün
PWN:duck.n.01		patu		spa:pato
PWN:duck.n.01		wala
PWN:dumb.s.04		ketro
PWN:dust.n.01		trufken
PWN:dust.n.01		trufür
PWN:dye.v.01		tulün
PWN:eagle.n.01		kalkiñ
PWN:eagle.n.01		ñamku
PWN:ear.n.01		piluṉ
PWN:earlier.r.01		wüne
PWN:earlobe.n.01		llafkeñ piluṉ
PWN:earring.n.01		chaway
PWN:earthquake.n.01		nüyüṉ
PWN:east.n.01		puel
PWN:eat.v.01		in
PWN:edge.n.06		üpül
PWN:egg.n.02		kuram
PWN:egg_yolk.n.01		choz kuram
PWN:eight.s.01		pura
PWN:elbow.n.01		choñoy
PWN:election.n.01		zullipresizenten		spa:presidente
PWN:elementary.s.01		küzawngenolu
PWN:eleven.s.01		mari kiñe
PWN:elongate.v.01		winümün
PWN:ember.n.01		ayḻen
PWN:embrace.v.02		pangkon
PWN:empty.a.01		wellin
PWN:enchantress.n.02		kalku		:qarqu
PWN:end.n.03		afpun
PWN:end.n.09		wechuñtu
PWN:end.v.01		fentekünun
PWN:enough.r.01		alün
PWN:enter.v.01		konün
PWN:enthuse.v.01		entusiasmawün		spa:entusiasmarse
PWN:entirely.r.02		kiñen
PWN:envy.n.01		ütrir
PWN:estimate.v.01		lleqnien
PWN:estimate.v.01		mupin
PWN:evening.n.01		zumzum
PWN:exclaim.v.01		wirarün
PWN:exit.v.01		tripan
PWN:expensive.a.01		alü falin		spa:valer
PWN:explain.v.01		nütramzungun
PWN:eye.n.01		nge
PWN:eyebrow.n.01		ngeziñ
PWN:eyebrow.n.01		züñiñ
PWN:eyelash.n.01		ümi
PWN:eyelid.n.01		wente nge
PWN:fabric.n.01		pañu		spa:paño
PWN:face.n.01		ange
PWN:fail.v.03		ngüneñman
PWN:faineant.s.01		chofü
PWN:fall.n.01		rümü
PWN:fall.n.01		trafkem
PWN:fall.v.01		ütrünaqün
PWN:fall.v.23		meyuzün
PWN:family.n.02		familia		spa:familia
PWN:family.n.02		füren
PWN:famine.n.02		ngüñün
PWN:fan.n.01		mefürwe
PWN:fan.v.03		mefürün
PWN:far.r.02		kamapu
PWN:farmer.n.01		paisano		spa:paisano
PWN:fart.v.01		perkün
PWN:fast.r.01		pürüm
PWN:fat.n.01		iwiñ
PWN:father.n.01		chaw
PWN:fathom.n.01		nufkü
PWN:faulty.s.02		wezalkaley
PWN:fear.n.01		llükan
PWN:feather.n.01		pichuñ
PWN:feel.v.09		malün
PWN:female.a.01		zomo
PWN:female.s.03		zomo
PWN:female_child.n.01		maḻeṉ
PWN:fence.n.01		koral		spa:corral
PWN:fence.n.01		malal
PWN:fetid.s.01		weza ṉümüṉngey
PWN:fever.n.01		aling kutran
PWN:few.a.01		pichin
PWN:field.n.01		chaküra		:chacra
PWN:field.n.01		kampo		spa:campo
PWN:field.n.01		ketrawe
PWN:fifteen.s.01		mari kechu
PWN:find.v.03		pezan
PWN:fine.n.01		multa		spa:multa
PWN:finger.n.01		changüll
PWN:fingernail.n.01		wili
PWN:fire.n.03		kütral
PWN:fire.n.03		weywiñ
PWN:fireplace.n.01		kütralwe
PWN:firewood.n.01		mamüll
PWN:first.a.01		wünelelu
PWN:fish.n.01		challwa		:challwa
PWN:fish.v.02		challwan		:challway
PWN:fish.v.02		pekan		spa:pescar
PWN:fisherman.n.01		challwafe		:challwa
PWN:fishhook.n.01		küli
PWN:five.s.01		kechu
PWN:flat.s.01		laf
PWN:flay.v.01		lawümün
PWN:flea.n.01		nerüm
PWN:flea.n.01		pike		:pique
PWN:flee.v.01		lefmawün
PWN:flesh.n.01		füṉ
PWN:flex.v.05		müchamün
PWN:flip.v.06		ütrüfentun
PWN:float.v.02		zeñoyün
PWN:floor.n.01		püllü
PWN:flour.n.01		rüngo
PWN:flower.n.02		fülor		spa:flor
PWN:flower.n.02		rayen
PWN:fly.n.01		püḻü
PWN:fly.v.01		müpün
PWN:foam.n.01		tronün
PWN:foam.n.01		trorfan
PWN:foe.n.02		awka		:awqa, aucca
PWN:foe.n.02		kayñe
PWN:fog.n.01		trukür
PWN:fold.v.01		müchamün
PWN:follow.v.01		inan
PWN:following.s.02		püllelelu
PWN:food.n.02		iyael
PWN:foot.n.01		ṉamuṉ
PWN:footprint.n.01		pünon
PWN:forest.n.01		lemu
PWN:forget.v.02		goyman
PWN:forgive.v.01		perdonan		spa:perdonar
PWN:fork.n.01		tenedor		spa:tenedor
PWN:four.s.01		meli
PWN:fox.n.01		ngürü
PWN:fragrant.a.01		küme ṉümüṉngey
PWN:freeman.n.01		kisu ngünewkülen
PWN:freeze.v.02		trangliñün
PWN:frequently.r.01		müchaike
PWN:friend.n.01		weṉüy
