id	style	word	pronunciation
Action:can.V		умець	umʲɛt͡sʲ
Agriculture:herd (something).V		пасвіць	pasvit͡sʲ
Agriculture:irrigate.V		паліць	palit͡sʲ
Agriculture:pick.V		зрываць	zrɨvat͡sʲ
Agriculture:shovel.N		лапатка	lapatka
Agriculture:shovel.N		шуфлік	ʂuflik
Animal:Anatidae.N		качка	kaʈ͡ʂka
Animal:Annelida.N		чарвяк	ʈ͡ʂarvʲak
Animal:Araneae.N		павук	pavuk
Animal:Aves.N		птах	ptax
Animal:Aves.N		птушка	ptuʂka
Animal:Canis lupus familiaris.N		сабака	sabaka
Animal:Canis lupus.N		воўк	vɔwk
Animal:Corvus.N		варона	varɔna
Animal:Culicidae.N		камар	kamar
Animal:Diptera.N		муха	muxa
Animal:Equus ferus caballus.N		конь	kɔnʲ
Animal:Felis catus.N		кошка	kɔʂka
Animal:Formicidae.N		мурашка	muraʂka
Animal:Gallus gallus domesticus.N		курыца	kurɨt͡sa
Animal:Homo sapiens.N		чалавек	ʈ͡ʂalavʲɛk
Animal:Ovis aries.N		авечка	avʲɛʈ͡ʂka
Animal:Rhopalocera.N		матыль	matɨlʲ
Animal:Sciuridae.N		вавёрка	vavʲɔrka
Animal:Serpentes.N		змяя	zmʲaja
Animal:Sus scrofa domestica.N		свіння	svinʲːa
Animal:Ursidae.N		мядзведзь	mʲadzvʲɛdzʲ
Animal:Vulpes.N		ліса	lisa
Animal:animal.N		жывёла	ʐɨvʲɔla
Animal:fish.N		рыба	rɨba
Animal:mouse.N		мыш	mɨʂ
Animal:wool.N		воўна	vɔwna
Atmosphere:cloud.N		воблака	vɔblaka
Atmosphere:cold.A		халаднаваты	xaladnavatɨ
Atmosphere:fog.N		туман	tuman
Atmosphere:rain.N		дождж	dɔʐdʐ
Atmosphere:rain.V		дажджыць	daʐdʐɨt͡sʲ
Atmosphere:rainbow.N		вясёлка	vʲasʲɔlka
Atmosphere:sky.N		неба	nʲɛba
Atmosphere:thunder.N		гром	ɣrɔm
Atmosphere:thunder.V		грымець	ɣrɨmʲɛt͡sʲ
Atmosphere:weather.N		надворʼе	nadvɔrʼjɛ
Atmosphere:weather.N		пагода	paɣɔda
Atmosphere:wind.N		вецер	vʲɛt͡sʲɛr
Belief:deity.N		бог	bɔɣ
Belief:idol.N		фігура	fiɣura
Belief:spirit.N		дух	dux
Body:arm.N		рука	ruka
Body:back.N		спіна	spina
Body:beard.N		барада	barada
Body:belly.N		жывот	ʐɨvɔt
Body:blood.N		кроў	krɔw
Body:blow.V		дзьмухнуць	dzʲmuxnut͡sʲ
Body:body.N		цела	t͡sʲɛla
Body:bone.N		косць	kɔst͡sʲ
Body:brain.N		мозг	mɔzɣ
Body:breast.N		грудзі	ɣrudzi
Body:breath.N		дыханне	dɨxanʲːɛ
Body:breath.V		дыхаць	dɨxat͡sʲ
Body:cheek.N		шчака	ʂʈ͡ʂaka
Body:chest.N		грудзі	ɣrudzi
Body:chin.N		падбародак	padbarɔdak
Body:ear.N		вуха	vuxa
Body:elbow.N		локаць	lɔkat͡sʲ
Body:eye.N		вока	vɔka
Body:face.N		твар	tvar
Body:fat.N		тлушч	tluʂʈ͡ʂ
Body:feather.N		пяро	pʲarɔ
Body:finger.N		палец	palʲɛt͡s
Body:fingernail.N		ногаць	nɔɣat͡sʲ
Body:foot.N		нага	naɣa
Body:footprint.N		след	slʲɛd
Body:forehead.N		лоб	lɔb
Body:fur.N		шкура	ʂkura
Body:hair.N		валасы	valasɨ
Body:hair.N		волас	vɔlas
Body:hand.N		кісць	kist͡sʲ
Body:head.N		галава	ɣalava
Body:heart.N		сэрца	sɛrt͡sa
Body:heel.N		пята	pʲata
Body:heel.N		пятка	pʲatka
Body:horn.N		рог	rɔɣ
Body:jaw.N		сківіца	skivit͡sa
Body:knee.N		калена	kalʲɛna
Body:leg.N		нага	naɣa
Body:lip.N		губа	ɣuba
Body:liver.N		печань	pʲɛʈ͡ʂanʲ
Body:moustache.N		вус	vus
Body:moustache.N		вусы	vusɨ
Body:mouth.N		рот	rɔt
Body:nail.N		ногаць	nɔɣat͡sʲ
Body:nape.N		патыліца	patɨlit͡sa
Body:navel.N		пупок	pupɔk
Body:neck.N		шыя	ʂɨja
Body:nose.N		нос	nɔs
Body:obese.A		тлусты	tlustɨ
