id	style	word	pronunciation
PLX:1PL.pro		আমরা	amɔra
PLX:1SG.pro		আমি	ami
PLX:2PL.pro		তোমরা	t̪omra
PLX:2SG.pro		তুমি	t̪umi
PLX:3PL.pro		তারা	t̪ara
PLX:3SG M.pro		উনি	uni
PLX:and.cnj		আর	ar
PLX:and.cnj		এবং	ebɔŋ
PLX:because of.adp		জন্য	d͡ʒɔnːo
PLX:behind.adp		পশ্চাতে	pɔʃt͡ʃat̪e
PLX:beside.adp		কাছে	kat͡ʃʰe
PLX:can.v		পারা	para
PLX:die (from accident).V		মারা যাওয়া	mara d͡ʒaʊ̯wa
PLX:everywhere.pro		সর্বত্র	ʃɔrbot̪ro
PLX:from here.adv		ত্রই স্তান হইতে	t̪rɔi̯ st̪an ɦɔi̯t̪e
PLX:get sick.V		অসুস্থ হত্তয়া	ɔʃust̪ʰo ɦɔt̪ːowa
PLX:how many.pro		কত	kɔt̪ɔ
PLX:how.pro		কেমন	kemɔn
PLX:in front of.adp		সম্মুখে	ʃɔmːukʰe
PLX:or.cnj		বা	ba
PLX:that.pro		ওটা	oʈa
PLX:this.pro		এটা	eʈa
PLX:under.adp		নীচে	nit͡ʃe
PLX:what.pro		কি	ki
PLX:where.pro		কোথায়	kot̪ʰae̯
PLX:where_to.pro		কোথায়	kot̪ʰae̯ɔ
PLX:who.pro		কে	ke
PLX:why.pro		কেন	ken
PWN:abandon.v.02		পরিত্যাগ করা	pɔrit̪ːæɡ kɔra
PWN:abdomen.n.01		উদর	ud̪ɔr
PWN:above.r.02		উপরে	upɔre
PWN:act.v.02		করা	køra
PWN:add.v.01		একত্র করা	ekɔt̪ro kɔra
PWN:address.n.03		বক্তৃতা	bɔkt̪rit̪a
PWN:affect.v.05		হৃদয়ম্পর্শ করা	ɦrid̪ɔe̯mpɔrʃo kɔra
PWN:again.r.01		আবার	abar
PWN:age.n.01		আয়ু	aju
PWN:ahead.r.03		সন্মুখিকে	ʃɔnmukʰike
PWN:aid.n.02		সাহায্য	ʃaɦadd͡ʒo
PWN:air.n.01		বায়ু	baju
PWN:alive.a.01		জীবিত	d͡ʒibit̪
PWN:all.a.01		সব	ʃɔb
PWN:allege.v.01		উচ্চারণ করা	utt͡ʃarɔn kɔra
PWN:alone.r.02		একক	ekɔk
PWN:already.r.01		ইতঃপুর্বে	it̪ɔɦpurbe
PWN:always.r.01		সর্বদা	ʃɔrbod̪a
PWN:anger.v.01		বিরক্ত করা	birɔkt̪o kɔra
PWN:anger.v.02		রাগ হত্তয়া	raɡ ɦɔt̪ːowa
PWN:animal.n.01		জন্তু	d͡ʒɔnt̪u
PWN:animation.n.01		জীবন	d͡ʒibon
PWN:ant.n.01		পিপীলিকা	pipilika
PWN:apparel.n.01		কাপড়	kapɔɽ
PWN:apple.n.01		আপেল	apel
PWN:april.n.01		এপ্রিল	epril
PWN:apt.s.03		দক্ষ	d̪ɔkkʰo
PWN:area.n.01		ক্ষেত্র	kʰet̪ro
PWN:arise.v.03		উদিত হওয়া	ud̪it̪ ɦɔʊ̯wa
PWN:arm.n.01		বাহু	baɦu
PWN:arrive.v.01		আসা	aʃa
PWN:arrive.v.01		আসা	aʃa
PWN:arrow.n.02		বাণ	ban
PWN:ascend.v.01		ওঠা	oʈʰa
PWN:ash.n.01		ভস্ম	bʰɔʃmo
PWN:ask.v.02		প্রার্থনা করা	prart̪ʰɔna kɔra
PWN:ask.v.05		জিজ্ঞাসা করা	d͡ʒiɡːæʃa kɔra
PWN:august.n.01		অগাস্ট	ɔɡaʃʈo
PWN:aunt.n.01		মাসী	maʃi
PWN:awaken.v.01		জাগানো	d͡ʒaɡano
PWN:back.n.01		পৃষ্ঠ	priʃʈʰo
PWN:back.r.01		পিঠ	piʈʰ
PWN:back.r.02		খিরিয়া	kʰirija
PWN:bad.a.01		মন্দ	mɔnd̪o
PWN:bag.n.01		থলি	t̪ʰɔli
PWN:bake.v.02		সেকা	ʃeka
PWN:bare.s.01		উলঙ্গ	ulɔŋɡo
PWN:bark.n.01		বল্কল	bɔlkol
PWN:bark.v.04		ঘেউ ঘেউ করা	ɡʰeu̯ ɡʰeu̯ kɔra
PWN:bathe.v.01		অবগাহন করা	ɔboɡaɦɔn kɔra
PWN:battle.n.01		লড়াই	lɔɽai̯
PWN:bay.n.01		উপসাগর	upɔʃaɡɔr
PWN:be_born.v.01		জন্মানো	d͡ʒɔnmano
PWN:bear.n.01		ভল্লুক	bʰɔlːuk
PWN:beard.n.01		শ্মশ্রু	ʃːɔsru
