id	style	word	pronunciation
Action:can.V		gouzout	ɡuːzut
Agriculture:herd (something).V		geota	ɡeːta
Agriculture:irrigate.V		dourañ	duːʀã
Agriculture:pick.V		kuntuilhañ	kɔ̃ntɥilhã
Agriculture:shovel.N		pal	pɑːl
Animal:Anatidae.N		houad	huːat
Animal:Annelida.N		preñv	pʀɛ̃w
Animal:Araneae.N		kevnidenn	kɛvniːdɛ̃n
Animal:Aves.N		labous	lɑːbus
Animal:Canis lupus familiaris.N		ki	kiː
Animal:Canis lupus.N		bleiz	blɛi̯s
Animal:Corvus.N		bran	bʀɑ̃ːn
Animal:Culicidae.N		moustik	mustik
Animal:Diptera.N		kelienenn	kɛʎẽːnɛ̃n
Animal:Equus ferus caballus.N		marc'h	maʀx
Animal:Felis catus.N		kazh	kɑːs
Animal:Formicidae.N		merion	mɛʀiːɔ̃n
Animal:Gallus gallus domesticus.N		yar	jɑːʀ
Animal:Homo sapiens.N		den	dẽːn
Animal:Ovis aries.N		dañvad	dãːvat
Animal:Rhopalocera.N		balafenn	balafɛ̃n
Animal:Sciuridae.N		gwiñver	ɡwĩːvɛʀ
Animal:Serpentes.N		naer	nae̯ʀ
Animal:Sus scrofa domestica.N		pemoc'h	peːmɔx
Animal:Ursidae.N		arzh	aʀs
Animal:Vulpes.N		louarn	luːaʀn
Animal:animal.N		loen	lɔ̯ɛ̃ːn
Animal:fish.N		pesk	pɛsk
Animal:mouse.N		logodenn	lɔɡoːdɛ̃n
Animal:wool.N		gloan	ɡlɔ̯ɑ̃ːn
Atmosphere:cloud.N		koumoulenn	kumuːlɛ̃n
Atmosphere:cold.A		yen	jẽːn
Atmosphere:fog.N		brumenn	bʀyːmɛ̃n
Atmosphere:rain.N		glav	ɡlɑːw
Atmosphere:rain.V		glavañ	ɡlɑːvã
Atmosphere:rainbow.N		gwareg-ar-glav	ɡwaʀɛɡaʀɡlaw
Atmosphere:sky.N		oabl	ɔ̯abɫ
Atmosphere:thunder.N		kurun	kɔʀɔ̃n
Atmosphere:thunder.V		taranal	taʀɑ̃ːnal
Atmosphere:weather.N		amzer	ãmzɛʀ
Atmosphere:wind.N		avel	ɑːvɛl
Belief:deity.N		doue	duːɛ
Belief:idol.N		figur	fiːɡɔʀ
Belief:idol.N		skeud	skøːt
Belief:spirit.N		spered	speːʀɛt
Body:arm.N		brec'h	bʀeːx
Body:back.N		kein	kɛi̯n
Body:beard.N		barv	baʀo
Body:belly.N		kof	koːf
Body:blood.N		gwad	ɡwɑːt
Body:blow.V		c'hwezhañ	hweːzã
Body:body.N		korf	kɔʀf
Body:bone.N		askorn	askɔʀn
Body:brain.N		empenn	ɛmpɛ̃n
Body:breast.N		bronn	bʀɔ̃n
Body:breath.N		anal	ɑ̃ːnal
Body:breath.V		tennañ e anal	tɛ̃nã ɛ ɑ̃ːnal
Body:cheek.N		chot	ʃoːt
Body:chest.N		bruched	bʀyʃɛt
Body:chin.N		groñj	ɡʀɔ̃ʃ
Body:ear.N		skouarn	skuːaʀn
Body:elbow.N		ilin	iːlin
Body:eye.N		lagad	lɑːɡat
Body:face.N		dremm	dʀɛm
Body:fat.N		lard	laʀt
Body:feather.N		pluñv	plỹːw
Body:finger.N		biz	biːs
Body:fingernail.N		ivin	iːvin
Body:foot.N		troad	tʀɔ̯ɑːt
Body:forehead.N		tal	tɑːl
Body:fur.N		kreoñ	kʀẽː
Body:hair.N		blev	bleːw
Body:hand.N		dorn	dɔʀn
Body:head.N		penn	pɛ̃n
Body:heart.N		kalon	kɑːlɔ̃n
Body:heel.N		seul	søːl
Body:horn.N		korn	kɔʀn
Body:jaw.N		javed	ʒɑːvɛt
Body:knee.N		glin	ɡliːn
Body:leg.N		gar	ɡɑːʀ
Body:lip.N		muzell	myːzɛl
Body:liver.N		avu	ɑːvy
Body:moustache.N		mourenn	muːʀɛ̃n
Body:mouth.N		genoù	ɡẽːnu
Body:nail.N		ivin	iːvin
Body:nape.N		choug	ʃuːk
Body:navel.N		begel	beːɡɛl
Body:neck.N		gouzoug	ɡuːzuk
Body:nose.N		fri	fʀiː
Body:obese.A		lard	laʀt
Body:palm.N		palv	palo
Body:shoulder.N		skoaz	skɔ̯ɑːs
Body:skin.N		kroc'hen	kʀoːɣɛ̃n
Body:stomach.N		stomog	stoːmɔk
Body:tail.N		lost	lɔst
Body:tear.N		daer	dae̯ʀ
Body:tendon.N		stir	stiːʀ
Body:throat.N		gouzoug	ɡuːzuk
Body:toe.N		biz-troad	biztʀɔ̯at
Body:tongue.N		teod	teːt
Body:tooth.N		dant	dãn
Body:upper leg.N		morzhed	mɔʀzɛt
Body:vein.N		gwazhi	ɡwɑːzi
Body:wing.N		askell	askɛl
Body:wound.N		gloazadenn	ɡlɔ̯azɑːdɛ̃n
Building:board.N		plankenn	plãŋkɛ̃n
Building:build.V		sevel	seːvɛl
Building:door.N		dor	doːʀ
Building:floor.N		plañchod	plãʃɔt
Building:gate.N		portal	pɔʀtal
Building:house.N		ti	tiː
Building:post.N		sparl	spaʀɫ
Building:roof.N		toenn	tɔ̯ɛ̃n
Building:window.N		prenestr	pʀɛ̃nɛst
Cleaning:broom.N		skubell	skyːbɛl
Cleaning:clean (sth).V		naetañ	nae̯tã
Cleaning:clean.A		naet	nae̯t
Cleaning:dirt.N		fank	fãŋ
Cleaning:dirty.A		lous	luːs
Cleaning:sweep.V		skubañ	skyːbã
Cleaning:wash (oneself).V		en em walc'hiñ	ɛ̃n ɛm walxĩ
Cleaning:wash.V		gwalc'hiñ	ɡwalxĩ
Cleaning:wipe.V		torchañ	tɔʀʃã
Clothing:belt.N		gouriz	ɡuːʀis
Clothing:boot.N		botez	bɔtɛs
Clothing:button.N		bouton	butɔ̃n
Clothing:cap.N		boned	bõːnɛt
Clothing:cloth.N		danvez	dãnvɛs
Clothing:clothes.N		dilhad	diːʎat
Clothing:collar.N		gouzoug	ɡuːzuk
Clothing:dress up.V		gwiskañ	ɡwiskã
Clothing:dye.V		livañ	liːvã
Clothing:knit.V		stammañ	stãmã
Clothing:leather.N		lêr	lɛːʀ
Clothing:naked.A		noazh	nɔ̯ɑːs
Clothing:needle.N		nadoz	nɑːdɔs
Clothing:scarf or turban.N		mezher	meːzɛʀ
Clothing:sew.V		gwriat	ɡwʀiːat
Clothing:shirt.N		roc'hed	ʀoːɣɛt
Clothing:shoe.N		botez	bɔtɛs
Clothing:sleeve.N		milgin	milɡin
Clothing:thread.N		neudenn	nøːdɛ̃n
Clothing:towel.N		toailhon	tɔ̯ajːʎɔ̃n
Clothing:trousers.N		bragoù	bʀɑːɡu
Cognition:familiar.A		anavezet	ãnaveːzɛt
Cognition:true.A		gwir	ɡwiːʀ
Cognition:truth.N		gwirionez	ɡwiʀjõːnɛs
Cognition:wake up (tr).V		dihuniñ	dihɔ̃nĩ
Cognition:wake up.V		dihuniñ	dihɔ̃nĩ
Combat:brawl.V		lopañ	lɔpã
Combat:fight.N		kann	kãn
Combat:strike (sb).V		skeiñ	skɛĩ̯
Combat:violence.N		tâerder	tɑːɛʀdɛʀ
Combat:win.V		trec'hiñ	tʀeːɣĩ
Communication:boast.V		fougeal	fuɡeːal
Communication:book.N		levr	lɛvʀ
Communication:call.V		gelver	ɡɛlvɛʀ
Communication:chat.V		balbotal	balbɔtal
Communication:convey (a message).V		kemenn	keːmɛ̃n
Communication:fairy tale.N		kaoz korriganez	kao̯z kɔʀiɡɑ̃ːnɛs
Communication:kiss.V		pokat	pɔkat
Communication:language.N		yezh	jeːs
Communication:letter.N		lizher	liːzɛʀ
Communication:lie.N		gaou	ɡɔʊ̯
Communication:news.N		kelaouenn	kɛlɔʊ̯ɛ̃n
Communication:newspaper.N		kazetenn	kazɛtɛ̃n
Communication:talk.V		kaozeal	kao̯zeːal
Communication:tell.V		kontañ	kɔ̃ntã
Communication:translate.V		treiñ	tʀɛĩ̯
Communiction:call.N		galv	ɡalo
Cosmos:Sun.N		heol	heːl
Cosmos:moon.N		loar	lɔ̯ɑːʀ
Cosmos:star.N		steredenn	stɛʀeːdɛ̃n
Degree:very.ADV		-kenañ	kẽːnã
Degree:very.ADV		-tre	tʀeː
Element:Ag.N		arc'hant	aʀxãn
Element:Au.N		aour	ɔʊ̯ʀ
Element:Fe.N		houarn	huːaʀn
Emotion:be angry.V		en em fachañ	ɛ̃n ɛm faʃã
Emotion:be angry.V		fachañ	faʃã
Emotion:cry.V		gouelañ	ɡweːlã
Emotion:evil.A		gwall	ɡwal
Emotion:gentle.A		flour	fluːʀ
Emotion:grief.N		doan	dɔ̯ɑ̃ːn
Emotion:happiness.N		chañs	ʃãːs
Emotion:like.V		karout	kɑːʀut
Emotion:longing.N		c'hoant	hɔ̯ãn
Emotion:love.V		karout	kɑːʀut
Emotion:merry.A		laouen	lɔʊ̯ɛ̃n
Emotion:move.V		tenerañ	tɛ̃neːʀã
Emotion:sad.A		trist	tʀist
Emotion:want.V		fellout da	fɛlut da
Emotion:want.V		kaout c'hoant da	kɔʊ̯t xɔ̯ãnt da
Family:aunt.N		moereb	mɔ̯ɛːʀɛp
Family:brother.N		breur	bʀøːʀ
Family:daughter.N		merc'h	mɛʀx
Family:family.N		familh	fɑ̃ːmiʎ
Family:father.N		tad	tɑːt
Family:grandfather.N		tad-kozh	tadkɔs
Family:grandmother.N		mamm-gozh	mãmɡɔs
Family:husband.N		gwaz	ɡwɑːs
Family:mother.N		mamm	mãm
Family:parents.N		kerent	keːʀɛ̃n
Family:sister.N		c'hoar	hɔ̯aʀ
Family:son.N		mab	mɑːp
Family:uncle.N		eontr	ẽːnt
Family:wife.N		gwreg	ɡwʀɛk
Food:Camellia sinensis.N		te	teː
Food:Malus domestica.N		aval	ɑːval
Food:NaCl.N		holen	hoːlɛ̃n
Food:bake.V		fritañ	fʀitã
Food:bread.N		bara	bɑːʀa
Food:soup.N		soubenn	suːbɛ̃n
Form:bend (sth).V		krommañ	kʀɔmã
Form:bend.V		plegañ	pleːɡã
Function:1PL.PRO		ni	niː
Function:1SG.PRO		me	meː
Function:2PL.PRO		c'hwi	hwi
Function:2SG.PRO		te	teː
Function:3PL.PRO		int	in
Function:3SG M.PRO		eñ	ɛ̃
Function:and.CNJ		ha	hɑː
Function:here.ADV		amañ	ɑ̃ːmã
Function:how many.PRO		pet	peːt
Function:how.PRO		penaos	pẽːnao̯s
Function:not.PTCL		ne ... ket	nɛ ... kɛt
Function:or.CNJ		pe	peː
Function:other.PRO		all	al
Function:that.PRO		hennezh	hɛ̃nɛs
Function:that.PRO		se	seː
Function:there.ADV		ahont	ahɔ̃n
Function:there.ADV		aze	ɑːzɛ
Function:this.PRO		hemañ	heːmã
Function:what.PRO		petra	pɛtʀa
Function:where.PRO		pelec'h	peːlɛx
Function:who.PRO		piv	piːw
Function:why.PRO		perak	peːʀak
Grooming:comb.N		krib	kʀiːp
Grooming:comb.V		kribat	kʀiːbat
Grooming:decorate.V		kinklañ	kĩŋklã
Grooming:mirror.N		melezour	mɛleːzuʀ
Grooming:ring.N		gwalenn	ɡwɑːlɛ̃n
Handiwork:glue.V		pegañ	peːɡã
Handiwork:nail.N		tach	tɑːʃ
Handiwork:repair.V		adaozañ	adao̯zã
Handiwork:ware.N		marc'hadourezh	maʀxaduːʀɛs
Handiwork:worker.N		labourer	labuːʀɛʀ
Handiwork:worker.N		micherour	miʃeːʀuʀ
Health:become sick.V		klañviñ	klãːvĩ
Health:disease.N		klañved	klãːvɛt
Health:fever.N		terzhienn	tɛʀziːɛ̃n
Health:healthy.A		yec'hed	jeːɣɛt
Health:medicine.N		louzoù	luːzu
Health:physician.N		medisin	mɛdisin
Health:physician.N		mezeg	meːzɛk
Health:recover.V		pareañ	paʀeːã
House:bed.N		gwele	ɡweːlɛ
House:blanket.N		golo	ɡoːlɔ
House:cradle.N		kavell	kɑːvɛl
House:pillow.N		goubenner	ɡubɛ̃nɛʀ
House:table.N		taol	tao̯l
Hunting:bow.N		gwareg	ɡwɑːʀɛk
Hunting:fishing.V		pesketa	pɛskɛta
Hunting:hunt.V		chaseal	ʃaseːal
Interaction:choose.V		choaz	ʃɔ̯ɑːs
Interaction:rescue.V		saveteiñ	savɛtɛĩ̯
Mind:dream.N		hune	hɔ̃nɛ
Motion:arrive.V		erruout	ɛʀyːut
Motion:bring.V		degas	deːɡas
Motion:carry.V		dougen	duːɡɛ̃n
Motion:catch.V		tapañ	tapã
Motion:climb.V		krimpat	kʀimpat
Motion:come back.V		addonet	adõːnɛt
Motion:come.V		dont	dɔ̃n
Motion:creep.V		skrampañ	skʀãmpã
Motion:drag.V		stlejal	stleːʒal
Motion:drop (something).V		laoskel	lao̯skɛl
Motion:drop (something).V		lezel da gouezhel	lɛzɛl da ɡweːzɛl
Motion:enter.V		monet e-barzh	mɔ̃nɛt eːbaʀs
Motion:fall.V		kouezhañ	kweːzã
Motion:fly.V		nijal	niːʒal
Motion:go.V		mont	mɔ̃n
Motion:leave.V		mont kuit	mɔ̃nt kɥit
Motion:lift.V		sevel	seːvɛl
Motion:move (oneself).V		bouljal	bulʒal
Motion:raise.V		sevel	seːvɛl
Motion:step.V		kerzhet	kɛʀzɛt
Motion:swing.V		froumal	fʀuːmal
Motion:take a walk.V		pourmen	puʀmɛ̃n
Motion:turn (sth).V		treiñ	tʀɛĩ̯
Motion:walk.N		kerzh	kɛʀs
Music:sing.V		kanañ	kɑ̃ːnã
Music:song.N		kanaouenn	kãnɔʊ̯ɛ̃n
Music:tone.N		ton	tõːn
Nature:river.N		stêr	stɛːʀ
Nature:sea.N		mor	moːʀ
Nature:shore of lake.N		ribl	ʀibɫ
Nature:slope.N		naou	nɔʊ̯
People:boy.N		paotr	pao̯t
People:child.N		bugel	byːɡɛl
People:girl.N		plac'h	plɑːx
People:man.N		den	dẽːn
People:people.N		tud	tyːt
People:woman.N		maouez	mɔʊ̯ɛs
Perception:feel.V		santout	sãntut
Perception:hear or listen.V		merzhañ	mɛʀzã
Perception:hear.V		klevet	kleːvɛt
Perception:touch.V		touch	tuːʃ
Plant:Betula.N		bezvenn	bɛzvɛ̃n
Plant:branch.N		barr	bɑːʀ
Plant:flower.N		bleunienn	blø̃niːɛ̃n
Plant:leaf.N		delienn	dɛliːɛ̃n
Plant:root.N		gwrizienn	ɡwʀiziːɛ̃n
Plant:seed.N		had	hɑːt
Plant:tree trunk.N		kef	keːf
Plant:tree.N		gwezenn	ɡweːzɛ̃n
Plant:twig.N		bod	boːt
Possession:abandon.V		lezel	leːzɛl
Possession:gift.N		prof	pʀoːf
Possession:poor.A		paour	pɔʊ̯ʀ
Possession:price.N		priz	pʀiːs
Possession:rich.A		pinvidik	pinviːdik
