id	style	word	pronunciation
PLX:1PL.pro		mi	mi
PLX:1SG.pro		je	d͡ʑʉ
PLX:2PL.pro		mawé	maˈwɛ
PLX:2SG.pro		un	on
PLX:and.cnj		óor	ˈɔːr
PLX:can.v		--man-	man
PLX:die (from accident).V		taḍák	t̪aˈɖak
PLX:everywhere.pro		c̣háa	ˈʈ͡ʂʰaː
PLX:from here.adv		khitélum	kʰiˈt̪ɛlom
PLX:get sick.V		-ṣuuṭám	ʂuːʈˈam
PLX:how.pro		goón	ɡɔˈɔn
PLX:or.cnj		yáa	ˈjaː
PLX:that.pro		isé	iˈsɛ
PLX:this.pro		gusé	ɡoˈsɛ
PLX:what.pro		bésan	ˈbɛsan
PLX:where.pro		ámulo	ˈamolɔ
PLX:where_to.pro		ámular	ˈamolar
PLX:who.pro		men	mʉn
PLX:why.pro		bése	ˈbɛsʉ
PWN:abandon.v.02		phat	pʰat̪
PWN:abdomen.n.01		-úl	ˈul
PWN:above.r.02		yáṭe	ˈjaʈʉ
PWN:act.v.02		-t-	t̪
PWN:add.v.01		káa -t-	ˈkaː t̪
PWN:address.n.03		ġaríṣ	ɡ̇aˈriʂ
PWN:affect.v.05		gargaár	ɡarɡaˈar
PWN:age.n.01		úmur	ˈumor
PWN:ahead.r.03		zaq	zaq
PWN:aid.n.02		kumék	koˈmɛk
PWN:air.n.01		hawáa	haˈwaː
PWN:alive.a.01		jíindo	ˈd͡ʑiːnd̪ɔ
PWN:all.a.01		béskum	ˈbɛskom
PWN:allege.v.01		sén-	ˈsɛn
PWN:alone.r.02		hínuman	ˈhinoman
PWN:alone.r.02		tanháa	t̪anˈhaː
PWN:always.r.01		ćham	t͡ɕʰɛm
PWN:animal.n.01		jaanwár	d͡ʑɛanˈwar
PWN:animation.n.01		jií	d͡ʑiˈi
PWN:ant.n.01		khon	kʰɔn
PWN:apparel.n.01		poośáak	pɔːˈɕaːk
PWN:apple.n.01		báalt	ˈbaːlt̪
PWN:apt.s.03		hoośidáar	hɔːɕiˈd̪aːr
PWN:apt.s.03		huśáar	hoˈɕaːr
PWN:area.n.01		alaaqá	alaːˈqa
PWN:arise.v.03		dáal man-	ˈd̪aːl man
PWN:arm.n.01		-śák	ˈɕak
PWN:arrive.v.01		d-ṣqalt-	d̪ʂqalt̪
PWN:arrive.v.01		j̣ú-	ˈɖ͡ʐu
PWN:arrow.n.02		hunċ	hont͡ṡ
PWN:ascend.v.01		du-ús-	d̪oˈus
PWN:ash.n.01		phétin	ˈpʰɛt̪in
PWN:ask.v.02		buyát ét-	boˈjat̪ ˈɛt̪
PWN:ask.v.05		d-ġarus-	d̪ɡ̇aros
PWN:aunt.n.01		nána	ˈnana
PWN:back.n.01		-wáldas	ˈwald̪as
PWN:back.r.01		waaphás	waːˈpʰas
PWN:back.r.02		-lji	ld͡ʑi
PWN:bad.a.01		ġanáqiṣ	ɡ̇aˈnaqiʂ
PWN:bake.v.02		phal -t-	pʰal t̪
PWN:bare.s.01		biisatár	biːsaˈt̪ar
PWN:bark.n.01		waṭ	waʈ
PWN:bark.v.04		ġam ét-	ɡ̇am ˈɛt̪
PWN:bark.v.04		waowáo ét-	waɔˈwaɔ ˈɛt̪
PWN:bathe.v.01		ġutá	ɡ̇oˈt̪a
PWN:battle.n.01		hólguṣ	ˈhɔlɡoʂ
PWN:battle.n.01		jaṅ	d͡ʑɛṅ
PWN:be_born.v.01		du-mán-	d̪oˈman
PWN:bear.n.01		ya	jɛ
PWN:beard.n.01		-ṅí	ṅˈi
PWN:beautiful.a.01		giỵumaáro	ɡiɻomaˈarɔ
PWN:become.v.01		talén-	t̪aˈlɛn
PWN:bed.n.01		-yáariki	ˈjaːriki
PWN:begin.v.03		śurúu man-	ɕoˈruo man
PWN:believe.v.01		baawár	baːˈwar
PWN:believe.v.01		ċhan b-	t͡ṡhan b
PWN:beloved.s.01		jií	d͡ʑiˈi
PWN:belt.n.02		ikán	iˈkan
PWN:bend.v.01		maráq -t-	maˈraq t̪
PWN:benefit.n.02		phaidá	pʰaiˈd̪a
PWN:berry.n.01		gabíla	ɡaˈbila
PWN:birch.n.02		tal	t̪al
PWN:bird.n.01		balás	baˈlas
PWN:bird.n.01		parindá	parinˈd̪a
PWN:bite.v.01		gaṭ- -íć-	ɡaʈ ˈit͡ɕ
PWN:bitter.s.06		ġaqáỵ	ɡ̇aˈqaɻ
PWN:black.a.01		matúm	maˈt̪um
PWN:blanket.n.01		gáli	ˈɡali
PWN:blast.v.07		tran -t-	t̪ran t̪
PWN:blind.a.01		śon	ɕɔn
PWN:blood.n.01		multán	molˈt̪an
PWN:blood.n.01		qhúun	ˈqʰuon
PWN:blow.v.01		dam ét	d̪am ˈɛt̪
PWN:blow.v.02		guċhár-	ɡoʈ͡ʂˈhar
PWN:blue.s.01		diṅ	d̪iṅ
PWN:blue.s.01		ṣiqám	ʂiˈqam
PWN:blunt.s.02		phaṭ	pʰaʈ
PWN:board.n.02		balk	balk
PWN:boast.v.01		du-phóġur-	d̪oˈpʰɔɡ̇or
PWN:boast.v.01		hóp ét-	ˈhɔp ˈɛt̪
PWN:body.n.01		waṭ	waʈ
PWN:boil.v.01		bápaỵ-	ˈbapaɻ
PWN:boil.v.03		d-ċir-	d̪t͡ṡir
PWN:boil.v.03		maṣ man-	maʂ man
PWN:bone.n.01		guśpúr	ɡoɕˈpur
PWN:boot.n.01		kóori	ˈkɔːri
PWN:botch.v.01		quśál-	qoˈɕal
PWN:boundary_line.n.01		muś	moɕ
PWN:boundary_line.n.01		ṣaṅ	ʂaṅ
PWN:box.n.01		ċháġur	t͡ṡˈhaɡ̇or
PWN:brain.n.01		máto	ˈmat̪ɔ
PWN:branch.n.02		ṣar	ʂar
PWN:branchlet.n.01		gac̣hé	ɡaˈʈ͡ʂʰɛ
PWN:bread.n.01		pháqo	ˈpʰaqɔ
PWN:break.v.05		-yál-	ˈjal
PWN:break.v.05		d-palt-	d̪palt̪
PWN:breast.n.02		-sóġut	ˈsɔɡ̇ot̪
PWN:breath.n.02		muṣ	moʂ
PWN:breath.n.02		ṣĩ́ĩ	ʂĩ́ĩ
PWN:breathe.v.01		dam dusú-	d̪am d̪oˈsu
PWN:bridge.n.01		galtór	ɡalˈt̪ɔr
PWN:bright.a.01		giỵúmo	ɡiˈɻumɔ
PWN:broom.n.01		phópus	ˈpʰɔpos
PWN:brother.n.01		kaká	kaˈka
PWN:brother.n.01		kaáko	kaˈakɔ
PWN:brow.n.01		-pháṭi	ˈpʰaʈi
PWN:bucket.n.01		kháći	ˈkʰat͡ɕi
PWN:bundle.n.02		báṭo	ˈbaʈɔ
PWN:bundle.n.02		japá	d͡ʑɛˈpa
PWN:burn.v.03		lam man-	lam man
PWN:burn.v.07		-squl-	sqol
PWN:business.n.01		kásap	ˈkasap
PWN:butter.n.01		maltáṣ	malˈt̪aʂ
PWN:butterfly.n.01		hoólalas	hɔˈɔlalas
PWN:button.n.01		śuṭúko	ɕoˈʈukɔ
PWN:buy.v.01		gáṣar gán-	ˈɡaʂar ˈɡan
PWN:calculate.v.01		-ċhán-	t͡ṡˈhan
PWN:calendar_month.n.01		hísa	ˈhisa
PWN:call.v.05		awáaz ét-	aˈwaːz ˈɛt̪
PWN:cap.n.01		phárċin	ˈpʰart͡ṡin
PWN:cat.n.01		bambulá	bamboˈla
PWN:cat.n.01		buś	boɕ
PWN:catch.v.04		ġark-	ɡ̇ark
PWN:cause.n.01		sabáp	saˈbap
PWN:cause.n.01		wája	ˈwad͡ʑɛ
PWN:cave.n.01		ġarbáanċ	ɡ̇arˈbaːnt͡ṡ
PWN:cave.n.01		ġáar	ɡ̇ˈaːr
PWN:cavil.v.01		ṣiíq man-	ʂiˈiq man
PWN:change.v.01		badál -t-	baˈd̪al t̪
PWN:cheek.n.01		-móqiṣ	ˈmɔqiʂ
PWN:cherished.s.01		qaimatí	qaimaˈt̪i
PWN:chicken.n.02		qarqaámuċ	qarqaˈamot͡ṡ
PWN:child.n.01		pharzán	pʰarˈzan
PWN:chin.n.01		-sán	ˈsan
PWN:chop.v.01		ćak -t-	t͡ɕɛk t̪
PWN:circle.n.03		biḍíro giṣií	biɖˈirɔ ɡiʂiˈi
PWN:citizenry.n.01		yáltar-gáltar	ˈjalt̪arˈɡalt̪ar
PWN:claw.n.01		bilċóṅ	bilt͡ṡˈɔṅ
PWN:claw.n.01		ćaṅ	t͡ɕɛṅ
PWN:clean.v.01		paakizá -t-	paːkiˈza t̪
PWN:climb.v.01		du-ús-	d̪oˈus
PWN:close.v.01		ṭam	ʈam
PWN:cloud.n.02		burúnc̣	boˈrunʈ͡ʂ
PWN:coal.n.01		háas	ˈhaːs
PWN:cock.n.04		qarqaámuċ	qarqaˈamot͡ṡ
PWN:cold.a.01		ćhaġúrum	t͡ɕʰɛɡ̇ˈurom
PWN:coldness.n.03		ćhaġúrum	t͡ɕʰɛɡ̇ˈurom
PWN:colorful.a.01		ġareéỵ	ɡ̇arʉˈɛɻ
PWN:comb.n.01		hisk	hisk
PWN:comb.v.01		ṣaq -t-	ʂaq t̪
PWN:commend.v.01		d--puqur-	d̪poqor
PWN:companion.n.01		yáar	ˈjaːr
PWN:company.n.03		gúni	ˈɡuni
PWN:complete.v.01		d-ċi-	d̪t͡ṡi
PWN:connect.v.01		jóoṭ -t-	ˈd͡ʑɔːʈ t̪
PWN:construct.v.01		ċáko	t͡ṡˈakɔ
PWN:converse.v.01		ćaġabár ét	t͡ɕɛɡ̇aˈbar ˈɛt̪
PWN:cook.v.02		tayáar -t-	t̪aˈjaːr t̪
PWN:corner.n.03		kóona	ˈkɔːna
PWN:corpulent.s.01		bumbú	bomˈbu
PWN:correctly.r.01		ġarúso	ɡ̇aˈrusɔ
PWN:cough.v.01		qhoq	qʰɔq
PWN:count.n.01		taadáat	t̪aːˈd̪aːt̪
PWN:count.v.01		-ċhán-	t͡ṡˈhan
PWN:country.n.02		yult	jolt̪
PWN:cover.v.01		tap -t-	t̪ap t̪
PWN:cow.n.01		buá	boˈa
PWN:cradle.n.01		goorá	ɡɔːˈra
PWN:crawl.v.01		qhaṣ man-	qʰaʂ man
PWN:crow.n.01		ġa	ɡ̇a
PWN:cry.n.01		qáo	ˈqaɔ
PWN:cry.v.02		jíjir	ˈd͡ʑid͡ʑir
PWN:cry.v.02		kṹũ	kṍõ
PWN:cuckoo.n.02		kápo	ˈkapɔ
PWN:cup.n.01		piaalá	piaːˈla
PWN:current.n.02		hurúginas	hoˈruɡinas
PWN:cut.v.01		-skarċ-	skart͡ṡ
PWN:damage.n.01		j̣úkus	ˈɖ͡ʐukos
PWN:damp.s.01		haġúm	haɡ̇ˈum
PWN:dance.v.02		naṭ ét	naʈ ˈɛt̪
PWN:daughter.n.01		-i	i
PWN:day.n.01		gunċ	ɡont͡ṡ
PWN:deaf.a.01		kúuṭo	ˈkuoʈɔ
PWN:death.n.01		-íraskuṣ	ˈiraskoʂ
PWN:decompose.v.03		ġas-	ɡ̇as
PWN:decorate.v.01		giỵumaár	ɡiɻomaˈar
PWN:decrease.v.01		śal man-	ɕɛl man
PWN:deft.s.01		hunarćán	honarˈt͡ɕan
PWN:deity.n.01		damán	d̪aˈman
PWN:depart.v.03		qhiqháṣ man-	qʰiˈqʰaʂ man
PWN:descend.v.01		ġúya	ˈʁujɛ
PWN:desire.n.01		pasandidaarí	pasand̪id̪aːˈri
PWN:destroy.v.02		gaćheéś -t-	ɡat͡ɕʰʉˈɛɕ t̪
PWN:detect.v.01		leél	lʉˈɛl
PWN:die.v.01		-ír-	ˈir
PWN:dig.v.01		biráq-	biˈraq
PWN:digest.v.03		jaré -t-	d͡ʑɛˈrɛ t̪
PWN:dirt.n.02		ther	t̪ʰʉr
PWN:dirty.a.01		gandá	ɡanˈd̪a
PWN:disappear.v.01		gumnáam	ɡomˈnaːm
PWN:discontinue.v.01		qáqar man-	ˈqaqar man
PWN:disease.n.01		róok	ˈrɔːk
PWN:divide.v.01		traṅ -t-	t̪raṅ t̪
PWN:doctor.n.01		ḍakṭár	ɖakʈˈar
PWN:dog.n.01		huk	hok
PWN:doll.n.01		mináis	miˈnais
PWN:down.r.01		qhan ne	qʰan nʉ
PWN:drag.v.01		daldál	d̪alˈd̪al
PWN:dream.n.01		-yáṅ	ˈjaṅ
PWN:dress.v.01		ḍres	ɖrʉs
PWN:drink.v.01		min-	min
PWN:drive.v.01		guċhár-	ɡot͡ṡˈhar
PWN:drive.v.15		d-l-	d̪l
PWN:drop.n.01		thiś	t̪ʰiɕ
PWN:drop.n.01		ćhuṭ	t͡ɕʰoʈ
PWN:drove.n.02		brin	brin
PWN:dry.a.01		jaḍáo	d͡ʑɛˈɖaɔ
PWN:dry.v.01		-spiỵ-	spiɻ
PWN:duck.n.01		pháriṣ	ˈpʰariʂ
PWN:dust.n.01		qhandál	qʰanˈd̪al
PWN:dust.n.01		qhurċ	qʰort͡ṡ
PWN:dye.v.01		raṅ déli-	raṅ ˈd̪ɛli
PWN:eagle.n.01		gármun	ˈɡarmon
PWN:ear.n.01		-ltúmal	lˈt̪umal
PWN:earlier.r.01		púrme	ˈpurmʉ
PWN:east.n.01		jil manáas	d͡ʑil maˈnaːs
PWN:eat.v.01		qhaḍáp	qʰaˈɖap
PWN:eat.v.01		ćiqćáq	t͡ɕiqˈt͡ɕaq
PWN:edge.n.06		muś	moɕ
PWN:egg.n.02		ṭiṅán	ʈiṅˈan
PWN:eight.s.01		altámbo	alˈt̪ambɔ
PWN:eighty.s.01		wálti-áltar	ˈwalt̪iˈalt̪ar
PWN:elapse.v.01		dáal man-	ˈd̪aːl man
PWN:elbow.n.01		-súsun	ˈsuson
PWN:eleven.s.01		turma-hín	t̪ormaˈhin
PWN:emerge.v.01		du-ús-	d̪oˈus
PWN:employment.n.02		durumás	d̪oroˈmas
PWN:empty.a.01		phuṣ	pʰoʂ
PWN:end.n.03		qhátum	ˈqʰat̪om
PWN:end.n.09		muś	moɕ
PWN:end.v.01		phaṣ man-	pʰaʂ man
PWN:entirely.r.02		sírip	ˈsirip
PWN:evening.n.01		śaám	ɕɛˈam
PWN:evil.a.01		baġárk	baɡ̇ˈark
PWN:exchange.v.01		phiraák -t-	pʰiraˈak t̪
PWN:exclaim.v.01		ãã́ĩ	ãã́ĩ
PWN:exit.v.01		ní-	ˈni
PWN:expensive.a.01		-yarum	jɛrom
PWN:extraneous.s.03		jamíp	d͡ʑɛˈmip
PWN:eye.n.01		-lćin	lt͡ɕin
PWN:face.n.01		-skil	skil
PWN:face.n.01		ruq	roq
PWN:faineant.s.01		abádo	aˈbad̪ɔ
PWN:fairytale.n.01		minás	miˈnas
PWN:fall.n.01		datú	d̪aˈt̪u
PWN:fall.v.01		bas-	bas
PWN:fall_asleep.v.01		philíṭ man-	pʰiˈliʈ man
PWN:familiar.a.01		páta	ˈpat̪a
PWN:family.n.02		noós	nɔˈɔs
PWN:faraway.s.01		mathán	maˈt̪ʰan
PWN:fat.n.01		bis	bis
PWN:fat.n.01		halél	haˈlɛl
PWN:father.n.01		táti	ˈt̪at̪i
PWN:fault.n.06		uṣ	oʂ
PWN:fear.v.01		ar	ar
PWN:fear.v.01		gusú-	ɡoˈsu
PWN:feather.n.01		phulġúuy	pʰolɡ̇ˈuoj
PWN:feed.v.01		lap --t-	lap t̪
PWN:female_child.n.01		dasín	d̪aˈsin
PWN:fence.n.01		buśúṣ	boˈɕuʂ
PWN:fever.n.01		datáġar	d̪aˈt̪aɡ̇ar
PWN:fill.v.01		--biran-	biran
PWN:find.v.03		d--ġurk-	d̪ɡ̇ork
PWN:fine-looking.s.01		babúk	baˈbuk
PWN:fine.a.05		naazúk	naːˈzuk
PWN:finger.n.01		-miṣ	miʂ
PWN:fingernail.n.01		-úri	ˈuri
PWN:fir.n.02		gaśí	ɡaˈɕi
PWN:fire.n.03		phu	pʰo
PWN:firm.s.02		saabúut	saːˈbuot̪
PWN:first.a.01		yarkamáas	jɛrkaˈmaːs
PWN:first.r.02		awál	aˈwal
PWN:fish.n.01		ćhúmo	ˈt͡ɕʰumɔ
PWN:five.s.01		ċhundó	t͡ṡhonˈd̪ɔ
PWN:fix.v.12		sap	sap
PWN:flat.s.01		rat	rat̪
PWN:flee.v.01		di-phírċ-	d̪iˈpʰirt͡ṡ
PWN:flex.v.05		maś	maɕ
PWN:flip.v.06		biśá-	biˈɕa
PWN:floor.n.01		pharś	pʰarɕ
PWN:flower.n.02		asqúr	asˈqur
PWN:fly.n.01		phin	pʰin
PWN:fly.v.01		tar dél-	t̪ar ˈd̪ɛl
PWN:foam.n.01		phíimiṅ	ˈpʰiːmiṅ
PWN:foe.n.02		ġaqúċ	ɡ̇aˈqut͡ṡ
PWN:fog.n.01		qhurónc̣	qʰoˈrɔnʈ͡ʂ
PWN:foot.n.01		-úṭ	ˈuʈ
PWN:footprint.n.01		asár	aˈsar
PWN:footprint.n.01		darák	d̪aˈrak
PWN:forest.n.01		muṣk	moʂk
PWN:forget.v.02		til	t̪il
PWN:fork.n.01		jaqár	d͡ʑɛˈqar
PWN:form.n.03		galtáṣ	ɡalˈt̪aʂ
PWN:form.n.03		phíṭi	ˈpʰiʈi
PWN:forty.s.01		altó-áltar	alˈt̪ɔˈalt̪ar
PWN:four.s.01		wálto	ˈwalt̪ɔ
PWN:fox.n.01		hal -jó	hal ˈd͡ʑɔ
PWN:fox.n.01		lói -muċ	ˈlɔi mot͡ṡ
PWN:frequently.r.01		aksár	akˈsar
PWN:fresh.a.01		thoṣ	t̪ʰɔʂ
PWN:friday.n.01		śúkuro	ˈɕukorɔ
PWN:friend.n.01		sómo	ˈsɔmɔ
PWN:friend.n.01		śulgúin	ɕolˈɡuin
PWN:frost.n.01		káṭi	ˈkaʈi
PWN:fry.v.02		qhaqhár	qʰaˈqʰar
PWN:full.a.01		ṣek	ʂʉk
PWN:fume.v.02		min-	min
PWN:fur.n.03		yópuṣ	ˈjɔpoʂ
PWN:game.n.01		hawás	haˈwas
PWN:gate.n.01		hiṅ	hiṅ
PWN:gateway.n.01		hiṅ	hiṅ
PWN:gather.v.01		gáṭi -t-	ˈɡaʈi t̪
PWN:gay.s.02		śiríṅo	ɕiˈriṅɔ
PWN:gentle.s.01		sumúdur	soˈmud̪or
PWN:get.v.01		d-ú-mar-	d̪ˈumar
PWN:get_down.v.07		du-ġúiskin-	d̪oɡ̇ˈuiskin
PWN:get_up.v.02		dal dié-	d̪al d̪iˈɛ
PWN:gift.n.01		toophá	t̪ɔːˈpʰa
PWN:give.v.03		-ġún-	ɡ̇ˈun
PWN:glass.n.01		śiśá -muċ	ɕiˈɕa mot͡ṡ
PWN:gold.n.03		altún	alˈt̪un
PWN:good.a.01		daltás	d̪alˈt̪as
PWN:goose.n.01		badbát	bad̪ˈbat̪
PWN:goose.n.01		síndiṣ	ˈsind̪iʂ
PWN:grain.n.08		phal	pʰal
PWN:grain.n.08		tumáqe phindár	t̪oˈmaqʉ pʰinˈd̪ar
PWN:grandfather.n.01		bapó	baˈpɔ
PWN:grandma.n.01		-pi	pi
PWN:grasp.v.01		ġark-	ɡ̇ark
PWN:grass.n.01		ṣiqá	ʂiˈqa
PWN:grassland.n.01		góos	ˈɡɔːs
PWN:grave.n.02		qam	qam
PWN:green.s.01		diṅ	d̪iṅ
PWN:green.s.01		ṣiqám	ʂiˈqam
PWN:grey.s.01		ṣiqám	ʂiˈqam
PWN:grief.n.02		durmúś	d̪orˈmuɕ
PWN:grief.n.02		jariaár	d͡ʑɛriaˈar
PWN:groan.v.01		kuúr	ˈkuːr
PWN:grow.v.03		daltalén-	d̪alt̪aˈlɛn
PWN:guest.n.01		oóśin	ɔˈɔɕin
PWN:gun.n.01		tubáq	t̪oˈbaq
PWN:hair.n.01		bur	bor
PWN:hand.n.01		-ríiṅ	ˈriːṅ
PWN:handle.n.01		yan	jɛn
PWN:hang.v.01		di-ċhígin-	d̪it͡ṡˈhiɡin
PWN:hang.v.02		d-ċikin-	d̪t͡ṡikin
PWN:happiness.n.01		baqt	baqt̪
PWN:happiness.n.01		barkát	barˈkat̪
PWN:hard.a.03		ḍaṅ	ɖaṅ
PWN:hard.a.03		kuráaṭi	koˈraːʈi
PWN:hardworking.s.01		sugúuỵo	soˈɡuoɻɔ
PWN:hare.n.01		sar	sar
PWN:hark_back.v.01		waaphás man-	waːˈpʰas man
PWN:hay.n.01		buyám ṣiqá	boˈjam ʂiˈqa
PWN:head.n.01		gapál	ɡaˈpal
PWN:healthy.a.01		śimśíit	ɕimˈɕiːt̪
PWN:hear.v.01		d-yal-	d̪jɛl
PWN:heart.n.02		-s	s
PWN:heat.n.01		garúrumkuṣ	ɡaˈruromkoʂ
PWN:heavy.a.01		sutúulo	soˈt̪uolɔ
PWN:heavy.a.01		túliki	ˈt̪uliki
PWN:heel.n.02		-ġáan	ɡ̇ˈaːn
PWN:height.n.01		tháanumkuṣ	ˈt̪ʰaːnomkoʂ
PWN:herd.n.01		roóm	rɔˈɔm
PWN:here.r.01		akhíile	aˈkʰiːlʉ
PWN:here.r.03		khíti	ˈkʰit̪i
PWN:hide.n.02		baṭ	baʈ
PWN:hide.v.01		ćap -t-	t͡ɕɛp t̪
PWN:hide.v.02		ćap -t-	t͡ɕɛp t̪
PWN:hill.n.01		ćhiṣ	t͡ɕʰiʂ
PWN:hog.n.03		daġánus	d̪aɡ̇ˈanos
PWN:hold.v.02		óos-	ˈɔːs
PWN:hole.n.01		ġuṭóopus	ɡ̇oʈˈɔːpos
PWN:hole.n.01		il	il
PWN:honey.n.01		mac̣híi	maˈʈ͡ʂʰiː
PWN:hook.n.05		khaỵ	kʰaɻ
PWN:horn.n.02		-ltúr	lˈt̪ur
PWN:horse.n.01		haġúr	haɡ̇ˈur
PWN:hot.a.01		garúrum	ɡaˈrurom
PWN:house.n.01		ha	ha
PWN:house.n.01		manzíl	manˈzil
PWN:howl.v.02		huhúu ét-	hoˈhuo ˈɛt̪
PWN:hundred.s.01		tha	t̪ʰa
PWN:hunger.n.01		c̣hámine	ˈʈ͡ʂʰaminʉ
PWN:hungry.a.01		c̣hámine	ˈʈ͡ʂʰaminʉ
PWN:hungry.a.01		qaq	qaq
PWN:hunt.v.01		darú ét-	d̪aˈru ˈɛt̪
PWN:hurt.v.06		-qhól-	ˈqʰɔl
PWN:husband.n.01		-úyar	ˈujɛr
PWN:ice.n.01		ġamú	ɡ̇aˈmu
PWN:idea.n.01		phíkar	ˈpʰikar
PWN:ignite.v.01		d--kukin-	d̪kokin
PWN:ill.a.01		beemáar	bɛːˈmaːr
PWN:immediately.r.01		hik nalaá	hik nalaˈa
PWN:immediately.r.01		ćaár	t͡ɕɛˈar
PWN:indicate.v.02		--tir-	t̪ir
PWN:insert.v.01		gaṭ- -íć-	ɡaʈ ˈit͡ɕ
PWN:invite.v.02		qáo ét-	ˈqaɔ ˈɛt̪
PWN:iron.n.01		ćímar	ˈt͡ɕimar
PWN:item.n.01		dusċák	d̪ost͡ṡˈak
PWN:jaw.n.01		-mélc̣	ˈmɛlʈ͡ʂ
PWN:joy.n.01		śurayaár	ɕorajɛˈar
