id	style	word	pronunciation
PLX:1PL.pro		бидэ	bidɛ
PLX:1SG.pro		би	bi
PLX:2PL.pro		та	ta
PLX:2SG.pro		ши	ʃi
PLX:3PL.pro		тэдэ	tɛdɛ
PLX:3PL.pro		тэдэнэр	tɛdɛnɛr
PLX:3SG M.pro		өөһэн	œːhɛŋ
PLX:and.cnj		ба	ba
PLX:because of.pp		ушарһаа	uʃarhaː
PLX:behind.pp		хойгуур	xɔjɡuːr
PLX:behind.pp		хойно	xɔjnɔ
PLX:beside.pp		хажууда	xaʒuːda
PLX:beside.pp		шадар	ʃadar
PLX:can.v		шадаха	ʃadaxa
PLX:die (from accident).V		үхэхэ	yxɛxɛ
PLX:everywhere.pro		хаа-яана	xaː-jaːna
PLX:from here.adv		наанаhаа	naːnahaː
PLX:get sick.V		үбдэхэ	ybdɛxɛ
PLX:how many.pro		хэды	xɛdʉ
PLX:how.pro		барагтай	baraktaj
PLX:in front of.pp		урда	urda
PLX:or.cnj		али	ali
PLX:that.pro		тэрэ	tɛrɛ
PLX:this.pro		энэ	ɛnɛ
PLX:under.pp		доогуур	dɔːɡuːr
PLX:under.pp		дорохоно	dɔrɔxɔnɔ
PLX:what.pro		юу	juu
PLX:what.pro		юун	juuŋ
PLX:where.pro		хаана	xaːna
PLX:where_to.pro		хайша	xajʃa
PLX:who.pro		хэн	xɛŋ
PLX:why.pro		юундэ	juundɛ
PWN:abandon.v.02		орхихо	ɔrxixɔ
PWN:abdomen.n.01		гэдэһэн	ɡɛdɛhɛŋ
PWN:above.r.02		дээдэ тээнь	dɛːdɛ tɛːnʲ
PWN:above.r.02		дээрэнь	dɛːrɛnʲ
PWN:act.v.02		хэхэ	xɛxɛ
PWN:add.v.01		нэмэхэ	nɛmɛxɛ
PWN:address.n.03		үгэ хэлэлгэ	yɡɛ xɛlɛlɡɛ
PWN:affect.v.05		сэдьхэл хүдэлгэхэ	sɛdʲxɛl xydɛlɡɛxɛ
PWN:again.r.01		баһа	baha
PWN:again.r.01		дахин	daxiŋ
PWN:age.n.01		наһан	nahaŋ
PWN:ahead.r.03		урагшаа	urakʃaː
PWN:ahead.r.03		урягша	urjakʃa
PWN:aid.n.02		дэмжэг	dɛmʒɛk
PWN:aid.n.02		хамһалта	xamhalta
PWN:air.n.01		агаар	aɡaːr
PWN:alive.a.01		амиды	amidʉ
PWN:all.a.01		бултан	bultaŋ
PWN:allege.v.01		хэлэхэ	xɛlɛxɛ
PWN:alone.r.02		нэгэн	nɛɡɛŋ
PWN:already.r.01		даа	daː
PWN:already.r.01		дэ	dɛ
PWN:always.r.01		хододоо	xɔdɔdɔː
PWN:anger.v.01		сухалдуулха	suxalduːlxa
PWN:anger.v.01		сухалынь хүргэхэ	suxalʉnʲ xyrɡɛxɛ
PWN:anger.v.01		уурлуулха	uːrluːlxa
PWN:anger.v.02		сухалдаха	suxaldaxa
PWN:anger.v.02		турнайха	turnajxa
PWN:anger.v.02		уурлаха	uːrlaxa
PWN:animal.n.01		адууһан	aduːhaŋ
PWN:animal.n.01		амитан	amitaŋ
PWN:animal.n.01		ан	aŋ
PWN:animation.n.01		амидарал	amidaral
PWN:ant.n.01		шоргоолзон	ʃɔrɡɔːlzɔŋ
PWN:apparel.n.01		хубсаһан	xupsahaŋ
PWN:apple.n.01		яблока	jablɔka
PWN:april.n.01		апрель	aprʲɛʎ
PWN:apt.s.03		ухаатай	uxaːtaj
PWN:area.n.01		газар	ɡazar
PWN:arise.v.03		бодохо	bɔdɔxɔ
PWN:arm.n.01		гар	ɡar
PWN:arrive.v.01		ерэхэ	jɛrɛxɛ
PWN:arrive.v.01		ерэхэ	jɛrɛxɛ
PWN:arrow.n.02		һурша	hurʃa
PWN:ascend.v.01		дээрэ гараха	dɛːrɛ ɡaraxa
PWN:ascend.v.01		дээшэлүүлэгдэхэ	dɛːʃɛlyːlɛɡdɛxɛ
PWN:ascend.v.01		дээшээ болохо	dɛːʃɛː bɔlɔxɔ
PWN:ascend.v.01		үргэдэхэ	yrɡɛdɛxɛ
PWN:ascend.v.01		өөдэ гараха	œːdɛ ɡaraxa
PWN:ash.n.01		үнэһэн	ynɛhɛŋ
PWN:ask.v.02		эрихэ	ɛrixɛ
PWN:ask.v.05		асууха	asuːxa
PWN:august.n.01		hара	hara
PWN:august.n.01		август	aβɡust
PWN:aunt.n.01		абга эгэшэ	abɡa ɛɡɛʃɛ
PWN:aunt.n.01		абгай	abɡaj
PWN:awaken.v.01		һэреэхэ	hɛrʲɛɛxɛ
PWN:back.n.01		нюрган	njurɡaŋ
PWN:back.r.01		һөөргөө	hœːrɡœː
PWN:back.r.02		гэдэргээ	ɡɛdɛrɡɛː
PWN:bad.a.01		муу	muː
PWN:bag.n.01		сүүмхэ	syːmxɛ
PWN:bake.v.02		болгохо	bɔlɡɔxɔ
PWN:bare.s.01		нюсэгэн	njusɛɡɛŋ
PWN:bark.n.01		холтоһон	xɔltɔhɔŋ
PWN:bark.v.04		хир	xir
PWN:bark.v.04		хусасагааха	xusasaɡaːxa
PWN:bathe.v.01		шунгаха	ʃuŋɡaxa
PWN:battle.n.01		тэмсэл	tɛmsɛl
PWN:bay.n.01		тохой	tɔxɔj
PWN:bay.n.01		уһанай булап	uhanaj bulap
PWN:be_born.v.01		түрэхэ	tyrɛxɛ
PWN:bear.n.01		баабгай	baːbɡaj
PWN:beard.n.01		үргэнэй һахал	yrɡɛnɛj haxal
PWN:beautiful.a.01		һайхан	hajxaŋ
PWN:become.v.01		болохо	bɔlɔxɔ
PWN:bed.n.01		унтари	untari
PWN:bed.n.01		хэбтэри	xɛptɛri
