id	style	word	pronunciation
Action:can.V		мога	mɔɡa
Agriculture:herd (something).V		пазя	pazʲa
Agriculture:irrigate.V		полея	pɔlɛja
Agriculture:pick.V		бера	bɛra
Agriculture:pick.V		откъсна	ɔtkɤsna
Agriculture:shovel.N		лопата	ɫɔpata
Animal:Anatidae.N		патица	patit͡sa
Animal:Annelida.N		червей	t͡ʃɛrvɛj
Animal:Araneae.N		паяк	pajak
Animal:Aves.N		птица	ptit͡sa
Animal:Canis lupus familiaris.N		куче	kut͡ʃɛ
Animal:Canis lupus.N		вълк	vɤɫk
Animal:Corvus.N		врана	vrana
Animal:Culicidae.N		комар	kɔmar
Animal:Diptera.N		муха	muxa
Animal:Equus ferus caballus.N		кон	kɔn
Animal:Felis catus.N		котка	kɔtka
Animal:Formicidae.N		мравка	mravka
Animal:Gallus gallus domesticus.N		кокошка	kɔkɔʃka
Animal:Homo sapiens.N		човек	t͡ʃɔvɛk
Animal:Ovis aries.N		овца	ɔvt͡sa
Animal:Rhopalocera.N		пеперуда	pɛpɛruda
Animal:Sciuridae.N		катерица	katɛrit͡sa
Animal:Serpentes.N		змия	zmija
Animal:Sus scrofa domestica.N		свиня	svinʲa
Animal:Ursidae.N		мечка	mɛt͡ʃka
Animal:Vulpes.N		лисица	lisit͡sa
Animal:animal.N		животно	ʒivɔtnɔ
Animal:fish.N		риба	riba
Animal:mouse.N		мишка	miʃka
Animal:wool.N		вълна	vɤɫna
Atmosphere:cloud.N		облак	ɔbɫak
Atmosphere:cold.A		хладен	xɫadɛn
Atmosphere:fog.N		мъгла	mɤɡɫa
Atmosphere:rain.N		дъжд	dɤʒt
Atmosphere:rain.V		вали дъжд	vali dɤʒt
Atmosphere:rainbow.N		дъга	dɤɡa
Atmosphere:sky.N		небе	nɛbɛ
Atmosphere:thunder.N		гръм	ɡrɤm
Atmosphere:thunder.V		гърмя	ɡɤrmʲa
Atmosphere:weather.N		време	vrɛmɛ
Atmosphere:wind.N		вятър	vʲatɤr
Belief:deity.N		бог	bɔk
Belief:idol.N		фигура	fiɡura
Belief:spirit.N		дух	dux
Body:arm.N		ръка	rɤka
Body:back.N		гръб	ɡrɤp
Body:beard.N		брада	brada
Body:belly.N		корем	kɔrɛm
Body:blood.N		кръв	krɤf
Body:blow.V		духна	duxna
Body:body.N		тяло	tʲaɫɔ
Body:bone.N		кост	kɔst
Body:brain.N		мозък	mɔzɤk
Body:breast.N		бозка	bɔzka
Body:breath.N		дишане	diʃanɛ
Body:breath.V		дишам	diʃam
Body:cheek.N		буза	buza
Body:chest.N		гръд	ɡrɤt
Body:chin.N		брада	brada
Body:chin.N		брадичка	bradit͡ʃka
Body:ear.N		ухо	uxɔ
Body:elbow.N		лакът	ɫakɤt
Body:eye.N		око	ɔkɔ
Body:face.N		лице	lit͡sɛ
Body:face.N		образ	ɔbras
Body:fat.N		мазнина	maznina
Body:feather.N		перо	pɛrɔ
Body:finger.N		пръст	prɤst
Body:fingernail.N		нокът	nɔkɤt
Body:foot.N		крак	krak
Body:foot.N		нога	nɔɡa
Body:footprint.N		диря	dirʲa
Body:footprint.N		следа	slɛda
Body:forehead.N		чело	t͡ʃɛɫɔ
Body:fur.N		кожа	kɔʒa
Body:hair.N		коса	kɔsa
Body:hair.N		косъм	kɔsɤm
Body:hand.N		китка	kitka
Body:hand.N		ръка	rɤka
Body:head.N		глава	ɡɫava
Body:heart.N		сърце	sɤrt͡sɛ
Body:heel.N		пета	pɛta
Body:horn.N		рог	rɔk
Body:jaw.N		челюст	t͡ʃɛʎust
Body:knee.N		коляно	kɔʎanɔ
Body:leg.N		крак	krak
Body:leg.N		нога	nɔɡa
Body:lip.N		устна	ustna
Body:liver.N		черен дроб	t͡ʃɛrɛn drɔp
Body:moustache.N		мустаци	mustat͡si
Body:mouth.N		уста	usta
Body:nail.N		нокът	nɔkɤt
Body:nape.N		тил	tiɫ
Body:navel.N		пъп	pɤp
Body:neck.N		врат	vrat
Body:nose.N		нос	nɔs
Body:obese.A		тлъст	tɫɤst
Body:palm.N		длан	dɫan
Body:shoulder.N		плещи	plɛʃti
Body:shoulder.N		рамо	ramɔ
Body:skin.N		кожа	kɔʒa
Body:stomach.N		стомах	stɔmax
Body:tail.N		опашка	ɔpaʃka
Body:tear.N		сълза	sɤɫza
Body:tendon.N		жила	ʒiɫa
Body:tendon.N		сухожилие	suxɔʒiliɛ
Body:throat.N		гърло	ɡɤrɫɔ
Body:toe.N		пръст на крак	prɤst na krak
Body:tongue.N		език	ɛzik
Body:tooth.N		зъб	zɤp
Body:upper leg.N		бедро	bɛdrɔ
Body:vein.N		артерия	artɛrija
Body:vein.N		вена	vɛna
Body:wing.N		крило	kriɫɔ
Body:wound.N		рана	rana
Building:board.N		дъска	dɤska
Building:build.V		строя	strɔja
Building:door.N		врата	vrata
Building:floor.N		под	pɔt
Building:gate.N		врата	vrata
Building:house.N		къща	kɤʃta
Building:post.N		върлина	vɤrlina
Building:post.N		прът	prɤt
Building:roof.N		покрив	pɔkrif
Building:window.N		прозорец	prɔzɔrɛt͡s
Cleaning:broom.N		метла	mɛtɫa
Cleaning:clean (sth).V		почистя	pɔt͡ʃistʲa
Cleaning:clean.A		чист	t͡ʃist
Cleaning:dirt.N		кал	kaɫ
Cleaning:dirt.N		мръсотия	mrɤsɔtija
Cleaning:dirty.A		мръсен	mrɤsɛn
Cleaning:sweep.V		измета	izmɛta
Cleaning:wash (oneself).V		мия се	mija sɛ
Cleaning:wash.V		мия	mija
Cleaning:wash.V		пера	pɛra
Cleaning:wipe.V		избърша	izbɤrʃa
Clothing:belt.N		колан	kɔɫan
Clothing:belt.N		пояс	pɔjas
Clothing:boot.N		ботуш	bɔtuʃ
Clothing:button.N		копче	kɔpt͡ʃɛ
Clothing:cap.N		каскет	kaskɛt
Clothing:cap.N		фуражка	furaʒka
Clothing:cloth.N		материал	matɛriaɫ
Clothing:cloth.N		плат	pɫat
Clothing:clothes.N		дрехи	drɛxi
Clothing:clothes.N		облекло	ɔblɛkɫɔ
Clothing:collar.N		яка	jaka
Clothing:dress up.V		облека се	ɔblɛka sɛ
Clothing:dye.V		боядисам	bɔjadisam
Clothing:knit.V		плета	plɛta
Clothing:leather.N		кожа	kɔʒa
Clothing:naked.A		гол	ɡɔɫ
Clothing:needle.N		игла	iɡɫa
Clothing:put on.V		облека	ɔblɛka
Clothing:scarf or turban.N		сукно	suknɔ
Clothing:sew.V		шия	ʃija
Clothing:shirt.N		риза	riza
Clothing:shoe.N		обувка	ɔbuvka
Clothing:sleeve.N		ръкав	rɤkaf
Clothing:thread.N		конец	kɔnɛt͡s
Clothing:towel.N		кърпа за лице	kɤrpa za lit͡sɛ
Clothing:towel.N		пешкир	pɛʃkir
Clothing:trousers.N		панталони	pantaɫɔni
Clothing:undress.V		съблека	sɤblɛka
Cognition:familiar.A		известен	izvɛstɛn
Cognition:familiar.A		познат	pɔznat
Cognition:true.A		верен	vɛrɛn
Cognition:true.A		истински	istinski
Cognition:truth.N		правда	pravda
