id	style	word	transcription	etymology
PLX:1PL EXCL.pro		na'na		
PLX:1PL INCL.pro		kɨ'ko		
PLX:1SG.pro		awu		
PLX:2PL.pro		amoyalon		
PLX:2SG.pro		amolo		
PLX:3PL.pro		mokalon		
PLX:3SG.pro		molo		
PLX:3SG.pro		mo’ko		
PLX:Ceiba pentandra.n		kumaka		
PLX:above.pp		epo		
PLX:after.pp		papota		
PLX:and.cnj		nanka		srn:nanga
PLX:at.pp		po		
PLX:be late.v		lomanka		
PLX:because.cnj		paské		gcr:paske
PLX:behind.pp		ɨnkana		
PLX:beside.pp		apolito		
PLX:daughter-in-law (of man).n		-palɨ sano		
PLX:daughter-in-law (of woman).n		-palɨ sano		
PLX:day after tomorrow.adv		monɨ kolopo		
PLX:day before yesterday.adv		monɨ koinalo		
PLX:digging stick.n		epɨ		
PLX:fall silent.v		ɨitɨna		
PLX:father's sister.n		-opi		
PLX:father-in-law (of man).n		-ɨme tamulu		
PLX:father-in-law (of woman).n		-ɨme tamulu		
PLX:fermented alcohol.n		kasili		
PLX:fish poison root.n		ineku		
PLX:fish poison root.n		kunami		:kunami
PLX:fish poison root.n		kunapalu		
PLX:fish trap.n		bakɨsi		srn:baksi
PLX:head hair.n		-usetɨ		
PLX:how many pieces.pro		otolo		
PLX:how much.pro		otolo		
PLX:how.pro		ɨnewala		
PLX:if.cnj		ata		
PLX:in front of.pp		uwapo		
PLX:in.pp		ta		
PLX:initiation ceremony.n		ainayukano		
PLX:inside.pp		-ta		
PLX:leg band.n		sepu		
PLX:manioc bread.n		alepa		
PLX:manioc flour.n		kiyelepun		
PLX:manioc juice.n		kasilipo		
PLX:mother's brother.n		-ka’topo		
PLX:mother's sister.n		-sano		
PLX:mother-in-law (of man).n		-ɨme notɨ		
PLX:nothing.pro		amɨ watɨ		
PLX:outside.pp		kulanto		
PLX:shamanistic song.n		alemi		
PLX:shaman’s spirit.n		yakuwa		
PLX:short dry season.n		awala weyulu		
PLX:sibling's child.n		-mokusalɨ		
PLX:sibling-in-law.n		-mokusalɨ		
PLX:someone.pro		suma		srn:suma
PLX:son-in-law (of man).n		-palɨmi		
PLX:son-in-law (of woman).n		-palɨmi		
PLX:stab to death.v		soloka		
PLX:that.pro		mo’se		
PLX:this.pro		mo’ko		
PLX:under.pp		upino		
PLX:what.pro		otɨ ko		
PLX:when.pro		otɨ yako		
PLX:where.pro		owe		
PLX:which Q.pro		nokɨ ko		
PLX:who.pro		nokɨ ko		
PLX:why.pro		otonome		
PLX:with.pp		malo		
PLX:without.pp		-pa, watɨ		
PLX:woman’s rattle.n		kalawasi		
PLX:yes.ptcl		a'a		
PWN:abdomen.n.01		uwenpo		
PWN:above.r.02		kawo		
