id	style	word	pronunciation
Action:can.V		poder	puðɛ
Agriculture:herd (something).V		pasturar	pəstuɾa
Agriculture:irrigate.V		regar	rəɣa
Agriculture:pick.V		collir	kuʎi
Agriculture:shovel.N		pala	paɫə
Animal:Anatidae.N		ànec	anək
Animal:Annelida.N		cuc	kuk
Animal:Araneae.N		aranya	əɾaɲə
Animal:Aves.N		au	aw
Animal:Aves.N		ocēll	usɛʎ
Animal:Canis lupus familiaris.N		ca	ka
Animal:Canis lupus familiaris.N		gos	ɡɔs
Animal:Canis lupus.N		llop	ʎɔp
Animal:Corvus.N		cornella	kuɾnɛʎə
Animal:Culicidae.N		mosquit	muskit̪
Animal:Diptera.N		mosca	mɔskə
Animal:Equus ferus caballus.N		cavāll	kəβaʎ
Animal:Felis catus.N		gat	ɡat̪
Animal:Formicidae.N		formiga	fuɾmiɣə
Animal:Gallus gallus domesticus.N		gallina	ɡəʎinə
Animal:Homo sapiens.N		humà	uma
Animal:Homo sapiens.N		persona	pəɾzɔnə
Animal:Ovis aries.N		be	bɛ
Animal:Ovis aries.N		ovella	uβɛʎə
Animal:Rhopalocera.N		papallona	pəpəʎɔnə
Animal:Sciuridae.N		esquirol	əskiɾɔɫ
Animal:Serpentes.N		serp	sɛɾp
Animal:Sus scrofa domestica.N		bacó	bəko
Animal:Ursidae.N		ós	os
Animal:Vulpes.N		guilla	ɡiʎə
Animal:animal.N		animāl	ənimaɫ
Animal:fish.N		peix	pɛʃ
Animal:mouse.N		ratolí	rət̪uɫi
Animal:wool.N		llana	ʎanə
Atmosphere:cloud.N		núvol	nuβuɫ
Atmosphere:cold.A		fresc	fɾɛsk
Atmosphere:fog.N		boira	bɔjɾə
Atmosphere:rain.N		pluja	pɫuʒə
Atmosphere:rain.V		ploure	pɫɔwɾə
Atmosphere:rainbow.N		arc iris	əɾk iɾis
Atmosphere:sky.N		celm	sɛɫm
Atmosphere:thunder.N		tro	t̪ɾɔ
Atmosphere:thunder.V		tronar	t̪ɾuna
Atmosphere:weather.N		temps	t̪əmps
Atmosphere:wind.N		vent	βɛn̪
Belief:deity.N		déu	d̪ew
Belief:idol.N		figura	fiɣuɾə
Belief:spirit.N		esperit	əspəɾit̪
Belief:spirit.N		ment	mɛn̪
Body:arm.N		braç	bɾas
Body:back.N		esquena	əskɛnə
Body:beard.N		barba	baɾβə
Body:belly.N		panxa	paɲʃə
Body:blood.N		sang	saŋ
Body:blow.V		bufar	bufa
Body:body.N		cos	kɔs
Body:bone.N		os	ɔs
Body:brain.N		cervell	səɾβɛʎ
Body:breast.N		mama	mamə
Body:breast.N		pit	pit̪
Body:breath.N		alè	əɫɛ
Body:breath.N		hàlit	aɫit̪
Body:breath.V		respirar	rəspiɾa
Body:cheek.N		galta	ɡaɫt̪ə
Body:chest.N		pit	pit̪
Body:chin.N		barbeta	bəɾβɛt̪ə
Body:chin.N		mentó	mən̪t̪o
Body:ear.N		orella	uɾɛʎə
Body:elbow.N		colze	kɔɫzə
Body:eye.N		ull	uʎ
Body:face.N		cara	kaɾə
Body:fat.N		greix	ɡɾɛʃ
Body:feather.N		ploma	pɫɔmə
Body:finger.N		dit	d̪it̪
Body:fingernail.N		ungla	uŋɡɫə
Body:foot.N		peu	pɛw
Body:footprint.N		traça	t̪ɾasə
Body:forehead.N		front	fɾɔn̪
Body:fur.N		pell	pɛʎ
Body:hair.N		cabēll	kəβɛʎ
Body:hand.N		mà	ma
Body:head.N		cap	kap
Body:heart.N		cor	kɔ
Body:heel.N		taló	t̪əɫo
Body:horn.N		banya	baɲə
Body:horn.N		corn	kɔɾn
