id	style	word	pronunciation
PLX:1PL.pro		my	mɪ
PLX:1SG.pro		já	jaː
PLX:2PL.pro		vy	vɪ
PLX:2SG.pro		ty	tɪ
PLX:3PL.pro		oni	oɲɪ
PLX:3SG M.pro		on	on
PLX:and.cnj		a	a
PLX:because of.adp		pro	pro
PLX:behind.adp		za	za
PLX:beside.adp		vedle	vɛdlɛ
PLX:can.v		moct	mot͡st
PLX:die (from accident).V		zahynout	zaɦɪnoʊ̯t
PLX:everywhere.pro		všude	fʃudɛ
PLX:from here.adv		odtud	otːut
PLX:get sick.V		onemocnět	onɛmot͡sɲɛt
PLX:how many.pro		kolik	kolɪk
PLX:how.pro		jak	jak
PLX:in front of.adp		před	br̝ɛt
PLX:or.cnj		nebo	nɛbo
PLX:that.pro		to	to
PLX:this.pro		tohle	toɦlɛ
PLX:this.pro		toto	toto
PLX:under.adp		pod	pot
PLX:what.pro		co	t͡so
PLX:where.pro		kde	ɡdɛ
PLX:where_to.pro		kam	kam
PLX:who.pro		kdo	ɡdo
PLX:why.pro		proč	prot͡ʃ
PWN:abandon.v.02		opustit	opuscɪt
PWN:abdomen.n.01		břicho	br̝ɪxo
PWN:above.r.02		nahoře	naɦor̝ɛ
PWN:above.r.02		navrchu	navrxu
PWN:act.v.02		dělat	ɟɛlat
PWN:add.v.01		připojit	br̝ɪpojɪt
PWN:address.n.03		proslov	proslof
PWN:address.n.03		řeč	r̝ɛt͡ʃ
PWN:affect.v.05		dojmout	dojmoʊ̯t
PWN:again.r.01		zase	zasɛ
PWN:age.n.01		věk	vjɛk
PWN:ahead.r.03		kupředu	kubr̝ɛdu
PWN:aid.n.02		pomoc	pomot͡s
PWN:air.n.01		vzduch	vzdux
PWN:alive.a.01		živý	ʒɪviː
PWN:all.a.01		všechno	fʃɛxno
PWN:allege.v.01		říct	r̝iːt͡st
PWN:alone.r.02		sám	saːm
PWN:already.r.01		již	jɪʃ
PWN:already.r.01		už	uʃ
PWN:always.r.01		stále	staːlɛ
PWN:always.r.01		vždy	vʒdɪ
PWN:anger.v.01		pohoršit	poɦorʃɪt
PWN:anger.v.01		zlobit	zlobɪt
PWN:anger.v.02		pohoršit se	poɦorʃɪt sɛ
PWN:animal.n.01		zvíře	zviːr̝ɛ
PWN:animation.n.01		život	ʒɪvot
PWN:ant.n.01		mravenec	mravɛnɛt͡s
PWN:apparel.n.01		šatstvo	ʃatzdvo
PWN:apparel.n.01		šaty	ʃatɪ
PWN:apple.n.01		jablko	jablko
PWN:april.n.01		duben	dubɛn
PWN:apt.s.03		chytrý	xɪtriː
PWN:area.n.01		krajina	krajɪna
PWN:arise.v.03		zdvihnout se	zdvɪɦnoʊ̯t sɛ
PWN:arm.n.01		ruka	ruka
PWN:arrive.v.01		dojít	dojiːt
PWN:arrive.v.01		přijít	br̝ɪjiːt
PWN:arrow.n.02		šíp	ʃiːp
PWN:ascend.v.01		stoupat	stoʊ̯pat
PWN:ash.n.01		popel	popɛl
PWN:ask.v.02		prosit	prosɪt
PWN:ask.v.05		zeptat se	zɛptat sɛ
PWN:august.n.01		srpen	srpɛn
PWN:aunt.n.01		teta	tɛta
PWN:awaken.v.01		vzbudit	vzbudɪt
PWN:back.n.01		hřbet	ɦr̝bɛt
PWN:back.n.01		záda	zaːda
PWN:back.r.01		nazpět	naspjɛt
PWN:back.r.01		zpět	spjɛt
PWN:back.r.02		zpět	spjɛt
PWN:bad.a.01		špatný	ʃpatniː
PWN:bag.n.01		brašna	braʃna
PWN:bag.n.01		taška	taʃka
PWN:bake.v.02		péct	pɛːt͡st
PWN:bare.s.01		nahý	naɦiː
PWN:bark.n.01		kůra	kuːra
PWN:bark.v.04		štěkat	ʃcɛkat
PWN:bathe.v.01		koupat se	koʊ̯pat sɛ
PWN:battle.n.01		boj	boj
PWN:bay.n.01		záliv	zaːlɪf
PWN:bay.n.01		zátoka	zaːtoka
PWN:be_born.v.01		rodit se	rodɪt sɛ
PWN:bear.n.01		medvěd	mɛdvjɛt
PWN:beard.n.01		vousy	voʊ̯sɪ
PWN:beautiful.a.01		krásný	kraːsniː
PWN:beautiful.a.01		pěkný	pjɛkniː
PWN:become.v.01		stát se	staːt sɛ
PWN:bed.n.01		postel	postɛl
PWN:begin.v.03		začít	zat͡ʃiːt
PWN:believe.v.01		věřit	vjɛr̝ɪt
PWN:beloved.s.01		milý	mɪliː
PWN:belt.n.02		opasek	opasɛk
PWN:belt.n.02		pás	paːs
PWN:bend.v.01		ohnout	oɦnoʊ̯t
PWN:benefit.n.02		užitek	uʒɪtɛk
PWN:berry.n.01		bobule	bobulɛ
PWN:better.v.02		zlepšit	zlɛpʃɪt
PWN:between.r.02		mezi	mɛzɪ
PWN:birch.n.02		bříza	br̝iːza
PWN:bird.n.01		pták	ptaːk
PWN:bite.v.01		kousat	koʊ̯sat
PWN:bitter.s.06		hořký	ɦor̝kiː
PWN:black.a.01		černý	t͡ʃɛrniː
PWN:blade.n.01		lupen	lupɛn
PWN:blanket.n.01		pokrývka	pokriːfka
PWN:blanket.n.01		přikrývka	br̝ɪkriːfka
PWN:blind.a.01		slepý	slɛpiː
PWN:blood.n.01		krev	krɛf
PWN:blow.v.01		foukat	foʊ̯kat
PWN:blow.v.02		vanout	vanoʊ̯t
PWN:blow.v.02		vát	vaːt
PWN:blue.s.01		modrý	modriː
PWN:blunt.s.02		tupý	tupiː
PWN:board.n.02		prkno	prkno
PWN:boast.v.01		chlubit se	xlubɪt sɛ
PWN:boat.n.01		člun	t͡ʃlun
PWN:body.n.01		tělo	cɛlo
PWN:boil.v.01		vřít	vr̝iːt
PWN:boil.v.03		vařit	var̝ɪt
PWN:bone.n.01		kost	kost
PWN:book.n.01		kniha	kɲɪɦa
PWN:boot.n.01		holínka	ɦoliːŋka
PWN:botch.v.01		zkazit	skazɪt
PWN:boundary_line.n.01		hranice	ɦraɲɪt͡sɛ
PWN:bow.n.04		luk	luk
PWN:box.n.01		bedna	bɛdna
PWN:brain.n.01		mozek	mozɛk
PWN:branch.n.02		větev	vjɛtɛf
PWN:branchlet.n.01		větev	vjɛtɛf
PWN:brawl.v.01		bít se	biːt sɛ
PWN:bread.n.01		chléb	xlɛːp
PWN:break.v.05		lomit	lomɪt
PWN:breast.n.02		ňadra	ɲadra
PWN:breath.n.02		dech	dɛx
PWN:breathe.v.01		dýchat	diːxat
PWN:bridge.n.01		most	most
PWN:bright.a.01		světlý	zvjɛtliː
PWN:bring.v.01		přinést	br̝ɪnɛːst
PWN:brook.n.01		potok	potok
PWN:broom.n.01		koště	koʃcɛ
PWN:broom.n.01		smeták	smɛtaːk
PWN:brother.n.01		bratr	bratr
PWN:brow.n.01		čelo	t͡ʃɛlo
PWN:bucket.n.01		kýbl	kiːbl
PWN:bucket.n.01		vědro	vjɛdro
PWN:bull.n.01		býk	biːk
PWN:bundle.n.02		svazek	zvazɛk
PWN:burn.v.03		hořet	ɦor̝ɛt
PWN:burn.v.07		spálit	spaːlɪt
PWN:business.n.01		obchod	opxot
PWN:butter.n.01		máslo	maːslo
PWN:butterfly.n.01		motýl	motiːl
PWN:button.n.01		knoflík	knofliːk
PWN:buy.v.01		koupit	koʊ̯pɪt
PWN:calculate.v.01		počítat	pot͡ʃiːtat
PWN:calendar_month.n.01		měsíc	mɲɛsiːt͡s
PWN:call.v.05		volat	volat
PWN:call.v.05		zavolat	zavolat
PWN:campfire.n.01		táborák	taːboraːk
PWN:cap.n.01		čepice	t͡ʃɛpɪt͡sɛ
PWN:cat.n.01		kočka	kot͡ʃka
PWN:catch.v.04		chytat	xɪtat
PWN:cause.n.01		důvod	duːvot
PWN:cave.n.01		jeskyně	jɛskɪɲɛ
PWN:cavil.v.01		nadávat	nadaːvat
PWN:center.n.01		prostředek	prozdr̝ɛdɛk
PWN:center.n.01		střed	zdr̝ɛt
PWN:chair.n.01		židle	ʒɪdlɛ
PWN:change.v.01		změnit	zmɲɛɲɪt
PWN:change.v.03		měnit se	mɲɛɲɪt sɛ
PWN:character.n.08		písmeno	piːsmɛno
PWN:cheap.a.01		laciný	lat͡sɪniː
PWN:cheap.a.01		levný	lɛvniː
PWN:cheek.n.01		tvář	dvaːr̝̥
PWN:cherished.s.01		cenný	t͡sɛnːiː
PWN:chicken.n.02		kuře	kur̝ɛ
PWN:chicken.n.02		slepice	slɛpɪt͡sɛ
PWN:child.n.01		dítě	diːcɛ
PWN:chin.n.01		brada	brada
PWN:choose.v.01		zvolit	zvolɪt
PWN:chop.v.01		seknout	sɛknoʊ̯t
PWN:church.n.02		kostel	kostɛl
PWN:circle.n.03		kruh	krux
PWN:citizenry.n.01		národ	naːrot
PWN:claw.n.01		dráp	draːp
PWN:claw.n.01		pazneht	paznɛxt
PWN:clay.n.01		hlína	ɦliːna
PWN:clay.n.01		jíl	jiːl
PWN:clean.a.01		čistý	t͡ʃɪstiː
PWN:clean.v.01		očistit	ot͡ʃɪscɪt
PWN:climb.v.01		lézt	lɛːst
PWN:climb.v.01		šplhat	ʃplɦat
