id	style	word	pronunciation
PLX:1PL.pro		эпир	eˈpir
PLX:1SG.pro		эп	ep
PLX:2PL.pro		эсир	eˈsir
PLX:2SG.pro		эс	es
PLX:3PL.pro		вӗсем	ʋɘˈs̬ɛm
PLX:3SG M.pro		вӑл	ʋəl
PLX:and.cnj		та	ta
PLX:because of.pp		пирки	pirˈk̬i
PLX:because of.pp		пула	puˈla
PLX:behind.pp		кайра	kajˈra
PLX:beside.pp		патӗнче	pat̬ɘnt̬͡ˈɕɛ
PLX:can.v		пултар	pulˈt̬ar
PLX:die (from accident).V		вил	ʋil
PLX:everywhere.pro		кирек ӑҫта та	kiˈrɛk əɕˈta ta
PLX:everywhere.pro		пур ҫӗрте те	pur ɕɘrˈt̬ɛ tɛ
PLX:everywhere.pro		таҫта та	taɕˈta ta
PLX:from here.adv		кунтан	kunˈt̬an
PLX:get sick.V		чирле	t͡ɕirˈlɛ
PLX:how many.pro		миҫе	miˈɕ̬ɛ
PLX:how.pro		епле	ɛpˈlɛ
PLX:how.pro		мӗнле	mɘnˈlɛ
PLX:in front of.pp		умӗнче	umɘnt̬͡ˈɕɛ
PLX:or.cnj		е	ɛ
PLX:that.pro		ҫав	ɕaʋ
PLX:this.pro		ку	ku
PLX:this.pro		ҫак	ɕak
PLX:under.pp		айне	ajˈnɛ
PLX:under.pp		айӗнче	ajɘnt̬͡ˈɕɛ
PLX:under.pp		айӗпе	ajɘˈp̬ɛ
PLX:under.pp		ҫитеспе	ɕit̬ɛsˈpɛ
PLX:what.pro		мӗн	mɘn
PLX:what.pro		мӗн те пулин	mɘn tɛ puˈlin
PLX:what.pro		мӗскер	mɘsˈkɛr
PLX:where.pro		ӑҫта	əɕˈta
PLX:where_to.pro		ӑҫта	əɕˈta
PLX:who.pro		кам	kam
PLX:why.pro		ма	ma
PLX:why.pro		мӗншӗн	ˈmɘnʂ̬ɘn
PWN:abandon.v.02		хӑвар	χəˈʋar
PWN:above.r.02		ҫӳлте	ɕylˈt̬ɛ
PWN:act.v.02		ту	tu
PWN:add.v.01		хуш	χuʂ
PWN:address.n.03		сӑмах	səˈmaχ
PWN:affect.v.05		ҫулӑх	ɕuləχ
PWN:again.r.01		каллех	kaˈlɛχ
PWN:age.n.01		ҫул шучӗ	ɕul ˈʂut͡ɕɘ
PWN:ahead.r.03		малалла	malaˈla
PWN:aid.n.02		пулӑшу	puləˈʂ̬u
PWN:air.n.01		сывлӑш	ˈsɯʋləʂ
PWN:alive.a.01		чӗрӗ	ˈt͡ɕɘrɘ
PWN:all.a.01		йӑлт	jəlt̬
PWN:all.a.01		пурте	purt̬ɛ
PWN:allege.v.01		те	tɛ
PWN:alone.r.02		пӗччен	pɘt͡ɕɛn
PWN:already.r.01		ӗнтӗ	ˈɘnt̬ɘ
PWN:always.r.01		ялан	jaˈlan
PWN:anger.v.01		тарӑхтар	tarəχtar
PWN:anger.v.01		ҫиллентер	ɕilɛnt̬ɛr
PWN:anger.v.02		ҫиллен	ɕiˈlɛn
PWN:animal.n.01		выльӑх	ˈʋɯlʲəχ
PWN:animation.n.01		пурнӑҫ	ˈpurnəɕ
PWN:ant.n.01		кӑткӑ	ˈkətkə
PWN:apparel.n.01		тум	tum
PWN:apparel.n.01		тум-тир	tum-tir
PWN:apparel.n.01		ҫипуҫ	ɕip̬uɕ
PWN:apple.n.01		пан улми	pan ulˈmi
PWN:apple.n.01		улма	ulˈma
PWN:april.n.01		апрель	apˈrɛlʲ
PWN:apt.s.03		ӑслӑ	ˈəslə
PWN:area.n.01		вырӑн	ˈʋɯrən
PWN:arise.v.03		тӑр	tər
PWN:arm.n.01		алӑ	ˈalə
PWN:arrive.v.01		кил	kil
PWN:arrive.v.01		ҫит	ɕit
PWN:arrow.n.02		ухӑ йӗппи	ˈuχə jɘˈpi
PWN:arrow.n.02		ҫӗмрен	ɕɘmˈrɛn
PWN:ascend.v.01		ҫӗклен	ɕɘkˈlɛn
PWN:ash.n.01		кӗл	kɘl
PWN:ask.v.02		ыйт	ɯjt̬
PWN:ask.v.05		ыйт	ɯjt̬
PWN:august.n.01		август	ˈaʋɡust
PWN:aunt.n.01		аппа	aˈpa
PWN:awaken.v.01		вӑрат	ʋəˈrat
PWN:back.n.01		ҫурӑм	ˈɕurəm
PWN:back.r.01		каялла	kajaˈla
PWN:back.r.02		хыҫала	χɯɕ̬aˈla
PWN:bad.a.01		начар	naˈt͡ɕ̬ar
PWN:bad.a.01		япӑх	ˈjapəχ
PWN:bag.n.01		сумка	ˈsumk̬a
PWN:bake.v.02		пӗҫер	pɘˈɕ̬ɛr
PWN:bare.s.01		ҫара	ɕaˈra
PWN:bark.n.01		хуйӑр	ˈχujər
PWN:bark.v.04		вӗр	ʋɘr
PWN:bathe.v.01		шыва кӗр	ʂɯˈʋa kɘr
PWN:battle.n.01		кӗрешӳ	kɘrɛˈʂ̬y
PWN:bay.n.01		тинӗс кукӑрӗ	tinɘs kuk̬ərɘ
PWN:be_born.v.01		ҫурал	ɕuˈral
PWN:bear.n.01		упа	uˈp̬a
PWN:beard.n.01		сухал	suˈχal
PWN:beautiful.a.01		илемлӗ	iˈlɛmlɘ
PWN:become.v.01		пул	pul
PWN:bed.n.01		кравать	kraˈʋatʲ
PWN:begin.v.03		пуҫла	puɕˈla
PWN:believe.v.01		ӗнен	ɘˈnɛn
PWN:beloved.s.01		савнӑ	ˈsaʋnə
PWN:belt.n.02		пиҫиххи	piɕ̬iˈχi
PWN:bend.v.01		ав	aʋ
PWN:bend.v.01		кукӑрт	ˈkukərt̬
PWN:benefit.n.02		пайта	pajˈt̬a
PWN:berry.n.01		ҫырла	ɕɯrˈla
PWN:better.v.02		лайӑхлат	lajəχˈlat
PWN:between.r.02		хушшинче	χuʂint̬͡ˈɕɛ
PWN:birch.n.02		хурӑн	ˈχurən
PWN:bird.n.01		вӗҫен кайӑк	ʋɘˈɕ̬ɛn ˈkajək
PWN:bird.n.01		кайӑк	ˈkajək
PWN:bite.v.01		хып	χɯp
PWN:bite.v.01		ҫырт	ɕɯrt̬
PWN:bitter.s.06		йӳҫӗ	ˈjyɕɘ
PWN:black.a.01		хура	χuˈra
PWN:blanket.n.01		утиял	ut̬iˈjal
PWN:blast.v.07		пер	pɛr
PWN:blind.a.01		суккӑр	ˈsukər
PWN:blood.n.01		юн	jun
PWN:blow.v.01		вӗр	ʋɘr
PWN:blow.v.02		варкӑш	ˈʋark̬əʂ
PWN:blue.s.01		кӑвак	kəˈʋak
PWN:blunt.s.02		мӑка	məˈk̬a
PWN:blunt.s.02		пуклак	pukˈlak
PWN:blunt.s.02		тӗрӗнчӗк	ˈtɘrɘnt̬͡ɕɘk
PWN:blunt.s.02		ӑнкарусӑр	ənk̬aˈrusər
PWN:board.n.02		хӑма	χəˈma
PWN:boast.v.01		вӗҫкӗнлен	ʋɘɕkɘnlɛn
PWN:boast.v.01		мухтан	muχtan
PWN:boat.n.01		кимӗ	ˈkimɘ
PWN:body.n.01		ӳт	yt
PWN:body.n.01		ӳт-пӳ	yt-ˈpy
PWN:boil.v.01		вӗре	ʋɘˈrɛ
PWN:boil.v.03		пӗҫер	pɘˈɕ̬ɛr
PWN:bone.n.01		шӑмӑ	ˈʂəmə
PWN:book.n.01		кӗнеке	kɘnɛˈk̬ɛ
PWN:boot.n.01		атӑ	at̬ə
PWN:botch.v.01		пӑс	pəs
PWN:boundary_line.n.01		чикӗ	ˈt͡ɕikɘ
PWN:bow.n.04		ухӑ	ˈuχə
PWN:box.n.01		ещӗк	ˈɛɕːɘk
PWN:box.n.01		сунтӑх	ˈsunt̬əχ
PWN:brain.n.01		миме	miˈmɛ
PWN:branch.n.02		турат	tuˈrat
PWN:branchlet.n.01		турат	tuˈrat
PWN:brawl.v.01		ҫапӑҫ	ˈɕapəɕ
PWN:bread.n.01		ҫӑкӑр	ˈɕəkər
PWN:break.v.05		хуҫ	χuɕ
PWN:breast.n.02		кӑкӑр	ˈkəkər
PWN:breath.n.02		сывлав	sɯʋˈlaʋ
PWN:breathe.v.01		сывла	sɯʋˈla
PWN:bridge.n.01		кӗпер	kɘˈp̬ɛr
PWN:bright.a.01		ҫутӑ	ˈɕutə
PWN:bring.v.01		кӳр	kyr
PWN:brook.n.01		пӗчӗк шыв	ˈpɘt͡ɕɘk ʂɯʋ
PWN:broom.n.01		шӑпӑр	ˈʂəpər
PWN:brother.n.01		ар тӑван	ar təˈʋan
PWN:brow.n.01		ҫамка	ɕamˈk̬a
PWN:bucket.n.01		витре	ʋitˈrɛ
PWN:bull.n.01		вӑкӑр	ˈʋəkər
PWN:bundle.n.02		тӗрке	tɘrˈk̬ɛ
PWN:bundle.n.02		ҫыхӑ	ˈɕɯχə
PWN:burn.v.03		ҫун	ɕun
PWN:burn.v.07		ҫунтар	ɕunˈt̬ar
PWN:business.n.01		бизнес	biznɛs
PWN:butter.n.01		ҫу	ɕu
PWN:butterfly.n.01		лӗпӗш	ˈlɘpɘʂ
PWN:button.n.01		тӳме	tyˈmɛ
PWN:buy.v.01		ил	il
PWN:buy.v.01		туян	tuˈjan
PWN:calculate.v.01		шутла	ʂutˈla
PWN:calendar_month.n.01		уйӑх	ˈujəχ
PWN:call.v.05		чӗн	t͡ɕɘn
PWN:campfire.n.01		вут	ʋut
PWN:campfire.n.01		кӑвайт	kəʋajt̬
PWN:cap.n.01		ҫӗлӗк	ˈɕɘlɘk
PWN:cat.n.01		кушак	kuˈʂ̬ak
PWN:catch.v.04		тыт	tɯt
PWN:cause.n.01		сӑлтав	səlˈt̬aʋ
PWN:cave.n.01		ҫӗр хӑвӑлӗ	ɕɘr ˈχəʋəlɘ
PWN:cavil.v.01		вӑрҫ	ʋərɕ̬
PWN:cavil.v.01		ятлаҫ	jatˈlaɕ
PWN:center.n.01		варӑ	ˈʋarə
PWN:chair.n.01		пукан	puˈk̬an
PWN:change.v.01		улӑштар	uləʂˈtar
PWN:character.n.08		сас палли	sas paˈli
PWN:cheap.a.01		йӳнӗ	ˈjynɘ
PWN:cheek.n.01		пит ҫӑмарти	pit ɕəmarˈt̬i
PWN:cherished.s.01		паха	paˈχa
PWN:chicken.n.02		чӑх	t͡ɕəχ
PWN:chicken.n.02		чӑхӑ	ˈt͡ɕəχə
PWN:child.n.01		ача	aˈt͡ɕ̬a
PWN:chin.n.01		янах	jaˈnaχ
PWN:choose.v.01		суйла	sujˈla
PWN:chop.v.01		вакла	ʋakˈla
PWN:church.n.02		чиркӳ	t͡ɕirˈk̬y
PWN:circle.n.03		ункӑ	ˈunk̬ə
PWN:circle.n.03		ҫавракӑш	ɕaʋˈrakəʂ
PWN:citizenry.n.01		халӑх	ˈχaləχ
PWN:claw.n.01		чӗрне	t͡ɕɘrˈnɛ
PWN:clay.n.01		тӑм	təm
PWN:clean.a.01		таса	taˈs̬a
PWN:clean.v.01		тасат	taˈs̬at
PWN:climb.v.01		улӑх	ˈuləχ
PWN:close.v.01		хуп	χup
PWN:cloud.n.02		пӗлӗт	ˈpɘlɘt
PWN:coal.n.01		кӑмрӑк	ˈkəmrək
PWN:cock.n.04		автан	aʋˈt̬an
PWN:cold.a.01		сивӗ	ˈsiʋɘ
PWN:cold.a.01		уҫӑ	ˈuɕə
PWN:coldness.n.03		сивӗ	ˈsiʋɘ
PWN:collar.n.01		ҫуха	ɕuˈχa
PWN:colorful.a.01		чӑпар	t͡ɕəp̬ar
PWN:comb.n.01		тура	tuˈra
PWN:comb.v.01		тура	tuˈra
PWN:commend.v.01		ырла	ɯrˈla
PWN:companion.n.01		тус	tus
PWN:companion.n.01		юлташ	julˈt̬aʂ
PWN:company.n.03		общество	ˈobɕːɛstʋo
PWN:complete.v.01		пӗтер	pɘˈt̬ɛr
PWN:connect.v.01		сып	sɯp
PWN:conserve.v.02		упра	upra
PWN:construct.v.01		ту	tu
PWN:conversation.n.01		калаҫу	kalaˈɕ̬u
PWN:converse.v.01		пупле	pupˈlɛ
PWN:convey.v.01		пӗлтер	pɘlˈt̬ɛr
PWN:convey.v.01		хыпарла	χɯp̬arˈla
PWN:cook.v.02		пӗҫер	pɘˈɕ̬ɛr
PWN:corner.n.03		кӗтес	kɘˈt̬ɛs
PWN:corpulent.s.01		мӑнтӑр	ˈmənt̬ər
PWN:corpulent.s.01		самӑр	ˈsamər
PWN:correctly.r.01		тӗрӗс	ˈtɘrɘs
PWN:cough.v.01		ӳсӗр	ˈysɘr
PWN:count.n.01		йыш	jɯʂ
PWN:count.n.01		хисеп	χiˈs̬ɛp
PWN:count.v.01		шутла	ʂutˈla
PWN:country.n.02		ҫӗр-шыв	ɕɘr-ʂɯʋ
PWN:cover.v.01		вит	ʋit
PWN:cow.n.01		ӗне	ɘˈnɛ
PWN:cradle.n.01		сӑпка	səpˈka
PWN:crane.n.05		тӑрна	tərˈna
PWN:crawl.v.01		упален	up̬aˈlɛn
PWN:crawl.v.01		шу	ʂu
PWN:crisscross.n.01		хӗрес	χɘˈrɛs
PWN:crow.n.01		ула курак	uˈla kuˈrak
PWN:cry.n.01		йыхрав	jɯχraʋ
PWN:cry.n.01		чӗнӳ	t͡ɕɘny
PWN:cry.v.02		йӗр	jɘr
PWN:cry.v.02		макӑр	ˈmakər
PWN:cuckoo.n.02		куккук	kuˈkuk
PWN:cup.n.01		курка	kurˈk̬a
PWN:current.n.02		юхӑ	juχə
PWN:cut.v.01		кас	kas
PWN:damage.n.01		сиен	siˈɛn
PWN:damage.v.01		пӑс	pəs
PWN:damp.s.01		йӗпе	jɘˈp̬ɛ
PWN:dance.v.02		ташла	taʂˈla
PWN:dark.a.01		тӗттӗм	ˈtɘtɘm
PWN:daughter.n.01		хӗр	χɘr
PWN:day.n.01		кун	kun
PWN:deaf.a.01		хӑлхасӑр	χəlˈχasər
PWN:death.n.01		вилӗм	ˈʋilɘm
PWN:deceive.v.01		суй	suj
PWN:december.n.01		декабрь	dɛˈk̬abrʲ
PWN:december.n.01		раштав	raʂˈtaʋ
PWN:decompose.v.03		ҫӗр	ɕɘr
PWN:decorate.v.01		илемлет	ilɛmˈlɛt
PWN:decrease.v.01		чак	t͡ɕak
PWN:defend.v.03		хӳтӗле	χyt̬ɘˈlɛ
PWN:deft.s.01		ӑста	əsˈta
PWN:deity.n.01		турӑ	ˈturə
PWN:depart.v.03		куҫ	kuɕ
PWN:descend.v.01		чак	t͡ɕak
PWN:desire.n.01		кӑмӑл	ˈkəməl
PWN:desire.v.01		те	tɛ
PWN:destroy.v.02		иш	iʂ
PWN:detect.v.01		асӑрха	as̬ərˈχa
PWN:die.v.01		вил	ʋil
PWN:different.a.01		расна	rasˈna
PWN:dig.v.01		чав	t͡ɕaʋ
PWN:dig.v.01		чакала	t͡ɕak̬aˈla
PWN:digest.v.03		тӳс	tys
PWN:dirt.n.02		пылчӑк	ˈpɯlt̬͡ɕək
PWN:dirty.a.01		вараланчӑк	ʋaraˈlant̬͡ɕək
PWN:dirty.a.01		пылчӑклӑ	ˈpɯlt̬͡ɕəklə
PWN:disappear.v.01		ҫухал	ɕuˈχal
PWN:discontinue.v.01		пӑрах	pəˈraχ
PWN:disease.n.01		чир	t͡ɕir
PWN:dish.n.01		савӑт-сапа	ˈsaʋət-saˈp̬a
PWN:dissolve.v.09		ирӗл	ˈirɘl
PWN:distance.n.01		хушӑ	ˈχuʂə
PWN:distance.n.03		хушӑ	ˈχuʂə
PWN:dive.v.03		чӑм	t͡ɕəm
PWN:divide.v.01		пайла	pajˈla
PWN:divide.v.01		уйӑр	ˈujər
PWN:doctor.n.01		врач	ʋrat͡ɕ
PWN:doctor.n.01		тухтӑр	ˈtuχtər
PWN:dog.n.01		йытӑ	ˈjɯtə
PWN:doll.n.01		пукане	puk̬aˈnɛ
PWN:down.r.01		аялта	ajalˈt̬a
PWN:drag.v.01		сӗтӗр	ˈsɘtɘr
PWN:dream.n.01		тӗлӗк	ˈtɘlɘk
