id	style	word	pronunciation	etymology
PLX:1PL EXCL.pro		我们,我們	wo3men	
PLX:1PL INCL.pro		咱们,咱們	zan2men	
PLX:1PL.pro		我们,我們	wo3men	
PLX:1SG.pro		我	wo3	
PLX:2PL.pro		你们	ni3men	
PLX:2PL.pro		您们	nin2men	
PLX:2SG.pro		你	ni3	
PLX:2SG.pro		您	nin2	
PLX:3PL.pro		他门，她们，它门	ta1men	
PLX:3SG F.pro		她	ta1	
PLX:3SG INAN.pro		它	ta1	
PLX:3SG M.pro		他	ta1	
PLX:3SG.pro		他，她，它	ta1	
PLX:above.pp		在…上面	zai4 ... shang4mian4	
PLX:after.pp		.......之后	X... zhihou4	
PLX:after.pp		以后	yi3hou4	
PLX:and.cnj		与, 與	yu3 (2)	
PLX:and.cnj		和	he2	
PLX:at.pp		在	zai4	
PLX:be late.v		迟到, 遲到	chi2dao4	
PLX:because.cnj		因为	yin1wei4	
PLX:behind.pp		后面	hou4mian	
PLX:behind.pp		在…之后	(zai ...) zhi1hou4	
PLX:beside.pp		在…旁边	(zai4 ...) pang2bian1	
PLX:carry in hand.v		拿	na2	
PLX:carry on head.v		顶, 頂	ding3	
PLX:carry on shoulder.v		背	bei4	
PLX:carry under arm.v		jia1 (2)		
PLX:daughter-in-law (of man).n		儿媳妇儿	er2xi2fu(r)	
PLX:daughter-in-law (of man).n		媳妇	xi2fu4	
PLX:daughter-in-law (of woman).n		儿媳妇儿	er2xi2fu(r)	
PLX:daughter-in-law (of woman).n		媳妇, 媳婦	xi2fu	
PLX:day after tomorrow.adv		后天	hou4tian1	
PLX:day before yesterday.adv		前天	qian2tian1	
PLX:fall silent.v		沉默	chen2mo4	
PLX:father's brother.n		伯伯	bo2bo	
PLX:father's brother.n		伯父	bo2fu4	
PLX:father's brother.n		叔叔	shu1shu	
PLX:father's brother.n		叔父	shu1fu4	
PLX:father's sister.n		姑姑	gu1gu	
PLX:father's sister.n		姑母	gu1mu3	
PLX:father-in-law (of man).n		岳父	yue4fu4	
PLX:father-in-law (of woman).n		公公	gong1gong	
PLX:fermented alcohol.n		酒	jiu3 (1)	
PLX:fish trap.n		捕鱼笼	bu3yu2long3	
PLX:fish trap.n		鱼笼	yu2long3	
PLX:head hair.n		头发, 頭髮	tou2fa	
PLX:how many pieces.pro		几个	ji3-CL	
PLX:how many pieces.pro		多少	duo1shao	
PLX:how much.pro		多少	duo1shao	
PLX:how.pro		怎么	zen3me	
PLX:how.pro		怎么样	zen3meyang4	
PLX:if.cnj		如果	ru2guo3	
PLX:in front of.pp		前面	qian2mian	
PLX:in front of.pp		在.......前面	zai4 ... qian2mian	
PLX:in front of.pp		在…之前	zai4 ... zhi1qian2	
PLX:in.pp		在……里面 ?	zai4 ... li3mian4	
PLX:inside.pp		在…里面	zai4 (X) li3mian	
PLX:inside.pp		里头	li3tou	
PLX:inside.pp		里面	li3mian	
PLX:mother's brother.n		舅父	jiu4fu4	
PLX:mother's brother.n		舅舅	jiu4jiu	
PLX:mother's sister.n		姨母	yi2mu3	
PLX:mother's sister.n		阿姨	a1yi2	
PLX:mother-in-law (of man).n		岳母	yue4mu3	
PLX:mother-in-law (of woman).n		婆婆	po2po	
PLX:netbag.n		网兜	wang3dou1	
PLX:or.cnj		或	huo4	
PLX:or.cnj		或者	huo4zhe3	
PLX:or.cnj		还是	hai2shi	
PLX:outside.pp		外面	wai4mian	
PLX:son-in-law (of man).n		女婿	nü3xu	
PLX:son-in-law (of woman).n		女婿	nü3xu	
PLX:stab to death.v		刺	ci4	
PLX:stab to death.v		刺穿	ci4chuan1	
PLX:stab to death.v		扎	zha1	
PLX:that.pro		那个	na4ge	
PLX:this.pro		这个	zhe4ge	
PLX:under.pp		下面	xia4mian4	
PLX:under.pp		在…下面	zai4 X xia4mian	
PLX:what.pro		什么	shen2me	
PLX:when.pro		什么时候	shen2me shi2hou	
PLX:when.pro		几点	ji3dian3	
PLX:where.pro		哪里	na3li3	
PLX:where.pro		在哪儿	zai4na3r	
PLX:which Q.pro		哪个	na3-CL	
PLX:which Q.pro		哪些	na3xie3	
PLX:who.pro		谁	shui2, shei2	
PLX:why.pro		为什么	wei4shen2me	
PLX:with.pp		和	he2 (2)	
PLX:with.pp		有	you3	
PLX:with.pp		用	yong4	
PLX:without.pp		没有	mei2you3	
PLX:yes.ptcl		好	hao3	
PLX:yes.ptcl		对, 對	dui4 (2)	
PLX:yes.ptcl		是	shi4	
PWN:abandon.v.01		放弃	
PWN:abandon.v.01		离弃	
PWN:abandon.v.01		遗弃	
PWN:abandon.v.02		抛弃	
PWN:abandon.v.02		放弃	
PWN:abandon.v.04		丢弃	
PWN:abandon.v.04		放弃	
PWN:abandon.v.04		离弃	
PWN:abdomen.n.01		肚子	du4zi	
PWN:abdomen.n.01		胃	
PWN:abdomen.n.01		胃	
PWN:abdomen.n.01		腹	fu4 (1)	
PWN:abdomen.n.01		腹部	
PWN:abdomen.n.01		腹部	
PWN:ability.n.01		才能	
PWN:ability.n.01		能力	
PWN:ability.n.01		能耐	
PWN:ability.n.02		才智	
PWN:ability.n.02		能力	
PWN:abnormality.n.01		反常	
PWN:abort.v.01		中断	
PWN:abort.v.01		中止	
PWN:abortion.n.01		堕胎	
PWN:abortion.n.01		流产	
PWN:above.r.02		高	gao1	
PWN:abrasion.n.01		擦	
PWN:abrasion.n.01		擦伤	
PWN:abrasion.n.01		磨损	
PWN:abridge.v.01		减少	
PWN:abridge.v.01		削减	
PWN:abridge.v.01		浓缩	
PWN:abridge.v.01		精简	
PWN:abridge.v.01		缩短	
PWN:abridge.v.01		降低	
PWN:absence.n.02		不在	
PWN:absence.n.02		不在场	
PWN:absence.n.02		在外	
PWN:absence.n.02		外出	
