id	style	word	transcription	etymology
PLX:1PL EXCL.pro		nou		
PLX:1PL INCL.pro		nou		
PLX:1PL.pro		nou		
PLX:1SG.pro		mon, mwan		
PLX:2PL.pro		zot		
PLX:2SG.pro		ou		
PLX:3PL.pro		zot		
PLX:3SG F.pro		i		
PLX:3SG INAN.pro		i		
PLX:3SG M.pro		i		
PLX:3SG.pro		i		
PLX:and.cnj		avek, ek		
PLX:and.cnj		e		
PLX:behind.adp		aryer		
PLX:behind.adp		deryer		
PLX:how.pro		konman		
PLX:if.cnj		si		
PLX:in front of.adp		devan		
PLX:or.cnj		ou, oubyen		
PLX:that.pro		sa		
PLX:this.pro		sennla		
PLX:under.adp		anba		
PLX:what.pro		kisisa		
PLX:what.pro		kwa		
PLX:where.pro		kote (2)		
PLX:where.pro		oli		
PLX:who.pro		ki sennla ki		
PLX:who.pro		lekel ki		
PLX:why.pro		akfer		
PLX:why.pro		akoz		
PLX:why.pro		ferkwa		
PLX:yes.ptcl		wi		
PWN:abdomen.n.01		toumero		swh:tumbo ?
PWN:abdomen.n.01		vant		
PWN:above.r.02		o		
PWN:accuse.v.01		akize		
PWN:accuse.v.01		sarze		eng:charge
PWN:acerate_leaf.n.01		zegwiy		
PWN:acquit.v.01		akite		
PWN:act.v.02		fer (1)		
PWN:address.n.03		diskour		
PWN:address.n.03		speech		eng:speech
PWN:address.n.06		ladres		
PWN:admit.v.01		admet		
PWN:admit.v.01		avwe		
PWN:adornment.n.01		dekorasyon		
PWN:adornment.n.01		madora		swh:madoido
PWN:adultery.n.01		adilter		
PWN:adz.n.01		adz		eng:adze
PWN:adz.n.01		lerminet		
PWN:afternoon.n.01		apremidi		
PWN:again.r.01		ankor		
PWN:age.n.01		laz		
PWN:air.n.01		ler (1)		
PWN:airplane.n.01		avyon		fra:avion
PWN:all.a.01		tou		
PWN:allege.v.01		dir (2)		
PWN:alligator.n.02		kayman		
PWN:alligator.n.02		krokodil		
PWN:alone.r.02		tousel		
PWN:altar.n.02		lotel		
PWN:always.r.01		atoukou		
PWN:always.r.01		toultan		
PWN:always.r.01		touzour		
PWN:amazed.s.01		sirprann		
PWN:ambush.n.01		getapan		
PWN:ancestor.n.01		zanset		
PWN:anchor.n.01		lank		
PWN:anger.n.02		fouga		
PWN:anger.n.02		lakoler		
PWN:animal.n.01		bebet		
PWN:animal.n.01		zannimo		
PWN:animation.n.01		lavi		
PWN:ankle.n.01		seviy		
PWN:announce.v.01		anonse		
PWN:announce.v.01		proklanmen		
PWN:answer.v.01		reponn		
PWN:ant.n.01		fourmi		
PWN:ant.n.01		makeket, maket		kng:ma + ekeketele
PWN:ant.n.01		mangwak		
PWN:anvil.n.01		lanklim		
PWN:anxiety.n.02		langwas		
PWN:anxiety.n.02		traka		
PWN:apparel.n.01		labi, zabi		
PWN:apparel.n.01		lenz		
PWN:approach.v.01		aborde		
PWN:approach.v.01		aprose		
PWN:apt.s.03		entelizan		
PWN:apt.s.03		malen		
PWN:apt.s.03		rize		
PWN:apt.s.03		visye		
PWN:arch.n.04		lark		
PWN:arch.n.04		markiz		
PWN:arm.n.01		lebra		
PWN:armor.n.01		larmir		
PWN:armpit.n.01		kelkel		plt:hélika
PWN:army.n.01		larme		
PWN:arrive.v.01		arive		
PWN:arrive.v.01		atenn		
PWN:arrive.v.01		vini		
PWN:arrow.n.02		aro		eng:arrow
PWN:arson.n.01		lensandi		
PWN:artery.n.01		larter		
PWN:artery.n.01		lavenn		
PWN:ascend.v.01		monte		
PWN:ash.n.01		lasann		
PWN:ask.v.02		demande		
PWN:ask.v.05		demande		
PWN:attack.n.05		latak		
PWN:aunt.n.01		tant		
PWN:aunt.n.01		tantin		
