id	style	word	transcription	etymology
PLX:1DU INCL.pro		hay
PLX:1PL EXCL.pro		jaʔ
PLX:1PL INCL.pro		hɛʔ
PLX:1SG.pro		ʔiŋ
PLX:2DU.pro		juh
PLX:2PL.pro		jin
PLX:2SG.pro		mɨ̃ʔ
PLX:3DU.pro		teʔ (2)
PLX:3PL.pro		gən
PLX:3SG.pro		ʔuh (1)
PLX:above.pp		hantən
PLX:after.pp		lpas		zsm:(se-)lepas
PLX:at.pp		kaʔ
PLX:be late.v		lambat		zsm:lambat
PLX:because.cnj		sbap		zsm:sebab
PLX:behind.pp		tkəh
PLX:beside.pp		dpər
PLX:carry in hand.v		cadom
PLX:carry in hand.v		gnam		zsm:genggam
PLX:carry on head.v		tol
PLX:carry on shoulder.v		taŋɔŋ		zsm:tanggung
PLX:carry under arm.v		raŋem
PLX:child-in-law.n		bsew
PLX:day after tomorrow.adv		biruy laŋ
PLX:day before yesterday.adv		biruy dih
PLX:digging stick.n		maliʔ		zsm:menggali
PLX:fall silent.v		sayɔk
PLX:fish poison root.n		jnũʔ		zsm:tuba jenu
PLX:fish trap.n		sareŋ		zsm:saring
PLX:fish trap.n		twar		zsm:tuar
PLX:head hair.n		sɔk (1)
PLX:how many pieces.pro		bapaʔ		zsm:berapa
PLX:how much.pro		bapaʔ		zsm:berapa
PLX:how.pro		cin
PLX:if.cnj		kalaw		zsm:kalau
PLX:if.cnj		mɛ̃n
PLX:in front of.pp		cicoʔ
PLX:in.pp		lam		zsm:dalam
PLX:inside.pp		lam		zsm:dalam
PLX:manioc bread.n		lmãŋ		zsm:lemang
PLX:older sibling.n		toʔ
PLX:or.cnj		ʔantaw		zsm:atau
PLX:outside.pp		katɛʔ (1)
PLX:parents-in-law.n		klək
PLX:parent’s elder brother.n		ksyɑʔ
PLX:parent’s elder sister.n		kbahɑʔ
PLX:parent’s younger brother.n		bɑh (1)
PLX:parent’s younger sister.n		deh
PLX:sibling's child.n		ʔanɛ̃k		zsm:anak
PLX:sibling-in-law.n		lɑh
PLX:stab to death.v		cɔk
PLX:that.pro		nũʔ
PLX:this.pro		daʔ
PLX:under.pp		hanyun
PLX:under.pp		kyɔm
PLX:what.pro		coʔ (1)
PLX:when.pro		pon
PLX:where.pro		hɑ̃n
PLX:which Q.pro		hɑ̃n
PLX:who.pro		biʔ ʔay
PLX:why.pro		coʔ ʔay
PLX:with.pp		biʔ
PLX:with.pp		ŋɛ̃n		zsm:dengan
PLX:yes.ptcl		ʔə̃ʔ
PLX:younger sibling.n		ʔadiʔ		zsm:adik
PWN:abdomen.n.01		ʔac
PWN:above.r.02		tiŋgiʔ		zsm:tinggi
PWN:act.v.02		buat		zsm:buat
PWN:admit.v.01		saŋoʔ
PWN:adornment.n.01		cnũr
PWN:adz.n.01		biyoŋ		zsm:beliung
PWN:afternoon.n.01		kəs
PWN:again.r.01		wel
PWN:airplane.n.01		kapal (2)		zsm:kapal terbang
PWN:all.a.01		hnũn
PWN:allege.v.01		bət
PWN:allege.v.01		tlɛʔ
PWN:alligator.n.02		bahayaʔ		:buhaya
PWN:alone.r.02		tut
PWN:always.r.01		slaloʔ		zsm:selalu
PWN:amazed.s.01		kaɲɨ̃s
PWN:ancestor.n.01		briʔ kmanɨ̃h
PWN:anger.n.02		mɛ̃t bisiŋ
PWN:animal.n.01		nataŋ		zsm:binatang
PWN:ankle.n.01		kteŋ cɑn
PWN:answer.v.01		jawap		zsm:jawab
PWN:answer.v.01		tamɑh		zsm:tambah
PWN:ant.n.01		lɑs
PWN:anteater.n.02		bantuay
