id	style	word	pronunciation
Action:can.V		gallu	ɡaɬɪ
Agriculture:herd (something).V		bugeilio	bɪɡɛ͡ɪlɪɔ
Agriculture:irrigate.V		dyfrhau	dəvr̥a͡ɪ
Agriculture:pick.V		casglu	kasɡlɪ
Agriculture:shovel.N		rhaw	r̥a͡ʊ
Animal:Anatidae.N		hwyad	hʊ͡ɪad
Animal:Annelida.N		abwydyn	abʊ͡ɪdɪn
Animal:Annelida.N		pryf genwair	prəv ɡɛnwa͡ɪr
Animal:Araneae.N		cor	kɔr
Animal:Araneae.N		pryf copyn	prəv kɔpɪn
Animal:Aves.N		aderyn	adɛrɪn
Animal:Canis lupus familiaris.N		ci	kɪ
Animal:Canis lupus.N		blaidd	bla͡ɪð
Animal:Corvus.N		brân	brɑːn
Animal:Culicidae.N		gwybedyn	ɡʊ͡ɪbɛdɪn
Animal:Diptera.N		cleren	klɛrɛn
Animal:Equus ferus caballus.N		ceffyl	kɛfɪl
Animal:Felis catus.N		cath	kaθ
Animal:Formicidae.N		morgrugyn	mɔrɡrɪɡɪn
Animal:Gallus gallus domesticus.N		cyw	kɪ͡ʊ
Animal:Homo sapiens.N		dyn	dɪn
Animal:Ovis aries.N		dafad	davad
Animal:Rhopalocera.N		glöyn byw	ɡlɔən bɪ͡ʊ
Animal:Rhopalocera.N		iâr fach yr haf	ɪɑːr vaχ ər hav
Animal:Sciuridae.N		gwiwer	ɡwɪ͡ʊɛr
Animal:Serpentes.N		neidr	nɛ͡ɪdr
Animal:Sus scrofa domestica.N		mochyn	mɔχɪn
Animal:Ursidae.N		arth	arθ
Animal:Vulpes.N		cadno	kadnɔ
Animal:animal.N		anifail	anɪva͡ɪl
Animal:fish.N		pysgod	pəsɡɔd
Animal:mouse.N		llygoden	ɬəɡɔdɛn
Animal:wool.N		gwlân	ɡʊlɑːn
Atmosphere:cloud.N		cwmwl	kʊmʊl
Atmosphere:cold.A		oeraidd	ɔ͡ɪra͡ɪð
Atmosphere:fog.N		niwl	nɪ͡ʊl
Atmosphere:rain.N		glaw	ɡla͡ʊ
Atmosphere:rain.V		glawio	ɡla͡ʊɪɔ
Atmosphere:rainbow.N		enfys	ɛnvɪs
Atmosphere:sky.N		awyr	a͡ʊɪr
Atmosphere:thunder.N		tyrfau	tərva͡ɪ
Atmosphere:thunder.V		taranu	taranɪ
Atmosphere:weather.N		tywydd	tə͡ʊɪð
Atmosphere:wind.N		gwynt	ɡʊ͡ɪnt
Belief:deity.N		duw	dɪ͡ʊ
Belief:idol.N		ffigur	fɪɡɪr
Belief:spirit.N		ysbryd	əsbrɪd
Body:arm.N		braich	bra͡ɪχ
Body:back.N		cefn	kɛvn
Body:beard.N		barf	barv
Body:belly.N		bol	bɔl
Body:blood.N		gwaed	ɡwa͡ɪd
Body:blow.V		chwythu	χʊ͡ɪθɪ
Body:body.N		corff	kɔrf
Body:bone.N		asgwrn	asɡʊrn
Body:brain.N		ymennydd	əmɛnnɪð
Body:breast.N		bron	brɔn
Body:breath.N		anadl	anadl
Body:breath.V		anadlu	anadlɪ
Body:cheek.N		boch	bɔχ
Body:chest.N		brest	brɛst
Body:chin.N		gên	ɡeːn
Body:ear.N		clust	klɪst
Body:elbow.N		penelin	pɛnɛlɪn
Body:eye.N		llygad	ɬəɡad
Body:face.N		wyneb	ʊ͡ɪnɛb
Body:fat.N		braster	brastɛr
Body:fat.N		saim	sa͡ɪm
Body:feather.N		plufyn	plɪvɪn
Body:finger.N		bys	bɪs
Body:fingernail.N		ewin	ɛ͡ʊɪn
Body:foot.N		troed	trɔ͡ɪd
Body:footprint.N		ôl	oːl
Body:forehead.N		talcen	talkɛn
Body:fur.N		ffwr	fʊr
Body:hair.N		blew	blɛ͡ʊ
Body:hand.N		llaw	ɬa͡ʊ
Body:head.N		pen	pɛn
Body:heart.N		calon	kalɔn
Body:heel.N		sawdl	sa͡ʊdl
Body:horn.N		corn	kɔrn
Body:jaw.N		gên	ɡeːn
Body:knee.N		glin	ɡlɪn
Body:leg.N		coes	kɔ͡ɪs
Body:lip.N		gwefus	ɡwɛvɪs
Body:liver.N		iau	ɪa͡ɪ
Body:moustache.N		mwstas	mʊstas
Body:mouth.N		ceg	kɛɡ
Body:nail.N		ewin	ɛ͡ʊɪn
Body:nape.N		gwar	ɡwar
Body:nape.N		gwegil	ɡwɛɡɪl
Body:navel.N		bogail	bɔɡa͡ɪl
Body:neck.N		gwddf	ɡʊðv
Body:nose.N		trwyn	trʊ͡ɪn
Body:obese.A		tew	tɛ͡ʊ
Body:palm.N		palf	palv
Body:shoulder.N		ysgwydd	əsɡʊ͡ɪð
Body:skin.N		croen	krɔ͡ɪn
Body:stomach.N		cylla	kəɬa
Body:stomach.N		stumog	stɪmɔɡ
Body:tail.N		cwt	kʊt
Body:tail.N		cynffon	kənfɔn
Body:tear.N		deigryn	dɛ͡ɪɡrɪn
Body:tendon.N		gewyn	ɡɛ͡ʊɪn
Body:throat.N		gwddf	ɡʊðv
Body:toe.N		bys troed	bəs trɔ͡ɪd
Body:tongue.N		tafod	tavɔd
Body:tooth.N		dant	dant
Body:upper leg.N		clun	klɪn
Body:vein.N		gwythïen	ɡʊ͡ɪθɪɛn
Body:wing.N		adain	ada͡ɪn
Body:wound.N		clwyf	klʊ͡ɪv
Building:board.N		astell	astɛɬ
Building:board.N		bwrdd	bʊrð
Building:build.V		adeiladu	adɛ͡ɪladɪ
Building:door.N		drws	drʊs
Building:floor.N		llawr	ɬa͡ʊr
Building:gate.N		porth	pɔrθ
Building:house.N		tŷ	tiː
Building:post.N		polyn	pɔlɪn
Building:roof.N		to	tɔ
Building:window.N		ffenestr	fɛnɛstr
Cleaning:broom.N		ysgub	əsɡɪb
Cleaning:clean (sth).V		glanhau	ɡlan̥a͡ɪ
Cleaning:clean.A		glân	ɡlɑːn
Cleaning:dirt.N		baw	ba͡ʊ
Cleaning:dirt.N		budreddi	bɪdrɛðɪ
Cleaning:dirty.A		brwnt	brʊnt
Cleaning:dirty.A		budr	bɪdr
Cleaning:sweep.V		ysgubo	əsɡɪbɔ
Cleaning:wash (oneself).V		ymolchi	əmɔlχɪ
Cleaning:wash.V		golchi	ɡɔlχɪ
Cleaning:wipe.V		sychu	səχɪ
Clothing:belt.N		gwregys	ɡwrɛɡɪs
Clothing:boot.N		botasen	bɔtasɛn
Clothing:button.N		botwm	bɔtʊm
Clothing:cap.N		cap	kap
Clothing:cloth.N		brethyn	brɛθɪn
Clothing:cloth.N		lliain	ɬɪa͡ɪn
Clothing:clothes.N		dillad	dɪɬad
Clothing:clothes.N		gwisgoedd	ɡwɪsɡɔ͡ɪð
Clothing:collar.N		coler	kɔlɛr
Clothing:dress up.V		ymwisgo	əmwɪsɡɔ
Clothing:dye.V		lliwio	ɬɪ͡ʊɪɔ
Clothing:knit.V		gwau	ɡwa͡ɪ
Clothing:leather.N		lledr	ɬɛdr
Clothing:naked.A		noeth	nɔ͡ɪθ
Clothing:needle.N		nodwydd	nɔdʊ͡ɪð
Clothing:put on.V		gwisgo	ɡwɪsɡɔ
Clothing:scarf or turban.N		sgarff	sɡarf
Clothing:sew.V		gwnïo	ɡʊnɪɔ
Clothing:shirt.N		crys	krɪs
Clothing:shoe.N		esgid	ɛsɡɪd
Clothing:sleeve.N		llawes	ɬa͡ʊɛs
Clothing:thread.N		edau	ɛda͡ɪ
Clothing:thread.N		edefyn	ɛdɛvɪn
Clothing:towel.N		lliain sychu	ɬɪa͡ɪn səχɪ
Clothing:towel.N		tywel	tə͡ʊɛl
Clothing:trousers.N		trowsus	trɔ͡ʊsɪs
Clothing:undress.V		tynnu	tənnɪ
Cognition:familiar.A		cyfarwydd	kəvarʊ͡ɪð
Cognition:familiar.A		cynefin	kənɛvɪn
Cognition:true.A		gwir	ɡwɪr
Cognition:truth.N		gwir	ɡwɪr
Cognition:truth.N		gwirionedd	ɡwɪrɪɔnɛð
Cognition:wake up (tr).V		deffro	dɛfrɔ
Cognition:wake up.V		dihuno	dɪhɪnɔ
Combat:brawl.V		ffraeo	fra͡ɪɔ
Combat:brawl.V		terfysgu	tɛrvəsɡɪ
Combat:fight.N		brwydr	brʊ͡ɪdr
Combat:strike (sb).V		curo	kɪrɔ
Combat:violence.N		ffyrnigrwydd	fərnɪɡrʊ͡ɪð
Combat:win.V		ennill	ɛnnɪɬ
Communication:boast.V		brolio	brɔlɪɔ
Communication:boast.V		ymffrostio	əmfrɔst͡ʃɔ
Communication:book.N		llyfr	ɬɪvr
Communication:call.V		galw	ɡalʊ
Communication:chat.V		sgwrsio	sɡʊrʃɔ
Communication:convey (a message).V		cyfleu	kəvlɛ͡ɪ
Communication:fairy tale.N		chwedl werin	χwɛdl ʊɛrɪn
Communication:kiss.V		cusanu	kɪsanɪ
Communication:language.N		iaith	ɪa͡ɪθ
Communication:laugh.V		chwerthin	χwɛrθɪn
Communication:laughter.N		chwerthin	χwɛrθɪn
Communication:letter.N		llythyr	ɬəθɪr
Communication:lie.N		anwiredd	anwɪrɛð
Communication:lie.N		celwydd	kɛlʊ͡ɪð
Communication:newspaper.N		papur newydd	papɪr nɛ͡ʊɪð
Communication:talk.V		siarad	ʃarad
Communication:tell.V		dweud	dwɛ͡ɪd
Communication:translate.V		cyfieithu	kəvɪɛ͡ɪθɪ
