id	style	word	pronunciation
Action:can.V		kunne	ˈkunə
Agriculture:herd (something).V		vogte	ˈvɔɡdə
Agriculture:irrigate.V		hælde	ˈhɛlə
Agriculture:pick.V		plukke	ˈploɡə
Agriculture:shovel.N		skovl	sɡɔu̯ˀl
Animal:Anatidae.N		and	anˀ
Animal:Annelida.N		orm	oʀˀm
Animal:Araneae.N		edderkop	ˈɛðˀəʁkɔb
Animal:Aves.N		fugl	fuːˀl
Animal:Canis lupus familiaris.N		hund	ˈhunˀ
Animal:Canis lupus.N		ulv	ulˀv
Animal:Corvus.N		krage	ˈkʀɑːwə
Animal:Culicidae.N		myg	myɡ
Animal:Diptera.N		flue	ˈfluːə
Animal:Equus ferus caballus.N		hest	ˈhɛsd
Animal:Felis catus.N		kat	ˈkad
Animal:Formicidae.N		myre	ˈmyːʀə
Animal:Gallus gallus domesticus.N		høne	ˈhœːnə
Animal:Homo sapiens.N		mennesge	mennesɡə
Animal:Ovis aries.N		får	fɔːˀʁ
Animal:Rhopalocera.N		sommerfugl	ˈsɔmɐfuːˀl
Animal:Sciuridae.N		egern	ˈeːˀɛʁn
Animal:Serpentes.N		slange	ˈslɑŋə
Animal:Sus scrofa domestica.N		gris	ɡʀiːˀs
Animal:Ursidae.N		bjørn	bjœʁˀn
Animal:Vulpes.N		ræv	ʀɛːˀv
Animal:animal.N		dyr	dyːˀʁ
Animal:fish.N		fisk	fesɡ
Animal:mouse.N		mus	muːˀs
Animal:wool.N		uld	ulˀ
Atmosphere:cloud.N		sky	ˈsɡyːˀ
Atmosphere:cold.A		kølig	kʰøːlɑɪ̯
Atmosphere:fog.N		tåge	ˈtɔːwə
Atmosphere:rain.N		regn	ˈʀɑjˀn
Atmosphere:rain.V		regne	ˈʀɑjnə
Atmosphere:rainbow.N		regnbue	ˈʀɑjˀnbuːə
Atmosphere:sky.N		himmel	himməl
Atmosphere:thunder.N		torden	ˈtoɐ̯dən
Atmosphere:thunder.V		tordne	ˈtoʀdnə
Atmosphere:weather.N		vejr	ˈvɛːˀɐ̯
Atmosphere:wind.N		vind	ˈvenˀ
Belief:deity.N		gud	ɡuð
Belief:idol.N		figur	fiˈɡuːˀʁ
Belief:spirit.N		ånd	ɔnˀ
Body:arm.N		arm	ɑːˀʁm
Body:back.N		ryg	ˈʀøɡˀ
Body:beard.N		skæg	sɡɛːˀɡ
Body:belly.N		mave	ˈmaːvə
Body:blood.N		blod	bloːˀð
Body:blow.V		blæse	ˈblɛːsə
Body:body.N		krop	kʀɔp
Body:body.N		legeme	ˈlɛːəmə
Body:bone.N		ben	ˈbeːˀn
Body:brain.N		hjerne	ˈjɛʀnə
Body:breast.N		barm	bɑʁˀm
Body:breath.N		ånde	ˈɔnə
Body:breath.V		ånde	ˈɔnə
Body:cheek.N		kind	kenˀ
Body:chest.N		bryst	brøsd
Body:chin.N		hage	ˈhaːə
Body:ear.N		øre	ˈøːʀə
Body:elbow.N		albue	ˈalbuːə
Body:eye.N		øje	ˈɔjə
Body:face.N		ansigt	ˈanseɡd
Body:fat.N		fedt	fed
Body:feather.N		fjer	fjeːˀʁ
Body:finger.N		finger	ˈfeŋˀəʁ
Body:fingernail.N		fingernegl	ˈfeŋəʁnɑi̯ˀl
Body:foot.N		fod	foːˀð
Body:footprint.N		spor	sboːˀʀ
Body:forehead.N		pande	ˈpanə
Body:fur.N		skind	ˈsɡenˀ
Body:hair.N		hår	hɔːˀʀ
Body:hand.N		hånd	ˈhɔnˀ
Body:head.N		hoved	ˈhoːðə
Body:heart.N		hjerte	ˈjɛɐ̯də
Body:heel.N		hæl	ˈhɛːˀl
Body:horn.N		horn	hoːˀʀn
Body:jaw.N		kæbe	ˈkɛːbə
Body:knee.N		knæ	knɛːˀ
Body:leg.N		ben	ˈbeːˀn
Body:lip.N		læbe	ˈlɛːbə
Body:liver.N		lever	ˈleːˀvəʀ
Body:moustache.N		overskæg	ˈɔwɐsɡɛːˀɡ
Body:mouth.N		mund	monˀ
Body:nail.N		negl	nɑjˀl
Body:nape.N		nakke	ˈnɑɡə
Body:navel.N		navle	ˈnɑwlə
Body:neck.N		hals	halˀs
Body:nose.N		næse	ˈnɛːsə
Body:obese.A		fed	feːˀð
Body:palm.N		håndflade	ˈhɔnflaːðə
Body:shoulder.N		skulder	ˈsɡulɐ
Body:skin.N		hud	huðˀ
Body:stomach.N		mave	ˈmaːvə
Body:tail.N		hale	ˈhaːlə
Body:tear.N		tåre	ˈtɔːɐ
Body:tendon.N		sene	ˈseːnə
Body:throat.N		strube	ˈsdʀuːbə
Body:toe.N		tå	ˈtɔːˀ
Body:tongue.N		tunge	ˈtɔŋə
Body:tooth.N		tand	ˈtanˀ
Body:upper leg.N		lår	lɔːˀʀ
Body:vein.N		åre	ˈɔːʀə
Body:wing.N		vinge	ˈveŋə
Body:wound.N		sår	sɔːˀʀ
Building:board.N		bræt	brɛd
Building:build.V		bygge	ˈbyɡə
Building:door.N		dør	dœːˀʁ
Building:floor.N		gulv	ˈɡɔlˀ
Building:gate.N		port	poːˀʀd
Building:house.N		hus	ˈhuːˀs
Building:post.N		stang	sdɑŋˀ
Building:roof.N		tag	taːˀj
Building:window.N		vindue	ˈvendu
Cleaning:broom.N		kost	kosd
Cleaning:clean (sth).V		gøre ren	ˈɡøɐ ˈʀeːˀn
Cleaning:clean (sth).V		rense	ˈʀɛnsə
Cleaning:clean.A		ren	ˈʀeːˀn
Cleaning:dirt.N		snavs	snɑwˀs
Cleaning:dirty.A		snavset	ˈsnawsəð
Cleaning:sweep.V		feje	ˈfɑi̯ə
Cleaning:wash (oneself).V		vaske sig	ˈvɑsɡə sɑj
Cleaning:wash.V		vaske	ˈvɑsɡə
Cleaning:wipe.V		tørre af	ˈtœʀə ˈa
Clothing:belt.N		bælte	ˈbɛldə
Clothing:boot.N		støvle	ˈsdœwlə
Clothing:button.N		knap	knɑb
Clothing:cap.N		hue	ˈhuːə
Clothing:cloth.N		stof	sdɔf
Clothing:clothes.N		påklædning	ˈpɔklɛːˀðneŋ
Clothing:collar.N		krave	ˈkʀɑːvə
