id	style	word	pronunciation
PLX:1PL.pro		эли	eli
PLX:1SG.pro		ди	di
PLX:2PL.pro		межи	meʒi
PLX:2SG.pro		ми	mi
PLX:3PL.pro		жеди	ʒedi
PLX:3SG M.pro		жо	ʒo
PLX:because of.adp		гӏоло	ʕolo
PLX:because of.adp		лӏаьй	t͡ɬæj
PLX:behind.adp		хизāз	χizaːz
PLX:can.v		бажарзи бохъа	baʒarzi boq͡χa
PLX:can.v		кӏези бохъа	kʼezi boq͡χa
PLX:die (from accident).V		беха	beχa
PLX:everywhere.pro		бит-нитор	bit-nitor
PLX:everywhere.pro		нантов	nantow
PLX:from here.adv		тӏай	tʼaj
PLX:get sick.V		унтизи охъа	untizi oq͡χa
PLX:how many.pro		дице	dit͡sʼe
PLX:how.pro		дидур	didur
PLX:in front of.adp		адаьз	adæz
PLX:in front of.adp		адаьза	adæza
PLX:or.cnj		йа	ja
PLX:that.pro		гьовжо	howʒo
PLX:that.pro		инжо	inʒo
PLX:this.pro		йеда	jeda
PLX:this.pro		йоду	jodu
PLX:under.adp		вахӏхӏо	waħħo
PLX:what.pro		гӏов	ʕow
PLX:where.pro		нā	naː
PLX:where_to.pro		нāр	naːr
PLX:who.pro		лъу	ɬu
PLX:why.pro		шида	ʃida
PWN:abdomen.n.01		ах	aχ
PWN:abdomen.n.01		лъара	ɬara
PWN:above.r.02		кьири	t͡ɬʼiri
PWN:act.v.02		бода	boda
PWN:add.v.01		лъицIокIа	ɬit͡sʼiokia
PWN:address.n.03		калам	kalam
PWN:again.r.01		жин	ʒin
PWN:again.r.01		хизийогон	χizijoɡon
PWN:ahead.r.03		адаьз	adæz
PWN:aid.n.02		кумак	kumak
PWN:air.n.01		гьава	hawa
PWN:alive.a.01		чӏагойав	t͡ʃʼaɡojaw
PWN:allege.v.01		элӏа	et͡ɬa
PWN:alone.r.02		сисхоли	sisχoli
PWN:always.r.01		нетин	netin
PWN:anger.v.01		бихзи бода	biχzi boda
PWN:anger.v.02		бихзи бохъа	biχzi boq͡χa
PWN:animal.n.01		жанавар	ʒanawar
PWN:animation.n.01		чӏаголъи	t͡ʃʼaɡoɬi
PWN:ant.n.01		реценйо	ret͡sʼenjo
PWN:apparel.n.01		шекьу	ʃet͡ɬʼu
PWN:apple.n.01		гьенеш	heneʃ
PWN:april.n.01		апрел	aprel
PWN:apt.s.03		гӏакъилав	ʕaqʼilaw
PWN:arise.v.03		биза	biza
PWN:arm.n.01		мецу	met͡sʼu
PWN:arrive.v.01		байа	baja
PWN:arrive.v.01		байа	baja
PWN:arrow.n.02		гьил	hil
PWN:ascend.v.01		биза	biza
PWN:ash.n.01		ноӏлӏу	nˤot͡ɬu
PWN:ask.v.02		гьари бода	hari boda
PWN:ask.v.02		хода	χoda
PWN:ask.v.02		эсира	esira
PWN:ask.v.05		эсира	esira
PWN:august.n.01		август	awɡust
PWN:aunt.n.01		бабйус эсйу	babjus esju
PWN:awaken.v.01		бизира	bizira
PWN:back.n.01		гугу	ɡuɡu
PWN:back.r.01		хизо-къиӏмер	χizo-qʼˤimer
PWN:back.r.02		хизор	χizor
PWN:bad.a.01		жука	ʒuka
PWN:bad.a.01		къадарав	qʼadaraw
PWN:bake.v.02		эшада	eʃada
PWN:bare.s.01		адору	adoru
PWN:bark.n.01		хъал	q͡χal
PWN:bark.v.04		лапӏлӏа	lapʼt͡ɬa
PWN:bathe.v.01		эсанада	esanada
PWN:battle.n.01		лъибо	ɬibo
PWN:be_born.v.01		бохъа	boq͡χa
PWN:bear.n.01		зе	ze
PWN:beard.n.01		мешолга	meʃolɡa
PWN:beautiful.a.01		берцинав	bert͡sʼinaw
PWN:become.v.01		бохъа	boq͡χa
PWN:bed.n.01		карават	karawat
PWN:begin.v.03		байбики бода	bajbiki boda
PWN:begin.v.03		башла бода	baʃla boda
PWN:believe.v.01		бужизи бохъа	buʒizi boq͡χa
PWN:beloved.s.01		хирийав	χirijaw
PWN:belt.n.02		ашуни	aʃuni
PWN:bend.v.01		бужи-букӏира	buʒi-bukʼira
PWN:benefit.n.02		мукагӏат	mukaʕat
PWN:benefit.n.02		мумпагӏат	mumpaʕat
PWN:benefit.n.02		хайир	χajir
PWN:better.v.02		бигкӏа	biɡkʼa
PWN:birch.n.02		ме	me
PWN:bird.n.01		агъи	aʁi
PWN:bite.v.01		хӏана	ħana
PWN:bitter.s.06		мекъаб	meqʼab
PWN:black.a.01		хъаӏба	q͡χˤaba
PWN:blanket.n.01		сабани	sabani
PWN:blast.v.07		цалӏа	t͡sʼat͡ɬa
PWN:blind.a.01		бецав	bet͡sʼaw
PWN:blind.a.01		бецоно	bet͡sʼono
PWN:blind.a.01		хъодоно	q͡χodono
PWN:blood.n.01		э	e
PWN:blow.v.01		паӏлӏа	pˤat͡ɬa
PWN:blow.v.02		бичӏа	bit͡ʃʼa
PWN:blue.s.01		нига	niɡa
PWN:blunt.s.02		гутоно	ɡutono
PWN:board.n.02		къир	qʼir
PWN:boast.v.01		буӏкьира	bˤut͡ɬʼira
PWN:boat.n.01		гама	ɡama
PWN:body.n.01		гьиро	hiro
PWN:boil.v.01		гъваӏгъваӏлӏа	ʁwˤaʁwˤat͡ɬa
PWN:boil.v.01		хъаӏролӏа	q͡χˤarot͡ɬa
PWN:boil.v.03		бахӏира	baħira
PWN:bone.n.01		къаӏкъуӏ	qʼˤaqʼˤu
PWN:book.n.01		китаб	kitab
PWN:book.n.01		тӏек	tʼek
PWN:boot.n.01		чакмай	t͡ʃakmaj
PWN:botch.v.01		бехура	beχura
PWN:boundary_line.n.01		гӏурхъи	ʕurq͡χi
PWN:bow.n.04		цӏеруцӏа	t͡sʼerut͡sʼa
PWN:brain.n.01		ата	ata
PWN:branch.n.02		ара	ara
PWN:branchlet.n.01		ара	ara
PWN:brawl.v.01		бихӏанада	biħanada
PWN:bread.n.01		магалу	maɡalu
PWN:break.v.05		бецура	bet͡sʼura
PWN:breast.n.02		кики	kiki
PWN:breath.n.02		хӏукел	ħukel
PWN:breathe.v.01		муши лӏиса	muʃi t͡ɬisa
PWN:bridge.n.01		лӏе	t͡ɬe
PWN:bright.a.01		чӏураьси	t͡ʃʼuræsi
PWN:bring.v.01		байира	bajira
PWN:broom.n.01		меш	meʃ
PWN:brother.n.01		эсйу	esju
PWN:brow.n.01		кьоӏкъо	t͡ɬʼˤoqʼo
PWN:bull.n.01		ис	is
PWN:bundle.n.02		гъот	ʁot
PWN:burn.v.03		лъегъа	ɬeʁa
PWN:burn.v.07		эра	era
PWN:business.n.01		хӏалтӏи-пиша	ħaltʼi-piʃa
PWN:butter.n.01		рилъ	riɬ
PWN:butterfly.n.01		кьандилу	t͡ɬʼandilu
PWN:button.n.01		къотӏу	qʼotʼu
PWN:buy.v.01		биса	bisa
PWN:calculate.v.01		рикӏзи бода	rikʼzi boda
PWN:calendar_month.n.01		буци	but͡sʼi
PWN:call.v.05		гокьа	ɡot͡ɬʼa
PWN:campfire.n.01		цӏи	t͡sʼi
PWN:cap.n.01		кӏук	kʼuk
PWN:cat.n.01		кӏетӏу	kʼetʼu
PWN:catch.v.04		бихъа	biq͡χa
PWN:cause.n.01		багьана	bahana
PWN:cause.n.01		гӏилла	ʕilla
PWN:cave.n.01		инху	inχu
PWN:cavil.v.01		хихада	χiχada
PWN:center.n.01		болӏо	bot͡ɬo
PWN:chair.n.01		къуӏри	qʼˤuri
