id	style	word
PLX:1PL EXCL.pro		wir (exklusiv)
PLX:1PL INCL.pro		wir (inklusiv)
PLX:1PL.pro		wir
PLX:1SG.pro		ich
PLX:2PL.pro		ihr
PLX:2SG.pro		du
PLX:3PL.pro		sie
PLX:3SG F.pro		sie
PLX:3SG INAN.pro		es
PLX:3SG M.pro		er
PLX:3SG.pro		er/sie/es
PLX:and.cnj		und
PLX:behind.adp		hinter
PLX:how.pro		Wie?
PLX:if.cnj		falls, wenn
PLX:in front of.adp		vor
PLX:or.cnj		oder
PLX:that.pro		der
PLX:this.pro		dieser
PLX:under.adp		unter
PLX:what.pro		Was?
PLX:where.pro		Wo?
PLX:who.pro		Wer?
PLX:why.pro		Warum?, Weshalb?
PLX:yes.ptcl		ja
PWN:abdomen.n.01		Bauch
PWN:above.r.02		hoch
PWN:accuse.v.01		anklagen, beschuldigen
PWN:acerate_leaf.n.01		Nadel
PWN:acorn.n.01		Eichel
PWN:acquit.v.01		freisprechen
PWN:act.v.02		tun
PWN:address.n.03		Rede (halten)
PWN:address.n.06		Adresse
PWN:admit.v.01		zugeben, gestehen, bekennen
PWN:adobe.n.02		Lehmziegel
PWN:adornment.n.01		Schmuck
PWN:adultery.n.01		Ehebruch
PWN:adz.n.01		Dechsel, Breitbeil
PWN:afternoon.n.01		Nachmittag
PWN:again.r.01		wieder, nochmal
PWN:age.n.01		Alter
PWN:air.n.01		Luft
PWN:airplane.n.01		Flugzeug
PWN:all.a.01		alle
PWN:allege.v.01		sagen
PWN:alligator.n.02		Krokodil
PWN:alone.r.02		allein
PWN:altar.n.02		Altar
PWN:always.r.01		immer, stets
PWN:amazed.s.01		überrascht, erstaunt
PWN:ambush.n.01		Hinterhalt
PWN:ancestor.n.01		Ahnen oder Vorfahren
PWN:anchor.n.01		Anker
PWN:anger.n.02		Zorn
PWN:animal.n.01		Tier
PWN:animation.n.01		Leben
PWN:ankle.n.01		Fußgelenk, Fußknöchel
PWN:announce.v.01		ankündigen, verkündigen
PWN:answer.v.01		antworten
PWN:ant.n.01		Ameise
PWN:anteater.n.02		Ameisenbär
PWN:anvil.n.01		Amboss
PWN:anxiety.n.02		Sorge
PWN:apparel.n.01		Kleider, Kleidung
PWN:approach.v.01		sich nähern, nahen
PWN:apt.s.03		klug, schlau
PWN:arch.n.04		Bogen, Gewölbe
PWN:arm.n.01		Arm
PWN:armor.n.01		Rüstung, Harnisch
PWN:armpit.n.01		Achsel, Achselhöhle
PWN:army.n.01		Armee, Heer
PWN:arrive.v.01		ankommen, erreichen
PWN:arrive.v.01		kommen
PWN:arrow.n.02		Pfeil
PWN:arson.n.01		Brandstiftung
PWN:artery.n.01		Ader, Vene, Arterie
PWN:ascend.v.01		hinaufgehen
PWN:ash.n.01		Asche
PWN:ask.v.02		bitten
PWN:ask.v.05		fragen
PWN:attack.n.05		Angriff
PWN:aunt.n.01		Tante
PWN:aurora_borealis.n.01		Nordlicht
PWN:avaricious.s.01		gierig, gefräßig
PWN:awl.n.01		Ahle
PWN:ax.n.01		Beil, Axt
PWN:axle.n.01		Achse
PWN:baby.n.01		Säugling oder Baby
PWN:back.n.01		Rücken
PWN:bad.a.01		schlecht, schlimm, böse, übel
PWN:bait.n.02		Köder
PWN:bake.v.02		backen
PWN:bald.s.02		kahl, glatzköpfig
PWN:ball.n.03		Kugel
PWN:bamboo.n.01		Bambus
PWN:banana.n.02		Banane
PWN:banyan.n.01		Banyanbaum
PWN:bare.s.01		nackt
PWN:bark.n.01		Rinde, Borke
PWN:barley.n.02		Gerste
PWN:barter.v.01		handeln oder tauschen
PWN:basket.n.01		Korb
PWN:bat.n.01		Fledermaus
PWN:bathe.v.01		baden
PWN:battery.n.02		Batterie
PWN:battle-ax.n.01		Streitaxt
PWN:battle.n.01		Krieg; Schlacht, Kampf, Gefecht
PWN:bay.n.01		Bucht
PWN:be.v.03		sein
PWN:be.v.11		aam Leben, lebendig sein
PWN:be_born.v.01		geboren werden
PWN:bead.n.01		Perle
PWN:beak.n.02		Schnabel
PWN:beam.n.02		Balken
PWN:bean.n.01		Bohne
PWN:bear.n.01		Bär
PWN:beard.n.01		Bart
PWN:beautiful.a.01		schön, hübsch
PWN:beaver.n.07		Biber
PWN:become.v.01		werden
PWN:bed.n.01		Bett
PWN:bee.n.01		Biene
PWN:beech.n.01		Buche
PWN:beehive.n.04		Bienenstock, Bienenkorb
PWN:beer.n.01		Bier
PWN:beeswax.n.01		Bienenwachs
PWN:beget.v.01		zeugen
PWN:beggar.n.01		Bettler
PWN:begin.v.03		beginnen, anfangen
PWN:beginning.n.01		Anfang, Beginn
PWN:believe.v.01		glauben
PWN:belt.n.02		Gürtel
PWN:beverage.n.01		Getränk
PWN:bicycle.n.01		Fahrrad
PWN:big_brother.n.02		älterer Bruder
PWN:big_sister.n.01		ältere Schwester
PWN:bill.n.02		Rechnung
PWN:billy.n.02		Ziegenbock
PWN:birch.n.02		Birke
PWN:bird.n.01		Vogel
PWN:birth_certificate.n.01		Geburtsurkunde
PWN:bite.v.01		beißen
PWN:bitter.s.06		bitter
PWN:black.a.01		schwarz
PWN:blacksmith.n.01		Schmied
PWN:blade.n.01		Blatt
PWN:blanket.n.01		Decke
PWN:bless.v.01		segnen
PWN:blind.a.01		blind
PWN:blink.v.01		blinzeln, zwinkern
PWN:blister.n.03		Blase
PWN:blood.n.01		Blut
PWN:blow.v.02		blasen, wehen
PWN:blue.s.01		blau
PWN:blunt.s.02		stumpf
PWN:board.n.02		Brett
PWN:boast.v.01		prahlen, sich rühmen
PWN:boat.n.01		Boot
PWN:body.n.01		Körper
PWN:body_hair.n.01		Körperhaar, Körperbehaarung
PWN:body_louse.n.01		Körperlaus
PWN:boil.n.01		Eiterbeule, Furunkel, Schwäre
PWN:boil.v.01		kochen
PWN:boisterous.s.03		rau
PWN:bolt.n.03		Riegel
PWN:bomb.n.01		Bombe; Sprengstoff
PWN:bone.n.01		Knochen
PWN:book.n.01		Buch
PWN:boomerang.n.01		Bumerang
PWN:boot.n.01		Stiefel
PWN:bore.v.02		bohren
PWN:borrow.v.01		sich entwas borgen, leihen
PWN:bottle.n.01		Flasche
PWN:bottom.n.02		Boden, Grund
PWN:boundary.n.02		Grenze
PWN:bow.n.04		Bogen
PWN:bowl.n.01		Schale
PWN:bracelet.n.02		Armband
PWN:brackish.s.02		brackig
PWN:braid.n.01		Zopf
PWN:braid.v.01		flechten
PWN:brain.n.01		Gehirn, Hirn
PWN:brainsick.s.01		verrückt
PWN:brake.v.02		bremsen
PWN:brave.a.01		tapfer, mutig, kühn
PWN:bread.n.01		Brot
PWN:break.v.05		zerbrechen
PWN:breakfast.n.01		Frühstück
PWN:breast.n.02		Brust
PWN:breathe.v.01		Atem
PWN:brick.n.01		Ziegel, Ziegelstein, Backstein
PWN:bridge.n.01		Brücke
PWN:bright.a.01		hell, glänzend
PWN:bring.v.01		bringen, holen
PWN:bring_around.v.02		heilen
PWN:broken.s.11		kaputt
PWN:broom.n.01		Besen
PWN:brother.n.01		Bruder
PWN:brow.n.01		Stirn
PWN:bruise.n.01		blauer Fleck, Bluterguss
PWN:brush.n.02		Bürste
PWN:bull.n.01		Stier oder Bulle
PWN:bumble.v.03		stottern, stammeln
PWN:bunch.n.01		Bund
PWN:burn.v.03		brennen
PWN:burn.v.07		verbrennen
PWN:bury.v.02		beerdigen, begraben, bestatten
PWN:bus.n.01		Bus
PWN:butter.n.01		Butter
PWN:butterfly.n.01		Schmetterling
PWN:buttocks.n.01		Hintern, Gesäß
PWN:button.n.01		Knopf
PWN:buy.v.01		kaufen
PWN:cadaver.n.01		Leiche, Leichnam
PWN:calendar.n.03		Kalender
PWN:calendar_month.n.01		Monat
PWN:calf.n.01		Kalb
PWN:calf.n.02		Wade
PWN:call.v.05		rufen
PWN:call_on_the_carpet.v.01		rügen, tadeln, ausschimpfen
PWN:calm.a.02		windstill
PWN:camel.n.01		Kamel
PWN:camp.n.03		Lager
PWN:can.n.01		Dose, Büchse
PWN:candle.n.01		Kerze
PWN:canoe.n.01		Kanu
PWN:cap.n.01		Hut; Mütze
PWN:cape.n.01		Kap
PWN:car.n.01		Auto
PWN:carcase.n.01		Kadaver
PWN:caribou.n.01		Rentier, Karibu
PWN:carpenter.n.01		Zimmermann
PWN:carve.v.01		aushauen, ausmeißeln
PWN:cassava.n.02		Maniok
PWN:cast.v.07		formen, bilden
PWN:cast.v.07		gießen
PWN:cat.n.01		Katze
PWN:catch.v.04		fangen
PWN:cattle.n.01		Rind
PWN:cause.n.01		Ursache, Grund
PWN:cave.n.01		Höhle
PWN:center.n.01		Mitte, Zentrum
PWN:certain.a.03		sicher, gewiss
PWN:cerumen.n.01		Ohrenschmalz
PWN:chain.n.03		Kette
PWN:chair.n.01		Stuhl
PWN:chameleon.n.03		Chamäleon
PWN:change.v.01		verändern, wechseln, vertauschen
PWN:charcoal.n.01		Holzkohle
PWN:cheap.a.01		billig
PWN:cheek.n.01		Wange
