id	style	word	transcription	etymology
PLX:1PL EXCL.pro		my		
PLX:1PL INCL.pro		my		
PLX:1PL.pro		my		
PLX:1SG.pro		ja		
PLX:2PL.pro		wy		
PLX:2SG.pro		ty		
PLX:3PL.pro		wóni		
PLX:3SG F.pro		wóna		
PLX:3SG INAN.pro		wóno		
PLX:3SG M.pro		wón		
PLX:3SG.pro		wón/wóna/wóno		
PLX:and.cnj		a		
PLX:behind.adp		slězy		
PLX:behind.adp		za		
PLX:how.pro		kak?		
PLX:if.cnj		gaž		
PLX:in front of.adp		pśed		
PLX:or.cnj		abo		
PLX:that.pro		tamny		
PLX:that.pro		wóny		
PLX:this.pro		ten		
PLX:under.adp		pód		
PLX:what.pro		co?		
PLX:where.pro		źo?		
PLX:who.pro		chto?		
PLX:why.pro		cogodla?		
PLX:yes.ptcl		jo		
PWN:abdomen.n.01		brjuch		
PWN:above.r.02		wusoki		
PWN:accuse.v.01		pśeskjaržyś		
PWN:acerate_leaf.n.01		jegła		
PWN:acorn.n.01		jawor		
PWN:acorn.n.01		klon		
PWN:acquit.v.01		wuwinowaś		
PWN:act.v.02		cyniś		
PWN:address.n.03		nagrono		
PWN:address.n.06		adresa		deu:Adresse
PWN:admit.v.01		pśiwdaś		
PWN:adornment.n.01		pyšnjeńki		
PWN:adornment.n.01		pyšnotka		
PWN:adornment.n.01		wupyšnjenje		
PWN:adultery.n.01		ehebracharstwo		
PWN:adultery.n.01		manźelstwołamanje		
PWN:adultery.n.01		łamanje manźelstwa		
PWN:afternoon.n.01		wótpołdnjo		
PWN:again.r.01		zasej		
PWN:age.n.01		starstwo		
PWN:air.n.01		luft		deu:Luft
PWN:air.n.01		pówětš		hsb:powětr
PWN:airplane.n.01		lětadło		ces:Unidentifiable
PWN:all.a.01		wše		
PWN:allege.v.01		groniś		
PWN:alligator.n.02		krokodil		deu:Krokodil
PWN:alone.r.02		sam		
PWN:altar.n.02		hołtaŕ		goh:altāri
PWN:always.r.01		pśecej		
PWN:amazed.s.01		pśechwatany		
PWN:ambush.n.01		pasle		
PWN:ambush.n.01		zakšyśe		
PWN:ancestor.n.01		prědowniki		hsb:prjedownik
PWN:anchor.n.01		kokula		
PWN:anger.n.02		gniw		
PWN:animal.n.01		zwěrje		
PWN:animation.n.01		žywjenje		
PWN:ankle.n.01		glozonk		
PWN:announce.v.01		pśipowěźeś		
