id	style	word	pronunciation
PLX:1PL.pro		me	me
PLX:1SG.pro		mina	minɑ
PLX:2PL.pro		te	tʲe
PLX:2SG.pro		sina	sʲinɑ
PLX:3PL.pro		nad	nɑd̥
PLX:3SG M.pro		tema	tʲemɑ
PLX:and.cnj		ja	jɑ
PLX:because of.pp		pärast	pærɑst
PLX:because of.pp		tõttu	tɤtːu
PLX:behind.pp		taha	tɑhɑ
PLX:beside.pp		kõrval	kɤrvɑl
PLX:can.v		oskama	oskɑmɑ
PLX:can.v		võima	vɤimɑ
PLX:die (from accident).V		surma saama	surmɑ sɑːmɑ
PLX:everywhere.pro		kõikjal	kɤikjɑl
PLX:from here.adv		siit	sʲiːt
PLX:get sick.V		haigeks jääma	hɑiɡ̥eks jæːmɑ
PLX:get sick.V		haigestuma	hɑiɡ̥estumɑ
PLX:how many.pro		kui palju	kui pɑlju
PLX:how many.pro		mitu	mitu
PLX:how.pro		kuidas	kuid̥ɑs
PLX:in front of.pp		ees	eːs
PLX:or.cnj		või	vɤi
PLX:that.pro		see	sʲeː
PLX:this.pro		see	sʲeː
PLX:under.pp		all	ɑlː
PLX:what.pro		mis	mis
PLX:where.pro		kus	kus
PLX:where_to.pro		kuhu	kuhu
PLX:who.pro		kes	kes
PLX:why.pro		miks	miks
PWN:abandon.v.02		maha jätma	mɑhɑ jætmɑ
PWN:abdomen.n.01		kõht	kɤxt
PWN:above.r.02		ülal	ylɑl
PWN:act.v.02		tegema	tʲeɡ̥emɑ
PWN:add.v.01		lisama	lʲisɑmɑ
PWN:address.n.03		kõne	kɤnʲe
PWN:affect.v.05		heldima panema	held̥imɑ pɑnʲemɑ
PWN:affect.v.05		liigutama	lʲiːɡ̥utɑmɑ
PWN:again.r.01		jälle	jælʲːe
PWN:age.n.01		iga	iɡ̥ɑ
PWN:ahead.r.03		edasi	ed̥ɑsʲi
PWN:aid.n.02		abi	ɑb̥i
PWN:air.n.01		õhk	ɤxk
PWN:alive.a.01		elus	elus
PWN:all.a.01		kõik	kɤik
PWN:allege.v.01		ütlema	ytlʲemɑ
PWN:alone.r.02		üksi	yksʲi
PWN:already.r.01		juba	jub̥ɑ
PWN:always.r.01		alati	ɑlɑtʲi
PWN:always.r.01		ikka	ikːɑ
PWN:anger.v.01		vihastama	vihɑstɑmɑ
PWN:anger.v.01		ärritama	ærːitɑmɑ
PWN:anger.v.02		vihastuma	vihɑstumɑ
PWN:anger.v.02		ärrituma	ærːitumɑ
PWN:animal.n.01		loom	loːm
PWN:animation.n.01		elu	elu
PWN:ant.n.01		sipelgas	sʲipelɡ̥ɑs
PWN:apparel.n.01		riided	riːd̥ed̥
PWN:apparel.n.01		riietus	riːetus
PWN:apple.n.01		õun	ɤun
PWN:april.n.01		aprill	ɑprilː
PWN:apt.s.03		arukas	ɑrukɑs
PWN:apt.s.03		mõistlik	mɤistlʲik
PWN:apt.s.03		tark	tɑrk
PWN:area.n.01		ümbrus	ymb̥rus
PWN:arise.v.03		kerkima	kerkimɑ
PWN:arm.n.01		käsivars	kæsʲivɑrs
PWN:arrive.v.01		saabuma	sɑːb̥umɑ
PWN:arrive.v.01		tulema	tulʲemɑ
PWN:arrow.n.02		nool	noːl
PWN:ascend.v.01		tõusma	tɤusmɑ
PWN:ascend.v.01		üles minema	ylʲes minʲemɑ
PWN:ash.n.01		tuhk	tuxk
PWN:ask.v.02		paluma	pɑlumɑ
PWN:ask.v.05		küsima	kysʲimɑ
PWN:august.n.01		august	ɑuɡ̥ust
PWN:aunt.n.01		tädi	tæd̥i
PWN:awaken.v.01		äratama	ærɑtɑmɑ
PWN:back.n.01		selg	sʲelɡ̥
PWN:back.r.01		tagasi	tɑɡ̥ɑsʲi
PWN:back.r.02		tagurpidi	tɑɡ̥urpid̥i
PWN:bad.a.01		halb	hɑlb̥
PWN:bag.n.01		kott	kotː
PWN:bake.v.02		küpsetama	kypsʲetɑmɑ
PWN:bare.s.01		alasti	ɑlɑstʲi
PWN:bark.n.01		koor	koːr
PWN:bark.v.04		haukuma	hɑukumɑ
PWN:bathe.v.01		kümblema	kymb̥lʲemɑ
PWN:bathe.v.01		suplema	suplʲemɑ
PWN:battle.n.01		võitlus	vɤitlus
PWN:bay.n.01		laht	lɑxt
PWN:be_born.v.01		sündima	synd̥imɑ
PWN:bear.n.01		karu	kɑru
PWN:beard.n.01		habe	hɑb̥e
PWN:beautiful.a.01		kena	kenɑ
PWN:become.v.01		hakkama	hɑkːɑmɑ
PWN:become.v.01		saama	sɑːmɑ
PWN:bed.n.01		voodi	voːd̥i
PWN:begin.v.03		alustama	ɑlustɑmɑ
PWN:begin.v.03		hakkama	hɑkːɑmɑ
PWN:believe.v.01		uskuma	uskumɑ
PWN:beloved.s.01		armas	ɑrmɑs
PWN:belt.n.02		vöö	vœː
PWN:bend.v.01		painutama	pɑinutɑmɑ
PWN:benefit.n.02		kasulikkus	kɑsulʲikːus
PWN:benefit.n.02		tulu	tulu
PWN:berry.n.01		mari	mɑri
PWN:better.v.02		parandama	pɑrɑnd̥ɑmɑ
PWN:between.r.02		vahel	vɑhel
PWN:birch.n.02		kask	kɑsk
PWN:bird.n.01		lind	lʲind̥
PWN:bite.v.01		hammustama	hɑmːustɑmɑ
PWN:bite.v.01		purema	puremɑ
PWN:bitter.s.06		mõru	mɤru
PWN:black.a.01		must	must
PWN:blanket.n.01		tekk	tʲekː
PWN:blast.v.07		tulistama	tulʲistɑmɑ
PWN:blind.a.01		pime	pime
PWN:blood.n.01		veri	veri
PWN:blow.v.01		puhuma	puhumɑ
PWN:blow.v.02		puhuma	puhumɑ
PWN:blue.s.01		sinine	sʲinʲinʲe
PWN:blunt.s.02		nüri	nyri
PWN:board.n.02		saelaud	sɑelɑud̥
PWN:boast.v.01		hooplema	hoːplʲemɑ
PWN:boat.n.01		paat	pɑːt
PWN:body.n.01		ihu	ihu
PWN:body.n.01		keha	kehɑ
PWN:boil.v.01		keema	keːmɑ
PWN:boil.v.03		keetma	keːtmɑ
PWN:bone.n.01		luu	luː
PWN:book.n.01		raamat	rɑːmɑt
PWN:boot.n.01		saabas	sɑːb̥ɑs
PWN:botch.v.01		rikkuma	rikːumɑ
PWN:boundary_line.n.01		piir	piːr
PWN:bow.n.04		vibu	vib̥u
PWN:box.n.01		kast	kɑst
PWN:brain.n.01		aju	ɑju
PWN:branch.n.02		oks	oks
PWN:branchlet.n.01		oks	oks
PWN:brawl.v.01		kaklema	kɑklʲemɑ
PWN:bread.n.01		leib	lʲeib̥
PWN:bread.n.01		sai	sɑi
PWN:break.v.05		murdma	murd̥mɑ
PWN:breast.n.02		rind	rind̥
PWN:breath.n.02		hingamine	hiŋk̥ɑminʲe
PWN:breath.n.02		hingeõhk	hiŋk̥eɤxk
PWN:breathe.v.01		hingama	hiŋk̥ɑmɑ
PWN:bridge.n.01		sild	sʲild̥
PWN:bright.a.01		hele	helʲe
PWN:bring.v.01		viima	viːmɑ
PWN:brook.n.01		oja	ojɑ
PWN:broom.n.01		luud	luːd̥
PWN:brother.n.01		vend	vend̥
PWN:brow.n.01		otsmik	otsmik
PWN:bucket.n.01		pang	pɑŋk̥
PWN:bucket.n.01		ämber	æmb̥er
PWN:bull.n.01		pull	pulː
PWN:bundle.n.02		kimp	kimp
PWN:burn.v.03		põlema	pɤlʲemɑ
PWN:burn.v.07		põletama	pɤlʲetɑmɑ
PWN:business.n.01		äri	æri
PWN:butter.n.01		või	vɤi
PWN:butterfly.n.01		liblikas	lʲib̥lʲikɑs
PWN:button.n.01		nööp	nœːp
PWN:buy.v.01		ostma	ostmɑ
PWN:calculate.v.01		arvutama	ɑrvutɑmɑ
PWN:calendar_month.n.01		kuu	kuː
PWN:call.v.05		kutsuma	kutsumɑ
PWN:campfire.n.01		lõke	lɤke
PWN:cap.n.01		müts	myts
PWN:cat.n.01		kass	kɑsː
PWN:catch.v.04		püüdma	pyːd̥mɑ
PWN:cause.n.01		põhjus	pɤhjus
PWN:cave.n.01		koobas	koːb̥ɑs
PWN:cavil.v.01		sõimama	sɤimɑmɑ
PWN:center.n.01		keskpaik	keskpɑik
PWN:chair.n.01		tool	toːl
PWN:change.v.01		muutma	muːtmɑ
PWN:change.v.01		ümber tegema	ymb̥er tʲeɡ̥emɑ
PWN:character.n.08		täht	tæxt
PWN:cheap.a.01		odav	od̥ɑv
PWN:cheek.n.01		põsk	pɤsk
PWN:cherished.s.01		väärtuslik	væːrtuslʲik
PWN:chicken.n.02		kana	kɑnɑ
PWN:child.n.01		laps	lɑps
PWN:chin.n.01		lõug	lɤuɡ̥
PWN:choose.v.01		valima	vɑlʲimɑ
PWN:chop.v.01		lõhkuma	lɤxkumɑ
PWN:chop.v.01		raiuma	rɑiumɑ
PWN:church.n.02		kirik	kirik
PWN:circle.n.03		ring	riŋk̥
PWN:citizenry.n.01		rahvas	rɑxvɑs
PWN:claw.n.01		küüs	kyːs
PWN:clay.n.01		savi	sɑvi
PWN:clean.a.01		puhas	puhɑs
PWN:clean.v.01		puhastama	puhɑstɑmɑ
PWN:climb.v.01		ronima	ronʲimɑ
PWN:close.v.01		sulgema	sulɡ̥emɑ
PWN:cloud.n.02		pilv	pilv
PWN:coal.n.01		süsi	sysʲi
PWN:cock.n.04		kukk	kukː
PWN:cold.a.01		jahe	jɑhe
PWN:cold.a.01		külm	kylm
PWN:coldness.n.03		külm	kylm
PWN:coldness.n.03		külmus	kylmus
PWN:collar.n.01		krae	krɑe
PWN:colorful.a.01		kirju	kirju
PWN:colorful.a.01		värviline	værvilʲinʲe
PWN:comb.n.01		kamm	kɑmː
PWN:comb.v.01		kammima	kɑmːimɑ
PWN:commend.v.01		kiitma	kiːtmɑ
PWN:companion.n.01		sõber	sɤb̥er
PWN:company.n.03		selts	sʲelts
PWN:complete.v.01		lõpetama	lɤpetɑmɑ
PWN:connect.v.01		ühendama	yhend̥ɑmɑ
PWN:conserve.v.02		hoidma	hoid̥mɑ
PWN:construct.v.01		ehitama	ehitɑmɑ
PWN:conversation.n.01		kõne	kɤnʲe
PWN:conversation.n.01		vestlus	vestlus
PWN:converse.v.01		vestlema	vestlʲemɑ
PWN:convey.v.01		teada andma	tʲeɑd̥ɑ ɑnd̥mɑ
PWN:convey.v.01		teatama	tʲeɑtɑmɑ
PWN:cook.v.02		valmistama	vɑlmistɑmɑ
PWN:corner.n.03		nurk	nurk
PWN:corpulent.s.01		rasvane	rɑsvɑnʲe
PWN:correctly.r.01		õige	ɤiɡ̥e
PWN:cough.v.01		köhima	kœhimɑ
PWN:count.n.01		arv	ɑrv
PWN:count.n.01		hulk	hulk
PWN:count.v.01		loendama	loend̥ɑmɑ
PWN:country.n.02		maa	mɑː
PWN:cover.v.01		katma	kɑtmɑ
PWN:cow.n.01		lehm	lʲexm
PWN:cradle.n.01		häll	hælː
PWN:cradle.n.01		kätki	kætki
PWN:crane.n.05		kurg	kurɡ̥
PWN:crawl.v.01		roomama	roːmɑmɑ
PWN:crisscross.n.01		rist	rist
PWN:crow.n.01		vares	vɑres
PWN:cry.n.01		hüüe	hyːe
PWN:cry.v.02		nutma	nutmɑ
PWN:cuckoo.n.02		kägu	kæɡ̥u
PWN:cup.n.01		tass	tɑsː
PWN:current.n.02		jõevool	jɤevoːl
PWN:current.n.02		voolus	voːlus
PWN:cut.v.01		lõikama	lɤikɑmɑ
PWN:damage.n.01		kahju	kɑhju
PWN:damage.v.01		rikkuma	rikːumɑ
PWN:damp.s.01		niiske	nʲiːske
PWN:dance.v.02		tantsima	tɑntsʲimɑ
PWN:dark.a.01		pime	pime
PWN:daughter.n.01		tütar	tytɑr
PWN:day.n.01		päev	pæev
PWN:deaf.a.01		kurt	kurt
PWN:death.n.01		surm	surm
PWN:deceive.v.01		petma	petmɑ
PWN:deceive.v.01		tüssama	tysːɑmɑ
PWN:december.n.01		detsember	tʲetsʲemb̥er
PWN:decompose.v.03		mädanema	mæd̥ɑnʲemɑ
PWN:decorate.v.01		kaunistama	kɑunʲistɑmɑ
PWN:decrease.v.01		kahenema	kɑhenʲemɑ
PWN:decrease.v.01		vähenema	væhenʲemɑ
PWN:defend.v.03		kaitsma	kɑitsmɑ
PWN:deft.s.01		osav	osɑv
PWN:deity.n.01		jumal	jumɑl
PWN:depart.v.03		liikuma	lʲiːkumɑ
PWN:descend.v.01		langema	lɑŋk̥emɑ
PWN:descend.v.01		vajuma	vɑjumɑ
PWN:desire.n.01		himu	himu
PWN:desire.v.01		tahtma	tɑxtmɑ
PWN:destroy.v.02		purustama	purustɑmɑ
PWN:detect.v.01		märkama	mærkɑmɑ
PWN:die.v.01		surema	suremɑ
PWN:different.a.01		erinev	erinʲev
PWN:dig.v.01		kaevama	kɑevɑmɑ
PWN:digest.v.03		taluma	tɑlumɑ
PWN:dirt.n.02		mustus	mustus
PWN:dirt.n.02		pori	pori
PWN:dirty.a.01		määrdunud	mæːrd̥unud̥
PWN:dirty.a.01		räpane	ræpɑnʲe
PWN:disappear.v.01		kaduma	kɑd̥umɑ
PWN:discontinue.v.01		lakkama	lɑkːɑmɑ
PWN:disease.n.01		haigus	hɑiɡ̥us
PWN:dish.n.01		nõud	nɤud̥
PWN:dissolve.v.09		sulama	sulɑmɑ
PWN:distance.n.01		vahe	vɑhe
PWN:distance.n.03		kaugus	kɑuɡ̥us
PWN:distance.n.03		vahemaa	vɑhemɑː
PWN:dive.v.03		sukelduma	sukeld̥umɑ
PWN:divide.v.01		jagama	jɑɡ̥ɑmɑ
PWN:divide.v.01		jaotama	jɑotɑmɑ
PWN:doctor.n.01		arst	ɑrst
PWN:dog.n.01		koer	koer
PWN:doll.n.01		nukk	nukː
PWN:down.r.01		alla	ɑlːɑ
PWN:drag.v.01		lohistama	lohistɑmɑ
PWN:drag.v.01		tassima	tɑsʲːimɑ
PWN:dream.n.01		unenägu	unʲenæɡ̥u
PWN:dress.v.01		riietuma	riːetumɑ
PWN:drink.v.01		jooma	joːmɑ
PWN:drive.v.01		sõitma	sɤitmɑ
PWN:drive.v.15		ajama	ɑjɑmɑ
PWN:drop.n.01		tilk	tʲilk
PWN:drop.v.01		kukkuda laskma	kukːud̥ɑ lɑskmɑ
PWN:drop.v.01		maha pillama	mɑhɑ pilːɑmɑ
PWN:drove.n.02		parv	pɑrv
PWN:dry.a.01		kuiv	kuiv
PWN:dry.v.01		kuivama	kuivɑmɑ
PWN:duck.n.01		part	pɑrt
PWN:dust.n.01		põrm	pɤrm
PWN:dye.v.01		värvima	værvimɑ
PWN:eagle.n.01		kotkas	kotkɑs
PWN:ear.n.01		kõrv	kɤrv
PWN:earlier.r.01		enne	enʲːe
PWN:east.n.01		ida	id̥ɑ
PWN:eat.v.01		sööma	sœːmɑ
PWN:edge.n.06		kant	kɑnt
PWN:egg.n.02		muna	munɑ
PWN:eight.s.01		kaheksa	kɑheksɑ
PWN:eighty.s.01		kaheksakümmend	kɑheksɑkymːend̥
PWN:elapse.v.01		mööduma	mœːd̥umɑ
PWN:elbow.n.01		küünarnukk	kyːnɑrnukː
PWN:eleven.s.01		üksteist	ykstʲeist
PWN:elk.n.01		põder	pɤd̥er
PWN:emerge.v.01		ilmuma	ilmumɑ
PWN:employment.n.02		töö	tœː
PWN:empty.a.01		tühi	tyhi
PWN:end.n.03		lõpp	lɤpː
PWN:end.n.09		jupp	jupː
PWN:end.n.09		ots	ots
PWN:end.v.01		lõppema	lɤpːemɑ
PWN:enter.v.01		sisenema	sʲisʲenʲemɑ
PWN:enter.v.01		sisse minema	sʲisʲːe minʲemɑ
PWN:entirely.r.02		ainult	ɑinult
PWN:erstwhile.s.01		endine	end̥inʲe
PWN:escape.v.01		põgenema	pɤɡ̥enʲemɑ
PWN:evening.n.01		õhtu	ɤxtu
PWN:evil.a.01		tige	tʲiɡ̥e
PWN:exchange.v.01		vahelduma	vɑheld̥umɑ
PWN:exclaim.v.01		karjuma	kɑrjumɑ
PWN:exit.v.01		välja minema	væljɑ minʲemɑ
PWN:exit.v.01		ära minema	ærɑ minʲemɑ
PWN:expensive.a.01		kallis	kɑlʲːis
PWN:extraneous.s.03		võõras	vɤːrɑs
PWN:eye.n.01		silm	sʲilm
PWN:fabric.n.01		kangas	kɑŋk̥ɑs
PWN:face.n.01		nägu	næɡ̥u
PWN:faineant.s.01		laisk	lɑisk
PWN:fairytale.n.01		muinasjutt	muinɑsjutː
PWN:fall.n.01		sügis	syɡ̥is
PWN:fall.v.01		langema	lɑŋk̥emɑ
PWN:fall_asleep.v.01		uinuma	uinumɑ
PWN:familiar.a.01		teada	tʲeɑd̥ɑ
PWN:familiar.a.01		tuttav	tutːɑv
PWN:family.n.02		perekond	perekond̥
PWN:faraway.s.01		kauge	kɑuɡ̥e
PWN:fat.n.01		rasv	rɑsv
PWN:father.n.01		isa	isɑ
PWN:fault.n.06		süü	syː
PWN:fear.v.01		hirmu tundma	hirmu tund̥mɑ
PWN:fear.v.01		kartma	kɑrtmɑ
PWN:feather.n.01		sulg	sulɡ̥
PWN:february.n.01		veebruar	veːb̥ruɑr
PWN:feed.v.01		söötma	sœːtmɑ
PWN:feel.v.03		tundma	tund̥mɑ
PWN:female_child.n.01		tüdruk	tyd̥ruk
PWN:fence.n.01		aed	ɑed̥
PWN:fence.n.01		tara	tɑrɑ
PWN:fever.n.01		palavik	pɑlɑvik
PWN:fifty.s.01		viiskümmend	viːskymːend̥
PWN:fill.v.01		täitma	tæitmɑ
PWN:find.v.03		leidma	lʲeid̥mɑ
PWN:fine-looking.s.01		kena	kenɑ
PWN:fine.a.05		peen	peːn
PWN:fine.a.05		õhuke	ɤhuke
PWN:finger.n.01		sõrm	sɤrm
PWN:fingernail.n.01		küüs	kyːs
PWN:fir.n.02		nulg	nulɡ̥
PWN:fire.n.03		tuli	tulʲi
PWN:firm.s.02		kindel	kind̥el
PWN:firm.s.02		püsiv	pysʲiv
PWN:first.a.01		esimene	esʲimenʲe
PWN:first.r.02		enne	enʲːe
PWN:first.r.02		esmalt	esmɑlt
