id	style	word	pronunciation
Action:can.V		пиричь	pirit͡ʃʲ
Agriculture:herd (something).V		тэ понидь	tɛ pɔnidʲ
Agriculture:irrigate.V		батаҫь	bataɕʲ
Agriculture:pick.V		нызкучь	nɨzkut͡ʃʲ
Agriculture:shovel.N		сԑа	sæa
Animal:Anatidae.N		ӈау	ŋau
Animal:Annelida.N		колы	kɔɫɨ
Animal:Araneae.N		ниби	nibi
Animal:Aves.N		чида сама	t͡ʃida sama
Animal:Canis lupus familiaris.N		бунки	bunki
Animal:Canis lupus.N		саме	samʲɛ
Animal:Corvus.N		кулы	kuɫɨ
Animal:Culicidae.N		нԑнаг	nænaɡ
Animal:Diptera.N		тухудачи	tuhudat͡ʃi
Animal:Equus ferus caballus.N		дюда	dʲuda
Animal:Homo sapiens.N		энчи	ɛnt͡ʃi
Animal:Rhopalocera.N		леблюку	ʎɛbʎuku
Animal:Sciuridae.N		тореха	tɔrʲɛha
Animal:Serpentes.N		змея	zmʲɛja
Animal:Sus scrofa domestica.N		ҫибинья	ɕibiɲʲa
Animal:Ursidae.N		богля	bɔɡʎa
Animal:Vulpes.N		тодэ	tɔdɛ
Animal:animal.N		сама	sama
Animal:fish.N		кари	kari
Animal:mouse.N		тобик	tɔbik
Animal:wool.N		тор	tɔr
Atmosphere:cloud.N		чери	t͡ʃʲɛri
Atmosphere:cold.A		тэчираха	tɛt͡ʃiraha
Atmosphere:fog.N		ҫинё	ɕiɲɔ
Atmosphere:rain.N		сари	sari
Atmosphere:rainbow.N		менси пя	mʲɛnsi pʲa
Atmosphere:sky.N		ӈа	ŋa
Atmosphere:thunder.N		киху	kihu
Atmosphere:thunder.V		монучь	mɔnut͡ʃʲ
Atmosphere:weather.N		ӈа	ŋa
Atmosphere:wind.N		мяси	mʲasi
Body:arm.N		уза	uza
Body:back.N		маха	maha
Body:beard.N		мунчи	munt͡ʃi
Body:belly.N		сосе	sɔsʲɛ
Body:blood.N		буя	buja
Body:blow.V		пэсгуҫь	pɛsɡuɕʲ
Body:body.N		ая	aja
Body:bone.N		лызи	ɫɨzi
Body:brain.N		эбейчи	ɛbʲɛjt͡ʃi
Body:breast.N		лубара	ɫubara
Body:breath.N		пузи	puzi
Body:breath.V		пузитучь	puzitut͡ʃʲ
Body:cheek.N		пайзи	pajzi
Body:chest.N		лубара	ɫubara
Body:chin.N		няӈу	ɲaŋu
Body:ear.N		коо	kɔɔ
Body:eye.N		сэй	sɛj
Body:face.N		сԑ	sæ
Body:fat.N		дюр	dʲur
Body:feather.N		тор	tɔr
Body:finger.N		чубай	t͡ʃubaj
Body:fingernail.N		коза	kɔza
Body:foot.N		ӈо	ŋɔ
Body:footprint.N		дязаа	dʲazaa
Body:forehead.N		пԑя	pæja
Body:fur.N		коба	kɔba
Body:hair.N		иту	itu
Body:hand.N		уза кора	uza kɔra
Body:head.N		эба	ɛba
Body:heart.N		сԑй	sæj
Body:heel.N		дедзи	dʲɛdzi
Body:horn.N		наду	nadu
Body:knee.N		посе	pɔsʲɛ
Body:leg.N		ӈо	ŋɔ
Body:lip.N		питы	pitɨ
Body:liver.N		муз	muz
Body:moustache.N		мунчи	munt͡ʃi
Body:mouth.N		на ҫе	na ɕʲɛ
