id	style	word	pronunciation	etymology
PLX:1PL EXCL.pro		exlusive we		
PLX:1PL EXCL.pro		we		
PLX:1PL INCL.pro		inclusive we		
PLX:1PL INCL.pro		we		
PLX:1PL POSS.pro		our		
PLX:1PL.pro		we		
PLX:1SG POSS.pro		my		
PLX:1SG.pro		I		
PLX:1SG.pro		me		
PLX:2PL POSS.pro		your		
PLX:2PL.pro		you		
PLX:2PL.pro		you all		
PLX:2SG POSS.pro		your		
PLX:2SG.pro		singular		
PLX:2SG.pro		you		
PLX:3PL POSS.pro		their		
PLX:3PL.pro		they		nhu:þeir
PLX:3SG F.pro		she		
PLX:3SG INAN.pro		it		
PLX:3SG M.pro		he		
PLX:3SG POSS.pro		his or her		
PLX:3SG.pro		he or she or it		
PLX:Asian dragon.n		Asian dragon		
PLX:COND.v		would	
PLX:Pan-African.a		pan-African	
PLX:Pan-American.a		pan-American	
PLX:Pan-Asian.a		pan-Asian	
PLX:Pan-European.a		pan-European	
PLX:about.pp 		about		
PLX:about.pp 		concerning		
PLX:about.pp 		on the topic of		
PLX:above.pp		above		
PLX:after.pp		after		
PLX:after.pp		later in time or space		
PLX:algorithm.n.01		algorithm		
PLX:and.cnj		and		
PLX:antifascism.n		antifascism		
PLX:anyone.pro		anybody		
PLX:anyone.pro		anyone		
PLX:anything.pro		anything		
PLX:at.pp		at		
PLX:at.pp		by		
PLX:at.pp		in		
PLX:at.pp		on		
PLX:be late.v		late		
PLX:because.cnj		because		:causa, earlier caussa
PLX:before.pp		before		
PLX:before.pp		earlier in time or space		
PLX:behind.pp		behind		
PLX:beside.pp		beside		
PLX:beside.pp		para-		
PLX:between.pp		amid		
PLX:between.pp		among		
PLX:between.pp		between		
PLX:bon voyage.int		farewell		
PLX:can.v		can		
PLX:can.v		know how		
PLX:conlang.n.01		conlang		
PLX:conlang.n.01		constructed language		
PLX:conlanger.n		conlanger		
PLX:daughter-in-law (of man).n		daughter-in-law		
PLX:during.pp		during		
PLX:during.pp		for the duration of		
PLX:during.pp		while		
PLX:everyone.pro		everybody		
PLX:everyone.pro		everyone		
PLX:everything.pro		everything		
PLX:fall silent.v		(be) silent		:silen-s, -tem
PLX:father-in-law (of man).n		father-in-law		
PLX:fermented alcohol.n		alcohol		arb:al-koħl
PLX:from.pp		from		
PLX:from.pp		of		
PLX:from.pp		since		
PLX:genderology.n		gender studies		
PLX:genderology.n		genderology		
PLX:haha.int		haha		
PLX:head hair.n		hair		
PLX:hello.int		hello		
PLX:hello.int		hi		
PLX:hello.int  		hello		
PLX:hello.int  		hi		
PLX:heuristics.n		art of invention		
PLX:heuristics.n		heuristics		
PLX:hey.int		exclamation to get attention		
PLX:hey.int		hey		
PLX:how many pieces.pro		how many?		
PLX:how many.pro		how many		
PLX:how much.pro		how much?		
PLX:how.pro		how		
PLX:how.pro		how?		
PLX:how.pro		in what way		
PLX:how.pro		to what degree		
PLX:if.cnj		if		
PLX:in front of.pp		in front of		:frōns, frontis
PLX:in.pp		in		
PLX:inside.pp		inside		
PLX:instead of.pp		instead of		
PLX:kendo.n		kendo		
PLX:kyudo.n		Oriental form of archery		
PLX:kyudo.n		kyudo		
PLX:may.v		be allowed to		
PLX:may.v		may		
PLX:mother-in-law (of man).n		mother-in-law		
PLX:netbag.n		netbag		nhu:baggi
PLX:nothing.pro		nothing		
PLX:oganesson.n		oganesson		
PLX:okay.n.01		O.K.	
PLX:okay.n.01		OK	
PLX:okay.n.01		acceptance	
PLX:okay.n.01		okay	
PLX:okay.n.01		okeh	
PLX:okay.n.01		okey	
PLX:older sibling.n		elder sibling		
PLX:one.pro		impersonal pronoun		
PLX:one.pro		one		
PLX:one.pro		you		
PLX:or.cnj		or		
PLX:other.pro		alter		
PLX:other.pro		other		
PLX:outside.pp		outside		
PLX:prepend.v		prepend		
PLX:pseudorandom.a		pseudorandom		
PLX:ramen.n		ramen		
PLX:ramen.n		soup noodles		
PLX:should.v		ought		
PLX:should.v		should		
PLX:someone.pro		somebody		
PLX:someone.pro		someone		
PLX:son-in-law (of man).n		son-in-law		
PLX:stab to death.v		stab		
PLX:tectonic plate.n		tectonic plate		
PLX:tennessine.n		tennessine		
PLX:than.pp		as		
PLX:than.pp		compared to		
PLX:than.pp		like		
PLX:than.pp		relative to		
PLX:than.pp		than		
PLX:thanks.int		thanks		
PLX:that.pro		that		
PLX:this.pro		this		
PLX:this.pro		this here		
PLX:through.pp		through		
PLX:to.pp		for		
PLX:to.pp		to		
PLX:to.pp		toward		
PLX:under.pp		under		
PLX:welcome.int		welcome!		
PLX:what.pro		what		
PLX:what.pro		what thing		
PLX:what.pro		what?		
PLX:what.pro		which		
PLX:when.pro		at what time		
PLX:when.pro		when		
PLX:when.pro		when?		
PLX:where.pro		in which place		
PLX:where.pro		where		
PLX:where.pro		where?		
PLX:which Q.pro		which?		
PLX:who.pro		which person		
PLX:who.pro		who		
PLX:who.pro		who?		
PLX:why.pro		why?		
PLX:with.pp		together; common		
PLX:with.pp		with		
PLX:without.pp		without		
PLX:yes.ptcl		yes		
PLX:younger sibling.n		younger sibling		
PWN:a_bit.r.01		a bit		
PWN:a_bit.r.01		a little		
PWN:a_bit.r.01		a trifle		
PWN:abandon.v.01		abandon		
PWN:abandon.v.02		abandon		
PWN:abandon.v.02		give up		
PWN:abandon.v.04		abandon		
PWN:abandon.v.04		give up		
PWN:abate.v.02		abate		
PWN:abate.v.02		die away		
PWN:abate.v.02		let up		
PWN:abate.v.02		slack		
PWN:abate.v.02		slack off		
PWN:abdomen.n.01		abdomen		
PWN:abdomen.n.01		belly		
PWN:abdomen.n.01		stomach		
PWN:abdomen.n.01		venter		
PWN:ability.n.01		ability		
PWN:ability.n.02		ability		
PWN:ability.n.02		power		
PWN:abnormality.n.01		abnormalcy		
PWN:abnormality.n.01		abnormality		
PWN:abort.v.01		abort		
PWN:abortion.n.01		abortion		
PWN:about-face.n.02		about-face		
PWN:about-face.n.02		policy change		
PWN:about-face.n.02		reversal		
PWN:about-face.n.02		volte-face		
PWN:about.r.03		about		
PWN:about.r.03		around		
PWN:about.r.07		about		
PWN:about.r.07		almost		
PWN:about.r.07		approximately		
PWN:about.r.07		most		
PWN:about.r.07		near		
PWN:about.r.07		nearly		
PWN:about.r.07		nigh		
PWN:about.r.07		virtually		
PWN:about.r.07		well-nigh		
PWN:above.r.02		above		
PWN:above.r.02		high		
PWN:above.r.02		higher up		
PWN:above.r.02		in a higher place		
PWN:above.r.02		to a higher place		
PWN:abrasion.n.01		abrasion		
PWN:abrasion.n.01		excoriation		
PWN:abrasion.n.01		scrape		
PWN:abrasion.n.01		scratch		
PWN:abridge.v.01		abbreviate		
PWN:abridge.v.01		abridge		
PWN:abridge.v.01		contract		
PWN:abridge.v.01		cut		
PWN:abridge.v.01		foreshorten		
PWN:abridge.v.01		reduce		
PWN:abridge.v.01		shorten		
PWN:absence.n.02		absence		
PWN:absent.a.01		absent		
PWN:absorb.v.04		absorb		
PWN:absorb.v.04		draw		
PWN:absorb.v.04		imbibe		
PWN:absorb.v.04		soak up		
PWN:absorb.v.04		sop up		
PWN:absorb.v.04		suck		
PWN:absorb.v.04		suck up		
PWN:absorb.v.04		take in		
PWN:absorb.v.04		take up		
PWN:absorb.v.09		absorb		
PWN:absorb.v.09		engage		
PWN:absorb.v.09		engross		
PWN:absorb.v.09		occupy		
PWN:abstain.v.02		abstain		
PWN:abstain.v.02		desist		
PWN:abstain.v.02		refrain		
PWN:abstinence.n.02		abstinence		
PWN:abstractedness.n.01		abstractedness		
PWN:abstractedness.n.01		abstraction		
PWN:abstraction.n.01		abstract		
PWN:abstraction.n.01		abstraction		
PWN:abstraction.n.06		abstract entity		
PWN:abstraction.n.06		abstraction		
PWN:absurdity.n.02		absurdity		
PWN:absurdity.n.02		fatuity		
PWN:absurdity.n.02		fatuousness		
PWN:absurdity.n.02		silliness		
PWN:abuse.n.02		abuse		
PWN:abuse.n.02		contumely		
PWN:abuse.n.02		insult		
PWN:abuse.n.02		revilement		
PWN:abuse.n.02		vilification		
PWN:academic_administrator.n.01		academic administrator		
PWN:academician.n.03		academic		
PWN:academician.n.03		academician		
PWN:academician.n.03		faculty member		
PWN:accelerate.v.01		accelerate		
PWN:accelerate.v.01		quicken		
PWN:accelerate.v.01		speed		
PWN:accelerate.v.01		speed up		
PWN:accept.v.01		accept		
PWN:accept.v.02		accept		
PWN:accept.v.02		have		
PWN:accept.v.02		take		
PWN:accept.v.03		accept		
PWN:accept.v.03		consent		
PWN:accept.v.03		go for		
PWN:accept.v.04		accept		
PWN:accept.v.05		accept		
PWN:accept.v.05		admit		
PWN:accept.v.05		take		
PWN:accept.v.05		take on		
PWN:accept.v.08		accept		
PWN:accept.v.08		take		
PWN:accept.v.09		accept		
PWN:access.n.03		access		
PWN:access.n.03		approach		
PWN:access.v.01		access		
PWN:accident.n.01		accident		
PWN:accident.n.01		mishap		
PWN:accident.n.02		accident		
PWN:accident.n.02		chance event		
PWN:accident.n.02		fortuity		
PWN:accident.n.02		stroke		
