id	style	word
PLX:1SG.pro		mi
PLX:2SG.pro		vi
PLX:about.pp		pri
PLX:above.pp		super
PLX:across.pp		trans
PLX:after.pp		post
PLX:and.cnj		kaj
PLX:around.pp		ĉirkaŭ
PLX:at.pp		ĉe
PLX:because of.pp		pro, kaŭze de
PLX:before.pp		antaŭ
PLX:behind.pp		malantaŭ
PLX:between.pp		inter
PLX:beyond.pp		preter
PLX:but.cnj		sed
PLX:by means of.pp		per
PLX:can.v		povi
PLX:during.pp		dum
PLX:except for.pp		krom
PLX:for the purpose of.pp		por
PLX:from.pp		de, el
PLX:head hair.n		hararo
PLX:how.pro		kiel
PLX:if.cnj		se
PLX:in exchange for.pp		por, kontraŭ
PLX:in front of.pp		antaŭ
PLX:in.pp		en
PLX:instead of.pp		anstataŭ
PLX:like.pp		simila al
PLX:near.pp		proksime al
PLX:of.pp		de
PLX:on.pp		sur
PLX:or.cnj		aŭ
PLX:outside of.pp		ekster
PLX:quantity of.pp		da
PLX:should.v		devus
PLX:than.pp		ol
PLX:that.cnj		ke
PLX:that.pro		tiu
PLX:this.pro		ĉi tiu
PLX:through.pp		tra
PLX:to.pp		al
PLX:under.pp		sub
PLX:what.pro		kio, kiu
PLX:when.pro		kiam
PLX:where.pro		kie, kien
PLX:which.pro		kiu
PLX:why.pro		kial
PLX:with.pp		kun
PLX:without.pp		sen
PWN:abdomen.n.01		abdomeno
PWN:absent.a.01		forestanta, mankanta
PWN:absorb.v.04		sorbi
PWN:accept.v.02		akcepti
PWN:accident.n.01		hazardo, akcidento
PWN:account.n.07		konto
PWN:acid.s.03		acida
PWN:act.n.02		ago, faro
PWN:ad.n.01		reklamo, reklamaĵo
PWN:add.v.01		aldoni, adicii
PWN:address.n.06		adreso, poŝtadreso
PWN:adhere.v.06		algluiĝi
PWN:adult.n.01		plenkreskulo
PWN:advancement.n.03		progreso
PWN:advice.n.01		konsilo
PWN:afternoon.n.01		postagmezo
PWN:again.r.01		ree, refoje, denove
PWN:age.n.01		aĝo
PWN:agency.n.01		instanco, buroo
