id	style	word	pronunciation
PLX:1PL.pro		ху̌аӈкута	xǔaŋɡ̥kuta
PLX:1SG.pro		ху̌аӈа	xǔaŋɡ̥a
PLX:2PL.pro		ылъпыси	ɨt͡ɬpɨsi
PLX:2SG.pro		ылъпык	ɨt͡ɬpɨk
PLX:3SG M.pro		ылъӈа	ɨt͡ɬŋɡ̥a
PLX:and.cnj		ама	ama
PLX:behind.pp		мулюӈани	muljuŋɡ̥ani
PLX:beside.pp		сяӷу̌ани	sjaɣǔani
PLX:die (from accident).V		пылыӽӄаӄуӄ	pɨlɨχqaquq
PLX:from here.adv		ху̌акын	xǔakɨn
PLX:get sick.V		аӄниӷаӄуӄ	aqniɣaquq
PLX:how many.pro		ӄафсина	qafsina
PLX:how.pro		натын	natɨn
PLX:in front of.pp		сивулим пиӈа	sivulim piŋɡ̥a
PLX:this.pro		тана	tana
PLX:this.pro		уна	una
PLX:what.pro		сяӈу̌а	sjaŋɡ̥ǔa
PLX:where.pro		налиӷми	naliɣmi
PLX:where.pro		нани	nani
PLX:where.pro		нанта	nanta
PLX:where_to.pro		навык	navɨk
PLX:who.pro		кина	kina
PLX:why.pro		сяӈами	sjaŋɡ̥ami
PWN:abdomen.n.01		аӄся	aqsja
PWN:above.r.02		ӄайӈани	qajŋɡ̥ani
PWN:above.r.02		ӄуляӈани	quljaŋɡ̥ani
PWN:act.v.02		улимаӄа	ulimaqa
PWN:act.v.02		улимаӄуӄ	ulimaquq
PWN:address.n.03		алыӽӄулъыӄ	alɨχqut͡ɬɨq
PWN:again.r.01		таным	tanɨm
PWN:age.n.01		аӈталя	aŋɡ̥talja
PWN:ahead.r.03		сивутмун	sivutmun
PWN:aid.n.02		каюн	kajun
PWN:air.n.01		воздуха	vɔzduxa
PWN:alive.a.01		папшаӈилӈуӄ	papʃaŋɡ̥ilŋɡ̥uq
PWN:alive.a.01		уӈувалӷи	uŋɡ̥uvalɣi
PWN:allege.v.01		акузиӄуӄ	akuziquq
PWN:already.r.01		ынмис	ɨnmis
PWN:always.r.01		иу̌лыӈ	iǔlɨŋɡ̥
PWN:anger.v.02		ӄафлъиӄаӄуӄ	qaft͡ɬiqaquq
PWN:anger.v.02		ӄугаюгигатаӄуӄ	quɡajuɡiɡataquq
PWN:animal.n.01		тыӷигаӄ	tɨɣiɡaq
PWN:animal.n.01		тыӷикусяӄ	tɨɣikusjaq
PWN:animation.n.01		кияӷныӄ	kijaɣnɨq
PWN:apparel.n.01		пилюгук	piljuɡuk
PWN:apple.n.01		яблоко	jablɔkɔ
PWN:april.n.01		апреля	aprjɛlja
PWN:apt.s.03		сюмыӷныӽтуӄаӄ	sjumɨɣnɨχtuqaq
PWN:area.n.01		ны	nɨ
PWN:arise.v.03		ныӄываӄуӄ	nɨqɨvaquq
PWN:arm.n.01		талъиӄ	tat͡ɬiq
PWN:arrive.v.01		капуӄуӷаӄуӄ	kapuquɣaquq
PWN:arrive.v.01		тагиӄуӄ	taɡiquq
PWN:arrow.n.02		айгу	ajɡu
PWN:ascend.v.01		маюӷаӄуӄ	majuɣaquq
