id	style	word	pronunciation
PLX:1PL.pro		gu	ɡu
PLX:1SG.pro		ni	ni
PLX:2PL.pro		zuek	suɛk
PLX:2SG.pro		zu	su
PLX:3PL.pro		berak	beɾak
PLX:3SG M.pro		bera	beɾa
PLX:and.cnj		eta	eta
PLX:because of.pp		-gatik	ɡatik
PLX:behind.pp		gibelean	ɡibelean
PLX:behind.pp		ostean	oɕtean
PLX:beside.pp		aldamenean	aldamenean
PLX:beside.pp		ondoan	ondoan
PLX:can.v		ahal izan	ahal isan
PLX:die (from accident).V		istripuz hil	iɕtɾipus hil
PLX:everywhere.pro		edonon	edonon
PLX:from here.adv		hemendik	hemendik
PLX:from here.adv		honetatik	honetatik
PLX:get sick.V		gaixotu	ɡɑjʃotu
PLX:how many.pro		zenbat	senbat
PLX:how.pro		nola	nola
PLX:how.pro		zelan	selan
PLX:in front of.pp		aurrean	ɑurean
PLX:or.cnj		edo	edo
PLX:that.pro		hura	huɾa
PLX:this.pro		hau	hɑu
PLX:under.pp		azpian	aspiɑn
PLX:under.pp		pean	pean
PLX:what.pro		zer	seɾ
PLX:where.pro		non	non
PLX:where_to.pro		nora	noɾa
PLX:who.pro		nor	noɾ
PLX:why.pro		zeren	seɾen
PLX:why.pro		zergatik	seɾɡatik
PWN:abandon.v.02		utzietsi	ut͡siɛt͡ɕi
PWN:abdomen.n.01		sabel	ɕabel
PWN:above.r.02		goian	ɡɔjan
PWN:act.v.02		egin	eɡin
PWN:add.v.01		eratxiki	eɾat͡ʃiki
PWN:add.v.01		gaineratu	ɡɑjneɾatu
PWN:address.n.03		hitzaldi	hit͡saldi
PWN:address.n.03		mintzaldi	mint͡saldi
PWN:affect.v.05		hunkitu	hunkitu
PWN:again.r.01		berriro	beriɾo
PWN:age.n.01		adin	adin
PWN:ahead.r.03		aurrera	ɑureɾa
PWN:aid.n.02		helpide	helpide
PWN:aid.n.02		laguntza	laɡunt͡sa
PWN:air.n.01		aire	ɑjɾe
PWN:alive.a.01		bizirik	bisiɾik
PWN:all.a.01		dena	dena
PWN:allege.v.01		esan	eɕan
PWN:alone.r.02		bakarrik	bakarik
PWN:already.r.01		ja	d͡ʒa
PWN:already.r.01		jada	d͡ʒada
PWN:always.r.01		beti	beti
PWN:anger.v.01		ernegatu	eɾneɡatu
PWN:anger.v.01		haserretu	haɕeretu
PWN:anger.v.02		ernegatu	eɾneɡatu
PWN:anger.v.02		haserretu	haɕeretu
PWN:animal.n.01		abere	abeɾe
PWN:animal.n.01		piztia	pistiɑ
PWN:animation.n.01		bizi	bisi
PWN:animation.n.01		bizitza	bisit͡sa
PWN:ant.n.01		inurri	inuri
PWN:apparel.n.01		arropa	aropa
PWN:apparel.n.01		jantziak	d͡ʒant͡siɑk
PWN:apple.n.01		sagar	ɕaɡaɾ
PWN:april.n.01		apiril	apiɾil
PWN:apt.s.03		zuhur	suhuɾ
PWN:area.n.01		alderdi	aldeɾdi
PWN:area.n.01		eskualde	eɕkuɑlde
PWN:arise.v.03		altxatu	alt͡ʃatu
PWN:arise.v.03		zutitu	sutitu
PWN:arm.n.01		beso	beɕo
PWN:arrive.v.01		etorri	etori
PWN:arrive.v.01		heldu	heldu
PWN:arrive.v.01		iritsi	iɾit͡ɕi
PWN:arrow.n.02		gezi	ɡesi
PWN:ascend.v.01		igo	iɡo
PWN:ash.n.01		errauts	erɑut͡ɕ
PWN:ask.v.02		eskatu	eɕkatu
PWN:ask.v.02		galdegin	ɡaldeɡin
PWN:ask.v.05		galdetu	ɡaldetu
PWN:august.n.01		abuztu	abustu
PWN:aunt.n.01		izeba	iseba
PWN:awaken.v.01		esnatu	eɕnatu
PWN:awaken.v.01		iratzartu	iɾat͡saɾtu
PWN:back.n.01		bizkar	biskaɾ
PWN:back.r.01		atzera	at͡seɾa
PWN:back.r.02		atzera	at͡seɾa
PWN:back.r.02		atzerantz	at͡seɾant͡s
PWN:bad.a.01		txar	t͡ʃaɾ
PWN:bag.n.01		poltsa	polt͡ɕa
PWN:bake.v.02		labean egin	labean eɡin
PWN:bare.s.01		biluzi	bilusi
PWN:bark.n.01		azal	asal
PWN:bark.v.04		zaunkatu	sɑunkatu
PWN:bathe.v.01		bainatu	bɑjnatu
PWN:bathe.v.01		bainua hartu	bɑjnuɑ haɾtu
PWN:battle.n.01		auska	ɑuɕka
PWN:battle.n.01		gudu	ɡudu
PWN:bay.n.01		golko	ɡolko
PWN:be_born.v.01		jaio	d͡ʒɑjo
PWN:bear.n.01		hartz	haɾt͡s
PWN:beard.n.01		bizar	bisaɾ
PWN:beautiful.a.01		eder	edeɾ
