id	style	word	pronunciation
PLX:1PL.pro		мит	mit
PLX:1SG.pro		би	bi
PLX:2PL.pro		сӯ	suː
PLX:2SG.pro		си	si
PLX:3PL.pro		нуӈартын	nuŋartin
PLX:3SG M.pro		нуӈан	nuŋan
PLX:and.cnj		-да̄	daː
PLX:and.cnj		-дэ	də
PLX:because of.pp		дярин	d͡ʒarin
PLX:behind.pp		амарду	amardu
PLX:behind.pp		амарилӣ	amariliː
PLX:beside.pp		дага	daɣa
PLX:can.v		-дяӈа	d͡ʒaŋa
PLX:die (from accident).V		бу-мӣ	bumiː
PLX:everywhere.pro		ӣдӯ-дэ̄	iːduːdəː
PLX:from here.adv		эргит	ərɣit
PLX:get sick.V		энунӣл-ми	ənuɲiːlmi
PLX:get sick.V		энӯн-мӣ	ənuːnmiː
PLX:how many.pro		о̄кӣ	oːkiː
PLX:how.pro		о̄н	oːn
PLX:in front of.pp		дюлэ̄дӯ	d͡ʒuləːduː
PLX:or.cnj		-гӯ	ɡuː
PLX:or.cnj		ӈӯ	ŋuː
PLX:that.pro		тар	tar
PLX:this.pro		тар	tar
PLX:this.pro		эр	ər
PLX:under.pp		хэргидэ̄дӯ	xərɣidəːduː
PLX:what.pro		э̄кун	əːkun
PLX:where.pro		ӣдӯ	iːduː
PLX:where_to.pro		иртыкӣ	irtikiː
PLX:who.pro		э̄кун	əːkun
PLX:why.pro		э̄да̄	əːdaː
PWN:abandon.v.02		эмэ̄н-мӣ	əməːnmiː
PWN:abdomen.n.01		хукитэ	xukitə
PWN:above.r.02		угӣдэ̄дӯ	uɣiːdəːduː
PWN:above.r.02		угӣдэ̄лӣ	uɣiːdəːliː
PWN:above.r.02		угӣлэ̄	uɣiːləː
PWN:act.v.02		хавалдя-ми	xawald͡ʒami
PWN:add.v.01		ха̄в-ми	xaːβmi
PWN:address.n.03		турэ̄чин	turəːt͡ʃin
PWN:affect.v.05		хивинмука̄н-мӣ	xiwinmukaːnmiː
PWN:affect.v.05		хивӣнивка̄н-ми	xiwiːɲiβkaːnmi
PWN:again.r.01		ня̄н	ɲaːn
PWN:age.n.01		анӈанӣл	anŋaɲiːl
PWN:ahead.r.03		дюлэ̄скӣ	d͡ʒuləːskiː
PWN:aid.n.02		бэлэгэ̄	bələɣəː
PWN:air.n.01		кэй	kəj
PWN:alive.a.01		иникин	iɲikin
PWN:all.a.01		упкат	upkat
PWN:allege.v.01		гун-мӣ	ɡunmiː
PWN:alone.r.02		эмӯкин	əmuːkin
PWN:already.r.01		-ча	t͡ʃa
PWN:always.r.01		о̄кин-да̄	oːkindaː
PWN:always.r.01		э̄ласа-да̄	əːlasadaː
PWN:anger.v.01		тыкуливка̄нде-мӣ	tikuliβkaːnd͡ʒəmiː
PWN:anger.v.02		тыкундя-мӣ	tikund͡ʒamiː
PWN:animal.n.01		бэйӈэ̄	bəjŋəː
PWN:animation.n.01		бинӣ	biɲiː
PWN:ant.n.01		ирикта	irikta
PWN:ant.n.01		ириктэ	iriktə
PWN:apparel.n.01		тэтты	tətti
PWN:apparel.n.01		тэтыгэ̄	tətiɣəː
PWN:apple.n.01		яблоко	jabloko
PWN:april.n.01		апрель	aprjelʲ
PWN:april.n.01		туран	turan
PWN:apt.s.03		дяличӣ	d͡ʒalit͡ʃiː
PWN:area.n.01		бикӣт	bikiːt
PWN:arise.v.03		ил-мӣ	ilmiː
PWN:arm.n.01		ӈа̄лэ	ŋaːlə
PWN:arrive.v.01		эмэ-мӣ	əməmiː
PWN:arrive.v.01		эмэ-мӣ	əməmiː
PWN:arrow.n.02		нюр	ɲur
PWN:ash.n.01		хулэптэн	xuləptən
PWN:ask.v.02		эе̄тчэ-мӣ	əjeːtt͡ʃəmiː
PWN:ask.v.05		ханӈӯкта-мӣ	xanŋuːktamiː
PWN:august.n.01		август	aβɡust
PWN:august.n.01		иркилэхэни	irkiləxəɲi
PWN:august.n.01		иркин	irkin
PWN:aunt.n.01		экӣн	əkiːn
PWN:aunt.n.01		эне̄кэ̄	əɲəːkəː
PWN:awaken.v.01		сэлэв-мӣ	sələβmiː
PWN:back.n.01		сэ̄гдэ̄ннэ	səːɡdəːnnə
PWN:back.r.01		амаскӣ	amaskiː
PWN:back.r.02		амаскӣ	amaskiː
PWN:bad.a.01		эрӯ	əruː
PWN:bag.n.01		по̄та	poːta
PWN:bake.v.02		ириде-мӣ	irid͡ʒəmiː
PWN:bare.s.01		дюлакин	d͡ʒulakin
PWN:bare.s.01		нярбакин	ɲarbakin
PWN:bark.n.01		улдакса	uldaksa
PWN:bark.n.01		эрэктэ	ərəktə
PWN:bark.v.04		нурав-мӣ	nuraβmiː
