id	style	word	pronunciation
Action:can.V		osata	ɔsɑtɑ
Agriculture:herd (something).V		paimentaa	pɑi̯mɛntɑː
Agriculture:irrigate.V		kastella	kɑstɛlːɑ
Agriculture:pick.V		poimia	pɔi̯miɑ
Agriculture:shovel.N		lapio	lɑpiɔ
Animal:Anatidae.N		ankka	ɑŋkkɑ
Animal:Annelida.N		mato	mɑtɔ
Animal:Araneae.N		hämähäkki	hæmæhækːi
Animal:Aves.N		lintu	lintʊ
Animal:Canis lupus familiaris.N		koira	kɔi̯rɑ
Animal:Canis lupus.N		susi	sʊsi
Animal:Corvus.N		varis	ʋɑris
Animal:Culicidae.N		hyttynen	hʏtːʏnɛn
Animal:Culicidae.N		sääski	sæːski
Animal:Diptera.N		kärpänen	kærpænɛn
Animal:Equus ferus caballus.N		hevonen	hɛʋɔnɛn
Animal:Felis catus.N		kissa	kisːɑ
Animal:Formicidae.N		muurahainen	muːrɑhɑi̯nɛn
Animal:Gallus gallus domesticus.N		kana	kɑnɑ
Animal:Homo sapiens.N		ihminen	ixminɛn
Animal:Ovis aries.N		lammas	lɑmːɑs
Animal:Rhopalocera.N		perhonen	pɛrhɔnɛn
Animal:Sciuridae.N		orava	ɔrɑʋɑ
Animal:Serpentes.N		käärme	kæːrmɛ
Animal:Sus scrofa domestica.N		sika	sikɑ
Animal:Ursidae.N		karhu	kɑrhʊ
Animal:Vulpes.N		kettu	kɛtːʊ
Animal:animal.N		eläin	ɛlæi̯n
Animal:fish.N		kala	kɑlɑ
Animal:mouse.N		hiiri	hiːri
Animal:wool.N		villa	ʋilːɑ
Atmosphere:cloud.N		pilvi	pilʋi
Atmosphere:cold.A		viileä	ʋiːlɛæ
Atmosphere:fog.N		sumu	sʊmʊ
Atmosphere:rain.N		sade	sɑdɛ
Atmosphere:rain.V		sataa	sɑtɑː
Atmosphere:rainbow.N		sateenkaari	sɑtɛːŋkɑːri
Atmosphere:sky.N		taivas	tɑi̯ʋɑs
Atmosphere:thunder.N		jyrinä	jʏrinæ
Atmosphere:thunder.V		jyristä	jʏristæ
Atmosphere:weather.N		sää	sæː
Atmosphere:wind.N		tuuli	tuːli
Belief:deity.N		jumala	jʊmɑlɑ
Belief:idol.N		kuvio	kʊʋiɔ
Belief:spirit.N		henki	hɛŋki
Body:arm.N		käsivarsi	kæsiʋɑrsi
Body:back.N		selkä	sɛlkæ
Body:beard.N		parta	pɑrtɑ
Body:belly.N		maha	mɑhɑ
Body:belly.N		vatsa	ʋɑt͡sɑ
Body:blood.N		veri	ʋɛri
Body:blow.V		puhaltaa	pʊhɑltɑː
Body:body.N		keho	kɛhɔ
Body:body.N		ruumis	ruːmis
Body:bone.N		luu	luː
Body:brain.N		aivot	ɑi̯ʋɔt
Body:breast.N		rinta	rintɑ
Body:breath.N		hengitys	hɛŋːitʏs
Body:breath.N		henki	hɛŋki
Body:breath.V		hengittää	hɛŋːitːæː
Body:cheek.N		poski	pɔski
Body:chest.N		rinta	rintɑ
Body:chin.N		leuka	lɛʊkɑ
Body:ear.N		korva	kɔrʋɑ
Body:elbow.N		kyynärpää	kyːnærpæː
Body:eye.N		silmä	silmæ
Body:face.N		kasvot	kɑsʋɔt
Body:face.N		naama	nɑːmɑ
