id	style	word	pronunciation
PLX:1PL EXCL.pro		nous	
PLX:1PL INCL.pro		nous	
PLX:1PL POSS.pro		notre	
PLX:1PL.pro		nous	
PLX:1SG.pro		je	
PLX:1SG.pro		je, moi	
PLX:1SG.pro		me	
PLX:2PL POSS.pro		votre	
PLX:2PL.pro		vous	
PLX:2SG.pro		tu	
PLX:3PL POSS.pro		leur	
PLX:3PL.pro		eux, elles	
PLX:3PL.pro		ils ou elles	
PLX:3SG F.pro		elle	
PLX:3SG M.pro		il	
PLX:3SG.pro		il ou elle	
PLX:3SG.pro		il/elle	
PLX:Pan-European.a		paneuropéen	
PLX:above.pp		au dessus	
PLX:after.pp		après	
PLX:and.cnj		et	
PLX:antifascism.n		antifascisme	
PLX:at.pp		a	
PLX:at.pp		chez	
PLX:at.pp		dans	
PLX:at.pp		en	
PLX:at.pp		à	
PLX:be late.v		s’attarder, retarder	
PLX:because.cnj		parce que	
PLX:before.pp		avant	
PLX:behind.pp		derrière	
PLX:beside.pp		à côté de	
PLX:can.v		savoir faire	
PLX:carry in hand.v		porter (dans la main)	
PLX:carry on head.v		porter (sur la tête)	
PLX:carry on shoulder.v		porter (sur l'épaule)	
PLX:carry under arm.v		porter (sous le bras)	
PLX:child-in-law.n		belle-fils, gendre / belle-fille, bru	
PLX:daughter-in-law (of man).n		bru, belle-fille (d'un homme)	
PLX:daughter-in-law (of woman).n		bru, belle-fille (d'une femme)	
PLX:day after tomorrow.adv		après-demain	
PLX:day before yesterday.adv		avant-hier	
PLX:during.pp		durant	
PLX:fall silent.v		se taire	
PLX:father's brother.n		frère du père	
PLX:father's sister.n		soeur du père	
PLX:father-in-law (of man).n		beau-père (d'un homme)	
PLX:father-in-law (of woman).n		beau-père (d'une femme)	
PLX:fermented alcohol.n		boisson fermentée	
PLX:fish poison root.n		poison a poisson	
PLX:fish trap.n		nasse, casier	
PLX:from.pp		de	
PLX:genderology.n		études de genre	
PLX:haha.int		haha	
PLX:head hair.n		cheveu	
PLX:hello.int		allô	
PLX:hello.int  		salut	
PLX:heuristics.n		art d’inventer	
PLX:heuristics.n		heuristique	
PLX:hey.int		hé	
PLX:how many pieces.pro		combien?	
PLX:how much.pro		combien?	
PLX:how.pro		comment	
PLX:how.pro		comment?	
PLX:if.cnj		si	
PLX:in front of.pp		devant	
PLX:in.pp		dans	
PLX:initiation ceremony.n		cérémonie d’initiation	
PLX:inside.pp		dans, dedans	
PLX:kendo.n		kendo	
PLX:manioc bread.n		pain de manioc	
PLX:men's house.n		maison réservée aux hommes	
PLX:mother's brother.n		frère de la mère	
PLX:mother's sister.n		soeur de la mère	
PLX:mother-in-law (of man).n		belle-mère (d'un homme)	
PLX:mother-in-law (of woman).n		belle-mère (d'une femme)	
PLX:netbag.n		filet	
PLX:nothing.pro		rien	
PLX:oganesson.n		oganesson	
PLX:okay.n.01		OK	
PLX:okay.n.01		okey	
PLX:older sibling.n		frêre/sœur aîné(e)	
PLX:one.pro		on	
PLX:or.cnj		ou	
PLX:other.pro		autre	
PLX:outside.pp		dehors	
PLX:parents-in-law.n		beaux-parents	
PLX:sibling's child.n		neveu, nièce	
PLX:sibling-in-law.n		beau-frère / belle-sœur	
PLX:son-in-law (of man).n		gendre (d'un homme)	
PLX:son-in-law (of woman).n		gendre (d'une femme)	
PLX:stab to death.v		poignarder	
PLX:tennessine.n		tennessine	
PLX:than.pp		comme	
PLX:than.pp		que	
PLX:thanks.int		merci	
PLX:that.pro		сe	
PLX:this.pro		ce...ci	
PLX:this.pro		celui-ci	
PLX:under.pp		dessous, sous	
PLX:what.pro		que	
PLX:what.pro		quoi	
PLX:what.pro		quoi?	
PLX:when.pro		quand	
PLX:when.pro		quand?	
PLX:where.pro		où	
PLX:where.pro		où?	
PLX:which Q.pro		quel? lequel?	
PLX:who.pro		qui	
PLX:who.pro		qui?	
PLX:why.pro		pourquoi?	
PLX:with.pp		avec	
PLX:with.pp		commun	
PLX:without.pp		sans	
PLX:yes.ptcl		oui	
PLX:younger sibling.n		frêre/sœur cadet(te)	
PWN:a_bit.r.01		plutôt	
PWN:a_bit.r.01		un peu	
PWN:abandon.v.01		abandonner	
PWN:abandon.v.01		laisser	
PWN:abandon.v.02		abandonner	
PWN:abandon.v.04		abandonner	
PWN:abate.v.02		diminuer	
PWN:abate.v.02		réduire	
PWN:abdomen.n.01		abdomen	
PWN:abdomen.n.01		estomac	
PWN:abdomen.n.01		ventre	
PWN:ability.n.01		aptitude	
PWN:ability.n.01		capacité	
PWN:ability.n.02		aptitude	
PWN:ability.n.02		capacité	
PWN:ability.n.02		faculté	
PWN:ability.n.02		habilité	
PWN:abnormality.n.01		anormalité	
PWN:abort.v.01		abandonner	
PWN:abort.v.01		interrompre	
PWN:abortion.n.01		IVG	
PWN:abortion.n.01		avortement	
PWN:abortion.n.01		fausse-couche	
PWN:about.r.03		environ	
PWN:about.r.03		à peu près	
PWN:about.r.07		pratiquement	
PWN:about.r.07		presque	
PWN:about.r.07		près	
PWN:about.r.07		quasi	
PWN:about.r.07		quasiment	
PWN:above.r.02		au-delà	
PWN:above.r.02		au-dessus	
PWN:above.r.02		avant	
PWN:above.r.02		haut	
PWN:above.r.02		par-dessus	
PWN:abrasion.n.01		abrasion	
PWN:abrasion.n.01		gratter	
PWN:abrasion.n.01		griffer	
PWN:abridge.v.01		abaisser	
PWN:abridge.v.01		abréger	
PWN:abridge.v.01		amoindrir	
PWN:abridge.v.01		limiter	
PWN:abridge.v.01		raccourcir	
PWN:abridge.v.01		réduire	
PWN:absence.n.02		absence	
PWN:absent.a.01		absent	
PWN:absorb.v.04		absorber	
PWN:absorb.v.04		dessiner	
PWN:absorb.v.04		sucer	
PWN:absorb.v.04		tirer	
PWN:absorb.v.04		éponger	
PWN:absorb.v.09		absorber	
PWN:absorb.v.09		accaparer	
PWN:absorb.v.09		captiver	
PWN:absorb.v.09		obnubiler	
PWN:absorb.v.09		occuper	
PWN:abstain.v.02		abstenir	
PWN:abstain.v.02		désister	
PWN:abstain.v.02		refrain	
PWN:abstinence.n.02		abstinence	
PWN:abstractedness.n.01		abstraction	
PWN:abstraction.n.01		abstraction	
PWN:abstraction.n.06		abstraction	
PWN:abuse.n.02		abus	
PWN:abuse.n.02		affront	
PWN:abuse.n.02		insulter	
PWN:abuse.n.02		violation	
PWN:academician.n.03		académicien	
PWN:academician.n.03		universitaire	
PWN:accelerate.v.01		accélérer	
PWN:accept.v.01		accepter	
PWN:accept.v.01		admettre	
PWN:accept.v.02		accepter	
PWN:accept.v.02		admettre	
PWN:accept.v.02		avoir	
PWN:accept.v.02		devoir	
PWN:accept.v.02		prendre	
PWN:accept.v.02		recevoir	
PWN:accept.v.02		recueillir	
PWN:accept.v.02		tenir	
PWN:accept.v.02		être	
PWN:accept.v.03		accepter	
PWN:accept.v.03		agréer	
PWN:accept.v.03		approuver	
PWN:accept.v.03		consentir	
PWN:accept.v.04		accepter	
PWN:accept.v.04		admettre	
PWN:accept.v.04		recueillir	
PWN:accept.v.05		accepter	
PWN:accept.v.05		admettre	
PWN:accept.v.05		assumer	
PWN:accept.v.05		permettre	
PWN:accept.v.05		prendre	
PWN:accept.v.05		recevoir	
PWN:accept.v.05		recueillir	
PWN:accept.v.08		accepter	
PWN:accept.v.08		comporter	
PWN:accept.v.08		prendre	
PWN:accept.v.08		recueillir	
PWN:accept.v.09		accepter	
PWN:accept.v.09		recevoir	
PWN:access.n.03		accès	
PWN:access.n.03		entrée	
PWN:accident.n.01		accident	
PWN:accident.n.02		accident	
PWN:accident.n.02		coup	
PWN:accompany.v.02		accompagner	
PWN:accomplishment.n.01		aboutissement	
PWN:accomplishment.n.01		accomplissement	
PWN:accomplishment.n.01		achèvement	
PWN:accomplishment.n.01		haut fait	
PWN:accomplishment.n.01		ouvrage	
PWN:accomplishment.n.01		réalisation	
PWN:accomplishment.n.01		succès	
PWN:account.n.07		comptabilité	
PWN:account.n.07		compte	
PWN:account.v.02		calculer	
PWN:account.v.02		compter	
PWN:acculturation.n.02		culture	
PWN:accumulate.v.02		accumuler	
PWN:accumulate.v.02		entasser	
PWN:accumulate.v.02		rassembler	
PWN:accumulation.n.03		accumulation	
PWN:accumulation.n.04		accumulation	
PWN:accumulation.n.04		cumul	
PWN:accurate.s.02		exact	
PWN:accurate.s.02		précis	
PWN:accuse.v.01		accuser	
PWN:accuse.v.01		plaindre	
PWN:accustomed.s.02		habituel	
PWN:accustomed.s.02		usuel	
PWN:accustomed.s.02 		habituel	
PWN:accustomed.s.02 		normal	
PWN:accustomed.s.02 		ordinaire	
PWN:ace.n.03		as	
PWN:ace.n.03		expert	
PWN:ace.n.03		génie	
PWN:ace.n.03		sensation	
PWN:acerate_leaf.n.01		aiguille	
PWN:acerate_leaf.n.01		spicule	
PWN:acerate_leaf.n.01		épingle	
PWN:acetylene.n.01		alcyne	
PWN:ache.v.02		languir	
PWN:ache.v.02		mourir	
PWN:ache.v.02		pin	
PWN:ache.v.02		soupirer	
PWN:achieve.v.01		aboutir	
PWN:achieve.v.01		accomplir	
PWN:achieve.v.01		atteindre	
PWN:achieve.v.01		obtenir	
PWN:achieve.v.01		parvenir	
PWN:achieve.v.01		remporter	
PWN:achieve.v.01		réaliser	
PWN:acid.n.01		acide	
PWN:acid.n.01		aigre	
PWN:acknowledge.v.06		connaître	
PWN:acknowledge.v.06		croire	
PWN:acknowledge.v.06		homologuer	
PWN:acknowledge.v.06		reconnaître	
PWN:acknowledge.v.06		savoir	
PWN:acknowledgment.n.03		reconnaissance	
PWN:acknowledgment.n.03		remerciement	
PWN:acme.n.01		cime	
PWN:acme.n.01		crête	
PWN:acme.n.01		haut	
PWN:acme.n.01		hauteur	
PWN:acme.n.01		pointe	
PWN:acme.n.01		sommet	
PWN:acorn.n.01		gland	
PWN:acquaintance.n.03		ami	
PWN:acquaintance.n.03		copain	
PWN:acquaintance.n.03		relation	
PWN:acquire.v.05		acquérir	
PWN:acquire.v.05		gagner	
PWN:acquire.v.05		obtenir	
PWN:acquiring.n.01		obtention	
PWN:acquisition.n.02		achat	
PWN:acquisition.n.02		acquisition	
PWN:acquit.v.01		absoudre, acquitter	
PWN:acquit.v.01		accomplir	
PWN:acquit.v.01		acquitter	
PWN:acquit.v.01		exonérer	
PWN:acrimonious.s.01		acerbe	
PWN:acrimonious.s.01		acrimonieux	
PWN:acrimonious.s.01		aigre	
PWN:acrimonious.s.01		aigu	
PWN:acrimonious.s.01		amer	
PWN:acrimonious.s.01		cuisant	
PWN:acrimonious.s.01		fin	
PWN:acrimonious.s.01		incisif	
PWN:acrimonious.s.01		mordant	
PWN:acrimonious.s.01		perçant	
PWN:acrimonious.s.01		piquant	
PWN:acrimonious.s.01		pointu	
