id	style	word	pronunciation
PWN:attribute.n.02		sifaa	
PWN:beer.n.01		sangara	
PWN:black.a.01		ɓaleejo	
PWN:blue.s.01		bulo	
PWN:blue.s.01		ciduure	
PWN:brown.s.01		cooyo	
PWN:coffee.n.01		kafe	
PWN:color.n.01		noordi	
PWN:duty.n.01		diine	
PWN:flag.n.01		araaraay	
PWN:flag.n.01		bandeera	
PWN:green.s.01		haakeejo	
PWN:grey.s.01		puro	
PWN:gunnysack.n.01 		saakuuru	
PWN:horse.n.01		puccu	
PWN:hour.n.01		awa	
PWN:hour.n.01		sa'a	
PWN:lamp.n.01		lampa	
PWN:limit.n.01		happu	
PWN:limit.n.01		keerol	
PWN:machine.n.01		masin	
PWN:mango.n.01		mannguure	
PWN:narrative.n.01		tindol	
PWN:red.s.01		boɗeejo	
PWN:theory.n.01		miijo	
PWN:tree.n.01		lekki	
PWN:white.a.01		daneejo	
PWN:wine.n.01		sangara	
PWN:yellow.s.01		oolo	
