id	style	word	pronunciation
PLX:1PL.pro		буэ	buə
PLX:1SG.pro		мӣ	miː
PLX:2PL.pro		суэ	suə
PLX:2SG.pro		сӣ	siː
PLX:3PL.pro		нёанчи	nʲɔant͡ʃi
PLX:3SG M.pro		нёани	nʲɔani
PLX:and.cnj		-ди	-di
PLX:behind.pp		хамила	xami̟la
PLX:beside.pp		дякпадоани	dʲakpadɔani
PLX:can.v		отолиори	ɔtɔli͡ɔri
PLX:everywhere.pro		хайду-да̄ хэм	xajdu-daː xəm
PLX:from here.adv		эвэӈки	əwəŋki
PLX:from here.adv		эеди	əjədi
PLX:from here.adv		эедиэди	əjədi͡ədi
PLX:get sick.V		иса̄динаори	izaːdi̟na͡ɔri
PLX:how many.pro		хаду	xadu
PLX:how many.pro		хо̄ня̄ эгди	xɔːnʲaː əɡdi
PLX:how.pro		хо̄ни	xɔːni
PLX:in front of.pp		дюлиэлени	dʲuli͡əlʲəni
PLX:that.pro		тэй	təj
PLX:that.pro		ча	t͡ʃa
PLX:this.pro		эй	əj
PLX:under.pp		пэгиэлэни	pəɡi͡ələni
PLX:what.pro		хай	xaj
PLX:where.pro		хайду	xajdu
PLX:where_to.pro		хаоси	xa͡ɔzi
PLX:who.pro		уй	uj
PLX:who.pro		хай	xaj
PLX:why.pro		хайми	xajmi
PWN:abandon.v.02		нангалаори	nanɡala͡ɔri
PWN:abdomen.n.01		хэмдэ	xəmdə
PWN:above.r.02		уелэ	ujələ
PWN:act.v.02		таори	ta͡ɔri
PWN:add.v.01		нонгиктаори	nɔnɡikta͡ɔri
PWN:address.n.03		хэсэ	xəzə
PWN:again.r.01		гучи	ɡut͡ʃi
PWN:age.n.01		сэ	sə
PWN:ahead.r.03		дюлэси	dʲuləzi
PWN:aid.n.02		бэлэчин	bələt͡ʃĩ̟n
PWN:air.n.01		воздух	wɔzdux
PWN:alive.a.01		уюн	ujũn
PWN:all.a.01		хэмтуни	xəmtuni
PWN:allege.v.01		умбури	umburi
PWN:alone.r.02		тэм	təm
PWN:already.r.01		тас	tas
PWN:always.r.01		тул-тул	tul-tul
PWN:anger.v.01		аяктачивамбори	ajaktat͡ʃiwambɔri
PWN:anger.v.02		аяктачиори	ajaktat͡ʃi͡ɔri
PWN:anger.v.02		тагданасиори	taɡdanazi͡ɔri
PWN:animal.n.01		усэлтэ	uzəltə
PWN:animation.n.01		бин	bĩ̟n
PWN:ant.n.01		силуктэ	si̟luktə
PWN:apparel.n.01		тэтуэ	tətuə
PWN:apple.n.01		яблоко	jablɔkɔ
PWN:april.n.01		апрель	aprʲəlʲ
PWN:april.n.01		нюӈгун биа	nʲuŋɡun bi͡a
PWN:apt.s.03		муруӈку	muruŋku
PWN:arise.v.03		илиори	ili͡ɔri
PWN:arm.n.01		ӈа̄ла	ŋaːla
PWN:arrive.v.01		диури	di͡uri
PWN:arrive.v.01		исиори	izi͡ɔri
PWN:arrow.n.02		лэкэ̄	ləkəː
PWN:ash.n.01		хоромса	xɔrɔmsa
PWN:ask.v.02		на̄мбочаори	naːmbɔt͡ʃa͡ɔri
PWN:ask.v.05		мэдэсиури	mədəzi͡uri
PWN:august.n.01		абгуст	abɡust
PWN:august.n.01		дёан биа	dʲɔan bi͡a
PWN:aunt.n.01		гугу	ɡuɡu
PWN:awaken.v.01		сэрӯвури	səruːwuri
PWN:back.n.01		дарама	darama
PWN:back.r.01		хамаси	xamazi
PWN:back.r.02		хамаси	xamazi
PWN:bad.a.01		оркин	ɔrkĩ̟n
PWN:bag.n.01		сумка	sumka
PWN:bake.v.02		пикичиори	pikɪt͡ʃi͡ɔri
PWN:bare.s.01		нилакон	ni̟lakɔ̃n
PWN:bark.n.01		хоракта	xɔrakta
PWN:bark.v.04		ва̄чӣни	waːt͡ʃi̟ːni
PWN:bathe.v.01		элбусиури	əlbuzi͡uri
PWN:battle.n.01		ва̄чан	waːt͡ʃãn
PWN:bay.n.01		хэвэ̄н	xəwə̃ːn
PWN:be_born.v.01		балдиори	baldi͡ɔri
PWN:bear.n.01		пурэ̄н мапани	purəːn mapani
PWN:beard.n.01		гогакта	ɡɔɡakta
PWN:beautiful.a.01		гучкули	ɡut͡ʃkuli
PWN:become.v.01		осиори	ɔzi͡ɔri
PWN:bed.n.01		а̄ори хадён	aːɔri xadʲɔ̃n
PWN:begin.v.03		дэрӯвури	dəruːwuri
PWN:begin.v.03		тэпчиувури	təpt͡ʃi͡uwuri
PWN:believe.v.01		тэдеури	tədʲəuri
PWN:beloved.s.01		миаван	mi͡awãn
PWN:belt.n.02		омол	ɔmɔl
PWN:bend.v.01		пуӈнэури	puŋnəuri
PWN:benefit.n.02		ебэ	jəbə
PWN:berry.n.01		амтака	amtaka
PWN:better.v.02		улэ̄нэвэмбури	uləːnəwəmburi
PWN:between.r.02		алдандоа	aldandɔa
PWN:birch.n.02		пиагда̄н	pi͡aɡdãːn
PWN:bird.n.01		гаса	ɡaza
PWN:bite.v.01		сэкпэчиури	səkpət͡ʃi͡uri
PWN:bitter.s.06		гочисӣ	ɡɔt͡ʃɪziː
PWN:black.a.01		сахарин	saɣarĩ̟n
PWN:blanket.n.01		полта	pɔlta
PWN:blast.v.07		миоча̄чиори	mi͡ɔt͡ʃaːt͡ʃi͡ɔri
PWN:blood.n.01		сэксэ	səksə
PWN:blow.v.01		пӯчиури	puːt͡ʃi͡uri
PWN:blow.v.02		хэдуӈкӣни	xəduŋki̟ːni
PWN:blue.s.01		ню̄гдюн	nʲuːɡdʲũn
PWN:blunt.s.02		модоко	mɔdɔkɔ
PWN:board.n.02		ундэхэн	undəɣə̃n
PWN:boast.v.01		мактачиори	maktat͡ʃi͡ɔri
PWN:boat.n.01		огда	ɔɡda
PWN:body.n.01		бэе	bəjə
