id	style	word	pronunciation
PLX:1PL.pro		sinn	ʃɪnʲ
PLX:1SG.pro		mise	mʲɪʃə
PLX:1SG.pro		mé	mʲeː
PLX:2PL.pro		sibh	ʃɪvʲ
PLX:2PL.pro		sibhse	ʃɪvʲʃə
PLX:2SG.pro		tusa	t̪ˠʊsˠə
PLX:2SG.pro		tú	t̪ˠuː
PLX:3PL.pro		siad	ʃɪəd̪ˠ
PLX:3PL.pro		siadsan	ʃɪəd̪ˠsˠən̪ˠ
PLX:3SG M.pro		seisean	ʃɛʃən̪ˠ
PLX:3SG M.pro		sé	ʃeː
PLX:and.cnj		agus	aɡəsˠ
PLX:because of.adp		de bharr	dʲɛ vˠaːɾˠ
PLX:because of.adp		mar gheall ar	mˠaɾˠ ɟal̪ˠ ɛɾʲ
PLX:behind.adp		laistiar de	l̪ˠaʃˈtʲɪəɾˠ dʲɛ
PLX:behind.adp		taobh thiar de	t̪ˠiːvˠ hɪəɾˠ dʲɛ
PLX:beside.adp		in aice le	ɪnʲ acə lʲə
PLX:beside.adp		taobh le	t̪ˠiːvˠ lʲə
PLX:can.v		féad	fʲeːd̪ˠ
PLX:can.v		is féidir le	ɪsˠ fʲeːdʲəɾʲ lʲə
PLX:die (from accident).V		caill	kalʲ
PLX:everywhere.pro		ar fud na háite	ɛɾʲ ˈfˠʊd̪ˠ n̪ˠə haːtʲə
PLX:everywhere.pro		i ngach áit	ɪ ŋɡax aːtʲ
PLX:from here.adv		an áit seo	ən̪ˠ aːtʲ ʃɔ
PLX:get sick.V		éirigh tinn	eːɾʲiː tʲɪnʲ
PLX:how many.pro		cá mhéad	kaː vʲeːd̪ˠ
PLX:how.pro		conas	kɔn̪ˠəsˠ
PLX:how.pro		cén chaoi	ceːnʲ xiː
PLX:in front of.adp		ar thosach	ɛɾʲ hɔsˠəx
PLX:or.cnj		nó	n̪ˠoː
PLX:that.pro		sin	ʃɪnʲ
PLX:this.pro		seo	ʃɔ
PLX:under.adp		faoi	fˠiː
PLX:what.pro		cad	kad̪ˠ
PLX:what.pro		céard	ceːɾˠd̪ˠ
PLX:where.pro		cá	kaː
PLX:where.pro		cén áit	ceːnʲ aːtʲ
PLX:where_to.pro		cá	kaː
PLX:where_to.pro		cén áit	ceːnʲ aːtʲ
PLX:who.pro		cé	ceː
PLX:why.pro		cad chuige	kad̪ˠ xɪɟə
PLX:why.pro		cén fáth	ceːnʲ fˠaː
PWN:abandon.v.02		fág	fˠaːɡ
PWN:abdomen.n.01		bolg	bˠɔl̪ˠəɡ
PWN:above.r.02		thuas	hʊəsˠ
PWN:act.v.02		déan	dʲeːn̪ˠ
PWN:add.v.01		cuir le	kɪɾʲ lʲə
PWN:address.n.03		aitheasc	ahəsˠk
PWN:address.n.03		óráid	oːɾˠaːdʲ
PWN:affect.v.05		téigh i bhfeidhm ar	tʲeːɟ ɪ vʲaɪmʲ ɛɾʲ
PWN:again.r.01		arís	əˈɾʲiːʃ
PWN:again.r.01		athuair	ˈahˌʊəɾʲ
PWN:age.n.01		aois	iːʃ
PWN:aid.n.02		cabhair	kaʊɾʲ
PWN:aid.n.02		cúnamh	kuːn̪ˠəvˠ
PWN:air.n.01		aer	eːɾˠ
PWN:alive.a.01		beo	bʲoː
PWN:all.a.01		gach rud	ɡax ɾˠʊd̪ˠ
PWN:allege.v.01		abair	abˠəɾʲ
PWN:alone.r.02		i d'aonar	ɪ d̪ˠiːn̪ˠəɾˠ
PWN:already.r.01		cheana	han̪ˠə
PWN:already.r.01		cheana féin	han̪ˠə heːnʲ
PWN:always.r.01		i gcónaí	ɪ ɡoːn̪ˠiː
PWN:anger.v.01		cuir isteach ar	kɪɾʲ əˈʃtʲax ɛɾʲ
PWN:anger.v.02		tá corraithe	t̪ˠaː kɔɾˠɪhə
PWN:animal.n.01		ainmhí	anʲəvʲɪ
PWN:animal.n.01		beithíoch	bʲɛhiːəx
PWN:animation.n.01		beatha	bʲahə
PWN:animation.n.01		saol	sˠiːl̪ˠ
PWN:ant.n.01		seangán	ʃaŋɡaːn̪ˠ
PWN:apparel.n.01		éadaí	eːd̪ˠiː
PWN:apple.n.01		úll	uːl̪ˠ
PWN:april.n.01		Aibreán	abʲɾʲaːn̪ˠ
PWN:apt.s.03		cliste	clʲɪʃtʲə
PWN:area.n.01		ceantar	can̪ˠt̪ˠəɾˠ
PWN:arise.v.03		seas suas	ʃasˠ sˠʊəsˠ
PWN:arm.n.01		lámh	l̪ˠaːvˠ
PWN:arrive.v.01		tar	t̪ˠaɾˠ
PWN:arrive.v.01		tar	t̪ˠaɾˠ
PWN:arrow.n.02		saighead	sˠaɪd̪ˠ
PWN:ascend.v.01		éirigh	eːɾʲiː
PWN:ash.n.01		luaith	l̪ˠʊə
PWN:ask.v.02		iarr	ɪəɾˠ
PWN:ask.v.05		cuir ceist	kɪɾʲ cɛʃtʲ
PWN:ask.v.05		fiafraigh	fʲɪəfˠɾˠiː
PWN:august.n.01		Lúnasa	l̪ˠuːn̪ˠəsˠə
PWN:aunt.n.01		aintín	anʲtʲiːnʲ
PWN:awaken.v.01		dúisigh	d̪ˠuːʃiː
PWN:back.n.01		droim	d̪ˠɾˠɔmʲ
PWN:back.r.01		ar ais	ɛɾʲ aʃ
PWN:back.r.02		siar	ʃɪəɾˠ
PWN:bad.a.01		dona	d̪ˠɔn̪ˠə
PWN:bad.a.01		droch-	d̪ˠɾˠɔx
PWN:bag.n.01		mála	mˠaːl̪ˠə
PWN:bake.v.02		bácáil	bˠaːkaːlʲ
PWN:bare.s.01		nocht	n̪ˠɔxt̪ˠ
PWN:bark.n.01		coirt	kɔɾˠtʲ
PWN:bark.n.01		craiceann	kɾˠacən̪ˠ
PWN:bark.v.04		amhastraigh	aʊsˠt̪ˠɾˠiː
PWN:bathe.v.01		folc	fˠɔl̪ˠk
PWN:battle.n.01		troid	t̪ˠɾˠɔdʲ
PWN:bay.n.01		bá	bˠaː
PWN:bay.n.01		cuan	kʊən̪ˠ
PWN:be_born.v.01		rugadh	ɾˠɔɡə
PWN:bear.n.01		béar	bʲeːɾˠ
PWN:beard.n.01		féasóg	fʲeːsˠoːɡ
PWN:beautiful.a.01		álainn	aːl̪ˠənʲ
PWN:become.v.01		éirigh	eːɾʲiː
PWN:bed.n.01		leaba	lʲabˠə
PWN:begin.v.03		cuir tús le	kɪɾʲ t̪ˠuːsˠ lʲə
PWN:begin.v.03		tosaigh	t̪ˠɔsˠiː
PWN:believe.v.01		creid	cɾʲɛdʲ
PWN:beloved.s.01		dil	dʲɪlʲ
PWN:beloved.s.01		dílis	dʲiːlʲəʃ
PWN:belt.n.02		crios	cɾʲɪsˠ
PWN:bend.v.01		lúb	l̪ˠuːbˠ
PWN:benefit.n.02		tairbhe	t̪ˠaɾʲəvʲə
PWN:berry.n.01		caor	kiːɾˠ
PWN:better.v.02		feabhsaigh	fʲaʊsˠiː
PWN:between.r.02		idir	ɪdʲəɾʲ
PWN:birch.n.02		beith	bʲɛh
PWN:birch.n.02		crann beithe	kɾˠan̪ˠ bʲɛhə
PWN:bird.n.01		éan	eːn̪ˠ
PWN:bite.v.01		bain greim as	bˠanʲ ɟɾʲɛmʲ asˠ
PWN:bitter.s.06		searbh	ʃaɾˠəvˠ
PWN:black.a.01		dubh	d̪ˠʊvˠ
PWN:blanket.n.01		blaincéad	bˠl̪ˠanʲceːd̪ˠ
PWN:blanket.n.01		pluid	pˠl̪ˠɪdʲ
PWN:blast.v.07		caith	kah
PWN:blast.v.07		scaoil	sˠkiːlʲ
PWN:blind.a.01		caoch	kiːx
PWN:blind.a.01		dall	d̪ˠal̪ˠ
PWN:blood.n.01		fuil	fˠɪlʲ
PWN:blow.v.01		séid	ʃeːdʲ
PWN:blow.v.02		séid	ʃeːdʲ
PWN:blue.s.01		gorm	ɡɔɾˠəmˠ
PWN:blunt.s.02		maol	mˠiːl̪ˠ
PWN:board.n.02		clár	kl̪ˠaːɾˠ
PWN:boast.v.01		maígh	mˠiːɟ
PWN:boat.n.01		bád	bˠaːd̪ˠ
PWN:body.n.01		colainn	kɔl̪ˠənʲ
PWN:body.n.01		corp	kɔɾˠpˠ
PWN:boil.v.01		beirigh	bʲɛɾʲiː
PWN:boil.v.01		fiuch	fʲʊx
PWN:boil.v.03		beirigh	bʲɛɾʲiː
PWN:boil.v.03		bruith	bˠɾˠɪh
PWN:bone.n.01		cnámh	kn̪ˠaːvˠ
PWN:book.n.01		cín	ciːnʲ
PWN:book.n.01		leabhar	lʲaʊɾˠ
PWN:boot.n.01		buatais	bˠʊət̪ˠəʃ
PWN:botch.v.01		mill	mʲɪlʲ
PWN:boundary_line.n.01		críoch	cɾʲiːx
PWN:boundary_line.n.01		teorainn	tʲoːɾˠənʲ
PWN:bow.n.04		bogha	bˠaʊ
PWN:box.n.01		bosca	bˠɔsˠkə
PWN:brain.n.01		inchinn	ɪnʲçənʲ
PWN:branch.n.02		géag	ɟeːɡ
PWN:branchlet.n.01		craobh	kɾˠiːvˠ
PWN:branchlet.n.01		géag	ɟeːɡ
PWN:brawl.v.01		tá ag bruíon	t̪ˠaː ɛɟ bˠɾˠiːn̪ˠ
PWN:bread.n.01		arán	aɾˠaːn̪ˠ
PWN:break.v.05		bris	bʲɾʲɪʃ
PWN:breast.n.02		cíoch	ciːx
PWN:breath.n.02		anáil	an̪ˠaːlʲ
PWN:breathe.v.01		análaigh	an̪ˠaːl̪ˠiː
PWN:bridge.n.01		droichead	d̪ˠɾˠɔçəd̪ˠ
PWN:bright.a.01		geal	ɟal̪ˠ
PWN:bright.a.01		soilseach	sˠɔlʲʃəx
PWN:bring.v.01		beir	bʲɛɾʲ
PWN:bring.v.01		tabhair	t̪ˠuːɾʲ
PWN:brook.n.01		sruthán	sˠɾˠʊhaːn̪ˠ
PWN:broom.n.01		scuab	sˠkʊəbˠ
PWN:brother.n.01		deartháir	dʲaɾˠhaːɾʲ
PWN:brow.n.01		baithis	bˠahəʃ
PWN:brow.n.01		clár éadain	kl̪ˠaːɾˠ eːd̪ˠənʲ
PWN:bucket.n.01		buicéad	bˠɪceːd̪ˠ
PWN:bull.n.01		tarbh	t̪ˠaɾˠəvˠ
