id	style	word	transcription	etymology
PLX:1PL EXCL.pro		ngantipa		
PLX:1PL INCL.pro		ngaliwa		
PLX:1SG.pro		ngayu		
PLX:2PL.pro		nyurrulu		
PLX:2SG.pro		nyuntu		
PLX:3PL.pro		nyarrulu		
PLX:3SG F.pro		nyantu		
PLX:3SG INAN.pro		nyantu		
PLX:3SG M.pro		nyantu		
PLX:3SG.pro		nyantu		
PLX:behind.adp		ngumayi		
PLX:how.pro		nyatpa		
PLX:if.cnj		nyamu...nga		
PLX:in front of.adp		kamparri		
PLX:or.cnj		waku		ddj:waku
PLX:that.pro		nyila		
PLX:this.pro		nyawa		
PLX:under.adp		kaninyjal		
PLX:what.pro		nyampa		
PLX:where.pro		wanyjika		
PLX:who.pro		ngana		
PLX:why.pro		nyampawu		
PLX:yes.ptcl		yuwayi		
PWN:abdomen.n.01		majul		wrr:mejern
PWN:above.r.02		ngaramala		
PWN:accuse.v.01		kurrwara yuwa-		
PWN:act.v.02		karri- with LOCATVE		
PWN:address.n.03		pampaya		djd:bambaya
PWN:adornment.n.01		kiki		ddj:gigi
PWN:adz.n.01		paki-paki		eng:buggy
PWN:afternoon.n.01		puriny		
PWN:again.r.01		-rningan		
PWN:airplane.n.01		tiwuwaji		djd:diwu
PWN:all.a.01		purrp		djd:burrb
PWN:allege.v.01		ma-		
PWN:alligator.n.02		warrija		mwd:warrija
PWN:alone.r.02		-wariny		
PWN:always.r.01		ngajikparni		
PWN:amazed.s.01		pirartnginyi		
PWN:ambush.n.01		witi karri-		
PWN:ancestor.n.01		kamparrijang		
PWN:anger.n.02		kuli		
PWN:animal.n.01		ngarin		gdh:ngardin
PWN:animation.n.01		wanji		
PWN:ankle.n.01		tari		
PWN:announce.v.01		piyarrp ka-		
PWN:answer.v.01		jangat pu-		
PWN:ant.n.01		pingi		
PWN:anteater.n.02		jungkuwurru		wrr:junggu
PWN:anxiety.n.02		nguran		
PWN:apparel.n.01		wapaapa		mep:wabuwabeng
PWN:approach.v.01		jarrminimini karri-		
PWN:apt.s.03		tarrpijipiji		
PWN:arm.n.01		wartarn		:wardany
PWN:armpit.n.01		karrwi		
PWN:army.n.01		waringarri		gia:wari-ngarri
PWN:arrive.v.01		tuwa ya-		wmb:duwa
PWN:arrive.v.01		ya-		
PWN:artery.n.01		kampun		
PWN:ascend.v.01		partaj ya-		mep:berdij
PWN:ash.n.01		puna		
PWN:ask.v.02		yangki pa-		djd:yanggi
PWN:ask.v.05		yangki pa-		djd:yanggi
PWN:attack.n.05		pululuj wani-		mep:bulubululb
PWN:avaricious.s.01		ngalking		mep:ngalgib
PWN:ax.n.01		wirlka		ddj:wilga
PWN:baby.n.01		yapakaru		wmt:yapa
PWN:back.n.01		parntawurru		
PWN:bad.a.01		wankaj		
PWN:bait.n.02		nguru		djd:nguru
PWN:bake.v.02		kampa-		
PWN:bald.s.02		papulwari		
PWN:ball.n.03		kurrunyung		mep:gurrunyung
PWN:bamboo.n.01		rawurru		
PWN:banana.n.02		panana		eng:banana
PWN:bare.s.01		wijparlarra		
PWN:bark.n.01		parnnga		djd:barnnga
PWN:barter.v.01		wirnarn jayi-		mep:winan
PWN:bat.n.01		parnkal		
PWN:bat.n.01		warrpawurru		wrr:warrpa
PWN:bathe.v.01		taruk wani-		mep:derawug
PWN:battery.n.02		nanta		
PWN:battle.n.01		waringarri		gia:wari-ngarri
PWN:be.v.03		karri-		
