id	style	word	transcription	etymology
PLX:1PL.pro		ʔine
PLX:1SG.pro		ʔano
PLX:2PL.pro		hune
PLX:2SG.pro		ʔato
PLX:3PL.pro		ʔusunɗe
PLX:3SG F.pro		ʔise
PLX:3SG M.pro		ʔiso
PLX:3SG.pro		ʔiso (M)/ ʔise (F)
PLX:above.pp		saappe
PLX:after.pp		tuupe=tta
PLX:and.cnj		=pa
PLX:at.pp		=ma
PLX:be late.v		keet
PLX:because.cnj		mekinnate		amh:məknəyat
PLX:behind.pp		kala
PLX:beside.pp		kapa
PLX:carry on shoulder.v		kaakuy
PLX:child-in-law.n		ʔinanko
PLX:daughter-in-law (of man).n		ʔašinte
PLX:daughter-in-law (of woman).n		ʔašinte
PLX:day after tomorrow.adv		qamma
PLX:day before yesterday.adv		ʔinɗeera
PLX:digging stick.n		makkatte
PLX:fall silent.v		k’ám pay
PLX:father's brother.n		ʔappa ɗamma
PLX:father's sister.n		maamma
PLX:father-in-law (of man).n		taatte
PLX:father-in-law (of woman).n		taatte
PLX:fermented alcohol.n		warše
PLX:head hair.n		kat’o
PLX:how many pieces.pro		meʔ
PLX:how much.pro		meʔ
PLX:how.pro		mala
PLX:if.cnj		payni
PLX:in front of.pp		miinatte
PLX:in.pp		=ma
PLX:inside.pp		kittatte
PLX:mother's brother.n		ʔapiya
PLX:mother's sister.n		yaaye ɗammay
PLX:mother-in-law (of man).n		taattite
PLX:mother-in-law (of woman).n		taattite
PLX:nothing.pro		ʔolo
PLX:or.cnj		=(i)m
PLX:outside.pp		ɠintatte
PLX:parents-in-law.n		taatte=pa taattite
PLX:sibling's child.n		ʔašinko
PLX:sibling-in-law.n		seerko
PLX:son-in-law (of man).n		ʔašinko
PLX:stab to death.v		ɗot
PLX:that.pro		=sa
PLX:this.pro		=si
PLX:under.pp		kala
PLX:what.pro		moʔo
PLX:when.pro		para
PLX:where.pro		ʔaxa
PLX:which Q.pro		hunka
PLX:who.pro		yaha
PLX:why.pro		moʔo=nu
PLX:with.pp		=tta
PLX:without.pp		male
PLX:yes.ptcl		ʔee
PWN:abdomen.n.01		karʕitto
PWN:above.r.02		sikaapa
PWN:accuse.v.01		šaam
PWN:address.n.03		torre
PWN:adobe.n.02		saalte=pa coqqollo
PWN:adz.n.01		ʔirkaʕo
PWN:afternoon.n.01		kallapte
PWN:age.n.01		kize		amh:gize
PWN:air.n.01		hafurko
PWN:airplane.n.01		kaacca		ita:caccia
PWN:airplane.n.01		rooɓɓile		:Unidentifiable
PWN:all.a.01		mulo		amh:mulu
PWN:allege.v.01		pay
PWN:alligator.n.02		xaaro
PWN:alone.r.02		ʔawni
PWN:always.r.01		kuyaʕko kaʕasay
PWN:amazed.s.01		muruk
PWN:ancestor.n.01		ʔahaaho
PWN:anger.n.02		miira
PWN:animal.n.01		ʔaake
PWN:animation.n.01		nafse		amh:näfs
