id	style	word	pronunciation	etymology
PLX:1PL EXCL.pro		múu (ná)		
PLX:1PL INCL.pro		múu		
PLX:1PL.pro		múu		
PLX:1SG.pro		ni	
PLX:1SG.pro		níi		
PLX:2PL.pro		kúu		
PLX:2SG.pro		kái (1)		
PLX:2SG.pro		kée		
PLX:3PL.pro		súu		
PLX:3SG F.pro		ita		
PLX:3SG M.pro		shíi		
PLX:3SG.pro		shíi		
PLX:3SG.pro		ítá		
PLX:above.pp		bísà		
PLX:above.pp		sámà		arb:samāʔ
PLX:after.pp		báayán		
PLX:agbada.n		rī̀gā	
PLX:and.cnj		dà		
PLX:and.cnj		kúmáa		
PLX:at.pp		a	
PLX:at.pp		à		
PLX:be late.v		màkárà		
PLX:because.cnj		sábòodà		
PLX:behind.pp		báayán		
PLX:beside.pp		kúsá dà		
PLX:carry in hand.v		ɗáukàa		
PLX:carry on head.v		ɗáukàa		
PLX:carry on shoulder.v		ɗáukàa		
PLX:carry under arm.v		ɗáukàa		
PLX:child-in-law.n		ágòolà		:agyula
PLX:daughter-in-law (of man).n		sùrúkáa		
PLX:daughter-in-law (of woman).n		sùrúkáa		
PLX:day after tomorrow.adv		jíibí		
PLX:day before yesterday.adv		shéekáránjíyà		
PLX:digging stick.n		dír̃kàa		
PLX:fall silent.v		yí shírúu		
PLX:father's brother.n		bàabáaníi		knc:bàwányí
PLX:father's brother.n		ábbàaníi		knc:áwányí
PLX:father's sister.n		báabà		knc:báwà
PLX:father's sister.n		báabàaníi		knc:báwàní
PLX:father's sister.n		gwággò		ful:góggò
PLX:father-in-law (of man).n		sùrúkíi		
PLX:father-in-law (of woman).n		sùrúkíi		
PLX:head hair.n		gáashìi		
PLX:how many pieces.pro		náwà		:Unidentifiable
PLX:how many.pro		nawà	
PLX:how much.pro		náwà		:Unidentifiable
PLX:how.pro		yàayàa		
PLX:if.cnj		ín		arb:in
PLX:in front of.pp		à gàbán		
PLX:in.pp		à cíkín		
PLX:inside.pp		à cíkín		
PLX:men's house.n		ɗáakìn mázáa		
PLX:mother's brother.n		kàawúu		ful:kaawu
PLX:mother's brother.n		r̃áafàníi		knc:ráwànyí
PLX:mother's sister.n		ínnàa		knc:yìnná
PLX:mother's sister.n		íyàa		knc:yâ
PLX:mother-in-law (of man).n		sùrúkáa		
PLX:mother-in-law (of woman).n		sùrúkáa		
PLX:netbag.n		ráagáa		
PLX:nothing.pro		báabù kóomée		
PLX:older sibling.n		wâa		
PLX:older sibling.n		yâa		
PLX:or.cnj		kóo		
PLX:outside.pp		wàjée		
PLX:parents-in-law.n		sùrùkái		
PLX:sibling's child.n		ƴar̃ wâa or ɗan wâa		
PLX:son-in-law (of man).n		sùrúkíi		
PLX:son-in-law (of woman).n		sùrúkíi		
PLX:stab to death.v		sòokáa		
PLX:that.pro		wáncàn		
PLX:this.pro		wánnàn		
PLX:under.pp		ƙàr̃ƙáshín		
PLX:what.pro		mèe		
PLX:when.pro		yàushè		
PLX:where.pro		ìnaa		
PLX:which Q.pro		wànè		
PLX:who.pro		wàa		
PLX:why.pro		dón mèe		
PLX:with.pp		dà		
PLX:without.pp		bán dà		
PLX:yes.ptcl		ná’àm		arb:naʕam
PLX:yes.ptcl		íi		
PLX:younger sibling.n		àutáa		
PWN:abdomen.n.01		cíkìi		
PWN:about.r.07		kusan	
PWN:above.r.02		sámà		arb:samāʔ
PWN:accompany.v.02		yā rakà shi	
PWN:accuse.v.01		kái ƙáaráa		
PWN:accuse.v.01		túhùmtáa		arb:tuhma
PWN:acerate_leaf.n.01		ƙáayàa		
PWN:acquit.v.01		sàkáa		
PWN:act.v.02		yí		
PWN:address.n.03		jàwáabìi		arb:jawāb
PWN:address.n.06		àdìr̃éeshìi		eng:address
PWN:admit.v.01		túubá		arb:tābā
PWN:admit.v.01		yàr̃dá		arb:yard̝ā
PWN:admit.v.01		ámìncée		
PWN:adobe.n.02		túubàlíi		
PWN:adornment.n.01		ádóo		
PWN:adornment.n.01		ƙwállìyáa		
PWN:adultery.n.01		zina	
PWN:adultery.n.01		zìnáa		arb:zinā‘
PWN:adz.n.01		gìzàagóo		
PWN:afternoon.n.01		dà yâmmá		
PWN:again.r.01		kúmáa		
PWN:age.n.01		shèeƙáràa		
PWN:air.n.01		ískàa		
PWN:airplane.n.01		jírgín sámàa		
PWN:all.a.01		dúkà		
PWN:allege.v.01		cêe		
PWN:allege.v.01		fáɗìi		
PWN:allergy.n.01		alerji	
PWN:alligator.n.02		kádàa		
PWN:alone.r.02		káɗái		
PWN:always.r.01		kúllúm		arb:kull yawm
PWN:amazed.s.01		yí màamáakìi		
PWN:ambush.n.01		fàkóo		
PWN:ambush.n.01		kwántóo		
PWN:ancestor.n.01		kàakán kàakáa		
PWN:anchor.n.01		anga	
PWN:anchor.n.01		ángàa		eng:anchor
PWN:anger.n.02		fúshíi		
PWN:animal.n.01		dábbàa		arb:dābba
PWN:animation.n.01		ràayúwáa		
PWN:ankle.n.01		díddígèe		
