id	style	word	transcription	etymology
PLX:1PL EXCL.pro		mākou
PLX:1PL EXCL.pro		māua
PLX:1PL INCL.pro		kākou
PLX:1PL INCL.pro		kāua
PLX:1PL.pro		kākou
PLX:1PL.pro		kāua
PLX:1PL.pro		mākou
PLX:1PL.pro		māua
PLX:1SG.pro		wau
PLX:2PL.pro		`olua
PLX:2PL.pro		`oukou
PLX:2SG.pro		`oe
PLX:3PL.pro		lākou
PLX:3PL.pro		lāua
PLX:3SG F.pro		ia
PLX:3SG INAN.pro		ia
PLX:3SG M.pro		ia
PLX:3SG.pro		ia
PLX:Aglaia odorata.n		mikilana		cmn:mei-sui-lan
PLX:Chinese New Year.n		konohī		cmn:kong-hee
PLX:above.pp		luna
PLX:after.pp		hope
PLX:and.cnj		a
PLX:and.cnj		a me
PLX:at.pp		i
PLX:at.pp		iā
PLX:at.pp		ma
PLX:be late.v		lohi
PLX:because.cnj		no
PLX:behind.pp		hope
PLX:beside.pp		i
PLX:beside.pp		ma
PLX:carry in hand.v		hāpai (2)
PLX:carry on head.v		hāpai (2)
PLX:carry on shoulder.v		hāpai (2)
PLX:carry under arm.v		hāpai (2)
PLX:child-in-law.n		hūnōna
PLX:daughter-in-law (of man).n		hūnōna wahine
PLX:daughter-in-law (of woman).n		hūnōna wahine
PLX:day after tomorrow.adv		`apōpō ā ia lā aku
PLX:digging stick.n		`ō
PLX:fall silent.v		hāmau
PLX:father's brother.n		`anakala		eng:uncle
PLX:father's sister.n		`anakē		eng:aunt/aunty
PLX:father-in-law (of man).n		makuahūnōai kāne
PLX:father-in-law (of woman).n		makuahūnōai kāne
PLX:fermented alcohol.n		`alekohola		eng:alcohol
PLX:fish trap.n		hīna`i
PLX:goodbye.v		kupae		eng:goodbye!
PLX:head hair.n		lauoho
PLX:how many pieces.pro		`ehia
PLX:how much.pro		`ehia
PLX:how.pro		pehea
PLX:if.cnj		inā
PLX:in front of.pp		mua
PLX:in.pp		loko
PLX:initiation ceremony.n		komo pae
PLX:inside.pp		loko
PLX:men's house.n		hale
PLX:mochi.n		mōchī		jpn:mochi
PLX:mother's brother.n		`anakala		eng:uncle
PLX:mother's sister.n		`anakē		eng:aunt/aunty
PLX:mother-in-law (of man).n		makuahūnōai wahine
PLX:mother-in-law (of woman).n		makuahūnōai wahine
PLX:musubi.n		musubī		jpn:musubi
PLX:netbag.n		`eke
PLX:nothing.pro		`ole
PLX:older sibling.n		hānau mua
PLX:or.cnj		o
PLX:outside.pp		waho
PLX:parents-in-law.n		makuahūnōai
PLX:ramen.n		kaimine		jpn:saimin
PLX:sibling's child.n		`ohana keiki
PLX:sibling-in-law.n		ko`eke
PLX:son-in-law (of man).n		hūnōna kāne
PLX:son-in-law (of woman).n		hūnōna kāne
PLX:stab to death.v		hou (2)
PLX:that.pro		kēlā
PLX:that.pro		kēnā
PLX:this.pro		kēia
PLX:under.pp		lalo
PLX:what.pro		aha
PLX:when.pro		ināhea
PLX:when.pro		āhea
PLX:where.pro		hea (1)
PLX:which Q.pro		hea (1)
PLX:who.pro		wai (2)
PLX:why.pro		aha
PLX:with.pp		me
PLX:without.pp		`ole
PLX:yes.ptcl		`ae
PLX:younger sibling.n		pōki`i
PWN:abdomen.n.01		`ōpū
PWN:above.r.02		luna
PWN:accuse.v.01		ho`āhewa
PWN:acorn.n.01		`ēkona		eng:acorn
PWN:acquit.v.01		ho‘oku‘u
PWN:act.v.02		hana
PWN:address.n.03		ha`i`ōlelo
PWN:address.n.06		helu wahi
PWN:admit.v.01		`ae
PWN:adobe.n.02		lepo kāwili
PWN:adornment.n.01		wehi
PWN:adultery.n.01		moekolohe
PWN:adz.n.01		ko`i
PWN:afternoon.n.01		`auinalā
PWN:again.r.01		hou (4)
PWN:age.n.01		wā
PWN:air.n.01		ea
PWN:airplane.n.01		mokulele
PWN:all.a.01		āpau
PWN:allege.v.01		`ōlelo
PWN:alligator.n.02		mo`o nui
PWN:alone.r.02		ho`okahi
PWN:always.r.01		mau
PWN:amazed.s.01		pū`iwa
PWN:ambush.n.01		hālua
PWN:ancestor.n.01		kūpuna
PWN:anchor.n.01		`anakā		eng:anchor
PWN:anger.n.02		huhū
PWN:animal.n.01		holoholona
PWN:animation.n.01		ola
PWN:ankle.n.01		ku`eku`e wāwae
PWN:announce.v.01		kūkala
PWN:answer.v.01		pane
PWN:ant.n.01		naonao
PWN:anteater.n.02		`ainaonao
PWN:anvil.n.01		kua hao
PWN:anxiety.n.02		hopohopo
PWN:apparel.n.01		lole
PWN:apple.n.01		poma		fra:pomme
PWN:approach.v.01		ho`okokoke
PWN:apt.s.03		akamai
PWN:arch.n.04		hoaka
PWN:arm.n.01		lima (1)
PWN:armor.n.01		`a`ahu kaua
PWN:armpit.n.01		po`ae`ae
PWN:army.n.01		pū`ali koa
PWN:arrive.v.01		hele mai
PWN:arrive.v.01		hō`ea
PWN:arrow.n.02		pua (2)
PWN:arson.n.01		puhi ahi
PWN:artery.n.01		a`a koko
PWN:ascend.v.01		pi`i
PWN:ash.n.01		lehu
PWN:ash.n.02		`ōlena		heb:oren
PWN:ask.v.02		noi
PWN:ask.v.05		nīnau
PWN:attack.n.05		pu`e
PWN:aunt.n.01		`anakē		eng:aunt/aunty
PWN:aurora_borealis.n.01		`olili`ula
PWN:australia.n.01		Nuhōlani		eng:New Holland
PWN:awl.n.01		kui houhou
PWN:ax.n.01		ko`i
PWN:axle.n.01		iho (2)
PWN:baby.n.01		pēpē
PWN:back.n.01		kua
PWN:bad.a.01		maika`i `ole
PWN:bait.n.02		maunu
PWN:bake.v.02		`oma		eng:oven
PWN:bald.s.02		`ōhule
PWN:ball.n.03		poepoe
PWN:bamboo.n.01		`ohe
PWN:banana.n.02		mai`a
PWN:banyan.n.01		paniana		eng:banyan
PWN:bare.s.01		hele wale
PWN:bark.n.01		`ili
PWN:barley.n.02		palaoa huluhulu
PWN:barter.v.01		hailawe
PWN:basket.n.01		`eke
PWN:bat.n.01		`ōpe`ape`a
PWN:bathe.v.01		`au`au
PWN:battery.n.02		iho (3)
PWN:battle-ax.n.01		ko`i pāhoa
PWN:battle.n.01		kaua
PWN:bay.n.01		hono
PWN:be.v.11		ola
PWN:be_born.v.01		hānau `ia
PWN:bead.n.01		olopī		eng:bead
PWN:beak.n.02		nuku (1)
PWN:beam.n.02		kuku
PWN:bean.n.01		pī (1)		eng:pea
PWN:bean_curd.n.01		tōfū		jpn:tofu
PWN:bear.n.01		pea		eng:bear
PWN:beard.n.01		`umi`umi
PWN:beautiful.a.01		nani
PWN:beaver.n.07		peawa		eng:beaver
PWN:beaver.n.07		piwa (1)		eng:beaver
PWN:become.v.01		lilo
PWN:bed.n.01		moe (1)
PWN:bee.n.01		nalo meli
PWN:beehive.n.04		pahu meli
PWN:beer.n.01		pia		eng:beer
PWN:beeswax.n.01		kūkaenalo
PWN:beget.v.01		ho`omakua kāne
PWN:beggar.n.01		mākilo
PWN:begin.v.03		ho`omaka
PWN:beginning.n.01		ho`omaka `ana
PWN:believe.v.01		piliwi		eng:believe
PWN:belt.n.02		kuapo		eng:swap
PWN:beverage.n.01		mea inu
PWN:bicycle.n.01		paikikala		eng:bicycle
PWN:big_brother.n.02		kaikua`ana
PWN:big_brother.n.02		kaikunāne
PWN:big_sister.n.01		kaikua`ana
PWN:big_sister.n.01		kaikuahine
PWN:bill.n.02		pila (2)		eng:bill
PWN:billy.n.02		kao kāne
PWN:birch.n.02		pūkowi		ces:březový
PWN:bird.n.01		manu
PWN:birth_certificate.n.01		palapala hānau
PWN:bishop.n.01		pīhopa		eng:bishop
PWN:bite.v.01		nahu
PWN:bitter.s.06		`awa`awa
PWN:black.a.01		`ele`ele
PWN:blacksmith.n.01		ku`i hao
PWN:blanket.n.01		kapa moe
PWN:blast.v.07		kī (4)
PWN:bless.v.01		ho`opōmaika`i
PWN:blind.a.01		maka pō
PWN:blink.v.01		`i`imo
PWN:blister.n.03		`olopū
PWN:blood.n.01		koko
PWN:blow.v.02		puhi (3)
PWN:blue.s.01		polū		eng:blue
PWN:blue.s.01		uliuli
PWN:blunt.s.02		kūmūmū
PWN:board.n.02		papa (2)
PWN:boast.v.01		kaena
PWN:boat.n.01		moku
PWN:body.n.01		kino
PWN:body_hair.n.01		huluhulu
PWN:body_louse.n.01		`uku
PWN:boil.n.01		palapū
PWN:boil.v.01		paila (1)		eng:boil
PWN:boisterous.s.03		`ōkaikai
PWN:bolt.n.03		kī (3)		eng:key
PWN:bomb.n.01		pōkā pahū
PWN:bone.n.01		iwi
PWN:book.n.01		liwele		fra:livre
PWN:book.n.01		puke		eng:book
PWN:boomerang.n.01		ku`uku`u
PWN:boot.n.01		puki		eng:boot
PWN:bore.v.02		hou (2)
PWN:borrow.v.01		lawe`ai`ē
PWN:bottle.n.01		`ōmole
PWN:bottom.n.02		kumu (1)
PWN:bottom.n.02		lalo
PWN:bottom.n.02		mole
PWN:boundary.n.02		palena
PWN:bow.n.04		pana
PWN:bowed_stringed_instrument.n.01		pila		eng:fiddle
PWN:bowl.n.01		pola		eng:bowl
PWN:bracelet.n.02		apo lima
PWN:brackish.s.02		wai kai
PWN:braid.n.01		hili
PWN:braid.v.01		ulana
PWN:brain.n.01		lolo
PWN:brainsick.s.01		pupule
PWN:brake.v.02		nahā
PWN:branch.n.03		lālā
PWN:brave.a.01		wiwo `ole
PWN:bread.n.01		palaoa		eng:flour
PWN:break.v.05		ho`opoloke
PWN:breakfast.n.01		`aina kakahiaka
PWN:breast.n.02		poli
PWN:breathe.v.01		hanu
PWN:brick.n.01		winihapa		eng:Winship
PWN:bridge.n.01		uapo		eng:wharf
PWN:bright.a.01		`ōlino
PWN:bring.v.01		lawe mai
PWN:bring_around.v.02		hō`ola
PWN:broccoli.n.01		palakalī		eng:broccoli
PWN:broken.s.11		poloke		eng:broken
PWN:broom.n.01		pūlumi		eng:broom
PWN:brother.n.01		kaikaina
PWN:brother.n.01		kaikua`ana
PWN:brother.n.01		kaikunāne
PWN:brow.n.01		lae (2)
PWN:bruise.n.01		māui
PWN:brush.n.02		palaki		eng:brush
PWN:bull.n.01		pipi kāne
PWN:bumble.v.03		`ū`ū
PWN:bunch.n.01		pūpū (2)
PWN:burn.v.03		`ā
PWN:burn.v.07		puhi (1)
PWN:bury.v.02		kanu
