id	style	word	pronunciation
Action:can.V		יכל	jaχol
Agriculture:herd (something).V		רעה	ʁaʔa
Agriculture:irrigate.V		השקה	hiʃka
Agriculture:pick.V		קטף	kataf
Agriculture:shovel.N		את	ɛt
Animal:Anatidae.N		ברוז	baʁvaz
Animal:Annelida.N		תולעת	tolaʔat
Animal:Araneae.N		עכביש	akaviʃ
Animal:Aves.N		צפור	t͡sipoʁ
Animal:Canis lupus familiaris.N		כלב	kɛlɛv
Animal:Canis lupus.N		זאב	zəʔɛv
Animal:Corvus.N		עורב	oʁev
Animal:Culicidae.N		יתוש	jatuʃ
Animal:Diptera.N		זבוב	zvuv
Animal:Equus ferus caballus.N		סוס	sus
Animal:Felis catus.N		חתול	χatul
Animal:Formicidae.N		נמלה	nəmala
Animal:Gallus gallus domesticus.N		תרנגלת	taʁnɡolɛt
Animal:Homo sapiens.N		אדם	adam
Animal:Ovis aries.N		כבשה	kivsa
Animal:Rhopalocera.N		פרפר	paʁpaʁ
Animal:Sciuridae.N		סנאי	snaʔi
Animal:Serpentes.N		נחש	naχaʃ
Animal:Sus scrofa domestica.N		חזיר	χaziʁ
Animal:Ursidae.N		דב	dov
Animal:Vulpes.N		שועל	ʃuʔal
Animal:animal.N		חיה	χaja
Animal:fish.N		דג	daɡ
Animal:mouse.N		עכבר	aχbaʁ
Animal:wool.N		צמר	t͡sɛmɛʁ
Atmosphere:cloud.N		ענן	anan
Atmosphere:cold.A		צונן	t͡sonɛn
Atmosphere:fog.N		ערפל	aʁafɛl
Atmosphere:rain.N		גשם	ɡɛʃɛm
Atmosphere:rain.V		ירד גשם	jaʁadɡɛʃɛm
Atmosphere:rainbow.N		קשת	kɛʃɛt
Atmosphere:sky.N		שמים	ʃamajim
Atmosphere:thunder.N		רעם	ʁaʔam
Atmosphere:thunder.V		רעם	ʁaʔam
Atmosphere:weather.N		מזג אויר	mɛzɛɡʔaviʁ
Atmosphere:wind.N		רוח	ʁuaχ
Belief:deity.N		אל	ɛl
Belief:idol.N		פסל	pesɛl
Belief:spirit.N		רוח	ʁuaχ
Body:arm.N		זרוע	zʁoʔa
Body:back.N		גב	ɡav
Body:beard.N		זקן	zakan
Body:belly.N		בטן	bɛtɛn
Body:blood.N		דם	dam
Body:blow.V		נשף	naʃaf
Body:body.N		גוף	ɡuf
Body:bone.N		עצם	ɛt͡sɛm
Body:brain.N		מוח	moaχ
Body:breast.N		שד	ʃad
Body:breath.N		נשימה	nəʃima
Body:breath.V		נשם	naʃam
Body:cheek.N		לחי	lɛχi
Body:chest.N		חזה	χazɛ
Body:chin.N		סנטר	santɛʁ
Body:ear.N		אזן	ozɛn
Body:elbow.N		מרפק	maʁpɛk
Body:eye.N		עין	ajin
Body:face.N		פנים	panim
Body:fat.N		שמן	ʃuman
Body:feather.N		נוצה	not͡sa
Body:finger.N		אצבע	ɛt͡sbah
Body:fingernail.N		צפרן	t͡sipoʁɛn
Body:foot.N		רגל	ʁɛɡɛl
Body:footprint.N		עקבה	ikva
Body:forehead.N		מצח	mɛt͡saχ
Body:fur.N		פרוה	paʁva
Body:hair.N		שערה	ʃaʔaʁa
Body:hand.N		יד	jad
