id	style	word	pronunciation
Action:can.V		जानना	d͡ʒaːnːaː
Action:can.V		सकना	səknaː
Agriculture:herd (something).V		चराना	t͡ʃəraːnaː
Agriculture:irrigate.V		सींचना	sĩːt͡ʃənaː
Agriculture:pick.V		चुनना	t͡ʃʊnːaː
Agriculture:pick.V		तोड़ना	toːɽnaː
Agriculture:shovel.N		फावड़ा	faːwəɽaː
Agriculture:shovel.N		बेलचा	beːlət͡ʃaː
Animal:Anatidae.N		बतख़	bətəx
Animal:Anatidae.N		बत्तक	bətːək
Animal:Annelida.N		कीड़ा	kiːɽaː
Animal:Annelida.N		कृमि	kɽmɪ
Animal:Araneae.N		मकड़ी	məkɽiː
Animal:Araneae.N		लूता	luːtaː
Animal:Aves.N		चिड़िया	t͡ʃɪɽɪjaː
Animal:Aves.N		पक्षी	pəkʂiː
Animal:Canis lupus familiaris.N		कुत्ता	kʊtːaː
Animal:Canis lupus familiaris.N		श्वान	ɕwaːn
Animal:Canis lupus.N		भेड़िया	bʰeːɽɪjaː
Animal:Canis lupus.N		वृक	vɽk
Animal:Corvus.N		काक	kaːk
Animal:Culicidae.N		डाँस	ɖãːs
Animal:Diptera.N		मक्खी	məkʰːiː
Animal:Diptera.N		मक्षिका	məkʂɪkaː
Animal:Equus ferus caballus.N		अश्व	əɕw
Animal:Equus ferus caballus.N		घोड़ा	ɡʰoːɽaː
Animal:Felis catus.N		बिल्ली	bɪlːiː
Animal:Formicidae.N		चींटी	t͡ʃĩːʈiː
Animal:Gallus gallus domesticus.N		मुर्ग़ी	mʊrɣiː
Animal:Homo sapiens.N		इनसान	ɪnsaːn
Animal:Homo sapiens.N		मनुष्य	mənʊʂj
Animal:Homo sapiens.N		मानव	maːnəv
Animal:Ovis aries.N		भेड़	bʰeːɽ
Animal:Rhopalocera.N		तितली	tɪtəliː
Animal:Sciuridae.N		गिलहरी	ɡɪləhriː
Animal:Serpentes.N		सर्प	sərp
Animal:Sus scrofa domestica.N		शूकर	ɕuːkər
Animal:Ursidae.N		भालू	bʰaːluː
Animal:Ursidae.N		रीछ	riːt͡ʃʰ
Animal:Vulpes.N		लोमड़ी	loːməɽiː
Animal:animal.N		जानवर	d͡ʒaːnvər
Animal:animal.N		पशु	pəɕʊ
Animal:fish.N		मछली	mət͡ʃʰliː
Animal:fish.N		मत्स्य	mətsj
Animal:mouse.N		चूहा	t͡ʃuːhaː
Animal:mouse.N		मूष	muːʂ
Animal:wool.N		ऊन	uːn
Atmosphere:cloud.N		अभ्र	əbʰr
Atmosphere:cloud.N		मेघ	meːɡʰ
Atmosphere:cold.A		ठंडा	ʈʰəɳɖaː
Atmosphere:fog.N		कुहरा	kʊhəraː
Atmosphere:fog.N		धुँध	dʰʊndʰ
Atmosphere:rain.N		बारिश	baːrɪɕ
Atmosphere:rain.N		मेंह	mẽːh
Atmosphere:rain.V		बरसना	bərəsnaː
Atmosphere:rainbow.N		इंद्र-धनुष	ɪndrdʰənʊʂ
Atmosphere:sky.N		आकाश	aːkaːɕ
Atmosphere:sky.N		आसमान	aːsmaːn
Atmosphere:thunder.N		गरज	ɡərəd͡ʒ
Atmosphere:thunder.N		मेघ-गर्जन	meːɡʰəɡərd͡ʒən
