id	style	word	pronunciation
PLX:1PL.pro		mi	mîː
PLX:1SG.pro		ja	jâː
PLX:2PL.pro		vi	ʋîː
PLX:2SG.pro		ti	tîː
PLX:3PL.pro		oni	ɔ̌ni
PLX:3SG M.pro		on	ɔ̂ːn
PLX:and.cnj		i	i
PLX:and.cnj		te	tɛ̂
PLX:because of.pp		radi	râːdi
PLX:because of.pp		zbog	zbɔ̂ɡ
PLX:behind.pp		iza	ǐza
PLX:behind.pp		za	za
PLX:beside.pp		kraj	kraj
PLX:beside.pp		pokraj	pɔ̂kraj
PLX:beside.pp		pored	pɔrɛd
PLX:can.v		moći	mɔ̌t͡ɕi
PLX:die (from accident).V		skapati	skâpati
PLX:everywhere.pro		svagdje	sʋâɡdjɛ
PLX:everywhere.pro		svuda	sʋǔdaː
PLX:from here.adv		odavde	ɔ̌daːʋdɛː
PLX:get sick.V		oboljeti se	ɔbɔ̌ʎɛti sɛ
PLX:get sick.V		razboljeti se	razbɔ̌ʎɛti sɛ
PLX:how many.pro		koliko	kɔ̂likɔ
PLX:how.pro		kako	kâkɔ
PLX:in front of.pp		ispred	isprɛd
PLX:in front of.pp		pred	prɛd
PLX:or.cnj		ili	îli
PLX:that.pro		ono	ɔ̌nɔː
PLX:that.pro		to	tɔ̂ː
PLX:this.pro		ovo	ɔ̌ʋɔː
PLX:under.pp		ispod	ispɔd
PLX:under.pp		pod	pɔd
PLX:what.pro		što	ʃtɔ̂
PLX:where.pro		gdje	ɡdjɛ̂
PLX:where_to.pro		kamo	kâmɔ
PLX:where_to.pro		kuda	kǔdaː
PLX:who.pro		tko	tkɔ̂
PLX:why.pro		zašto	zâʃtɔ
PWN:abandon.v.02		napustiti	napǔstiti
PWN:abandon.v.02		ostaviti	ɔ̌staʋiti
PWN:abdomen.n.01		trbuh	tř̩bux
PWN:above.r.02		gore	ɡɔ̂rɛ
PWN:act.v.02		raditi	rǎːditi
PWN:add.v.01		dodati	dɔ̌dati
PWN:add.v.01		pridati	prǐdati
PWN:address.n.03		besjeda	bɛ̌sjɛda
PWN:address.n.03		govor	ɡɔ̂ʋɔːr
PWN:affect.v.05		taknuti	tǎknuti
PWN:again.r.01		opet	ɔ̌pɛːt
PWN:again.r.01		ponovo	pɔ̂nɔʋɔ
PWN:age.n.01		dob	dɔ̂ːb
PWN:ahead.r.03		naprijed	nǎpriɛd
PWN:aid.n.02		pomoć	pɔ̂mɔːt͡ɕ
PWN:air.n.01		zrak	zrâːk
PWN:alive.a.01		živ	ʒîːʋ
PWN:all.a.01		sve	sʋɛ̂
PWN:allege.v.01		kazati	kǎːzati
PWN:allege.v.01		reći	rɛ̌t͡ɕi
PWN:alone.r.02		sam	sâːm
PWN:already.r.01		već	ʋɛ̂t͡ɕ
PWN:always.r.01		uvijek	ûʋiɛk
PWN:always.r.01		vazda	ʋâzda
PWN:anger.v.01		ljutiti	ʎǔːtiti
PWN:anger.v.02		ljutiti se	ʎǔːtiti sɛ
PWN:animal.n.01		životinja	ʒiʋɔ̌tiɲa
PWN:animation.n.01		život	ʒǐʋɔt
PWN:ant.n.01		mrav	mrâːʋ
PWN:apparel.n.01		odjeća	ɔ̌djɛt͡ɕa
PWN:apple.n.01		jabuka	jâbuka
PWN:april.n.01		april	ǎpriːl
PWN:april.n.01		travanj	trâːʋaɲ
PWN:apt.s.03		razborit	rǎzbɔrit
PWN:area.n.01		kraj	krâːj
PWN:area.n.01		predeo	prɛ̌ːdɛɔ
PWN:arise.v.03		dići se	dît͡ɕi sɛ
PWN:arm.n.01		ruka	rǔːka
PWN:arrive.v.01		doći	dɔ̌ːt͡ɕi
PWN:arrive.v.01		stići	stît͡ɕi
PWN:arrow.n.02		strijela	strijɛ̌la
PWN:ascend.v.01		nadoći	nadɔ̌ːt͡ɕi
PWN:ascend.v.01		uzići	uzǐːt͡ɕi
PWN:ash.n.01		pepeo	pɛ̂pɛɔ
PWN:ask.v.02		moliti	mɔ̌liti
PWN:ask.v.05		pitati	pǐːtati
PWN:august.n.01		august	ǎuɡust
PWN:august.n.01		kolovoz	kɔlɔ̌ʋɔz
PWN:aunt.n.01		tetka	tɛ̂tka
PWN:aunt.n.01		ujna	ûːjna
PWN:awaken.v.01		probuditi	prɔbǔːditi
PWN:back.n.01		hrbat	xř̩bat
PWN:back.n.01		leđa	lɛ̌ːd͡ʑa
PWN:back.r.01		natrag	nâtraːɡ
PWN:back.r.01		nazad	nâzaːd
PWN:back.r.02		natrag	nâtraːɡ
PWN:bad.a.01		loš	lɔ̂ʃ
PWN:bad.a.01		rđav	ř̩d͡ʑaʋ
PWN:bag.n.01		taška	tâʃka
PWN:bag.n.01		torba	tɔ̌ːrba
PWN:bake.v.02		peći	pɛ̌t͡ɕi
PWN:bare.s.01		nag	nâːɡ
PWN:bark.n.01		kora	kɔ̂ra
PWN:bark.v.04		lajati	lâjati
PWN:bathe.v.01		kupati se	kǔːpati sɛ
PWN:battle.n.01		boj	bɔ̂ːj
PWN:battle.n.01		borba	bɔ̌rba
PWN:bay.n.01		zaliv	zǎːliʋ
PWN:be_born.v.01		roditi se	rɔ̌diti sɛ
PWN:bear.n.01		medvjed	mɛ̌dʋjɛd
PWN:beard.n.01		brada	brǎːda
PWN:beautiful.a.01		krasan	krâːsan
PWN:become.v.01		postati	pɔ̌stati
PWN:become.v.01		činiti se	t͡ʃǐniti sɛ
PWN:bed.n.01		krevet	krɛ̌ʋɛt
PWN:bed.n.01		postelja	pɔ̌stɛʎa
PWN:begin.v.03		početi	pɔ̌t͡ʃɛːti
PWN:believe.v.01		vjerovati	ʋjɛ̂rɔʋati
PWN:beloved.s.01		drag	drâːɡ
PWN:belt.n.02		pas	pâːs
PWN:belt.n.02		pojas	pɔ̂jaːs
PWN:bend.v.01		sagnuti	sǎɡnuti
PWN:bend.v.01		saviti	sǎʋiti
PWN:benefit.n.02		korist	kɔ̂riːst
PWN:berry.n.01		boba	bɔ̌ːba
PWN:berry.n.01		bobica	bɔ̌bit͡sa
PWN:better.v.02		poboljšati	pɔbɔ̌ʎʃati
PWN:between.r.02		između	izmɛd͡ʑu
PWN:between.r.02		među	mɛd͡ʑu
PWN:birch.n.02		breza	brɛ̂za
PWN:bird.n.01		ptica	ptît͡sa
PWN:bite.v.01		gristi	ɡrîsti
PWN:bite.v.01		ujesti	ǔjɛsti
PWN:bitter.s.06		gorak	ɡɔ̌ːrak
PWN:black.a.01		crn	t͡sr̩̂ːn
PWN:blanket.n.01		pokrivač	pɔkrǐʋaːt͡ʃ
PWN:blanket.n.01		ćebe	t͡ɕɛ̂bɛ
PWN:blast.v.07		pucati	pût͡sati
PWN:blast.v.07		strijeljati	strijɛ̌ʎati
PWN:blind.a.01		slijep	slîjɛp
PWN:blood.n.01		krv	kr̩̂ːʋ
PWN:blow.v.01		puhati	pǔːxati
PWN:blow.v.02		duhati	dǔːxati
PWN:blue.s.01		modar	mɔ̂dar
PWN:blue.s.01		plav	plâːʋ
PWN:blunt.s.02		tup	tûːp
PWN:board.n.02		daska	dǎska
PWN:boast.v.01		hvalisati se	xʋǎlisati sɛ
PWN:boat.n.01		čamac	t͡ʃǎːmat͡s
PWN:boat.n.01		čun	t͡ʃûːn
PWN:body.n.01		tijelo	tîjɛlɔ
PWN:boil.v.01		kipjeti	kǐːpjɛti
PWN:boil.v.01		ključati	kʎǔt͡ʃati
PWN:boil.v.03		kuhati	kûxati
PWN:bone.n.01		kost	kɔ̂ːst
PWN:book.n.01		knjiga	kɲîɡa
PWN:boot.n.01		čizma	t͡ʃîzma
PWN:botch.v.01		pokvariti	pɔkʋǎːriti
PWN:boundary_line.n.01		granica	ɡrǎnit͡sa
PWN:bow.n.04		luk	lûːk
PWN:box.n.01		sanduk	sǎnduk
PWN:branch.n.02		grana	ɡrǎːna
PWN:branchlet.n.01		grana	ɡrǎːna
PWN:brawl.v.01		biti se	bîti sɛ
PWN:brawl.v.01		udariti se	ǔdariti sɛ
PWN:bread.n.01		kruh	krûx
PWN:break.v.05		slomiti	slɔ̌miti
PWN:breast.n.02		njedra	ɲɛ̂dra
PWN:breast.n.02		sisa	sîsa
PWN:breath.n.02		dah	dâːx
PWN:breathe.v.01		disati	dǐːsati
PWN:bridge.n.01		most	mɔ̂ːst
PWN:bridge.n.01		ćuprija	t͡ɕǔprija
PWN:bright.a.01		svijetao	sʋîjɛtaɔ
PWN:bright.a.01		vedar	ʋɛ̂dar
PWN:bring.v.01		donijeti	dɔ̌niɛti
PWN:brook.n.01		potok	pɔ̌tɔk
PWN:broom.n.01		metla	mɛ̌tla
PWN:brother.n.01		brat	brât
PWN:brow.n.01		čelo	t͡ʃɛ̌lɔ
PWN:bucket.n.01		kabao	kǎbaɔ
PWN:bull.n.01		bik	bîːk
PWN:bundle.n.02		snop	snɔ̂p
PWN:bundle.n.02		svežanj	sʋɛ̂ʒaɲ
PWN:burn.v.03		gorjeti	ɡɔ̌rjɛti
PWN:burn.v.07		sagorjeti	saɡɔ̌rjɛti
PWN:burn.v.07		spaliti	spǎːliti
PWN:business.n.01		posao	pɔ̌saɔ
PWN:business.n.01		trgovina	tř̩ɡɔʋina
PWN:butter.n.01		buter	bûtɛr
PWN:butter.n.01		maslac	mâslat͡s
PWN:butterfly.n.01		leptir	lɛ̂ptiːr
PWN:button.n.01		dugme	dǔɡmɛ
PWN:buy.v.01		kupiti	kǔːpiti
PWN:calculate.v.01		računati	rat͡ʃǔnati
PWN:calendar_month.n.01		mjesec	mjɛ̂sɛːt͡s
PWN:call.v.05		dozvati	dɔ̌zʋati
PWN:call.v.05		zvati	zʋâti
PWN:campfire.n.01		logorska vatra	lɔɡɔrska ʋâtra
PWN:cap.n.01		kapa	kâpa
PWN:cat.n.01		mačka	mât͡ʃka
PWN:catch.v.04		hvatati	xʋâtati
PWN:catch.v.04		loviti	lɔ̌ʋiti
PWN:cause.n.01		razlog	rǎːzlɔɡ
PWN:cave.n.01		pećina	pɛ̌t͡ɕina
PWN:cave.n.01		spilja	spîʎa
PWN:cavil.v.01		psovati	psɔ̌ʋati
PWN:center.n.01		sredina	srɛdǐna
PWN:chair.n.01		stolac	stɔ̌lat͡s
PWN:chair.n.01		stolica	stɔ̌lit͡sa
PWN:change.v.01		promijeniti	prɔmijɛ̌niti
PWN:character.n.08		slovo	slɔ̂ʋɔ
PWN:cheap.a.01		jeftin	jɛ̂ftin
PWN:cheek.n.01		obraz	ɔ̌braz
PWN:cherished.s.01		dragocjen	draɡɔ̌t͡sjɛn
PWN:cherished.s.01		vrijedan	ʋrijɛ̌dan
PWN:chicken.n.02		kokoš	kɔ̂kɔːʃ
PWN:child.n.01		dijete	dijɛ̌tɛ
PWN:child.n.01		čedo	t͡ʃɛ̂dɔ
PWN:chin.n.01		brada	brǎːda
PWN:chin.n.01		podbradak	pɔ̌dbradak
PWN:choose.v.01		izabrati	izǎbrati
PWN:chop.v.01		sjeckati	sjɛ̂t͡skati
PWN:church.n.02		crkva	t͡sr̩̂ːkʋa
PWN:circle.n.03		krug	krûːɡ
PWN:citizenry.n.01		narod	nǎːrɔd
PWN:citizenry.n.01		puk	pûːk
PWN:claw.n.01		papak	pǎːpak
PWN:clay.n.01		glina	ɡlǐːna
PWN:clay.n.01		ilovača	îlɔʋat͡ʃa
PWN:clean.a.01		čist	t͡ʃîst
PWN:clean.v.01		očistiti	ɔ̌t͡ʃistiti
PWN:clean.v.01		počistiti	pɔ̌t͡ʃistiti
PWN:climb.v.01		penjati se	pɛ̌ɲati sɛ
PWN:climb.v.01		popeti se	pɔ̌pɛːti sɛ
PWN:close.v.01		zatvoriti	zatʋɔ̌riti
PWN:cloud.n.02		oblak	ɔ̂blaːk
PWN:coal.n.01		ugalj	ûɡaʎ
PWN:coal.n.01		ugljen	ûɡʎɛːn
PWN:cock.n.04		kokot	kɔ̂kɔːt
PWN:cock.n.04		pijevac	pijɛ̌ʋat͡s
PWN:cold.a.01		hladan	xlǎːdan
PWN:coldness.n.03		hladnoća	xladnɔ̌t͡ɕa
PWN:coldness.n.03		studen	stûdɛːn
PWN:collar.n.01		ovratnik	ɔ̌ʋratniːk
PWN:colorful.a.01		šaren	ʃǎrɛn
PWN:comb.n.01		češalj	t͡ʃɛ̂ʃaʎ
PWN:comb.v.01		češljati	t͡ʃɛ̌ʃʎati
PWN:commend.v.01		hvaliti	xʋǎːliti
PWN:companion.n.01		drug	drûːɡ
PWN:companion.n.01		drugar	drǔɡaːr
PWN:company.n.03		društvo	drǔːʃtʋɔ
PWN:company.n.03		kompanija	kɔmpǎnija
PWN:complete.v.01		dovršiti	dɔʋř̩ːʃiti
PWN:complete.v.01		svršiti	sʋř̩ːʃiti
PWN:connect.v.01		spojiti	spɔ̌jiti
PWN:connect.v.01		zavezati	zaʋɛ̌zati
PWN:conserve.v.02		sačuvati	sat͡ʃǔːʋati
PWN:construct.v.01		graditi	ɡrǎːditi
PWN:conversation.n.01		razgovor	râzɡɔʋɔːr
PWN:converse.v.01		razgovarati se	razɡɔʋǎːrati sɛ
PWN:convey.v.01		saopćiti	saɔ̌pt͡ɕiti
PWN:cook.v.02		prigotoviti	priɡɔ̌tɔʋiti
PWN:corner.n.03		ugao	ûɡaɔ
PWN:corpulent.s.01		pretio	prɛ̌tiɔ
PWN:correctly.r.01		ispravan	îspraːʋan
PWN:correctly.r.01		tačan	tât͡ʃan
PWN:cough.v.01		kašljati	kǎʃʎati
PWN:count.n.01		broj	brɔ̂ːj
PWN:count.n.01		brojnost	brɔ̌jnɔːst
PWN:count.v.01		brojiti	brɔ̌jiti
PWN:country.n.02		zemlja	zɛ̌mʎa
PWN:cover.v.01		pokriti	pɔ̌kriti
PWN:cow.n.01		krava	krâʋa
PWN:cradle.n.01		kolijevka	kɔ̌liɛʋka
PWN:crane.n.05		ždral	ʒdrâːl
PWN:crawl.v.01		gmizati	ɡmîzati
PWN:crawl.v.01		puzati	pûzati
PWN:crisscross.n.01		križ	krîːʒ
PWN:crow.n.01		vrana	ʋrâna
