id	style	word	pronunciation	etymology
PLX:1PL EXCL.pro		kami		
PLX:1PL INCL.pro		kita		
PLX:1PL.pro		kami	
PLX:1PL.pro		kita	
PLX:1SG.pro		aku		
PLX:1SG.pro		saya		san:sahaya
PLX:2PL.pro		kalian		min:kalian
PLX:2SG.pro		kamu		
PLX:2SG.pro		kau, engkau		
PLX:3PL.pro		mereka	
PLX:3PL.pro		meréka		:marika
PLX:3SG.pro		beliau		
PLX:3SG.pro		dia		
PLX:3SG.pro		ia		
PLX:above.pp		(di) atas		
PLX:after.pp		sesudah		
PLX:after.pp		setelah		
PLX:after.pp		usai, seusai		
PLX:and.cnj		dan		
PLX:and.cnj		serta		san:sārtha
PLX:at.pp		di		
PLX:be late.v		lat		nld:laat
PLX:be late.v		telat		nld:te laat
PLX:be late.v		terlambat		
PLX:because.cnj		gara-gara		sun:gara-gara
PLX:because.cnj		karena		san:kāraṇa
PLX:because.cnj		sebab		arb:sabab
PLX:behind.pp		(di) belakang		
PLX:beside.pp		di samping		
PLX:can.v		sabi	
PLX:carry in hand.v		menggenggam		
PLX:carry in hand.v		menjinjing		
PLX:carry in hand.v		menénténg		ban:téngténg
PLX:carry on head.v		menjunjung		
PLX:carry on shoulder.v		memikul		
PLX:carry under arm.v		mengepit		
PLX:child-in-law.n		menantu		
PLX:day after tomorrow.adv		lusa		
PLX:day before yesterday.adv		kemarin dulu		
PLX:day before yesterday.adv		kemarin lusa		
PLX:digging stick.n		tugal		
PLX:fall silent.v		diam (1)		
PLX:fermented alcohol.n		tuak		
PLX:fish poison root.n		tuba		
PLX:fish trap.n		bubu		
PLX:from.pp		dari	
PLX:from.pp		daripada	
PLX:head hair.n		rambut		
PLX:hello.int  		selamat	
PLX:how many pieces.pro		berapa		
PLX:how much.pro		berapa		
PLX:how.pro		bagaimana		
PLX:if.cnj		andai		
PLX:if.cnj		jika		
PLX:if.cnj		kalau		
PLX:in front of.pp		(di) depan		
PLX:in front of.pp		di muka		
PLX:in.pp		dalam		
PLX:in.pp		di		
PLX:inside.pp		(di) dalam		
PLX:kendo.n		kendo	
PLX:netbag.n		nokén		:Unidentifiable
PLX:nothing.pro		nihil		:nihil
PLX:nothing.pro		tidak apa-apa		
PLX:oganesson.n		oganesson	
PLX:older sibling.n		kakak		
PLX:one.pro		seseorang	
PLX:or.cnj		atau		san:athavā
PLX:outside.pp		di luar		
PLX:parents-in-law.n		mertua		sun:mertua
PLX:sibling's child.n		kemenakan		
PLX:sibling's child.n		keponakan		jav:keponakan
PLX:sibling-in-law.n		ipar		
PLX:stab to death.v		menikam		
PLX:stab to death.v		menusuk		
PLX:tennessine.n		tennessine	
PLX:than.pp		daripada	
PLX:thanks.int		terima kasih	
PLX:that.pro		itu		
PLX:this.pro		ini		
PLX:under.pp		(di) bawah		
