id	style	word	transcription	etymology
Agriculture:cultivate.V		doosl		
Agriculture:farmer.N		doosliitmo		
Agriculture:harvest or harvest season.N		balaangw		
Agriculture:plough.V		doosl		
Agriculture:plough.V		tutuuw		
Agriculture:sickle or scythe.N		injolood		tcc:Unidentifiable
Agriculture:sow seeds.V		dahaas		
Agriculture:thresh.V		diif		
Agriculture:threshing-floor.N		afeeni		
Agriculture:threshing-floor.N		mundáy		
Animal:Acridomorpha.N		tsaxway		
Animal:Anatidae.N		bata		swh:bata
Animal:Annelida.N		girirík		tcc:giriirga‘
Animal:Anthophila.N		ba'armo		
Animal:Anura.N		amaslahhi		
Animal:Araneae.N		hibambi		
Animal:Aves.N		tsir'i		
Animal:Blattodea.N		bab/i		
Animal:Bos taurus.N		hikwaa		
Animal:Canis lupus familiaris.N		see'aay		
Animal:Capra hircus.N		lee'i		
Animal:Cervidae.N		tlaaqati		
Animal:Corvus.N		xwaa'ari		
Animal:Culicidae.N		ineera		
Animal:Diptera.N		ba'ár		
Animal:Elephantidae.N		daangw		
Animal:Equus asinus.N		daqwaay		
Animal:Equus ferus caballus.N		faras		swh:farasi
Animal:Felis catus.N		maytsí		
Animal:Felis leo.N		diraangw		
Animal:Formicidae.N		tleeri		
Animal:Homo sapiens.N		hee		
Animal:Insecta.N		mdudu		swh:mdudu
Animal:Lacertidae.N		/urfi		
Animal:Lampyridae.N		kimulimuli		swh:kimulimuli
Animal:Leporidae.N		kwa/aangw		
Animal:Ovis aries.N		bee/i		
Animal:Rhopalocera.N		/awtamo		
Animal:Serpentes.N		dayshimo		
Animal:Simiiformes.N		/awtú		
Animal:Sus scrofa domestica.N		baynamo		
Animal:Testudines.N		kankee'amo		
Animal:Vespinae.N		diwíl		
Animal:Vulpes.N		intsaangw		
Animal:animal.N		makaa		
Animal:fish.N		siiyó		
Atmosphere:cloud.N		huunkáy		
Atmosphere:fog.N		tlangí		
Atmosphere:rain.N		tluway		
Atmosphere:rainbow.N		ga/alér tluway		
Atmosphere:sky.N		doori		
Atmosphere:storm.N		bambaa'o		
Atmosphere:thunder.N		kwara/a		
Atmosphere:weather.N		hali ya hewa		swh:hali ya hewa
Atmosphere:wind.N		fur'aa		
Belief:Catholic priest.N		patri		swh:padri
Belief:bless.V		baaf		
Belief:bless.V		tsuuq		
Belief:curse.V		lu'us		
Belief:deity.N		loo'aa		
Belief:demon.N		neetlangw		
Belief:ghost.N		gi'i		
Belief:hell.N		asla daqisleem		
Belief:idol.N		murslaqat		
Belief:magic.N		da/ri		
Belief:magician.N		daa/alusmo		
Belief:pray.V		fiir		
Belief:religion.N		dini		swh:dini
Belief:sermon.V		alkii/		
Belief:soul.N		qeeru		
Belief:temple.N		kaniisa		swh:kanisa
Body:ankle.N		kundóo ya'ee		
Body:arm.N		dawa (1)		
Body:armpit.N		slaara		
Body:back.N		daanda		
Body:bald.A		paynú		
Body:beak.N		afkwá koonki		
Body:beard.N		daamóot		tcc:dàamúuka
Body:belly.N		gura’		
Body:blink.V		kwislit		
Body:blister.N		buqaani		
Body:blood vessel.N		dee/armóo tseeree		
Body:blood.N		tseeree		
Body:body hair.N		matsaafu		
Body:body.N		slaqwa		
Body:boil.N		umaangw		
Body:bone.N		fara		
Body:brain.N		/atú		
Body:breast.N		isaangw		
Body:breath.V		hiinsl		
Body:bruise.N		nor'oos		
Body:buttock.N		gwe'eedo		
Body:calf of leg.N		tsi/i		
Body:carcass.N		tuuaa		
Body:cheek.N		tlaqarmo		
Body:chest.N		da/awa		
Body:chin.N		wakri		
Body:collarbone.N		mugúl		tcc:mugul
Body:corpse.N		tuu'aa		
Body:dribble.V		tsororoox		
Body:ear.N		ii'a		
Body:earwax.N		makookí		
Body:elbow.N		gongooxi		
Body:eye.N		ila		
