id	style	word	pronunciation
Action:can.V		sapere	sapere
Agriculture:herd (something).V		pascolare	paskolare
Agriculture:irrigate.V		annaffiare	anːafːiare
Agriculture:pick.V		cògliere	kɔʎːiere
Agriculture:shovel.N		pala	pala
Animal:Anatidae.N		ànatra	anatra
Animal:Annelida.N		baco	bako
Animal:Annelida.N		verme	verme
Animal:Araneae.N		ragno	raɲːo
Animal:Aves.N		uccello	utt͡ʃelːo
Animal:Canis lupus familiaris.N		cane	kane
Animal:Canis lupus.N		lupo	lupo
Animal:Corvus.N		cornacchia	kornakːja
Animal:Culicidae.N		zanzara	t͡sant͡sara
Animal:Diptera.N		mosca	moska
Animal:Equus ferus caballus.N		cavallo	kavalːo
Animal:Felis catus.N		gatta	ɡatːa
Animal:Formicidae.N		formica	formika
Animal:Gallus gallus domesticus.N		gallina	ɡalːina
Animal:Homo sapiens.N		uomo	uomo
Animal:Homo sapiens.N		èssere umano	ɛsːere umano
Animal:Ovis aries.N		pècora	pɛkora
Animal:Rhopalocera.N		farfalla	farfalːa
Animal:Sciuridae.N		scoiàttolo	skoiatːolo
Animal:Serpentes.N		serpente	serpente
Animal:Sus scrofa domestica.N		maiale	maiale
Animal:Sus scrofa domestica.N		porco	porko
Animal:Ursidae.N		orso	orzo
Animal:Vulpes.N		volpe	volpe
Animal:animal.N		animale	animale
Animal:animal.N		bestia	bestia
Animal:fish.N		pesce	peʃːe
Animal:mouse.N		sorcio	sort͡ʃo
Animal:mouse.N		topo	topo
Animal:wool.N		lana	lana
Atmosphere:cloud.N		nube	nube
Atmosphere:cloud.N		nùvola	nuvola
Atmosphere:cold.A		fresco	fresko
Atmosphere:fog.N		nebbia	nebːia
Atmosphere:rain.N		pioggia	piodd͡ʒa
Atmosphere:rain.V		piòvere	piɔvere
Atmosphere:rainbow.N		arcobaleno	arkobaleno
Atmosphere:sky.N		cielo	t͡ʃɛlo
Atmosphere:thunder.N		tuono	tuono
Atmosphere:thunder.V		tonare	tonare
Atmosphere:weather.N		tempo	tempo
Atmosphere:wind.N		vento	vento
Belief:deity.N		dio	dio
Belief:idol.N		figura	fiɡura
Belief:spirit.N		mente	mente
Belief:spirit.N		spìrito	spirito
Body:arm.N		braccio	bratt͡ʃo
Body:back.N		dorso	dorzo
Body:back.N		schiena	skjena
Body:beard.N		barba	barba
Body:belly.N		ventre	ventre
Body:blood.N		sangue	saŋɡue
Body:blow.V		soffiare	sofːiare
Body:body.N		corpo	korpo
Body:bone.N		osso	osːo
Body:brain.N		cervello	t͡ʃervelːo
Body:breast.N		seno	seno
Body:breath.N		fiato	fiato
Body:breath.N		respiro	respiro
Body:breath.V		respirare	respirare
Body:cheek.N		guancia	ɡuant͡ʃa
Body:chest.N		petto	petːo
Body:chin.N		mento	mento
Body:ear.N		orecchio	orekːjo
Body:elbow.N		gomito	ɡomito
Body:eye.N		occhio	okːjo
Body:face.N		faccia	fatt͡ʃa
Body:face.N		viso	vizo
Body:fat.N		grasso	ɡrasːo
Body:feather.N		penna	penːa
Body:finger.N		dito	dito
Body:fingernail.N		unghia	uŋɡja
Body:foot.N		piede	piede
Body:footprint.N		traccia	tratt͡ʃa
Body:forehead.N		fronte	fronte
Body:fur.N		manto	manto
Body:fur.N		pelame	pelame
Body:hair.N		capello	kapelːo
Body:hand.N		mano	mano
Body:head.N		capo	kapo
Body:head.N		testa	testa
Body:heart.N		cuore	kuore
Body:heel.N		calcagno	kalkaɲːo
Body:heel.N		tallone	talːone
Body:horn.N		corno	korno
Body:jaw.N		mascella	maʃːelːa
Body:knee.N		ginocchio	d͡ʒinokːjo
Body:leg.N		gamba	ɡamba
Body:lip.N		labbro	labːro
Body:liver.N		fegato	feɡato
Body:moustache.N		baffi	bafːi
Body:moustache.N		mustacchi	mustakːi
Body:mouth.N		bocca	bokːa
Body:nail.N		unghia	uŋɡja
Body:nape.N		nuca	nuka
Body:navel.N		ombelico	ombeliko
Body:neck.N		collo	kolːo
Body:nose.N		naso	nazo
Body:obese.A		grasso	ɡrasːo
Body:palm.N		palma	palma
Body:shoulder.N		spalla	spalːa
Body:skin.N		pelle	pelːe
Body:stomach.N		stòmaco	stɔmako
Body:tail.N		coda	koda
Body:tear.N		làcrima	lakrima
Body:tendon.N		tèndine	tɛndine
Body:throat.N		gola	ɡola
Body:toe.N		dito del piede	dito del piede
Body:tongue.N		lingua	liŋɡua
Body:tooth.N		dente	dente
Body:upper leg.N		fèmore	fɛmore
Body:vein.N		vena	vena
Body:wing.N		ala	ala
Body:wound.N		ferita	ferita
Body:wound.N		piaga	piaɡa
Building:board.N		asse	asːe
Building:board.N		tàvola	tavola
Building:build.V		costruire	kostruire
Building:door.N		porta	porta
Building:floor.N		pavimento	pavimento
Building:gate.N		portone	portone
Building:house.N		casa	kaza
Building:post.N		pèrtica	pɛrtika
Building:post.N		sbarra	zbarːa
Building:roof.N		tetto	tetːo
Building:window.N		finestra	finestra
Cleaning:broom.N		scopa	skopa
Cleaning:clean (sth).V		nettare	netːare
Cleaning:clean (sth).V		pulire	pulire
Cleaning:clean.A		netto	netːo
Cleaning:clean.A		pulito	pulito
Cleaning:dirt.N		sudiciume	sudit͡ʃume
Cleaning:dirty.A		sporco	sporko
Cleaning:dirty.A		sùdicio	sudit͡ʃo
Cleaning:sweep.V		spazzare	spatt͡sare
Cleaning:wash (oneself).V		lavarsi	lavarzi
Cleaning:wash.V		lavare	lavare
Cleaning:wipe.V		asciugare	aʃːuɡare
Clothing:belt.N		cintura	t͡ʃintura
Clothing:boot.N		stivale	stivale
Clothing:button.N		bottone	botːone
Clothing:cap.N		berretto	berːetːo
Clothing:cloth.N		panno	panːo
Clothing:cloth.N		tessuto	tesːuto
Clothing:clothes.N		vestiario	vestiario
Clothing:clothes.N		vestiti	vestiti
Clothing:collar.N		bàvero	bavero
Clothing:collar.N		colletto	kolːetːo
Clothing:dress up.V		vestirsi	vestirzi
Clothing:dye.V		tìngere	tind͡ʒere
