id	style	word	pronunciation
PLX:1PL.pro		муза’н	muzaʔn
PLX:1SG.pro		кәмма	kəmma
PLX:2PL.pro		туза’н	tuzaʔn
PLX:2SG.pro		кәзза	kəzza
PLX:3PL.pro		итҳ	itχ
PLX:3SG M.pro		әнна	ənna
PLX:and.cnj		и	i
PLX:behind.adp		салк	salk
PLX:beside.adp		олла	olla
PLX:can.v		хиӄ эӆэс	xiq eɬes
PLX:everywhere.pro		вэздэ’	βezdeʔ
PLX:from here.adv		тх’ал	txʔal
PLX:get sick.V		әӈӄсхкас	əŋqsxkas
PLX:how many.pro		ла’лӄ	laʔlq
PLX:how.pro		ласт	last
PLX:in front of.adp		кӆфәњчк	kɬɸəɲt͡ʃk
PLX:under.adp		тну˘мк	tnŭmk
PLX:under.adp		тну˘мкэ	tnŭmke
PLX:what.pro		а˘ӈӄа	ăŋqa
PLX:where.pro		ма’	maʔ
PLX:where_to.pro		манкэ	manke
PLX:who.pro		к’нәнтх	kʔnəntx
PLX:who.pro		к’э	kʔe
PLX:why.pro		а˘ӈӄанкит	ăŋqankit
PWN:abdomen.n.01		ӄэӆтӄ	qeɬtq
PWN:above.r.02		ханк	xank
PWN:act.v.02		ч’элэкас	t͡ʃʔelekas
PWN:address.n.03		крвэӆхатас	krβeɬxatas
PWN:again.r.01		тэнаӄ	tenaq
PWN:ahead.r.03		кӆфәњчкэ	kɬɸəɲt͡ʃke
PWN:air.n.01		фчифч	ɸt͡ʃiɸt͡ʃ
PWN:alive.a.01		ксуњӆиӆ	ksuɲɬiɬ
PWN:allege.v.01		ҳэнэкас	χenekas
PWN:already.r.01		ӄа’т	qaʔt
PWN:always.r.01		ӄунэӈэ’н	quneŋeʔn
PWN:anger.v.02		ҳаӄањӆкас	χaqaɲɬkas
PWN:animal.n.01		кӆалэ’ан	kɬaleʔan
PWN:animation.n.01		соњӆэс	soɲɬes
PWN:apparel.n.01		одэзда’н	odezdaʔn
PWN:apple.n.01		яблоко	jabloko
PWN:april.n.01		апрэӆ	apreɬ
PWN:arm.n.01		хк’ич	xkʔit͡ʃ
PWN:arrive.v.01		к’оӆкас	kʔoɬkas
PWN:arrive.v.01		к’оӆкас	kʔoɬkas
PWN:arrow.n.02		каӆх	kaɬx
PWN:ascend.v.01		эфскас	eɸskas
PWN:ash.n.01		˚пиӈпиӈ	ʷpiŋpiŋ
PWN:ask.v.02		әнстэс	ənstes
PWN:august.n.01		август	aβɡust
PWN:aunt.n.01		ӆисх	ɬisx
PWN:awaken.v.01		әнсхӆэс	ənsxɬes
PWN:back.n.01		к’авач	kʔaβat͡ʃ
PWN:back.r.01		салкэ	salke
PWN:back.r.02		салкэ	salke
PWN:bad.a.01		эчк’элаҳ	et͡ʃkʔelaχ
PWN:bare.s.01		ӄа’м эч’экин	qaʔm et͡ʃʔekin
PWN:bark.n.01		илал	ilal
PWN:be_born.v.01		ахскас	axskas
PWN:bear.n.01		массу	massu
PWN:bear.n.01		мэт’ск’ай	metʔskʔaj
PWN:beard.n.01		лу’вәл	luʔβəl
PWN:beautiful.a.01		ч’инәӈлаҳ	t͡ʃʔinəŋlaχ
PWN:bed.n.01		ањтс	aɲts
PWN:believe.v.01		ӆмаӆу эӆэс	ɬmaɬu eɬes
PWN:beloved.s.01		хихнэӈлаҳ	xixneŋlaχ
PWN:belt.n.02		сыт	sit
PWN:bend.v.01		наӆэс	naɬes
PWN:berry.n.01		мэӆкэв	meɬkeβ
PWN:between.r.02		ма˘ннэнк	mănnenk
PWN:birch.n.02		ич’	it͡ʃʔ
PWN:birch.n.02		кылх	kilx
PWN:bite.v.01		пәлкас	pəlkas
PWN:bitter.s.06		әмч’лаҳ	əmt͡ʃʔlaχ
PWN:black.a.01		ктвэлаҳ	ktβelaχ
PWN:blanket.n.01		саҳсаҳ	saχsaχ
PWN:blanket.n.01		энсчэнэӈ	enst͡ʃeneŋ
PWN:blast.v.07		ӆоткас	ɬotkas
PWN:blind.a.01		ӄа’м ӆчкукинкин	qaʔm ɬt͡ʃkukinkin
PWN:blood.n.01		мӆим	mɬim
PWN:blow.v.01		тлус	tlus
PWN:blow.v.02		спәлкас	spəlkas
PWN:blue.s.01		фӆлаҳ	ɸɬlaχ
PWN:blunt.s.02		˚исхэмтлаҳ	ʷisxemtlaχ
PWN:board.n.02		доска’	doskaʔ
PWN:boat.n.01		тхтум	txtum
PWN:body.n.01		кылвыӆҳ	kilβiɬχ
PWN:boil.v.01		ӄэйвэкас	qejβekas
PWN:boil.v.03		кокас	kokas
PWN:boil.v.03		кокэкас	kokekas
PWN:bone.n.01		ктҳа˘м	ktχăm
PWN:book.n.01		книга	kniɡa
PWN:botch.v.01		әнтфкас	əntɸkas
PWN:boundary_line.n.01		граница	ɡranit͡sa
PWN:bow.n.04		ч’ит	t͡ʃʔit
PWN:box.n.01		ящик	jaɕːik
PWN:brain.n.01		а’йув’ай	aʔjuβʔaj
PWN:branch.n.02		ч’әнӄ	t͡ʃʔənq
PWN:branchlet.n.01		сӈак	sŋak
PWN:brawl.v.01		лот’ӆхэкас	lotʔɬxekas
PWN:bread.n.01		хљэп	xʎep
PWN:break.v.05		әнк’олэс	ənkʔoles
PWN:breath.n.02		фчифч	ɸt͡ʃiɸt͡ʃ
PWN:breathe.v.01		фчэткас	ɸt͡ʃetkas
PWN:bright.a.01		атхлаҳ	atxlaχ
PWN:brook.n.01		киввэчҳ	kiββet͡ʃχ
PWN:broom.n.01		малэнәӈ	malenəŋ
PWN:brother.n.01		сыллатумх	sillatumx
PWN:brother.n.01		ӄыткинэӈ	qitkineŋ
PWN:brow.n.01		кчэч	kt͡ʃet͡ʃ
PWN:bucket.n.01		э’йоӆхэн	eʔjoɬxen
PWN:burn.v.03		локас	lokas
PWN:butter.n.01		масла’	maslaʔ
PWN:butterfly.n.01		вэвэчҳ	βeβet͡ʃχ
PWN:button.n.01		пуговица	puɡoβit͡sa
PWN:buy.v.01		эњӆкас	eɲɬkas
PWN:calculate.v.01		ӆнэс	ɬnes
PWN:calendar_month.n.01		мэсиц	mesit͡s
PWN:call.v.05		оч’эс	ot͡ʃʔes
PWN:campfire.n.01		уйирит	ujirit
PWN:cap.n.01		пэҳэл	peχel
PWN:cat.n.01		кошка	koʃka
PWN:catch.v.04		әнккас	ənkkas
PWN:center.n.01		ка˘ннэн	kănnen
PWN:chair.n.01		стул	stul
PWN:chair.n.01		ӆаном	ɬanom
PWN:change.v.03		мэња’ӆкас	meɲaʔɬkas
PWN:character.n.08		буква’	bukβaʔ
PWN:cheap.a.01		дешовой	dʲeʃoβoj
PWN:cheek.n.01		п’әлҳа˘ӈ	pʔəlχăŋ
PWN:chicken.n.02		курица	kurit͡sa
PWN:child.n.01		њэњэкэчҳ	ɲeɲeket͡ʃχ
PWN:chin.n.01		к’имкч	kʔimkt͡ʃ
PWN:chop.v.01		әмпҳэс	əmpχes
PWN:citizenry.n.01		ч’амзанлал	t͡ʃʔamzanlal
PWN:claw.n.01		к’уфк’уф	kʔuɸkʔuɸ
PWN:clean.a.01		чистой	t͡ʃistoj
PWN:cloud.n.02		йайаӈ	jajaŋ
PWN:cloud.n.02		ӈыззал	ŋizzal
PWN:cock.n.04		пэтух	petux
PWN:cold.a.01		лӄлаҳ	lqlaχ
PWN:collar.n.01		воротник	βorotnik
PWN:colorful.a.01		кэлы	keli
PWN:comb.n.01		тхәмтх	txəmtx
PWN:commend.v.01		аӈйас	aŋjas
PWN:companion.n.01		ипӆҳ	ipɬχ
PWN:company.n.03		общество	obɕːʲestβo
PWN:conserve.v.02		ӈэтэс	ŋetes
PWN:construct.v.01		скәс	skəs
PWN:conversation.n.01		крвэӆхатас	krβeɬxatas
