id	style	word	transcription	etymology
Agriculture:mow.V		maç-		
Agriculture:shovel.N		pá		por:pá
Animal:Acridomorpha.N		cũ´c		
Animal:Acridomorpha.N		tə́t		
Animal:Anatidae.N		pátu		por:pato
Animal:Annelida.N		m’ɨ́ʔ		
Animal:Anthophila.N		næŋʔã´w		
Animal:Anura.N		j’ǎy		
Animal:Anura.N		yə́h		
Animal:Araneae.N		bɔyɔ́ʔ		
Animal:Aves.N		hũtæ̃´h		
Animal:Blattodea.N		dadáp		
Animal:Bos taurus.N		tǎhd’ǝh		
Animal:Canis lupus familiaris.N		yaʔamhóʔ		
Animal:Cervidae.N		mɔ̃hɔ̌y		
Animal:Culicidae.N		g’í (1)		
Animal:Diptera.N		bə́g		
Animal:Diptera.N		wowǒw		
Animal:Equus ferus caballus.N		kawádu		por:cavalho
Animal:Felis catus.N		picána		tuo:pisana
Animal:Formicidae.N		bobób		
Animal:Formicidae.N		hǔd		
Animal:Formicidae.N		yǔy (1)		
Animal:Gallus gallus domesticus.N		cadakǎʔ		tuo:kãrekẽ’
Animal:Homo sapiens.N		húp		
Animal:Lacertidae.N		ʔɔ́w		
Animal:Lampyridae.N		huhǔy		
Animal:Lampyridae.N		kedó		tuo:keró
Animal:Rhopalocera.N		b’eb’ěp		
Animal:Sciuridae.N		wɔ̌m		
Animal:Serpentes.N		m’æ̌h		
Animal:Serpentes.N		tɨ̃hɨ̃´y		
Animal:Simiiformes.N		tǔg		
Animal:Simiiformes.N		yawǎç		
Animal:Sus scrofa domestica.N		tɔ̃´h		
Animal:Testudines.N		mǐh		
Animal:Vespinae.N		yɔ̌ʔ		
Animal:animal.N		hũ´		
Animal:female.A		tãʔáy		
Animal:fish.N		hɔ̃ˇp		
Animal:male.A		tiyǐʔ		
Atmosphere:cloud.N		j’ɨk kudú		
Atmosphere:fan (action).V		heb’-		
Atmosphere:fan (object).N		hěb’		
Atmosphere:fog.N		j’ɨ̌k		
Atmosphere:rain.N		děh		
Atmosphere:rainbow.N		cɔ́		
Atmosphere:sky.N		pǎç (3)		
Atmosphere:storm.N		bohǒt pɨ́b		
Atmosphere:thunder.N		pæ̃y		
Atmosphere:wind.N		bohót		
Belief:Catholic priest.N		p’ǎy		por:pai (?)
Belief:bless.V		biʔid-		
Belief:curse.V		doh-		tuo:dohá
Belief:deity.N		g’æ̌gtæ̃h		
Belief:demon.N		baʔtɨ̌b’		
Belief:ghost.N		baʔtɨ̌b’		
Belief:heaven.N		póh		
Belief:hell.N		teghɔ̃´		
Belief:holy.A		yumb’oywóbop		
Belief:magician.N		cə́w		
Belief:omen.N		nin’-		
Belief:sermon.V		ʔɨd-		
Belief:soul.N		hã´wɨg		
Belief:temple.N		yumb’ǒy mɔy		
Belief:worship.V		yumb’oy-		yrl:bu’e
Body:ankle.N		j’ib kãkã´w		
Body:ankle.N		kabǎç		
Body:arm.N		mumǔy		
Body:armpit.N		hahád		
Body:back.N		cĩcĩʔ		
Body:back.N		hupáh		
Body:bald.A		nuh hohód		
Body:beak.N		nɔg’ǒd		
Body:beard.N		nɔcúg		
Body:belly.N		tǒk		
Body:blink.V		ʔɔ̃hwiŋ-		
Body:blister.N		páb’		
Body:blood vessel.N		j’ɨ̃j’ɨ̃´p		
Body:blood.N		biyǐw		
Body:body hair.N		pã´t		
Body:body.N		cáp		
Body:bone.N		g’æ̌g		
Body:brain.N		cɔ̃wɔ̃ˇh		
Body:breast.N		pǔd		
Body:breath.V		haŋcak-		
Body:breath.V		haŋcɔw-		
Body:bruise.N		mamáŋ		
Body:buttock.N		cə̌k		
Body:calf of leg.N		cɨ̌ʔ		
Body:cheek.N		dɔwɔh búg’		
Body:chest.N		hɔ̃tə́g		
Body:chin.N		j’ǝj’ə́g		
Body:collarbone.N		wǐh g’æg		
Body:corpse.N		g’ɔg		
Body:dribble.V		hut-		
Body:ear.N		bɔtɔ́k		
Body:earwax.N		cæ̃cæ̃ˇy’		
Body:elbow.N		buyj’óg		
Body:eye.N		kǝwə̌g		
Body:eyebrow.N		kǝwǝg b’ɔk cũˇh		
Body:eyebrow.N		kǝwǝgpə̌w		
Body:eyelash.N		kǝwǝg pã´t		
Body:eyelid.N		kǝwǝg b’ɔ́k		
Body:face.N		dɔwɔ̌h		
Body:face.N		mig’ǒd		
Body:fart.V		tɔç-		
Body:fat.N		náŋ		
Body:feather.N		hũtæ̃´h pã´t		
Body:feces.V		y’æʔ-		
Body:finger.N		cǒb		
Body:fingernail.N		cob b’ɔ́k		
Body:flesh.N		d’áp		
Body:foot.N		j’ǐb		
Body:footprint.N		j’ǐb-cud		
Body:forehead.N		kág’		
Body:fur.N		hũ pã´t		
Body:gum.N		tǝg pə́w		
Body:hand.N		d’apũ´h		
Body:head hair.N		pã´t		
Body:head.N		núh		
Body:heart.N		hã´wɨg		
Body:heel.N		j’ib cə̌k		
Body:hiccup.V		cǝbǝk-		
Body:hip.N		pãpáŋ		
Body:horn.N		cǎn’		
Body:intestines.N		tok tɨ́t		
Body:jaw.N		tǝg cáʔ		
Body:kidney.N		kadawá		
Body:knee.N		wɔ̃ʔdǽ		
Body:lip.N		nɔj’ǐj		
Body:liver.N		hɔ́		
Body:lung.N		hɔ wowǒw’		
