id	style	word	pronunciation
PLX:1PL.pro		uagut	uaɣut
PLX:1SG.pro		uanga	uaŋa
PLX:2PL.pro		ilissi	ilisːi
PLX:2SG.pro		illit	iɬːit
PLX:3PL.pro		uku	uku
PLX:3SG M.pro		una	una
PLX:and.cnj		aamma	aːmːa
PLX:everywhere.pro		tamaginni	tamaɣinːi
PLX:everywhere.pro		tamani tamaani	tamani tamaːni
PLX:how many.pro		qanoq atsigisumik?	qanɔq at͡siɣisumikʔ
PLX:how many.pro		qassit	qasːit
PLX:how.pro		qanoq	qanɔq
PLX:or.cnj		imalluunnit	imaɬːuːnːit
PLX:that.pro		ua	ua
PLX:this.pro		manna	manːa
PLX:this.pro		matuma	matuma
PLX:what.pro		aat?	aːtʔ
PLX:where.pro		sumi	sumi
PLX:where_to.pro		sumut	sumut
PLX:who.pro		kikkut	kikːut
PLX:why.pro		sooq	sɔːq
PWN:abdomen.n.01		naaq	naːq
PWN:act.v.02		iliorpoq	iliɔʁpɔq
PWN:address.n.03		oqaluuseq	ɔqaluːsɛq
PWN:affect.v.05		qeerlerpaa	qɛːʁlɛʁpaː
PWN:again.r.01		kingumut	kiŋumut
PWN:age.n.01		utoqqaq	utɔqːaq
PWN:ahead.r.03		pilangavoc	pilaŋavɔc
PWN:aid.n.02		annertoqqut	anːɛʁtɔqːut
PWN:air.n.01		silaannaq	silaːnːaq
PWN:alive.a.01		uumavoq	uːmavɔq
PWN:allege.v.01		oqarpoq	ɔqaʁpɔq
PWN:alone.r.02		kisimiippoq	kisimiːpːɔq
PWN:already.r.01		taava-una	taːva-una
PWN:always.r.01		tamatigut	tamat͡siɣut
PWN:anger.v.01		ninngassaarpaa	niŋːasːaːʁpaː
PWN:anger.v.01		ninngassarpaa	niŋːasːaʁpaː
PWN:anger.v.02		ugguutigaa	uçːuːt͡siɣaː
PWN:animal.n.01		uumasoq	uːmasɔq
PWN:animation.n.01		inuussuseq	inuːsːusɛq
PWN:ant.n.01		uniaaluk	uniaːluk
PWN:apparel.n.01		annoraaq	anːɔʁaːq
PWN:apparel.n.01		atisat	at͡sisat
PWN:apple.n.01		iipili	iːpili
PWN:apt.s.03		ittanneq	itːanːɛq
PWN:apt.s.03		kutaappoq	kutaːpːɔq
PWN:apt.s.03		kuttaappoq	kutːaːpːɔq
PWN:apt.s.03		mallak	maɬːak
PWN:apt.s.03		qarasagippoq	qaʁasaɣipːɔq
PWN:area.n.01		nuna	nuna
PWN:arm.n.01		taleq	talɛq
PWN:arrive.v.01		pivaa	pivaː
PWN:arrive.v.01		qaa-	qaː-
PWN:arrive.v.01		tikippoq	t͡sikipːɔq
PWN:arrow.n.02		qalugiusaq	qaluɣiusaq
