id	style	word	pronunciation
Action:can.V		ಮಾಡಬಲ್ಲ	maːɖəbəlːa
Agriculture:herd (something).V		ಗುಂಪುಸೇರಿಸು	ɡʊŋpʊseːrɪsu
Agriculture:irrigate.V		ನೀರುಹಾಕು	n̪iːrʊhaːku
Agriculture:pick.V		ಬಿಡಿಸು	bɪɖɪsu
Agriculture:shovel.N		ಸನಿಕೆ	sən̪ɪke
Animal:Anatidae.N		ಬಾತು	baːt̪u
Animal:Annelida.N		ಹುಳು	hʊɭu
Animal:Araneae.N		ಊರ್ಣನಾಭ	wuːrɳən̪aːbʰa
Animal:Aves.N		ಪಕ್ಷಿ	pəkʂi
Animal:Canis lupus familiaris.N		ನಾಯಿ	n̪aːji
Animal:Canis lupus.N		ತೋಳ	t̪oːɭa
Animal:Corvus.N		ಕಾಗೆ	kaːɡe
Animal:Culicidae.N		ಸೊಳ್ಳೆ	sɔɭːe
Animal:Diptera.N		ನೊಣ	n̪ɔɳa
Animal:Equus ferus caballus.N		ಕುದುರೆ	kʊd̪ʊre
Animal:Felis catus.N		ಬೆಕ್ಕು	bɛkːu
Animal:Formicidae.N		ಇರುವೆ	jɪrʊʋe
Animal:Gallus gallus domesticus.N		ಚಿಕ್	t͡ʃɪk
Animal:Homo sapiens.N		ಪುರುಷ	pʊrʊʂa
Animal:Ovis aries.N		ಕುರಿ	kʊri
Animal:Rhopalocera.N		ಪತಂಗ	pət̪əŋɡa
Animal:Sciuridae.N		ಉಡುತೆ	wʊɖʊt̪e
Animal:Serpentes.N		ಹಾವು	haːʋu
Animal:Sus scrofa domestica.N		ಹಂದಿ	həŋd̪i
Animal:Ursidae.N		ಕರಡಿ	kərəɖi
Animal:Vulpes.N		ನರಿ	n̪əri
Animal:animal.N		ಪ್ರಾಣಿ	praːɳi
Animal:fish.N		ಮೀನು	miːn̪u
Animal:mouse.N		ಇಲಿ	jɪli
Animal:wool.N		ಉಣ್ಣೆ	wʊɳːe
Atmosphere:cloud.N		ಮೋಡ	moːɖa
Atmosphere:cold.A		ತಂಪಾದ	t̪əŋpaːd̪a
Atmosphere:fog.N		ಮಂಜು	məŋd͡ʒu
Atmosphere:rain.N		ಮಳೆ	məɭe
Atmosphere:rain.V		ಸುರಿ	sʊri
Atmosphere:rainbow.N		ಇಂದ್ರಚಾಪ	jɪŋd̪rət͡ʃaːpa
Atmosphere:sky.N		ಬಾನು	baːn̪u
Atmosphere:thunder.N		ಗುಡುಗು	ɡʊɖʊɡu
Atmosphere:thunder.V		ಗುಡುಗಾಗು	ɡʊɖʊɡaːɡu
Atmosphere:weather.N		ಹವ	həʋa
Atmosphere:wind.N		ಗಾಳಿ	ɡaːɭi
Belief:deity.N		ದೇವರು	d̪eːʋəru
Belief:idol.N		ಆಕಾರ	aːkaːra
Belief:spirit.N		ಆತ್ಮ	aːt̪ma
Body:arm.N		ತೋಳು	t̪oːɭu
Body:back.N		ಬೆನ್ನು	bɛn̪ːu
Body:beard.N		ಗಡ್ಡ	ɡəɖːa
