id	style	word	transcription	etymology
Agriculture:cultivate.V		boƛo-		
Agriculture:farmer.N		permer		rus:fermer
Agriculture:harvest or harvest season.N		müq’ö-box		
Agriculture:mow.V		-aɣoɣ-		
Agriculture:pitchfork.N		sino		
Agriculture:plough.V		boƛo-		
Agriculture:rake.N		ƛaxmadi		
Agriculture:shovel.N		it’ino äkö		
Agriculture:sickle or scythe.N		xaračin		ava:xaricel
Agriculture:sickle or scythe.N		yöxič’		
Agriculture:sow seeds.V		-ĩze-		
Agriculture:thresh.V		yal yol-		
Agriculture:threshing-floor.N		ãc (2)		
Animal:Acridomorpha.N		xac’o		
Animal:Anatidae.N		ixu		kat:ixvi
Animal:Annelida.N		bet’ela		
Animal:Anthophila.N		nucodaq t’ot’		
Animal:Anura.N		ƛaplaɣe		
Animal:Araneae.N		kalaɣas q’ī		
Animal:Aves.N		mihna		
Animal:Blattodea.N		tarakan		rus:tarakán
Animal:Bos taurus.N		häymän		arb:ħayawān
Animal:Canis lupus familiaris.N		wo		
Animal:Canis lupus.N		bac’o (1)		
Animal:Capra hircus.N		can		
Animal:Cervidae.N		biɬo		
Animal:Cetacea.N		kit		rus:kit
Animal:Corvus.N		ɣade		
Animal:Culicidae.N		kälä		
Animal:Diptera.N		t’ot’		
Animal:Elephantidae.N		pil		pes:fil
Animal:Equus asinus × caballus.N		xoyc’on		
Animal:Equus asinus.N		ʔãʔũ		
Animal:Equus ferus caballus.N		šügö		
Animal:Felis catus.N		gedo		
Animal:Felis leo.N		ɣalbac’		ava:ɣalbac’
Animal:Formicidae.N		hũca		
Animal:Homo sapiens.N		insan		ava:insan
Animal:Homo sapiens.N		suk’o		
Animal:Homo sapiens.N		ädäm		arb:’ādam
Animal:Insecta.N		hüt’-qumur		ava:ħut’-qumur
Animal:Lacertidae.N		k’emusa		
Animal:Lampyridae.N		c’ac’aka		
Animal:Leporidae.N		korolik		rus:krolik
Animal:Ovis aries.N		biƛ’		
Animal:Rhopalocera.N		päpät’ö		
Animal:Sciuridae.N		ciq’i		
Animal:Serpentes.N		bekela		
Animal:Simiiformes.N		maymalak		ava:maymalak
Animal:Sus scrofa domestica.N		buƛo		
Animal:Testudines.N		ƛ’alis ƛaplaɣe		
Animal:Ursidae.N		sĩ (2)		
Animal:Vespinae.N		ƛordena		
Animal:Vulpes.N		sora		
Animal:animal.N		häymän		arb:ħayawān
Animal:female.A		c’uyab		ava:c’uya-
Animal:female.A		iyoddās		
Animal:fish.N		bisa		
Animal:male.A		aboddās		
Animal:male.A		bikinab		ava:bix´ina-
Animal:wool.N		šal		pes:šāl
Animal:wool.N		ɬūᵑs ɣeč’i		
Atmosphere:cloud.N		has		
Atmosphere:fan (action).V		zaƛo yow-		
Atmosphere:fan (object).N		haboy		
Atmosphere:fog.N		has-mus		
Atmosphere:rain.N		wodo		
Atmosphere:rainbow.N		mašola		
Atmosphere:sky.N		has		
Atmosphere:storm.N		yuk’o zaƛo		
Atmosphere:thunder.N		hasa qäƛeyoɬi		
Atmosphere:weather.N		hawa-baq		ava:hawa-baq
Atmosphere:weather.N		wodo-boq		
Atmosphere:wind.N		zaƛo		
Belief:Catholic priest.N		kašiš		ava:kašiš
Belief:Catholic priest.N		ɣudelo		kat:mɣvdeli
Belief:bless.V		q’abul -aq-		
Belief:bless.V		yäže niƛ-		
Belief:curse.V		näʔänä bow		
Belief:deity.N		Allah		ava:allah
Belief:deity.N		Bet’erhan		ava:bet’erhan
Belief:demon.N		ilbis		ava:ilbis
Belief:demon.N		šayt’an		arb:šayṭān
Belief:heaven.N		alžan		ava:alžan
Belief:hell.N		žuržah		ava:žužaħ
Belief:holy.A		ilahiyab		ava:ilahiya-
Belief:holy.A		wali		arb:walī
Belief:magic.N		makruɬi		ava:makruɬi
Belief:magic.N		sihruɬi		ava:siħruɬi
Belief:magician.N		qartay		ava:qartay
Belief:mosque.N		mažgit		arb:masjid
Belief:omen.N		älämät		arb:ʕalāmat
Belief:pray.V		döʔä bow-		
Belief:pray.V		kak yow-		
Belief:religion.N		din		arb:dīn
Belief:sermon.V		waʔza bow-		
Belief:soul.N		rüh		arb:rūħ
Belief:temple.N		saq’dari		kat:saq’dari
Belief:worship.V		sužda bow-		
Body:ankle.N		q’ätälö		
Body:arm.N		bico		
Body:armpit.N		nuqulco mäče		
