id	style	word	pronunciation
PLX:1PL.pro		муӈ	muŋ
PLX:1SG.pro		ма	ma
PLX:2PL.pro		нын	nɪn
PLX:2SG.pro		наӈ	naŋ
PLX:3PL.pro		ӆув	ɬuw
PLX:3SG M.pro		ӆув	ɬuw
PLX:and.cnj		па	pa
PLX:because of.adp		ураӈан	uraŋan
PLX:behind.adp		юпийн	jupijn
PLX:beside.adp		лепна	ʎepna
PLX:can.v		верытты	wʲerɪttɪ
PLX:die (from accident).V		сорма питты	sorma pittɪ
PLX:everywhere.pro		иса	isa
PLX:from here.adv		таӆта	taɬta
PLX:get sick.V		кашана йиты	kaʃana jitɪ
PLX:how many.pro		камн	kamn
PLX:how.pro		хоты	χotɪ
PLX:in front of.adp		еӆпийн	jeɬpijn
PLX:that.pro		туми	tumi
PLX:that.pro		щит	ɕt͡ɕit
PLX:under.adp		иӆпийн	iɬpijn
PLX:what.pro		муй	muj
PLX:where.pro		хота	χota
PLX:where_to.pro		хоӆта	χoɬta
PLX:who.pro		хой	χoj
PLX:why.pro		муя	muja
PWN:abandon.v.02		хайты	χajtɪ
PWN:abdomen.n.01		хон	χon
PWN:above.r.02		нуман	numan
PWN:add.v.01		нётты	ɲottɪ
PWN:address.n.03		потар	potar
PWN:again.r.01		па си	pa si
PWN:age.n.01		арт	art
PWN:ahead.r.03		еӆӆы	jeɬɬɪ
PWN:aid.n.02		нётапса	ɲotapsa
PWN:air.n.01		ӆыӆ шув	ɬɪɬ ʃuw
PWN:alive.a.01		ӆыӆаӈ	ɬɪɬaŋ
PWN:allege.v.01		ястаты	jastatɪ
PWN:alone.r.02		утся	utsʲa
PWN:alone.r.02		уча	ut͡ɕa
PWN:already.r.01		си	si
PWN:always.r.01		кашӈ порана	kaʃŋ porana
PWN:always.r.01		кашӈ пуш	kaʃŋ puʃ
PWN:anger.v.01		ликатты	lˈikattɪ
PWN:anger.v.02		ликасьты	lˈikasʲtɪ
PWN:animal.n.01		вой	woj
PWN:animation.n.01		уӆапса	uɬapsa
PWN:ant.n.01		хашӈа	χaʃŋa
PWN:apparel.n.01		сох	soχ
PWN:apparel.n.01		ӆуматты сох	ɬumattɪ soχ
PWN:apple.n.01		яблоко	jablˈoko
PWN:april.n.01		ун кер тыӆась	un ker tɪɬasʲ
PWN:apt.s.03		ошаӈ	oʃaŋ
PWN:area.n.01		мув пелак	muw pelˈak
PWN:area.n.01		таха	taχa
PWN:arm.n.01		ёш	joʃ
PWN:arrive.v.01		ёхатты	joχattɪ
PWN:arrive.v.01		ёхатты	joχattɪ
PWN:arrow.n.02		нёӆ	ɲoɬ
PWN:ascend.v.01		нох хуӈхиӆиты	noχ χuŋχiɬitɪ
PWN:ash.n.01		тут рав	tut raw
PWN:ask.v.02		вохты	woχtɪ
PWN:ask.v.02		пойкты	pojktɪ
PWN:ask.v.05		исьматы	isʲmatɪ
PWN:august.n.01		унт ӆор тыӆась	unt ɬor tɪɬasʲ
PWN:aunt.n.01		ими	imi
PWN:awaken.v.01		нох киӆтаты	noχ kiɬtatɪ
PWN:back.n.01		шанш	ʃanʃ
PWN:back.r.01		ёхӆы	joχɬɪ
PWN:back.r.02		ёхи	joχi
PWN:back.r.02		ёхӆы	joχɬɪ
PWN:bad.a.01		атам	atam
PWN:bag.n.01		хир	χir
PWN:bake.v.02		паӆты	paɬtɪ
PWN:bare.s.01		няр	ɲar
PWN:bark.n.01		кар	kar
PWN:bark.v.04		хортты	χorttɪ
PWN:bathe.v.01		певаӆты	pewaɬtɪ
PWN:battle.n.01		ляльсты вер	ʎaʎstɪ wʲer
PWN:bay.n.01		ӆух	ɬuχ
PWN:be_born.v.01		сэма питты	səma pittɪ
PWN:bear.n.01		мойпар	mojpar
PWN:beard.n.01		туш	tuʃ
PWN:beautiful.a.01		аня	aɲa
PWN:beautiful.a.01		хорам	χoram
PWN:beautiful.a.01		хорасаӈ	χorasaŋ
PWN:become.v.01		йиты	jitɪ
PWN:become.v.01		питты	pittɪ
PWN:bed.n.01		оӆты таха	oɬtɪ taχa
PWN:begin.v.03		питты	pittɪ
PWN:believe.v.01		эваӆты	əwaɬtɪ
PWN:beloved.s.01		тюпаӈ	tʲupaŋ
PWN:belt.n.02		антап	antap
PWN:bend.v.01		керӆаты	kerɬatɪ
PWN:benefit.n.02		ань	aɲ
PWN:benefit.n.02		онтас	ontas
PWN:berry.n.01		рых	rɪχ
PWN:between.r.02		кутна	kutna
PWN:birch.n.02		сумат	sumat
PWN:bird.n.01		сиськи	sisʲki
PWN:bird.n.01		тохӆаӈ вой	toχɬaŋ woj
PWN:bite.v.01		порты	portɪ
PWN:bitter.s.06		восьрэмаӈ	wosʲrəmaŋ
PWN:black.a.01		питы	pitɪ
PWN:blanket.n.01		лаӈкап	lˈaŋkap
PWN:blast.v.07		эсаӆты	əsaɬtɪ
PWN:blind.a.01		сэмӆы	səmɬɪ
PWN:blood.n.01		вур	wur
PWN:blow.v.01		поӆты	poɬtɪ
PWN:blow.v.02		пувиты	puwitɪ
PWN:blue.s.01		рых восты	rɪχ wostɪ
PWN:board.n.02		сохаӆ	soχaɬ
PWN:boast.v.01		ишкасьты	iʃkasʲtɪ
PWN:boat.n.01		хоп	χop
PWN:body.n.01		эӆ	əɬ
PWN:boil.v.01		каварты	kawartɪ
PWN:boil.v.03		кавартты	kawarttɪ
PWN:bone.n.01		ӆов	ɬow
PWN:book.n.01		книга	kniɣa
PWN:book.n.01		ӆуӈатти нэпек	ɬuŋatti nəpek
PWN:boot.n.01		сопек	sopek
PWN:botch.v.01		шакатты	ʃakattɪ
PWN:boundary_line.n.01		граница	ɣranit͡sa
PWN:bow.n.04		юхаӆ	juχaɬ
PWN:box.n.01		ӆарась	ɬarasʲ
PWN:brain.n.01		веӆам	wʲeɬam
PWN:branch.n.02		нув	nuw
PWN:branchlet.n.01		ӆэпас	ɬəpas
PWN:brawl.v.01		кутарматы	kutarmatɪ
PWN:brawl.v.01		нэрасты	nərastɪ
PWN:bread.n.01		нянь	ɲaɲ
PWN:break.v.05		шукатты	ʃukattɪ
PWN:breast.n.02		эсам	əsam
PWN:breath.n.02		ӆыӆ	ɬɪɬ
PWN:breathe.v.01		ӆаӆты	ɬaɬtɪ
PWN:bridge.n.01		йиӈк норам	jiŋk noram
PWN:bright.a.01		нови	nowi
PWN:bring.v.01		туты	tutɪ
PWN:brook.n.01		сойм	sojm
PWN:broom.n.01		ёвӆапса	jowɬapsa
PWN:brother.n.01		апси	apsi
PWN:brother.n.01		яй	jaj
PWN:brow.n.01		венш лохат	wʲenʃ lˈoχat
PWN:bucket.n.01		ветра	wʲetra
PWN:bull.n.01		хор мис	χor mis
PWN:bundle.n.02		сых	sɪχ
PWN:burn.v.03		тутна ӆэты	tutna ɬətɪ
PWN:burn.v.07		вуситты	wusittɪ
PWN:business.n.01		тынасапса	tɪnasapsa
PWN:butter.n.01		вой	woj
PWN:butterfly.n.01		ӆапата	ɬapata
PWN:button.n.01		похал	poχalˈ
PWN:buy.v.01		ӆутты	ɬuttɪ
PWN:calculate.v.01		ӆунатты	ɬunattɪ
PWN:calendar_month.n.01		тыӆась	tɪɬasʲ
PWN:call.v.05		вохты	woχtɪ
PWN:campfire.n.01		тут рат	tut rat
PWN:cap.n.01		мил	milˈ
PWN:cat.n.01		кати	kati
PWN:catch.v.04		катаӆты	kataɬtɪ
PWN:cause.n.01		нар	nar
PWN:cavil.v.01		ляватты	ʎawattɪ
PWN:center.n.01		кутап	kutap
PWN:chair.n.01		уӆас	uɬas
PWN:change.v.03		пелтасьты	pelˈtasʲtɪ
PWN:character.n.08		буква	bukwa
PWN:cheap.a.01		тынӆы	tɪnɬɪ
PWN:cheek.n.01		венш пуӈаӆ	wʲenʃ puŋaɬ
PWN:cherished.s.01		тынаӈ	tɪnaŋ
PWN:chicken.n.02		нэ сиськурэк	nə sisʲkurək
PWN:child.n.01		няврэм	ɲawrəm
PWN:chin.n.01		аӈан	aŋan
PWN:choose.v.01		пирыты	pirɪtɪ
PWN:chop.v.01		сэварты	səwartɪ
PWN:church.n.02		турам хот	turam χot
PWN:circle.n.03		еӈта лак	jeŋta lˈak
PWN:circle.n.03		лак	lˈak
PWN:citizenry.n.01		мир	mir
PWN:claw.n.01		кунш	kunʃ
PWN:clay.n.01		сохта	soχta
PWN:clean.a.01		сыстам	sɪstam
PWN:clean.v.01		сыстамтты	sɪstamttɪ
PWN:close.v.01		лап понты	lˈap pontɪ
PWN:close.v.01		лап тухарты	lˈap tuχartɪ
PWN:cloud.n.02		паӆаӈ	paɬaŋ
PWN:coal.n.01		лавам	lˈawam
PWN:cock.n.04		сиськурэк	sisʲkurək
PWN:cold.a.01		иськи	isʲki
PWN:cold.a.01		ёлах	jolˈaχ
PWN:coldness.n.03		иськи	isʲki
PWN:collar.n.01		сапаӆ лак	sapaɬ lˈak
PWN:colorful.a.01		ханшаӈ	χanʃaŋ
PWN:comb.n.01		куншап	kunʃap
PWN:comb.v.01		ох куншты	oχ kunʃtɪ
PWN:commend.v.01		ишакты	iʃaktɪ
PWN:companion.n.01		ӆухас	ɬuχas
PWN:company.n.03		мир	mir
PWN:complete.v.01		етшаптаты	jetʃaptatɪ
PWN:connect.v.01		яха йирты	jaχa jirtɪ
PWN:connect.v.01		яха ярты	jaχa jartɪ
PWN:conserve.v.02		шавиты	ʃawitɪ
PWN:construct.v.01		верты	wʲertɪ
PWN:conversation.n.01		потар	potar
PWN:converse.v.01		потарты	potartɪ
PWN:convey.v.01		айкеӆ верты	ajkeɬ wʲertɪ
PWN:cook.v.02		пут верты	put wʲertɪ
PWN:cook.v.02		ӆэтот кавартты	ɬətot kawarttɪ
PWN:corner.n.03		сюӈ	sʲuŋ
PWN:corpulent.s.01		вояӈ	wojaŋ
PWN:correctly.r.01		туӈ	tuŋ
PWN:cough.v.01		хуллиты	χulˈlˈitɪ
PWN:count.n.01		арат	arat
PWN:count.v.01		ӆуӈатты	ɬuŋattɪ
PWN:country.n.02		мув	muw
PWN:cover.v.01		лаӈкты	lˈaŋktɪ
PWN:cow.n.01		мис	mis
PWN:crane.n.05		тор	tor
PWN:crawl.v.01		ваӈкты	waŋktɪ
PWN:crisscross.n.01		перна	perna
PWN:crow.n.01		ворӈа	worŋa
PWN:cry.v.02		хоӆӆаты	χoɬɬatɪ
PWN:cuckoo.n.02		куккук	kukkuk
PWN:cup.n.01		ан	an
PWN:current.n.02		ов	ow
PWN:cut.v.01		эватты	əwattɪ
PWN:damage.n.01		атам вер	atam wʲer
PWN:damp.s.01		йиӈки	jiŋki
PWN:dance.v.02		якты	jaktɪ
PWN:dark.a.01		патлам	patlˈam
PWN:dark.a.01		питы	pitɪ
PWN:daughter.n.01		эви	əwi
PWN:day.n.01		хатӆ	χatɬ
PWN:deaf.a.01		паӆӆы	paɬɬɪ
PWN:death.n.01		сорм	sorm
PWN:deceive.v.01		ӆэпаӆты	ɬəpaɬtɪ
PWN:december.n.01		ван хатӆ тыӆась	wan χatɬ tɪɬasʲ
PWN:decorate.v.01		хоратты	χorattɪ
PWN:defend.v.03		шавиты	ʃawitɪ
PWN:deft.s.01		апраӈ	apraŋ
PWN:deity.n.01		турам	turam
PWN:desire.n.01		лаӈхапса	lˈaŋχapsa
PWN:desire.v.01		ӆаӈхаты	ɬaŋχatɪ
