id	style	word	transcription	etymology
Agriculture:cultivate.V		xk’anjelankil		
Agriculture:farmer.N		aj k’alom		
Agriculture:harvest or harvest season.N		ch'oqom		
Agriculture:harvest or harvest season.N		q'olom		
Agriculture:mow.V		setok		
Agriculture:paddy field.N		xna’aj aros		
Agriculture:pitchfork.N		orkeet		spa:horqueta
Agriculture:pitchfork.N		rastriyo		spa:rastrillo
Agriculture:rake.N		rastriyo		spa:rastrillo
Agriculture:shovel.N		paal		spa:pala
Agriculture:sickle or scythe.N		k'onk'ookil ch'iich'		
Agriculture:sow seeds.V		awok		
Agriculture:sow seeds.V		hirok		
Agriculture:thresh.V		ch'epok		
Agriculture:thresh.V		iximak		
Agriculture:thresh.V		pech'ok		:pech’
Animal:Acridomorpha.N		saak’		
Animal:Anatidae.N		patux		spa:patos
Animal:Annelida.N		b’itzkiri’		
Animal:Annelida.N		chajal		
Animal:Annelida.N		chupil		
Animal:Annelida.N		hay		
Animal:Annelida.N		koton is		
Animal:Annelida.N		kuluk		:*kuluk
Animal:Annelida.N		k’ixix		
Animal:Annelida.N		k’utub’		
Animal:Annelida.N		motzo’		:motzo’
Animal:Annelida.N		pirik’		
Animal:Annelida.N		tin		
Animal:Annelida.N		tzonok’		
Animal:Anthophila.N		seer		spa:cera
Animal:Anura.N		amoch		
Animal:Anura.N		pelpel		
Animal:Araneae.N		aj am ~ x’am		
Animal:Aves.N		tz’ik		
Animal:Blattodea.N		paachach		caa:pachajk
Animal:Bos taurus.N		wakax		spa:vacas
Animal:Canis lupus familiaris.N		tz’i’		
Animal:Canis lupus.N		aj xoj		
Animal:Canis lupus.N		lob’o		spa:lobo
Animal:Capra hircus.N		yuk		:*yuuk
Animal:Cervidae.N		kej		
Animal:Cetacea.N		b’ayeen		spa:ballena
Animal:Corvus.N		qoch		
Animal:Culicidae.N		ch’een		
Animal:Culicidae.N		kok’ utz’		
Animal:Culicidae.N		suq		
Animal:Diptera.N		b’ujl		
Animal:Diptera.N		utz’		
Animal:Elephantidae.N		elefaant		spa:elefante
Animal:Equus asinus × caballus.N		muul		spa:mula
Animal:Equus asinus.N		b’uro, b’uur		spa:burro
Animal:Equus ferus caballus.N		kawaay		spa:caballo
Animal:Felis catus.N		mes, mis		
Animal:Felis leo.N		kaq koj		
Animal:Formicidae.N		sank		
Animal:Gallus gallus domesticus.N		kaxlan		spa:castellano
Animal:Homo sapiens.N		poyanam		
Animal:Insecta.N		insekto		spa:insecto
Animal:Lacertidae.N		tolokok		:*tohloki
Animal:Lampyridae.N		mams		
Animal:Leporidae.N		imul		
Animal:Ovis aries.N		karneer		spa:carnero
Animal:Rhopalocera.N		peepem		
Animal:Sciuridae.N		kuk		
Animal:Serpentes.N		k’anti’		
Animal:Simiiformes.N		b’atz’		
Animal:Sus scrofa domestica.N		kuy		
Animal:Testudines.N		kok		
Animal:Ursidae.N		oos		spa:oso
Animal:Vespinae.N		ch’ub’		
Animal:Vulpes.N		yak		
Animal:animal.N		xul		
Animal:female.A		ixq		
Animal:fish.N		kar		
Animal:male.A		k’ol		
Animal:wool.N		laan		spa:lana
Art:sculptor.N		aj pech’onel		
Art:statue.N		jalam ’uuch		
Atmosphere:cloud.N		choq		
Atmosphere:fan (action).V		waalesink		
Atmosphere:fan (object).N		apusinel na’ajej		
Atmosphere:fan (object).N		waal		:*wahl
Atmosphere:fog.N		sujew		
Atmosphere:fog.N		tuntunkil choq		
Atmosphere:rain.N		hab’		
Atmosphere:rainbow.N		kaqlaaq’		
Atmosphere:sky.N		choxa, choxaal		
Atmosphere:storm.N		kaq sut iq’		
Atmosphere:thunder.N		kaaq		
Atmosphere:weather.N		kutan		
Atmosphere:wind.N		iq’		
Belief:Catholic priest.N		chimam		
Belief:Catholic priest.N		payr		spa:padre
Belief:altar.N		artal		spa:altar
Belief:bless.V		osob'tesink		
Belief:curse.V		hob'ok		:*hob’
Belief:deity.N		qaawa’		
Belief:deity.N		yos, tyox		spa:dios
Belief:demon.N		anum		
Belief:demon.N		tza		
Belief:ghost.N		anumal		
Belief:heaven.N		choxa, choxaal		
Belief:hell.N		tojleb'aal maak		
Belief:hell.N		xb'alb'a, b'alb'a		
Belief:holy.A		osob'tesinb'il		
Belief:holy.A		wankil		
Belief:idol.N		jalam 'uuch		
Belief:magic.N		tuul		
