id	style	word	transcription	etymology
Agriculture:rake.N		daan intijs		
Agriculture:shovel.N		eˀp		
Agriculture:shovel.N		kulep		
Agriculture:shovel.N		lopətka		rus:lopatka
Agriculture:sickle or scythe.N		haros		
Animal:Acridomorpha.N		dansolejs		
Animal:Anatidae.N		bəˀn		
Animal:Annelida.N		utiɣ		
Animal:Anthophila.N		bɯst		
Animal:Anura.N		əˀl		
Animal:Araneae.N		elim		
Animal:Aves.N		keŋassel		
Animal:Canis lupus familiaris.N		tīp		
Animal:Canis lupus.N		qɯ̄t		
Animal:Cervidae.N		sèl		
Animal:Corvus.N		kɯ̄l		
Animal:Culicidae.N		sūj		
Animal:Diptera.N		qajmuk		
Animal:Equus ferus caballus.N		kōn		rus:kon’
Animal:Felis catus.N		koska		rus:koška
Animal:Formicidae.N		qə̄nt		
Animal:Homo sapiens.N		keˀt		
Animal:Insecta.N		lamtol		
Animal:Lacertidae.N		tulin		
Animal:Leporidae.N		beˀs		
Animal:Ovis aries.N		opsa		rus:ovca
Animal:Rhopalocera.N		kumlej		
Animal:Sciuridae.N		saˀq		
Animal:Serpentes.N		tìɣ		
Animal:Sus scrofa domestica.N		mina, bina		rus:svin’ja
Animal:Ursidae.N		qòj		
Animal:Vespinae.N		bɯst		
Animal:Vulpes.N		kəʁɯn		
Animal:animal.N		assel		
Animal:female.A		hàŋ		
Animal:fish.N		īs		
Animal:male.A		ɯˀk		
Animal:wool.N		qār		
Atmosphere:cloud.N		espul		
Atmosphere:fog.N		ulij		
Atmosphere:rain.N		ules		
Atmosphere:rainbow.N		aqqot		
Atmosphere:sky.N		ēs		
Atmosphere:thunder.N		ekŋ, ekin		
Atmosphere:weather.N		ēs		
Atmosphere:wind.N		bēj		
Belief:Catholic priest.N		hoˀp		rus:pop
Belief:deity.N		ēs		
Belief:demon.N		lɯtɯs		
Belief:ghost.N		ulvej		
Belief:heaven.N		ēs		
Belief:hell.N		bissamqolep		
Belief:holy.A		holaj		
Belief:idol.N		allel		
Belief:idol.N		dangols		
Belief:magic.N		senbereŋ		
Belief:magician.N		baŋos		
Belief:pray.V		balbet		
Belief:pray.V		molbet		rus:molitva
Belief:soul.N		ulvej		
Body:ankle.N		kiˀs		
Body:arm.N		ɯɯl		
Body:armpit.N		qoltaŋaj		
Body:back.N		qovet		
Body:bald.A		totpul		
Body:beak.N		kūp		
Body:beard.N		kūl		
Body:belly.N		hɯ̄j		
Body:blink.V		laɣaj		
Body:blister.N		ulaj		
Body:blood vessel.N		sulaŋ		
Body:blood.N		sūl		
Body:body hair.N		qār		
Body:body.N		kīt (1)		
Body:boil.N		boksa		
Body:boil.N		sibaŋ		
Body:bone.N		aˀt (1)		
Body:brain.N		doˀŋ (1)		
Body:breast.N		maˀm		
Body:breath.V		ilbet (1)		
Body:bruise.N		baŋol (2)		
Body:buttock.N		koˀt		
Body:calf of leg.N		qopqul, qopqu		
Body:carcass.N		qoreŋs		
Body:cheek.N		qolet		
Body:chest.N		təɣa		
Body:chin.N		ittas		
Body:collarbone.N		pamet		
Body:corpse.N		bōŋ		
Body:ear.N		ogde		
Body:earlobe.N		ogdekup		
Body:elbow.N		ulgit		
Body:eye.N		dēs		
Body:eyebrow.N		destat		
Body:eyelash.N		dest qār		
Body:eyelid.N		dest iŋolt		
Body:face.N		bāt		
Body:fart.V		kottej		
Body:fat.N		kiˀt (1)		
Body:feather.N		às		
Body:feces.V		horbet		
Body:finger.N		təˀq		
Body:fingernail.N		ìn		
Body:flesh.N		kīt (1)		
Body:foot.N		kiˀs		
Body:footprint.N		bulsej		
Body:footprint.N		buluk		
Body:forehead.N		battat		
Body:fur.N		qār		
Body:gum.N		iteŋkit		
Body:hand.N		laŋat		
Body:head hair.N		tə̄ŋ		
Body:head.N		kəjga		
Body:heart.N		huu		
Body:heel.N		səət		
Body:hiccup.V		elaj		
Body:hip.N		diˀ (2)		
Body:horn.N		qoˀ		
Body:intestines.N		tùl		
Body:jaw.N		ittas		
Body:kidney.N		bejbul		
Body:knee.N		batpul		
Body:leg.N		būl		
Body:lip.N		lōn		
Body:liver.N		sēŋ		
Body:lung.N		mensiŋ		
Body:molar tooth.N		akil ìt		
Body:mouth.N		qō (2)		
Body:nape.N		kə̄qt		
