id	style	word	pronunciation
Action:can.V		болох	pɔɮɔ̆x
Agriculture:herd (something).V		маллах	maɮɮăx
Agriculture:herd (something).V		хариулах	xarʲiʊ̆ɮăx
Agriculture:irrigate.V		услах	ʊsɮăx
Agriculture:pick.V		түүх	tʰuːx
Agriculture:shovel.N		хүрз	xurt͡s
Animal:Anatidae.N		нугас	nʊɢăs
Animal:Annelida.N		хорхой	xɔrxɔi̯
Animal:Annelida.N		өт	ɵtʰ
Animal:Araneae.N		аалз	aːɮt͡s
Animal:Aves.N		шувуу	ʃʊw̜ʊ
Animal:Canis lupus familiaris.N		нохой	nɔxɔi̯
Animal:Canis lupus.N		чоно	t͡ʃʰɔnɔ̆
Animal:Corvus.N		хэрээ	xere
Animal:Culicidae.N		шумуул	ʃʊmʊɮ
Animal:Diptera.N		ялаа	jaɮa
Animal:Equus ferus caballus.N		адуу	atʊ
Animal:Equus ferus caballus.N		морь	mɔrʲ
Animal:Felis catus.N		мигуй	mʲiɢʊi̯
Animal:Felis catus.N		муур	mʊːr
Animal:Formicidae.N		шоргоолж	ʃɔrɢɔɮt͡ʃ
Animal:Gallus gallus domesticus.N		тахиа	tʰaxʲiă
Animal:Homo sapiens.N		хүн	xuŋ
Animal:Ovis aries.N		хонь	xɔnʲ
Animal:Rhopalocera.N		эрвээхэй	erw̜exĕj
Animal:Sciuridae.N		хэрэм	xerĕm
Animal:Serpentes.N		могой	mɔɢɔi̯
Animal:Sus scrofa domestica.N		гахай	ɢăxai̯
Animal:Ursidae.N		баавгай	paːw̜ɢai̯
Animal:Vulpes.N		үнэг	unĕɡ
Animal:animal.N		адгуус	atɢʊs
Animal:animal.N		амьтан	amʲtʰăŋ
Animal:fish.N		загас	t͡saɢăs
Animal:mouse.N		хулгана	xʊɮɢănă
Animal:wool.N		ноос	nɔːs
Animal:wool.N		унгас	ʊnɢăs
Atmosphere:cloud.N		үүл	uːɮ
Atmosphere:cold.A		сэрүүн	seruŋ
Atmosphere:fog.N		будан	pʊtăn
Atmosphere:rain.N		бороо	pɔrɔ
Atmosphere:rain.V		бороо орно	pɔrɔ ɔ̆rnɔ̆
Atmosphere:rainbow.N		солонго	sɔɮɔ̆nɢɔ̆
Atmosphere:sky.N		огторгуй	ɔɢtʰɔ̆rɢʊi̯
Atmosphere:sky.N		тэнгэр	tʰenɡĕr
Atmosphere:thunder.N		тэнгэрийн дуу	tʰenɡĕrʲin tʊ
Atmosphere:thunder.V		дуугарах	tʊːɢărăx
Atmosphere:weather.N		тэнгэр	tʰenɡĕr
Atmosphere:weather.N		цаг уур	t͡sʰaɢ ʊr
Atmosphere:wind.N		салхи	saɮxʲi
Belief:deity.N		бурхан	pʊrxăŋ
